Join Name	BernselVSCurated/IM_new_curated.txt	BernselVSCurated/IM_theoretical_Bernsel.txt
A5A605	+	+	
A5A612	+	+	
A5A615	+	+	
A5A616	+		
A5A617	+	+	
A5A618	+	+	
A5A619	+	+	
A5A624	+	+	
A5A627	+	+	
A5A628	+		
A5A630	+	+	
C1P602	+		
C1P609	+		
C1P610	+		
C1P614	+		
C1P616	+		
P00393	+	+	
P00550	+	+	
P00803	+	+	
P00804	+	+	
P00909	+	+	
P00914	+	+	
P00935	+	+	
P02916	+	+	
P02918	+		
P02919	+	+	
P02920	+	+	
P02921	+	+	
P02929	+		
P02942	+	+	
P03819	+	+	
P03825	+	+	
P03835	+	+	
P03959	+	+	
P03960	+	+	
P03961	+		
P04036	+	+	
P04737	+	+	
P04968	+	+	
P05050	+	+	
P05704	+	+	
P05824	+	+	
P05827	+	+	
P06136	+	+	
P06282	+		
P06609	+	+	
P06709	+	+	
P06721	+	+	
P06972	+	+	
P07001	+	+	
P07017	+	+	
P07018	+	+	
P07117	+	+	
P07363	+	+	
P07623	+	+	
P07650	+	+	
P07654	+	+	
P07813	+	+	
P07913	+	+	
P08194	+	+	
P08200	+	+	
P08321	+	+	
P08322	+		
P08369	+	+	
P08371	+	+	
P08372	+	+	
P08395	+	+	
P08400	+		
P08401	+	+	
P08550	+	+	
P08555	+	+	
P08722	+	+	
P09127	+	+	
P09129	+	+	
P09130	+	+	
P09323	+	+	
P09348	+	+	
P09391	+	+	
P09549	+	+	
P09835	+	+	
P09836	+	+	
P0A6A0	+	+	
P0A6E9	+	+	
P0A6G7	+	+	
P0A6H8	+	+	
P0A6J1	+	+	
P0A6J3	+	+	
P0A6K1	+	+	
P0A6M2	+	+	
P0A6R0	+	+	
P0A6S5	+	+	
P0A6T1	+	+	
P0A6W3	+	+	
P0A6Y5	+	+	
P0A710	+	+	
P0A712	+	+	
P0A715	+	+	
P0A742	+	+	
P0A759	+	+	
P0A766	+	+	
P0A769	+	+	
P0A7A2	+		
P0A7B5	+	+	
P0A7C8	+	+	
P0A7E5	+	+	
P0A7F9	+	+	
P0A7H3	+	+	
P0A830	+	+	
P0A843	+	+	
P0A873	+	+	
P0A879	+	+	
P0A8D9	+	+	
P0A8G6	+	+	
P0A8H3	+	+	
P0A8K8	+	+	
P0A8Q0	+	+	
P0A8Q3	+	+	
P0A8R7	+	+	
P0A8S5	+	+	
P0A8T1	+	+	
P0A924	+	+	
P0A9F3	+	+	
P0A9F9	+	+	
P0A9J4	+	+	
P0A9M8	+	+	
P0A9Q9	+	+	
P0A9R2	+	+	
P0A9S3	+	+	
P0AA47	+	+	
P0AA49	+	+	
P0AA53	+	+	
P0AA60	+	+	
P0AA63	+	+	
P0AA67	+	+	
P0AA70	+	+	
P0AA73	+	+	
P0AA76	+	+	
P0AA78	+	+	
P0AA80	+	+	
P0AA82	+	+	
P0AA86	+		
P0AA93	+	+	
P0AAA1	+	+	
P0AAA5	+		
P0AAA7	+	+	
P0AAB6	+	+	
P0AAC4	+	+	
P0AAC6	+	+	
P0AAD2	+	+	
P0AAD4	+	+	
P0AAD6	+	+	
P0AAD8	+	+	
P0AAE0	+	+	
P0AAE2	+	+	
P0AAE5	+	+	
P0AAE8	+	+	
P0AAF1	+	+	
P0AAG5	+	+	
P0AAI3	+	+	
P0AAJ3	+	+	
P0AAJ5	+	+	
P0AAL6	+	+	
P0AAM1	+	+	
P0AAP1	+	+	
P0AAP7	+	+	
P0AAQ0	+	+	
P0AAR5	+	+	
P0AAS0	+	+	
P0AAS3	+	+	
P0AAT4	+	+	
P0AAU2	+	+	
P0AAU5	+	+	
P0AAV0	+	+	
P0AAW5	+	+	
P0AAW9	+	+	
P0AAZ0	+	+	
P0AB01	+	+	
P0AB10	+		
P0AB12	+	+	
P0AB35	+		
P0AB49	+	+	
P0AB67	+	+	
P0AB93	+	+	
P0AB98	+	+	
P0ABA0	+		
P0ABB8	+	+	
P0ABC0	+	+	
P0ABC3	+		
P0ABC7	+	+	
P0ABC9	+	+	
P0ABD1	+	+	
P0ABE5	+	+	
P0ABF1	+	+	
P0ABF6	+	+	
P0ABF8	+	+	
P0ABG1	+	+	
P0ABG4	+	+	
P0ABG7	+	+	
P0ABH4	+	+	
P0ABI4	+	+	
P0ABI8	+	+	
P0ABJ1	+	+	
P0ABJ3	+	+	
P0ABJ6	+	+	
P0ABJ9	+	+	
P0ABK2	+	+	
P0ABL5	+	+	
P0ABL8	+	+	
P0ABM1	+	+	
P0ABM5	+	+	
P0ABM9	+	+	
P0ABN1	+	+	
P0ABN5	+	+	
P0ABN9	+	+	
P0ABP3	+	+	
P0ABP6	+	+	
P0ABS5	+	+	
P0ABT8	+	+	
P0ABU7	+	+	
P0ABU9	+	+	
P0ABV2	+	+	
P0ABV6	+	+	
P0AC05	+	+	
P0AC07	+	+	
P0AC23	+	+	
P0AC26	+	+	
P0AC30	+	+	
P0AC44	+	+	
P0AC75	+	+	
P0AC78	+	+	
P0AC94	+	+	
P0AC96	+	+	
P0AC98	+	+	
P0ACA1	+	+	
P0ACB7	+	+	
P0ACJ0	+	+	
P0ACJ5	+	+	
P0ACN2	+	+	
P0ACS7	+	+	
P0ACS9	+	+	
P0ACU0	+	+	
P0ACV0	+	+	
P0ACV2	+	+	
P0ACV4	+	+	
P0ACX0	+	+	
P0ACY6	+	+	
P0AD03	+	+	
P0AD14	+	+	
P0AD17	+	+	
P0AD19	+	+	
P0AD27	+	+	
P0AD30	+	+	
P0AD42	+	+	
P0AD47	+	+	
P0AD65	+	+	
P0AD68	+		
P0AD99	+	+	
P0ADC3	+	+	
P0ADC6	+	+	
P0ADD2	+	+	
P0ADD5	+	+	
P0ADG7	+	+	
P0ADI9	+	+	
P0ADJ5	+	+	
P0ADJ8	+	+	
P0ADK4	+	+	
P0ADL1	+	+	
P0ADL3	+		
P0ADL6	+	+	
P0ADM0	+	+	
P0ADM8	+	+	
P0ADP2	+	+	
P0ADP5	+	+	
P0ADQ2	+	+	
P0ADQ7	+	+	
P0ADR0	+	+	
P0ADR2	+	+	
P0ADT8	+	+	
P0ADV9	+		
P0ADW3	+	+	
P0ADY1	+	+	
P0ADZ7	+	+	
P0AE14	+	+	
P0AE16	+	+	
P0AE24	+	+	
P0AE26	+	+	
P0AE28	+	+	
P0AE30	+	+	
P0AE34	+	+	
P0AE42	+	+	
P0AE45	+	+	
P0AE74	+	+	
P0AE82	+	+	
P0AEA5	+	+	
P0AEB0	+	+	
P0AEB5	+	+	
P0AEC0	+	+	
P0AEC3	+	+	
P0AEC5	+	+	
P0AEC8	+	+	
P0AEF8	+	+	
P0AEG1	+	+	
P0AEH1	+	+	
P0AEH5	+	+	
P0AEH8	+	+	
P0AEJ0	+	+	
P0AEJ4	+	+	
P0AEK7	+	+	
P0AEL0	+	+	
P0AEN4	+	+	
P0AEP1	+	+	
P0AEP3	+	+	
P0AEQ6	+	+	
P0AER0	+	+	
P0AER3	+	+	
P0AER5	+	+	
P0AER8	+	+	
P0AET5	+	+	
P0AEU3	+	+	
P0AEW1	+	+	
P0AEX3	+	+	
P0AEX7	+	+	
P0AEY1	+	+	
P0AEY5	+	+	
P0AEY8	+	+	
P0AF01	+	+	
P0AF06	+	+	
P0AF16	+	+	
P0AF20	+	+	
P0AF32	+	+	
P0AF34	+	+	
P0AF40	+	+	
P0AF43	+	+	
P0AF52	+	+	
P0AF54	+	+	
P0AF73	+	+	
P0AF80	+	+	
P0AF98	+	+	
P0AFA2	+	+	
P0AFA5	+	+	
P0AFA7	+	+	
P0AFA9	+	+	
P0AFC3	+	+	
P0AFD4	+	+	
P0AFE0	+	+	
P0AFE4	+	+	
P0AFE8	+	+	
P0AFF0	+	+	
P0AFF2	+	+	
P0AFF4	+	+	
P0AFG8	+	+	
P0AFH2	+	+	
P0AFH6	+	+	
P0AFI9	+	+	
P0AFJ7	+	+	
P0AFK2	+	+	
P0AFK4	+	+	
P0AFK6	+	+	
P0AFL1	+	+	
P0AFL9	+	+	
P0AFM9	+	+	
P0AFN2	+	+	
P0AFN6	+	+	
P0AFP0	+	+	
P0AFP9	+	+	
P0AFQ2	+	+	
P0AFR2	+	+	
P0AFR7	+	+	
P0AFR9	+	+	
P0AFS1	+	+	
P0AFS5	+	+	
P0AFS7	+	+	
P0AFS9	+	+	
P0AFT2	+	+	
P0AFU0	+	+	
P0AFU2	+	+	
P0AFV0	+	+	
P0AFV2	+	+	
P0AFX7	+	+	
P0AFY6	+	+	
P0AFZ7	+	+	
P0AG00	+	+	
P0AG14	+	+	
P0AG27	+	+	
P0AG34	+	+	
P0AG38	+	+	
P0AG71	+		
P0AG90	+	+	
P0AG93	+	+	
P0AG96	+	+	
P0AG99	+	+	
P0AGA2	+	+	
P0AGB0	+	+	
P0AGC0	+	+	
P0AGC7	+	+	
P0AGE4	+	+	
P0AGF4	+	+	
P0AGF6	+	+	
P0AGH1	+	+	
P0AGH3	+	+	
P0AGH5	+	+	
P0AGH8	+	+	
P0AGI1	+	+	
P0AGI4	+	+	
P0AGK1	+	+	
P0AGL7	+	+	
P0AGM0	+	+	
P0AGM2	+	+	
P0AGM5	+	+	
P0AGM7	+	+	
P0AGM9	+	+	
P0C0L2	+	+	
P0C0L7	+	+	
P0C0S1	+	+	
P0CB39	+	+	
P0CE44	+	+	
P10903	+	+	
P10905	+	+	
P10906	+	+	
P11286	+	+	
P11350	+	+	
P11551	+	+	
P11557	+	+	
P11667	+	+	
P11875	+	+	
P12008	+	+	
P12758	+	+	
P12996	+	+	
P13000	+	+	
P13024	+	+	
P13458	+	+	
P13518	+	+	
P13738	+	+	
P13970	+	+	
P14176	+	+	
P14376	+	+	
P14377	+	+	
P15029	+	+	
P15030	+	+	
P15068	+	+	
P15078	+	+	
P15081	+		
P15286	+	+	
P15877	+	+	
P15993	+	+	
P16095	+	+	
P16256	+	+	
P16429	+	+	
P16430	+	+	
P16431	+	+	
P16683	+	+	
P16701	+	+	
P16926	+	+	
P17169	+	+	
P17334	+	+	
P17583	+	+	
P18006	+	+	
P18032	+	+	
P18033	+	+	
P18034	+	+	
P18200	+	+	
P18353	+	+	
P18392	+	+	
P18777	+	+	
P19381	+	+	
P19642	+	+	
P19934	+	+	
P20966	+	+	
P21345	+	+	
P21365	+	+	
P21367	+	+	
P21503	+	+	
P21865	+	+	
P21893	+	+	
P22586	+	+	
P22709	+	+	
P22729	+	+	
P23173	+	+	
P23200	+	+	
P23256	+	+	
P23482	+	+	
P23485	+	+	
P23524	+	+	
P23837	+	+	
P23842	+	+	
P23849	+	+	
P23876	+	+	
P23877	+	+	
P23886	+	+	
P23890	+	+	
P23894	+	+	
P23895	+	+	
P23909	+	+	
P23910	+	+	
P23917	+	+	
P23930	+	+	
P24077	+	+	
P24177	+	+	
P24181	+	+	
P24205	+	+	
P24207	+	+	
P24241	+	+	
P24244	+		
P25396	+	+	
P25437	+	+	
P25527	+	+	
P25535	+	+	
P25552	+	+	
P25714	+	+	
P25737	+	+	
P25743	+	+	
P25744	+	+	
P25747	+	+	
P25798	+	+	
P25960	+	+	
P26266	+	+	
P26458	+	+	
P26459	+	+	
P27125	+	+	
P27243	+	+	
P27250	+	+	
P27300	+	+	
P27303	+		
P27434	+	+	
P27835	+	+	
P27837	+	+	
P27842	+	+	
P27843	+	+	
P27844	+	+	
P27896	+	+	
P28246	+	+	
P28303	+	+	
P28306	+		
P28911	+	+	
P28912	+	+	
P28916	+	+	
P28917	+	+	
P29018	+	+	
P29131	+		
P29217	+	+	
P30015	+	+	
P30126	+	+	
P30136	+	+	
P30143	+	+	
P30149	+	+	
P30744	+	+	
P30844	+	+	
P30845	+	+	
P30847	+	+	
P30855	+	+	
P30864	+	+	
P31064	+	+	
P31069	+	+	
P31119	+		
P31122	+	+	
P31125	+	+	
P31126	+	+	
P31131	+	+	
P31135	+	+	
P31224	+	+	
P31433	+		
P31435	+	+	
P31436	+	+	
P31437	+	+	
P31440	+	+	
P31441	+	+	
P31442	+	+	
P31446	+	+	
P31448	+	+	
P31452	+	+	
P31459	+	+	
P31462	+	+	
P31466	+	+	
P31468	+	+	
P31473	+	+	
P31474	+	+	
P31547	+	+	
P31549	+	+	
P31553	+	+	
P31572	+	+	
P31675	+	+	
P31679	+	+	
P31680	+	+	
P31801	+	+	
P31825	+	+	
P31826	+	+	
P31991	+	+	
P32053	+	+	
P32057	+	+	
P32108	+	+	
P32125	+	+	
P32128	+		
P32129	+		
P32135	+	+	
P32136	+	+	
P32137	+	+	
P32154	+	+	
P32166	+	+	
P32177	+	+	
P32672	+	+	
P32696	+	+	
P32700	+	+	
P32701	+	+	
P32703	+	+	
P32705	+	+	
P32709	+	+	
P32710	+	+	
P32711	+	+	
P32715	+	+	
