Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z	
YAIW_ECOLI	4	1	25	492.2749	0.644444444444444
YAIW_ECOLI	5	1	20	503.232385	-0.366666666666667
YAIW_ECOLI	6	1	16.6666666666667	615.3403875	0.923076923076923
YAIW_ECOLI	7	1	14.2857142857143	525.269625	0.0555555555555555
YAIW_ECOLI	7	0	0		
YAIW_ECOLI	8	1	12.5	670.3452	-0.4
YAIW_ECOLI	9	1	11.1111111111111	524.25979	-0.28
YAIW_ECOLI	10	1	10	750.36345	-0.305882352941176
YAIW_ECOLI	10	0	0		
YAIW_ECOLI	12	1	8.33333333333333	460.243075	-0.075
YAIW_ECOLI	13	0	0		
YAIW_ECOLI	14	1	7.14285714285714	464.261795	1.32222222222222
YAIW_ECOLI	14	0	0		
YAIW_ECOLI	15	1	6.66666666666667	701.80763	-0.325
YAJI_ECOLI	1	1	100	910.855491666667	-0.91578947368421
YAJI_ECOLI	2	1	50	544.26656	0.0111111111111111
YAJI_ECOLI	3	1	33.3333333333333	588.81185	0.3
YAJI_ECOLI	5	1	20	507.777815	-0.144444444444444
YAJI_ECOLI	5	0	0		
YAJI_ECOLI	6	1	16.6666666666667	973.493855	0.0388888888888889
YAJI_ECOLI	7	1	14.2857142857143	594.817465	0.581818181818182
MLAA_ECOLI	1	1	100	406.185565	-1.36666666666667
MLAA_ECOLI	3	1	33.3333333333333	1033.27747611111	-1.10384615384615
MLAA_ECOLI	4	1	25	516.736145	-1.24444444444444
MLAA_ECOLI	5	1	20	551.77527	-0.655555555555556
MLAA_ECOLI	7	2	28.5714285714286	598.5500375	-0.233636363636364
MLAA_ECOLI	8	1	12.5	1160.17100416667	0.252173913043478
MLAA_ECOLI	8	0	0		
MLAA_ECOLI	8	0	0		
MLAA_ECOLI	9	1	11.1111111111111	1156.07956	0.831818181818182
YAJG_ECOLI	2	0	0		
YAJG_ECOLI	3	1	33.3333333333333	699.36805	0.121428571428571
YAJG_ECOLI	5	1	20	558.81386	0.444444444444444
YAJG_ECOLI	6	1	16.6666666666667	608.315295	-0.263636363636364
YAJG_ECOLI	7	0	0		
YAJG_ECOLI	8	0	0		
YAJG_ECOLI	9	1	11.1111111111111	742.339495	-0.628571428571429
