Join Name	ELOCATION/CoBaltTable2.txt	ELOCATION/Our_DB.txt
Protein Id	+		
AP_000665.1	+	+	
AP_000666.1	+	+	
AP_000667.1	+	+	
AP_000668.1	+	+	
AP_000669.1	+	+	
AP_000670.1	+	+	
AP_000671.1	+	+	
AP_000672.1	+	+	
AP_000673.1	+	+	
AP_000674.1	+	+	
AP_000675.1	+	+	
AP_000676.1	+	+	
AP_000677.1	+	+	
AP_000678.1	+	+	
AP_000679.1	+	+	
AP_000680.1	+	+	
AP_000681.1	+	+	
AP_000682.1	+	+	
AP_000683.1	+	+	
AP_000684.1	+	+	
AP_000685.1	+	+	
AP_000686.1	+	+	
AP_000687.1	+	+	
AP_000688.1	+	+	
AP_000689.1	+	+	
AP_000690.1	+	+	
AP_000691.1	+	+	
AP_000692.1	+	+	
AP_000693.1	+	+	
AP_000694.1	+	+	
AP_000695.1	+	+	
AP_000696.1	+	+	
AP_000697.1	+	+	
AP_000698.1	+	+	
AP_000699.1	+	+	
AP_000700.1	+	+	
AP_000701.1	+	+	
AP_000702.1	+	+	
AP_000703.1	+	+	
AP_000704.1	+	+	
AP_000705.1	+	+	
AP_000706.1	+	+	
AP_000707.1	+	+	
AP_000708.1	+	+	
AP_000709.1	+	+	
AP_000710.1	+	+	
AP_000711.1	+	+	
AP_000712.1	+	+	
AP_000713.1	+	+	
AP_000714.1	+	+	
AP_000715.1	+	+	
AP_000716.1	+	+	
AP_000717.1	+	+	
AP_000718.1	+	+	
AP_000719.1	+	+	
AP_000720.1	+	+	
AP_000721.1	+	+	
AP_000722.1	+	+	
AP_000723.1	+	+	
AP_000724.1	+	+	
AP_000725.1	+	+	
AP_000726.1	+	+	
AP_000727.1	+	+	
AP_000728.1	+	+	
AP_000729.1	+	+	
AP_000730.1	+	+	
AP_000731.1	+	+	
AP_000732.1	+	+	
AP_000733.1	+	+	
AP_000734.1	+	+	
AP_000735.1	+	+	
AP_000736.1	+	+	
AP_000737.1	+	+	
AP_000738.1	+	+	
AP_000739.1	+	+	
AP_000740.1	+	+	
AP_000741.1	+	+	
AP_000742.1	+	+	
AP_000743.1	+	+	
AP_000744.1	+	+	
AP_000745.1	+	+	
AP_000746.1	+	+	
AP_000747.1	+	+	
AP_000748.1	+	+	
AP_000749.1	+	+	
AP_000750.1	+	+	
AP_000751.1	+	+	
AP_000752.1	+	+	
AP_000753.1	+	+	
AP_000754.1	+	+	
AP_000755.1	+	+	
AP_000756.1	+	+	
AP_000757.1	+	+	
AP_000758.1	+	+	
AP_000759.1	+	+	
AP_000760.1	+	+	
AP_000761.1	+	+	
AP_000762.1	+	+	
AP_000763.1	+	+	
AP_000764.1	+	+	
AP_000765.1	+	+	
AP_000766.1	+	+	
AP_000767.1	+	+	
AP_000768.1	+	+	
AP_000769.1	+	+	
AP_000770.1	+	+	
AP_000771.1	+	+	
AP_000772.1	+	+	
AP_000773.1	+	+	
AP_000774.1	+	+	
AP_000775.1	+	+	
AP_000776.1	+	+	
AP_000777.1	+	+	
AP_000778.1	+	+	
AP_000779.1	+	+	
AP_000780.1	+	+	
AP_000781.1	+	+	
AP_000782.1	+	+	
AP_000783.1	+	+	
AP_000784.1	+	+	
AP_000785.1	+	+	
AP_000786.1	+	+	
AP_000787.1	+	+	
AP_000788.1	+	+	
AP_000789.1	+	+	
AP_000790.1	+	+	
AP_000791.1	+	+	
AP_000792.1	+	+	
AP_000793.1	+	+	
AP_000794.1	+	+	
AP_000795.1	+	+	
AP_000796.1	+	+	
AP_000797.1	+	+	
AP_000798.1	+	+	
AP_000799.1	+	+	
AP_000800.1	+	+	
AP_000801.1	+	+	
AP_000802.1	+	+	
AP_000803.1	+	+	
AP_000804.1	+	+	
AP_000805.1	+	+	
AP_000806.1	+	+	
AP_000807.1	+	+	
AP_000808.1	+	+	
AP_000809.1	+	+	
AP_000810.1	+	+	
AP_000811.1	+	+	
AP_000812.1	+	+	
AP_000813.1	+	+	
AP_000814.1	+	+	
AP_000815.1	+	+	
AP_000816.1	+	+	
AP_000817.1	+	+	
AP_000818.1	+	+	
AP_000819.1	+	+	
AP_000820.1	+	+	
AP_000821.1	+	+	
AP_000822.1	+	+	
AP_000823.1	+	+	
AP_000824.1	+	+	
AP_000825.1	+	+	
AP_000826.1	+	+	
AP_000827.1	+	+	
AP_000828.1	+	+	
AP_000829.1	+	+	
AP_000830.1	+	+	
AP_000831.1	+	+	
AP_000832.1	+	+	
AP_000833.1	+	+	
AP_000834.1	+	+	
AP_000835.1	+	+	
AP_000836.1	+	+	
AP_000837.1	+	+	
AP_000838.1	+	+	
AP_000839.1	+	+	
AP_000840.1	+	+	
AP_000841.1	+	+	
AP_000842.1	+	+	
AP_000843.1	+	+	
AP_000844.1	+	+	
AP_000845.1	+	+	
AP_000846.1	+	+	
AP_000847.1	+	+	
AP_000848.1	+	+	
AP_000849.1	+	+	
AP_000850.1	+	+	
AP_000851.1	+	+	
AP_000852.1	+	+	
AP_000853.1	+	+	
AP_000854.1	+	+	
AP_000855.1	+	+	
AP_000856.1	+	+	
AP_000857.1	+	+	
AP_000858.1	+	+	
AP_000859.1	+	+	
AP_000860.1	+	+	
AP_000861.1	+	+	
AP_000862.1	+	+	
AP_000863.1	+	+	
AP_000864.1	+	+	
AP_000865.1	+	+	
AP_000866.1	+	+	
AP_000867.1	+	+	
AP_000868.1	+	+	
AP_000869.1	+	+	
AP_000870.1	+	+	
AP_000871.1	+	+	
AP_000872.1	+	+	
AP_000873.1	+	+	
AP_000874.1	+	+	
AP_000875.1	+	+	
AP_000876.1	+	+	
AP_000877.1	+	+	
AP_000878.1	+	+	
AP_000879.1	+	+	
AP_000880.1	+	+	
AP_000881.1	+	+	
AP_000882.1	+	+	
AP_000883.1	+	+	
AP_000884.1	+	+	
AP_000885.1	+	+	
AP_000886.1	+	+	
AP_000887.1	+	+	
AP_000888.1	+	+	
AP_000889.1	+	+	
AP_000890.1	+	+	
AP_000891.1	+	+	
AP_000892.1	+	+	
AP_000893.1	+	+	
AP_000894.1	+	+	
AP_000895.1	+	+	
AP_000896.1	+	+	
AP_000897.1	+	+	
AP_000898.1	+	+	
AP_000899.1	+	+	
AP_000900.1	+	+	
AP_000901.1	+	+	
AP_000902.1	+	+	
AP_000903.1	+	+	
AP_000904.1	+	+	
AP_000905.1	+	+	
AP_000906.1	+	+	
AP_000907.1	+	+	
AP_000908.1	+	+	
AP_000909.1	+	+	
AP_000910.1	+	+	
AP_000911.1	+	+	
AP_000912.1	+	+	
AP_000913.1	+	+	
AP_000914.1	+	+	
AP_000915.1	+	+	
AP_000916.1	+	+	
AP_000917.1	+	+	
AP_000918.1	+	+	
AP_000919.1	+	+	
AP_000920.1	+	+	
AP_000921.1	+	+	
AP_000922.1	+	+	
AP_000923.1	+	+	
AP_000924.1	+	+	
AP_000925.1	+	+	
AP_000926.1	+	+	
AP_000927.1	+	+	
AP_000928.1	+		
AP_000929.1	+		
AP_000930.1	+	+	
AP_000931.1	+	+	
AP_000932.1	+	+	
AP_000933.1	+	+	
AP_000934.1	+	+	
AP_000935.1	+	+	
AP_000936.1	+	+	
AP_000937.1	+	+	
AP_000938.1	+	+	
AP_000939.1	+	+	
AP_000940.1	+	+	
AP_000941.1	+	+	
AP_000942.1	+	+	
AP_000943.1	+	+	
AP_000944.1	+	+	
AP_000945.1	+	+	
AP_000946.1	+	+	
AP_000947.1	+	+	
AP_000948.1	+	+	
AP_000949.1	+	+	
AP_000950.1	+	+	
AP_000951.1	+	+	
AP_000952.1	+	+	
AP_000953.1	+	+	
AP_000954.1	+	+	
AP_000955.1	+	+	
AP_000956.1	+	+	
AP_000957.1	+	+	
AP_000958.1	+	+	
AP_000959.1	+	+	
AP_000960.1	+	+	
AP_000961.1	+	+	
AP_000962.1	+	+	
AP_000963.1	+	+	
AP_000964.1	+	+	
AP_000965.1	+	+	
AP_000966.1	+	+	
AP_000967.1	+	+	
AP_000968.1	+	+	
AP_000969.1	+	+	
AP_000970.1	+	+	
AP_000971.1	+	+	
AP_000972.1	+	+	
AP_000973.1	+	+	
AP_000974.1	+	+	
AP_000975.1	+	+	
AP_000976.1	+	+	
AP_000977.1	+	+	
AP_000978.1	+	+	
AP_000979.1	+	+	
AP_000980.1	+	+	
AP_000981.1	+	+	
AP_000982.1	+	+	
AP_000983.1	+	+	
AP_000984.1	+	+	
AP_000985.1	+	+	
AP_000986.1	+	+	
AP_000987.1	+	+	
AP_000988.1	+	+	
AP_000989.1	+	+	
AP_000990.1	+	+	
AP_000991.1	+	+	
AP_000992.1	+	+	
AP_000993.1	+	+	
AP_000994.1	+	+	
AP_000995.1	+	+	
AP_000996.1	+	+	
AP_000997.1	+	+	
AP_000998.1	+	+	
AP_000999.1	+	+	
AP_001000.1	+	+	
AP_001001.1	+	+	
AP_001002.1	+	+	
AP_001003.1	+	+	
AP_001004.1	+	+	
AP_001005.1	+	+	
AP_001006.1	+	+	
AP_001007.1	+	+	
AP_001008.1	+	+	
AP_001009.1	+	+	
AP_001010.1	+	+	
AP_001011.1	+	+	
AP_001012.1	+	+	
AP_001013.1	+	+	
AP_001014.1	+	+	
AP_001015.1	+	+	
AP_001016.1	+	+	
AP_001017.1	+	+	
AP_001018.1	+	+	
AP_001019.1	+	+	
AP_001020.1	+	+	
AP_001021.1	+		
AP_001022.1	+	+	
AP_001023.1	+		
AP_001024.1	+		
AP_001025.1	+		
AP_001026.1	+	+	
