Join Name	empAI.txt	Soluble_curated.TXT
P00575	+		
P06958	+		
P00577	+		
P02996	+		
P04475	+		
P02349	+		
P06139	+		
P09373	+	+	
P02990	+		
P17547	+		
P22257	+		
P06959	+		
P06977	+		
P11665	+		
P14178	+		
P02997	+		
P00957	+		
P00350	+		
P07813	+		
P23843	+		
P00956	+		
P08324	+		
P08839	+		
P02995	+		
P07650	+		
P03815	+		
P09831	+		
P05055	+	+	
P00882	+		
P00961	+		
P07118	+		
P09743	+		
P10413	+		
P60422	+	+	
P02934	+		
P00391	+		
P30148	+		
P04079	+		
P36683	+		
P12283	+		
P06711	+		
P00477	+		
P02351	+		
P0A8N3	+		
P08177	+		
P39184	+		
P02384	+		
P02354	+		
P00968	+		
P06981	+		
P0A6T1	+		
P07395	+		
P08200	+		
P27302	+		
P62593	+		
P03002	+		
P09097	+		
P11604	+		
P16659	+		
P15639	+		
P00824	+		
P02359	+		
P00574	+		
P60438	+		
P00962	+		
P62399	+	+	
P15254	+		
P07015	+		
P26427	+		
P23721	+		
P00959	+		
P00864	+		
P02352	+		
P03003	+		
P39171	+		
P62707	+		
P39170	+		
P15046	+		
P02392	+		
P17242	+		
P00452	+		
P14926	+		
P00561	+		
P25739	+		
P00490	+		
P02356	+		
P76116	+		
P04805	+		
P00822	+		
P00509	+		
P23304	+		
P07651	+		
P32132	+	+	
P30136	+		
P17169	+		
P21889	+		
P08398	+		
P61175	+	+	
P00955	+		
P08202	+		
P08936	+		
P29132	+		
P06996	+		
P04790	+		
P04825	+		
P03948	+		
P02418	+		
P09156	+		
P15288	+		
P32176	+		
P00448	+		
P33136	+		
P08328	+		
P02390	+		
P17963	+		
P22783	+		
P02925	+		
P60723	+	+	
P02408	+		
P08859	+		
P09169	+		
P13029	+		
P16174	+		
P25716	+		
P04384	+		
P21202	+		
P02999	+		
P30850	+		
P33602	+	+	
P35340	+	+	
P05082	+		
P08837	+		
P37797	+		
P02410	+		
P22259	+		
P07459	+		
P10408	+		
P22523	+		
P02358	+		
P09376	+		
P45523	+		
P00353	+		
P06612	+		
P33195	+		
P08312	+		
P24182	+		
P12758	+		
P17579	+		
P00579	+		
P07460	+		
P61889	+		
P25715	+		
P60624	+		
P09625	+		
P23861	+		
P22992	+		
P33633	+		
P07012	+		
