Accession	Molecular Function(EcoCyc)
B1XFM4	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
C4ZWP6	DNA binding
P76041	transferase activity, transferring glycosyl groups|transferase activity|sucrose phosphorylase activity
C4ZWS5	DNA binding
C4ZQF0	aspartate-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
C4ZW64	lyase activity
C4ZVU2	DNA ligase (NAD+) activity|ligase activity
Q47142	symporter activity
B1XE10	DNA binding
B1X6S4	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|metal ion binding
B1XES6	transferase activity
P56580	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P0CF90	DNA binding
B1X9X9	transferase activity|kinase activity
C4ZQA8	hydrolase activity
P0AFC0	hydrolase activity|metal ion binding
C4ZTH7	1-deoxy-D-xylulose-5-phosphate synthase activity|transferase activity
C4ZVY1	hydrolase activity|hydrolase activity, acting on glycosyl bonds
C4ZXN9	DNA ligase (NAD+) activity|ligase activity
P23883	oxidoreductase activity|aldehyde dehydrogenase [NAD(P)+] activity
C4ZZX3	peptidase activity
P77231	triphosphoribosyl-dephospho-CoA synthase activity|transferase activity|nucleotide binding|ATP binding
B1X6K2	nucleotide binding|ATP binding
B1X6W3	hydrolase activity|phosphoribosyl-AMP cyclohydrolase activity|phosphoribosyl-ATP diphosphatase activity|nucleotide binding|catalytic activity|ATP binding
P0AE74	antiporter activity
B1XAP0	kinase activity
C4ZUR0	DNA binding
C4ZYI9	RNA binding|rRNA binding|GTP binding|nucleotide binding
P37750	transferase activity|acyltransferase activity
B1X9Q2	kinase activity
C4ZSN7	methyltransferase activity|rRNA (cytosine-2'-O-)-methyltransferase activity|transferase activity
B1X9N9	D-serine ammonia-lyase activity|lyase activity
C4ZTI5	transferase activity|protoheme IX farnesyltransferase activity
B1XGE2	DNA binding
C4ZWH3	hydrolase activity|potassium-transporting ATPase activity|nucleotide binding|metal ion binding|ATP binding
P0CB39	transferase activity
C4ZSI8	transferase activity|kinase activity|nucleotide binding|metal ion binding|hydroxyethylthiazole kinase activity|ATP binding
C4ZU03	hydrolase activity|GTP cyclohydrolase I activity|GTP binding|nucleotide binding|metal ion binding
C4ZX74	phosphoribosylformylglycinamidine cyclo-ligase activity|nucleotide binding|ligase activity|ATP binding
P20099	oxidoreductase activity
P0ACD8	oxidoreductase activity|hydrogenase (acceptor) activity|metal ion binding
