Merge ID	# Studies
P0A6J3	2
P0ABN9	2
P14377	2
P08202	2
P08204	2
P08203	2
P0AE24	2
P23910	2
P0A6D0	2
P05194	2
P0A6E1	2
P0AE28	2
P24240	2
P24241	2
P25549	2
P25550	2
P00963	2
P22106	2
P0ACI6	2
P11988	2
P08722	2
P11989	2
P20099	2
P06282	2
P69795	2
P17334	2
P69791	2
P17410	2
P17411	2
P0A6J1	2
P23845	2
P18775	2
P18776	2
P18777	2
P0AB71	2
P07658	2
P19323	2
P04128	2
P0ADH5	2
P08189	2
P0A8S9	2
P04949	2
P0AB87	2
P69922	2
P0A9S1	2
P0ACK8	2
P0AC33	2
P14407	2
P09148	2
P0AEQ3	2
P0A9C0	2
P13033	2
P0A996	2
P09391	2
P09394	2
P21345	2
P00350	2
P06715	2
P60560	2
P0AET8	2
P15038	2
P06986	2
P60757	2
P0ACF8	2
P08957	2
P08956	2
P05719	2
P69739	2
P0ACD8	2
P0AAM1	2
P19930	2
P19931	2
P19932	2
P0AAK1	2
P16430	2
P16431	2
P16432	2
P16433	2
P0AEV7	2
P14375	2
P16528	2
P08142	2
P05793	2
P0ADF8	2
P05827	2
P02920	2
P00722	2
P08660	2
P0AEX9	2
P02916	2
P19642	2
P23256	2
P21517	2
P69797	2
P69801	2
P69805	2
P15005	2
P15006	2
P61889	2
P02921	2
P17109	2
P00562	2
P0AAG8	2
P0AEE5	2
P23200	2
P0ACR9	2
P24202	2
P00550	2
P09424	2
P0A759	2
P0AF20	2
P0A6L4	2
P0A6C1	2
P0AC26	2
P18843	2
P0AFF4	2
P0ADA7	2
P16256	2
P22259	2
P05459	2
P0A796	2
P16677	2
P16682	2
P07000	2
P0A7A7	2
P0AAF1	2
P0A9L8	2
P05458	2
P08839	2
P0AD61	2
P09378	2
P09377	2
P16916	2
P16917	2
P16918	2
P16919	2
P0AGB3	2
P0A998	2
P00448	2
P0AGJ2	2
P56579	2
P05706	2
P05707	2
P15081	2
P0AGF6	2
P00561	2
P00547	2
P00934	2
P0A877	2
P00909	2
P00904	2
P0A881	2
P00954	2
P07023	2
P0AAD4	2
P12758	2
P10905	2
P0AG80	2
P10906	2
P10908	2
P09836	2
P0AGC0	2
