GN	Comment	EG	ECK	SP	WISC	CG
insA	Insertion Element (EcoGene)	EG40001	ECK0023	P0ADH0	b4516 b4294 b3444 b1894 b0275 b0265 b0022	Null
insB	Insertion Element (EcoGene)	EG40002	ECK0022	P57998	b4576 b4564 b4563 b3445 b1893 b0988 b0274 b0264 b0021	Null
insC	Insertion Element (EcoGene)	EG40003	ECK0357	P19776	b4272 b3044 b2861 b1997 b1403 b0360	Null
insD	Insertion Element (EcoGene)	EG40004	ECK0358	P19777	b4273 b3045 b2860 b1996 b1578 b1402 b0361	Null
insE	Insertion Element (EcoGene)	EG40005	ECK0298	P0ADH3	b2088 b1027 b0540 b0373 b0298	Null
insF	Insertion Element (EcoGene)	EG40006	ECK0299	P05822	b2089 b1026 b0541 b0372 b0299	Null
insG	Insertion Element (EcoGene)	EG40007	ECK4268	P03835	b4278	Null
insH	Insertion Element (EcoGene)	EG40008	ECK0261	P03837	b3505 b3218 b2982 b2192 b2030 b1994 b1370 b1331 b0656 b0552 b0259	Null
insI	Insertion Element (EcoGene)	EG40009	ECK0258	P37246	b4284 b1404 b0256	Null
insJ	Insertion Element (EcoGene)	EG40010	ECK3545	P19768	b3557	Null
insK	Insertion Element (EcoGene)	EG40011	ECK3546	P19769	b3558	Null
insL	Insertion Element (EcoGene)	EG40012	ECK0016	P08409	b2394 b0582 b0016	Null
appY	Prophage (EcoGene)		EG10050	P05052	b0564	CG31146
argF	Prophage (EcoGene)		EG10067	P06960	b0273	CG1016
dicA	Prophage (EcoGene)		EG10226	P06966	b1570	CG18427
dicB	Prophage (EcoGene)		EG10227	P09557	b1575	CG18424
dicC	Prophage (EcoGene)		EG10228	P06965	b1569	CG18421
intD	Prophage (EcoGene)		EG10507	P24218	b0537	Null
lit	Prophage (EcoGene)		EG10535	P11072	b1139	CG554
mcrA	Prophage (EcoGene)		EG10573	P24200	b1159	CG10961
emrE	Prophage (EcoGene)		EG10629	P23895	b0543	CG36935
ompT	Prophage (EcoGene)		EG10673	P09169	b0565	CG4984
pinE	Prophage (EcoGene)		EG10737	P03014	b1158	Null
racC	Prophage (EcoGene)		EG10813	P15033	b1351	CG32076
recE	Prophage (EcoGene)		EG10827	P15032	b1350	CG309
relB	Prophage (EcoGene)		EG10836	P0C079	b1564	CG305
trkG	Prophage (EcoGene)		EG11020	P23849	b1363	CG29963
tfaE	Prophage (EcoGene)		EG11120	P09153	b1156	Null
rem	Prophage (EcoGene)		EG11129	P07010	b1561	Null
hokD	Prophage (EcoGene)		EG11130	P0ACG6	b1562	CG17953
relE	Prophage (EcoGene)		EG11131	P0C077	b1563	CG17956
ydfA	Prophage (EcoGene)		EG11300	P0ACW8	b1571	Null
ydfB	Prophage (EcoGene)		EG11301	P29009	b1572	Null
ydfC	Prophage (EcoGene)		EG11302	P21418	b1573	Null
ydfD	Prophage (EcoGene)		EG11303	P29010	b1576	Null
nohD	Prophage (EcoGene)		EG11635	P31062	b0560	Null
intA	Prophage (EcoGene)		EG11783	P32053	b2622	CG33082
recT	Prophage (EcoGene)		EG11899	P33228	b1349	CG32070
ralR	Prophage (EcoGene)		EG11900	P33229	b1348	CG37053
ydaC	Prophage (EcoGene)		EG11901	P33230	b1347	Null
alpA	Prophage (EcoGene)		EG12112	P33997	b2624	CG33086
sieB	Prophage (EcoGene)		EG12154	P38392	b1353	CG32081
kilR	Prophage (EcoGene)		EG12155	P38393	b1352	Null
