Merge ID	Entry name (Uniprot)	Accession (UNIPROT)	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	700_Mobile_Elements_S1(2)F(2)F	K12_Mobile	# Studies	700_Mobile_Elements_S1(2)F(2)F Duplicates	K12_Mobile Duplicates	EG	GN	SP	JW
hokC	HOKC_ECOLI	P0ACG4	b4412	G		0	0			del-MD13	1	1	2	1	1	EG10373	hokC	P0ACG4	JW5879
mokC	MOKC_ECOLI	P33236	b0018	B	MD13	0	2			del-MD13	1	1	2	1	1	EG12074	mokC	P33236	Null
nhaA	NHAA_ECOLI	P13738	b0019	B	MD13	0	2			del-MD13	1	1	2	1	1	EG10652	nhaA	P13738	JW0018
nhaR	NHAR_ECOLI	P0A9G2	b0020	A	MD13	0	2		Common Core	del-MD13	1	1	2	1	1	EG11078	nhaR	P0A9G2	JW0019
fhuA	FHUA_ECOLI	P06971	b0150	H	MD41	0	2			del-MD41	1	1	2	1	1	EG10302	fhuA	P06971	JW0146
fhuC	FHUC_ECOLI	P07821	b0151	F1	MD41	0	2		Common Core	del-MD41	1	1	2	1	1	EG10304	fhuC	P07821	JW0147
fhuD	FHUD_ECOLI	P07822	b0152	G	MD41	0	2		Common Core	del-MD41	1	1	2	1	1	EG10305	fhuD	P07822	JW0148
fhuB	FHUB_ECOLI	P06972	b0153	B	MD41	0	2			del-MD41	1	1	2	1	1	EG10303	fhuB	P06972	JW0149
ykfI	YKFI_ECOLI	P77692	b0245	A		2	0	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG14333	ykfI	P77692	JW0234
yafW	YAFW_ECOLI	Q47684	b0246	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13335	yafW	Q47684	JW0235
ykfH	YKFH_ECOLI	Q9XB42	b4504	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG14332	ykfH	Q9XB42	JW5956
ykfG	YKFG_ECOLI	Q47685	b0247	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG14331	ykfG	Q47685	JW0236
yafX	YAFX_ECOLI	P75676	b0248	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13336	yafX	P75676	JW5022
ykfF	YKFF_ECOLI	P75677	b0249	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG14283	ykfF	P75677	JW5023
ykfB	YKFB_ECOLI	P77162	b0250	G	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13548	ykfB	P77162	JW0239
yafY	YAFY_ECOLI	P77365	b0251	E	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13337	yafY	P77365	JW0240
yafZ	YAFZ_ECOLI	P77206	b0252	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13338	yafZ	P77206	JW0242
ykfA	YKFA_ECOLI	P75678	b0253	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13339	ykfA	P75678	JW0243
perR	PERR_ECOLI	Q57083	b0254	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13340	perR	Q57083	JW0244
