Join Name	Files/NonUreaCellEnvelope_1047.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_M_S.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_SFD2.txt
P00393	+	+	+	
P00550	+	+	+	
P00803	+	+	+	
P02919	+	+	+	
P04036	+	+	+	
P07001	+	+	+	
P07014	+	+	+	
P07117	+	+	+	
P07650	+	+	+	
P08200	+	+	+	
P08395	+	+	+	
P09127	+	+	+	
P09323	+	+	+	
P09391	+	+	+	
P09549	+	+	+	
P0A6A0	+	+	+	
P0A6H8	+	+	+	
P0A6J3	+	+	+	
P0A6M2	+			
P0A6R0	+	+	+	
P0A6T1	+			
P0A6W3	+	+	+	
P0A6Y5	+	+	+	
P0A715	+	+	+	
P0A742	+	+	+	
P0A7E5	+	+	+	
P0A8R7	+	+		
P0A9F3	+	+	+	
P0A9M8	+	+	+	
P0A9Q9	+	+	+	
P0A9S3	+	+	+	
P0AA53	+	+		
P0AAA1	+	+	+	
P0AAD6	+	+	+	
P0AAE0	+	+	+	
P0AAI3	+	+	+	
P0AAS0	+	+		
P0AAT4	+	+	+	
P0AB01	+	+		
P0AB12	+	+		
P0AB67	+	+	+	
P0ABB0	+	+	+	
P0ABB8	+	+	+	
P0ABC7	+	+	+	
P0ABC9	+	+	+	
P0ABF1	+	+	+	
P0ABF8	+	+		
P0ABG7	+	+		
P0ABI4	+	+	+	
P0ABI8	+	+	+	
P0ABJ1	+	+	+	
P0ABJ9	+	+	+	
P0ABK2	+	+	+	
P0ABN1	+	+	+	
P0ABN5	+	+	+	
P0ABP6	+	+		
P0ABU7	+	+	+	
P0ABU9	+	+	+	
P0ABV6	+	+	+	
P0AC30	+	+	+	
P0AC44	+	+	+	
P0AC75	+	+	+	
P0ACB7	+	+	+	
P0ACJ0	+	+	+	
P0ACS9	+	+	+	
P0ACV0	+	+	+	
P0ACV4	+	+	+	
P0AD27	+			
P0AD65	+	+	+	
P0ADC3	+	+	+	
P0ADC6	+	+	+	
P0ADG7	+	+	+	
P0ADQ7	+			
P0ADT8	+	+	+	
P0ADW3	+	+	+	
P0ADY1	+	+	+	
P0ADZ7	+	+	+	
P0AE14	+	+	+	
P0AE30	+	+	+	
P0AE34	+	+	+	
P0AE45	+	+	+	
P0AE82	+	+	+	
P0AEC0	+	+	+	
P0AEC3	+	+	+	
P0AEC5	+		+	
P0AEH1	+	+	+	
P0AEH5	+	+	+	
P0AEQ6	+			
P0AER8	+	+	+	
P0AEX3	+	+	+	
P0AF16	+			
P0AF20	+	+	+	
P0AF52	+	+		
P0AF98	+	+	+	
P0AFA2	+			
P0AFC3	+	+	+	
P0AFC7	+	+	+	
P0AFE0	+	+	+	
P0AFE4	+	+		
P0AFE8	+	+		
P0AFF2	+	+	+	
P0AFF4	+	+		
P0AFG8	+	+	+	
P0AFJ7	+	+	+	
P0AFM9	+	+	+	
P0AFN2	+	+	+	
P0AFR2	+			
P0AFS7	+	+		
P0AFX7	+			
P0AG00	+	+	+	
P0AG14	+	+	+	
P0AG27	+	+	+	
P0AG90	+	+	+	
P0AG93	+	+	+	
P0AG96	+	+	+	
P0AG99	+	+	+	
P0AGA2	+	+	+	
P0AGC7	+	+	+	
P0AGK1	+			
P0C0L7	+	+	+	
P0C0S1	+	+	+	
P0CB39	+	+	+	
P11557	+	+	+	
P12758	+			
P13458	+	+	+	
P14376	+	+	+	
P15877	+	+	+	
P15993	+			
P16095	+	+	+	
P16926	+	+	+	
