Merge ID	Orbi detected	Non Orbi detected	# Identified	
	2428	3312	Novel: 223	
Q6BF86	0	0	0	LDRA_ECOLI
P37388	0	0	0	XYLG_ECOLI
P75616	0	1	1	YAAX_ECOLI
P64485	0	0	0	YEAQ_ECOLI
P00363	1	1	2	FRDA_ECOLI
P00393	1	1	2	DHNA_ECOLI
P00550	1	1	2	PTM3C_ECOLI
P00561	1	1	2	AK1H_ECOLI
P00803	1	1	2	LEP_ECOLI
P00804	1	0	1	LSPA_ECOLI
P00805	1	1	2	ASPG2_ECOLI
P00811	1	0	1	AMPC_ECOLI
P00904	0	1	1	TRPG_ECOLI
P02916	1	1	2	MALF_ECOLI
P02918	1	1	2	PBPA_ECOLI
P02920	0	1	1	LACY_ECOLI
P02924	0	1	1	ARAF_ECOLI
P02925	1	1	2	RBSB_ECOLI
P02930	1	1	2	TOLC_ECOLI
P02931	1	1	2	OMPF_ECOLI
P02932	1	1	2	PHOE_ECOLI
P02943	1	1	2	LAMB_ECOLI
P03959	0	0	0	ATKA_ECOLI
P03961	1	0	1	ATKC_ECOLI
P04816	0	1	1	LIVK_ECOLI
P04825	1	1	2	AMPN_ECOLI
P04968	1	1	2	THD1_ECOLI
P04983	1	1	2	RBSA_ECOLI
P05050	0	1	1	ALKB_ECOLI
P05458	1	1	2	PTRA_ECOLI
P05824	1	1	2	RECN_ECOLI
P06136	1	1	2	FTSQ_ECOLI
P06149	1	1	2	DLD_ECOLI
P06282	1	1	2	CDH_ECOLI
P06611	1	1	2	BTUD_ECOLI
P06616	1	1	2	ERA_ECOLI
P06709	1	1	2	BIRA_ECOLI
P07000	1	1	2	PLDB_ECOLI
P07001	1	1	2	PNTA_ECOLI
P07003	1	1	2	POXB_ECOLI
P07014	1	1	2	DHSB_ECOLI
P07021	1	1	2	YFIB_ECOLI
P07102	1	1	2	PPA_ECOLI
P07109	1	1	2	HISP_ECOLI
P07650	1	1	2	TYPH_ECOLI
P07654	1	1	2	PSTA_ECOLI
P07821	1	1	2	FHUC_ECOLI
P07822	1	0	1	FHUD_ECOLI
