Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
#Proteins	630	2129	Novel: 1527
C6EED2_ECOBD	0	1	1	A
C6EAN9_ECOBD	0	0	0	A
C6EB56_ECOBD	1	1	2	A
C6EGL9_ECOBD	0	1	1	B
C6EGM0_ECOBD	0	0	0	B
C6EGL7_ECOBD	0	1	1	B
C6EGL8_ECOBD	0	0	0	B
C6EJ32_ECOBD	1	1	2	B
C6EI54_ECOBD	1	1	2	A
C6EER9_ECOBD	0	1	1	A
C6EFP5_ECOBD	0	1	1	A
C6EFP6_ECOBD	0	1	1	A
C6EFP4_ECOBD	0	1	1	A
C6EFP7_ECOBD	0	0	0	B
C6EJM3_ECOBD	0	0	0	B
C6EAA0_ECOBD	1	1	2	A
C6EGK4_ECOBD	1	1	2	A
C6ELD7_ECOBD	1	1	2	A
C6ELM9_ECOBD	0	0	0	A
C6EE08_ECOBD	1	1	2	A
C6EE07_ECOBD	0	0	0	A
C6EID7_ECOBD	0	1	1	E
C6ELF7_ECOBD	1	1	2	A
C6EFV8_ECOBD	0	1	1	A
C6EAT9_ECOBD	1	1	2	A
C6EHC0_ECOBD	0	1	1	F1
C6ELI0_ECOBD	0	1	1	A
C6EK24_ECOBD	0	0	0	A
C6EF99_ECOBD	0	1	1	A
C6EL01_ECOBD	1	1	2	E
C6EL02_ECOBD	1	1	2	B
C6EKP2_ECOBD	1	1	2	B
C6EGJ5_ECOBD	0	0	0	E
C6EGJ4_ECOBD	0	0	0	B
C6EL00_ECOBD	0	1	1	B
C6ED56_ECOBD	1	1	2	A
C6ED58_ECOBD	0	1	1	B
C6EI13_ECOBD	0	0	0	A
C6E9Y6_ECOBD	0	0	0	A
C6EDM4_ECOBD	1	1	2	A
C6EDA4_ECOBD	0	0	0	B
C6EE86_ECOBD	0	0	0	A
C6EGM8_ECOBD	0	0	0	A
C6EEN9_ECOBD	0	1	1	B
C6ED07_ECOBD	0	0	0	A
C6ED09_ECOBD	0	0	0	B
C6ED08_ECOBD	0	0	0	A
C6EHV9_ECOBD	0	1	1	A
C6ELK2_ECOBD	0	0	0	B
C6EC16_ECOBD	0	0	0	B
C6EFQ7_ECOBD	0	1	1	B
C6EKP4_ECOBD	0	0	0	A
C6EHS4_ECOBD	0	0	0	B
C6EKY8_ECOBD	0	0	0	A
C6EH84_ECOBD	0	0	0	B
C6ED05_ECOBD	0	1	1	A
C6EH96_ECOBD	0	1	1	A
C6EH89_ECOBD	0	0	0	A
C6EHK5_ECOBD	0	1	1	G
C6EK89_ECOBD	1	1	2	A
