Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
# Proteins =>	325	0	Novel: 0
C6EGL9_ECOBD	0	0	0	B
C6EGM0_ECOBD	0	0	0	B
C6EGL7_ECOBD	0	0	0	B
C6EGL8_ECOBD	0	0	0	B
C6EJ32_ECOBD	1	0	1	B
C6EFP7_ECOBD	0	0	0	B
C6EJM3_ECOBD	0	0	0	B
C6EID7_ECOBD	0	0	0	E
C6EHC0_ECOBD	0	0	0	F1
C6EL01_ECOBD	1	0	1	E
C6EL02_ECOBD	1	0	1	B
C6EKP2_ECOBD	1	0	1	B
C6EGJ5_ECOBD	0	0	0	E
C6EGJ4_ECOBD	0	0	0	B
C6EL00_ECOBD	0	0	0	B
C6ED58_ECOBD	0	0	0	B
C6EDA4_ECOBD	0	0	0	B
C6EEN9_ECOBD	0	0	0	B
C6ED09_ECOBD	0	0	0	B
C6ELK2_ECOBD	0	0	0	B
C6EC16_ECOBD	0	0	0	B
C6EFQ7_ECOBD	0	0	0	B
C6EHS4_ECOBD	0	0	0	B
C6EH84_ECOBD	0	0	0	B
C6EHK5_ECOBD	0	0	0	G
C6E9U8_ECOBD	1	0	1	G
C6EBG7_ECOBD	1	0	1	F1
C6E9Y7_ECOBD	0	0	0	B
C6EKV5_ECOBD	0	0	0	B
C6ED36_ECOBD	0	0	0	F1
C6ED35_ECOBD	0	0	0	G
C6ED37_ECOBD	0	0	0	B
C6EHQ7_ECOBD	0	0	0	B
C6EKR9_ECOBD	0	0	0	G
C6ECV9_ECOBD	0	0	0	G
C6EJ52_ECOBD	1	0	1	G
C6EIB4_ECOBD	0	0	0	I
C6ECX3_ECOBD	0	0	0	G
C6EAU6_ECOBD	1	0	1	B
C6EL33_ECOBD	0	0	0	B
C6ELL2_ECOBD	0	0	0	G
C6EI50_ECOBD	0	0	0	F1
C6EL12_ECOBD	0	0	0	B
C6EEA8_ECOBD	0	0	0	G
C6EER0_ECOBD	0	0	0	B
C6E9Y5_ECOBD	0	0	0	E
C6ED69_ECOBD	0	0	0	G
C6EHM9_ECOBD	0	0	0	B
C6EHN0_ECOBD	0	0	0	B
C6EIA6_ECOBD	0	0	0	B
C6EJ27_ECOBD	0	0	0	B
C6EBF9_ECOBD	0	0	0	G
C6EBG0_ECOBD	0	0	0	F1
C6EBT1_ECOBD	0	0	0	B
C6ELI8_ECOBD	0	0	0	B
C6EH17_ECOBD	1	0	1	B
C6EDP3_ECOBD	0	0	0	B
C6EIJ1_ECOBD	0	0	0	F1
C6EII6_ECOBD	0	0	0	B
C6ELE3_ECOBD	0	0	0	G
C6E9U6_ECOBD	1	0	1	B
C6E9U2_ECOBD	0	0	0	B
C6E9U1_ECOBD	0	0	0	B
C6E9U3_ECOBD	1	0	1	B
C6ELC4_ECOBD	0	0	0	B
C6ELJ7_ECOBD	0	0	0	B
C6EAU5_ECOBD	0	0	0	B
C6EEI2_ECOBD	0	0	0	B
C6EIB8_ECOBD	0	0	0	G
C6EIC1_ECOBD	0	0	0	G
C6EIC0_ECOBD	0	0	0	B
C6EIB7_ECOBD	1	0	1	F1
C6EIB9_ECOBD	1	0	1	B
C6EG14_ECOBD	0	0	0	G
C6EAP3_ECOBD	1	0	1	B
C6EIF4_ECOBD	0	0	0	G
C6EDQ1_ECOBD	0	0	0	G
C6EJN6_ECOBD	0	0	0	B
C6EJN7_ECOBD	0	0	0	B
C6EJN8_ECOBD	0	0	0	B
C6ECA6_ECOBD	1	0	1	B
C6E9X7_ECOBD	0	0	0	B
C6E9Y1_ECOBD	0	0	0	B
C6EG65_ECOBD	0	0	0	B
C6EG69_ECOBD	1	0	1	F1
C6EG71_ECOBD	1	0	1	F1
C6EG68_ECOBD	1	0	1	F1
C6EG72_ECOBD	0	0	0	F1
C6EG67_ECOBD	1	0	1	B
C6EG70_ECOBD	1	0	1	F1
C6EG66_ECOBD	1	0	1	B
C6EG64_ECOBD	0	0	0	B
C6EFA5_ECOBD	1	0	1	B
C6EAM7_ECOBD	0	0	0	B
C6EJ86_ECOBD	1	0	1	B
C6ED12_ECOBD	1	0	1	B
C6EEA9_ECOBD	0	0	0	G
C6EA15_ECOBD	0	0	0	B
C6EEF0_ECOBD	0	0	0	B
C6EEF1_ECOBD	1	0	1	B
C6EEF3_ECOBD	1	0	1	G
C6ELS0_ECOBD	0	0	0	F1
C6ELR7_ECOBD	0	0	0	B
C6EG83_ECOBD	0	0	0	H
C6EAH9_ECOBD	0	0	0	G
C6EGY0_ECOBD	0	0	0	G
C6EJ07_ECOBD	0	0	0	B
C6EDQ5_ECOBD	0	0	0	B
C6EE41_ECOBD	0	0	0	B
C6ECX4_ECOBD	1	0	1	I
C6EDM2_ECOBD	0	0	0	B
C6ELI3_ECOBD	0	0	0	B
C6ECG0_ECOBD	1	0	1	I
C6ECP6_ECOBD	0	0	0	B
C6ECP8_ECOBD	0	0	0	F1
C6EAC6_ECOBD	0	0	0	G
C6EEU4_ECOBD	0	0	0	B
C6EB94_ECOBD	0	0	0	B
C6EHF6_ECOBD	0	0	0	B
C6ECZ2_ECOBD	0	0	0	B
C6ECZ1_ECOBD	0	0	0	B
C6EB13_ECOBD	0	0	0	B
C6EG87_ECOBD	0	0	0	B
