Join Name	Arifuzzaman2006.txt	Baars2006.txt	Butland2005.txt	Cirulli2007.txt	Corbin2003.txt	Fountoulakis2003.txt	Gevaert2002.txt	Hemm2010.txt	Huang2006.txt	Iwasaki2009.txt	Iwasaki2010.txt	Jarchow2008.txt	Lasserre2006.txt	Lopez2005.txt	Marani2006.txt	Masuda2009.txt	Molloy1999.txt	Molloy2000.txt	Peng2010.txt	Price2010.txt	Qian2008.txt	Spelbrink2005.txt	Stenberg2005.txt	Taoka2004.txt	Vertommen2009.txt	Wagner2005.txt	Wagner2007.txt	Wagner2008.txt	Wickstrom2010.txt	Xia2008.txt	Yan2002.txt	Zhang2007.txt
P17583 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P75693 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77169 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76027 	+ 	+ 	+ 	 	 	 	+ 	 	 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	+ 	+ 	+ 	+ 	 	 	+ 	
P0ABZ6 	+ 	 	+ 	 	+ 	 	+ 	 	 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	+ 	+ 	 	
P02931 	+ 	+ 	 	 	+ 	+ 	+ 	 	+ 	+ 	+ 	+ 	 	+ 	 	+ 	 	+ 	 	 	+ 	+ 	+ 	+ 	+ 	+ 	+ 	+ 	 	+ 	+ 	+ 	
P0A9K3 	+ 	+ 	+ 	 	+ 	 	+ 	 	 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	+ 	+ 	+ 	+ 	 	 	 	
P0ADC1 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	
P23869 	+ 	 	+ 	 	+ 	 	+ 	 	 	 	 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P0AAR0 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76116 	+ 	 	+ 	 	+ 	 	 	 	 	 	 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	+ 	 	 	
P75884 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0A6G5 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P37610 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
