Merge ID	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	# Studies	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	P24182	
P24182	1															1	1															P24182	
P06959	1	1			1											3	1	1			1											P06959	
P25516	1						1									2	1						1									P25516	
P36683	1			1				1							1	4	1			1				1							1	P36683	
P19926	1						1			1	1					4	1						1			1	1					P19926	
P35340	1				1											2	1				1											P35340	
P25553	1									1					1	3	1									1					1	P25553	
P00805	1				1									1		3	1				1									1		P00805	
P11875	1															1	1															P11875	
P00963	1			1												2	1			1												P00963	
P00509	1				1											2	1				1											P00509	
P21889	1				1											2	1				1											P21889	
P18775	1															1	1															P18775	
P18776	1												1			2	1												1			P18776	
P46853	1															1	1															P46853	
P09832	1															1	1															P09832	
P36548	1															1	1															P36548	
P17445	1															1	1															P17445	
P33363	1									1						2	1									1						P33363	
P06129	1			1		1		1				1				5	1			1		1		1				1				P06129	
P00968	1															1	1															P00968	
P36659	1				1											2	1				1											P36659	
P17315	1							1				1				3	1							1				1				P17315	
P08331	1									1	1					3	1									1	1					P08331	
P24228	1															1	1															P24228	
P08506	1									1						2	1									1						P08506	
P39099	1						1								1	3	1						1								1	P39099	
P06149	1	1			1					1				1		5	1	1			1					1				1		P06149	
P08622	1						1									2	1						1									P08622	
P10384	1		1	1		1		1				1				6	1		1	1		1		1				1				P10384	
P13036	1			1				1		1	1	1			1	7	1			1				1		1	1	1			1	P13036	
P05825	1							1			1	1				4	1							1			1	1				P05825	
P06971	1							1				1				3	1							1				1				P06971	
P30130	1					1										2	1					1										P30130	
P45523	1								1		1					3	1								1		1					P45523	
P00363	1	1		1	1					1				1		6	1	1		1	1					1				1		P00363	
P14407	1				1											2	1				1											P14407	
P09147	1				1										1	3	1				1										1	P09147	
P27248	1				1					1						3	1				1					1						P27248	
P17169	1				1											2	1				1											P17169	
P10346	1		1							1						3	1		1							1						P10346	
P00962	1															1	1															P00962	
P13033	1															1	1															P13033	
P13035	1	1		1	1									1		5	1	1		1	1									1		P13035	
P09394	1				1					1						3	1				1					1						P09394	
P04805	1															1	1															P04805	
P00961	1				1											2	1				1											P00961	
P00350	1				1		1								1	4	1				1		1								1	P00350	
P06715	1				1											2	1				1											P06715	
P04425	1				1											2	1				1											P04425	
P04079	1				1											2	1				1											P04079	
P09127	1		1				1			1				1		5	1		1				1			1				1		P09127	
P25519	1														1	2	1														1	P25519	
P43329	1															1	1															P43329	
P16431	1															1	1															P16431	
P16433	1															1	1															P16433	
P08200	1						1	1		1					1	5	1						1	1		1					1	P08200	
P05793	1															1	1															P05793	
P31554	1		1	1			1	1				1				6	1		1	1			1	1				1				P31554	
P21179	1				1					1						3	1				1					1						P21179	
P13029	1				1										1	3	1				1										1	P13029	
P03023	1				1		1									3	1				1		1									P03023	
P00722	1						1									2	1						1									P00722	
P02943	1	1	1	1		1	1	1				1				8	1	1	1	1		1	1	1				1				P02943	
P52643	1				1											2	1				1											P52643	
P00490	1	1					1									3	1	1					1									P00490	
P25718	1						1			1						3	1						1			1						P25718	
P17117	1															1	1															P17117	
P33136	1							1								2	1							1								P33136	
P06720	1									1						2	1									1						P06720	
P00959	1				1											2	1				1											P00959	
P17952	1															1	1															P17952	
