Merge ID	TableS3_K12_ProteomeV13_BasicProteome_3900	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Pan2010	Thein2010	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	Manddalo2011	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Molloy1999 Duplicates	Molloy2000 Duplicates	Gevaert2002 Duplicates	Yan2002 Duplicates	Corbin2003 Duplicates	Fountoulakis2003 Duplicates	Taoka2004 Duplicates	Butland2005 Duplicates	Pan2010 Duplicates	Thein2010 Duplicates	Lopez2005 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Wagner2005 Duplicates	Arifuzzaman2006 Duplicates	Baars2006 Duplicates	Huang2006 Duplicates	Ji2006 Duplicates	Lasserre2006 Duplicates	Marani2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Zhang2007 Duplicates	Jarchow2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Qian2008 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Vertommen2009 Duplicates	Hemm2010 Duplicates	Iwasaki2010 Duplicates	Peng2010 Duplicates	Price2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	Mobole Element	Accession	
Q6BF86	1																																						1	1																																						B	LDRA_ECOLI	0		
P37388	1																																						1	1																																						F1	XYLG_ECOLI	0		
P68066	1			1		1		1	1			1								1							1		1	1			1						11	1			1		1		1	1			1								1							1		1	1			1						A	GRCA_ECOLI	0		
P0ACF4	1					1		1	1																				1	1			1						7	1					1		1	1																				1	1			1						A	DBHB_ECOLI	0		
P75616	1															1																							2	1															1																							G	YAAX_ECOLI	0		
P64485	1																																						1	1																																						B	YEAQ_ECOLI	0		
P00350	1			1		1	1	1			1	1				1				1			1						1	1			1			1		1	15	1			1		1	1	1			1	1				1				1			1						1	1			1			1		1	A	6PGD_ECOLI	0	P00350	
P00363	1			1		1	1	1	1	1	1	1	1		1		1	1	1	1				1		1			1	1			1	1	1			1	23	1			1		1	1	1	1	1	1	1	1		1		1	1	1	1				1		1			1	1			1	1	1			1	F1	FRDA_ECOLI	0	P00363	
P00370	1				1	1		1				1				1													1	1			1			1		1	11	1				1	1		1				1				1													1	1			1			1		1	A	DHE4_ECOLI	0	P00370	
P00393	1			1		1		1			1					1			1					1					1	1			1					1	12	1			1		1		1			1					1			1					1					1	1			1					1	F1	DHNA_ECOLI	0	P00393	
P00448	1					1		1				1																		1			1					1	7	1					1		1				1																		1			1					1	A	SODM_ECOLI	0	P00448	
P00452	1			1		1		1	1		1					1			1										1	1			1					1	12	1			1		1		1	1		1					1			1										1	1			1					1	A	RIR1_ECOLI	0	P00452	
P00490	1			1		1	1	1	1		1		1		1	1	1		1				1						1	1			1					1	17	1			1		1	1	1	1		1		1		1	1	1		1				1						1	1			1					1	A	PHSM_ECOLI	0	P00490	
P00509	1			1		1	1	1			1	1				1			1	1									1	1			1					1	14	1			1		1	1	1			1	1				1			1	1									1	1			1					1	A	AAT_ECOLI	0	P00509	
P00547	1				1	1						1				1																	1					1	7	1				1	1						1				1																	1					1	A	KHSE_ECOLI	0	P00547	
P00550	1			1		1		1	1		1	1	1		1		1		1				1	1		1			1	1			1			1		1	19	1			1		1		1	1		1	1	1		1		1		1				1	1		1			1	1			1			1		1	B	PTM3C_ECOLI	0	P00550	
P00561	1			1		1		1	1		1	1				1													1	1			1					1	12	1			1		1		1	1		1	1				1													1	1			1					1	F1	AK1H_ECOLI	0	P00561	
P00562	1					1					1					1													1	1			1					1	8	1					1					1					1													1	1			1					1	A	AK2H_ECOLI	0	P00562	
P00579	1			1		1		1	1		1					1													1	1			1					1	11	1			1		1		1	1		1					1													1	1			1					1	A	RPOD_ECOLI	0	P00579	
P00803	1							1			1				1		1		1				1	1		1			1	1			1				1	1	14	1							1			1				1		1		1				1	1		1			1	1			1				1	1	B	LEP_ECOLI	0	P00803	
P00804	1																												1									1	3	1																												1									1	B	LSPA_ECOLI	0	P00804	
P00805	1			1			1	1		1		1				1				1									1	1			1	1					12	1			1			1	1		1		1				1				1									1	1			1	1					G	ASPG2_ECOLI	0		
P00811	1																													1			1					1	4	1																													1			1					1	G	AMPC_ECOLI	0	P00811	
P00861	1					1			1																								1						4	1					1			1																								1						A	DCDA_ECOLI	0		
P00864	1			1		1		1			1	1			1	1	1		1				1						1	1			1			1		1	16	1			1		1		1			1	1			1	1	1		1				1						1	1			1			1		1	A	CAPP_ECOLI	0	P00864	
P00887	1					1		1			1																		1	1			1					1	8	1					1		1			1																		1	1			1					1	A	AROH_ECOLI	0	P00887	
P00888	1				1	1										1																	1					1	6	1				1	1										1																	1					1	A	AROF_ECOLI	0	P00888	
P00895	1					1										1								1									1						5	1					1										1								1									1						A	TRPE_ECOLI	0		
P00903	1										1																						1					1	4	1										1																						1					1	A	PABA_ECOLI	0	P00903	
P00904	1					1					1	1												1									1						6	1					1					1	1												1									1						F1	TRPG_ECOLI	0		
P00914	1								1							1																	1						4	1								1							1																	1						A	PHR_ECOLI	0		
P00934	1				1	1	1	1				1							1										1	1			1					1	11	1				1	1	1	1				1							1										1	1			1					1	A	THRC_ECOLI	0	P00934	
P00935	1					1													1														1					1	5	1					1													1														1					1	A	METB_ECOLI	0	P00935	
P00944	1					1		1	1							1													1				1					1	8	1					1		1	1							1													1				1					1	A	XYLA_ECOLI	0	P00944	
P00946	1			1		1		1	1																				1	1			1					1	9	1			1		1		1	1																				1	1			1					1	A	MANA_ECOLI	0	P00946	
P00954	1			1	1	1	1	1	1			1			1	1	1						1						1	1			1					1	16	1			1	1	1	1	1	1			1			1	1	1						1						1	1			1					1	A	SYW_ECOLI	0	P00954	
P00956	1			1		1		1	1		1					1													1	1			1					1	11	1			1		1		1	1		1					1													1	1			1					1	A	SYI_ECOLI	0	P00956	
P00959	1			1		1	1	1				1				1				1									1	1			1					1	12	1			1		1	1	1				1				1				1									1	1			1					1	A	SYM_ECOLI	0	P00959	
P00961	1			1		1	1	1	1		1	1				1			1	1									1	1			1					1	15	1			1		1	1	1	1		1	1				1			1	1									1	1			1					1	A	SYGB_ECOLI	0	P00961	
P00962	1			1	1	1	1	1	1			1				1													1	1			1					1	13	1			1	1	1	1	1	1			1				1													1	1			1					1	A	SYQ_ECOLI	0	P00962	
P00963	1			1	1	1	1	1			1	1				1		1	1										1	1			1					1	15	1			1	1	1	1	1			1	1				1		1	1										1	1			1					1	A	ASNA_ECOLI	0	P00963	
P00968	1			1		1	1	1	1		1	1				1			1										1	1			1					1	14	1			1		1	1	1	1		1	1				1			1										1	1			1					1	A	CARB_ECOLI	0	P00968	
P02358	1			1	1	1		1	1		1	1				1										1			1	1			1			1		1	15	1			1	1	1		1	1		1	1				1										1			1	1			1			1		1	A	RS6_ECOLI	0	P02358	
P02359	1					1	1	1	1		1					1		1	1	1									1	1			1					1	14	1					1	1	1	1		1					1		1	1	1									1	1			1					1	A	RS7_ECOLI	0	P02359	
P02413	1			1		1		1	1		1	1	1			1			1			1							1	1			1					1	15	1			1		1		1	1		1	1	1			1			1			1							1	1			1					1	A	RL15_ECOLI	0	P02413	
P02916	1										1					1			1							1			1	1			1						8	1										1					1			1							1			1	1			1						B	MALF_ECOLI	0		
P02918	1			1		1		1			1	1	1			1			1										1	1			1					1	13	1			1		1		1			1	1	1			1			1										1	1			1					1	B	PBPA_ECOLI	0	P02918	
P02920	1														1		1																						3	1														1		1																						B	LACY_ECOLI	0		
P02924	1			1				1				1				1										1							1						7	1			1				1				1				1										1							1						G	ARAF_ECOLI	0		
P02925	1	1		1	1	1	1	1	1			1			1	1	1			1			1		1	1	1	1	1	1			1					1	22	1	1		1	1	1	1	1	1			1			1	1	1			1			1		1	1	1	1	1	1			1					1	G	RBSB_ECOLI	0	P02925	
P02930	1		1	1	1	1	1	1			1	1	1	1	1		1	1	1				1	1	1		1		1	1	1		1				1	1	25	1		1	1	1	1	1	1			1	1	1	1	1		1	1	1				1	1	1		1		1	1	1		1				2	1	H	TOLC_ECOLI	0	P02930	
P02931	1		1	1	1	1	1	1			1	1	1	1	1	1	1	1	1				1	1	1	1	1	1	1	1	1		1				1	1	28	1		1	1	1	1	1	1			1	1	1	1	1	2	1	1	1				2	1	1	1	1	1	1	1	1		1				2	1	H	OMPF_ECOLI	0	P02931	
P02932	1								1		1					1			1										1	1									7	1								1		1					1			1										1	1									H	PHOE_ECOLI	0		
P02943	1		1			1	1	1			1	1	1	1	1		1	1	1			1	1		1				1	1	1		1				1		21	1		1			1	1	1			1	1	1	1	1		1	1	1			1	1		1				1	1	1		1				2		H	LAMB_ECOLI	0		
P03007	1								1							1													1	1			1					1	7	1								1							1													1	1			1					1	A	DPO3E_ECOLI	0	P03007	
P03018	1					1		1	1							1													1	1			1					1	9	1					1		1	1							1													1	1			1					1	A	UVRD_ECOLI	0	P03018	
P03024	1								1							1																	1					1	5	1								1							1																	1					1	A	GALR_ECOLI	0	P03024	
P03030	1								1							1																						1	4	1								1							1																						1	A	LYSR_ECOLI	0	P03030	
P03813	1								1																								1						3	1								1																								1						A	YGEA_ECOLI	0		
P03817	1					1		1																						1			1					1	6	1					1		1																						1			1					1	A	MIOC_ECOLI	0	P03817	
P03959	1																																						1	1																																						B	ATKA_ECOLI	0		
P03961	1																													1								1	3	1																													1								1	B	ATKC_ECOLI	0	P03961	
P04036	1			1	1	1		1			1					1				1									1	1			1					1	12	1			1	1	1		1			1					1				1									1	1			1					1	A	DAPB_ECOLI	0	P04036	
P04079	1			1		1	1	1			1					1				1									1	1			1					1	12	1			1		1	1	1			1					1				1									1	1			1					1	A	GUAA_ECOLI	0	P04079	
P04152	1															1																							2	1															1																							A	UMUC_ECOLI	0		
P04335	1			1		1		1								1													1	1			1					1	9	1			1		1		1								1													1	1			1					1	A	FRSA_ECOLI	0	P04335	
P04425	1			1		1	1	1				1				1				1									1	1			1					1	12	1			1		1	1	1				1				1				1									1	1			1					1	A	GSHB_ECOLI	0	P04425	
P04693	1			1		1	1	1				1				1			1										1	1			1					1	12	1			1		1	1	1				1				1			1										1	1			1					1	A	TYRB_ECOLI	0	P04693	
P04805	1			1		1	1	1	1		1	1				1			1										1	1			1					1	14	1			1		1	1	1	1		1	1				1			1										1	1			1					1	A	SYE_ECOLI	0	P04805	
P04816	1				1	1						1				1																	1						6	1				1	1						1				1																	1						G	LIVK_ECOLI	0		
P04825	1					1		1	1							1			1										1	1			1					1	10	1					1		1	1							1			1										1	1			1					1	F1	AMPN_ECOLI	0	P04825	
P04951	1					1		1	1							1														1			1					1	8	1					1		1	1							1														1			1					1	A	KDSB_ECOLI	0	P04951	
P04968	1					1		1	1							1																	1					1	7	1					1		1	1							1																	1					1	B	THD1_ECOLI	0	P04968	
P04983	1			1			1	1							1	1	1		1	1						1			1	1			1			1		1	15	1			1			1	1							1	1	1		1	1						1			1	1			1			1		1	F1	RBSA_ECOLI	0	P04983	
P04993	1								1							1														1			1					1	6	1								1							1														1			1					1	A	EX5A_ECOLI	0	P04993	
P04995	1			1				1	1																				1				1					1	7	1			1				1	1																				1				1					1	A	EX1_ECOLI	0	P04995	
P05020	1			1		1		1				1																		1			1					1	8	1			1		1		1				1																		1			1					1	A	PYRC_ECOLI	0	P05020	
P05042	1			1		1		1	1		1				1	1	1									1			1	1			1					1	14	1			1		1		1	1		1				1	1	1									1			1	1			1					1	A	FUMC_ECOLI	0	P05042	
P05050	1								1																								1						3	1								1																								1						B	ALKB_ECOLI	0		
P05055	1			1	1	1	1	1	1		1	1		1	1	1	1		1	1			1	1		1			1	1			1				1	1	23	1			1	1	1	1	1	1		1	1		1	1	1	1		1	1			2	1		1			1	1			1				1	1	A	PNP_ECOLI	0	P05055	
P05194	1					1		1				1				1																	1					1	7	1					1		1				1				1																	1					1	A	AROD_ECOLI	0	P05194	
