Merge ID	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	# Studies	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	
P76316	1	1	1			1	1		5	1	1	1			1	1		
P25714	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P00350	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P31119	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	
P00509	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0ABD5	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P24182	1	1	1		1	1	1	1	7	1	2	1		1	1	1	1	
P0A9Q5	1	1	1		1	1	1	1	7	1	2	1		1	1	1	1	
P0A9G6	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A6A3	1	1			1	1	1	1	6	1	1			1	1	1	1	
P25516	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P36683	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0AE06	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P31224	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	
P0ACS9	1		1				1		3	1		2				1		
P25437	1	1				1	1		4	1	1				1	1		
P0A9Q7	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P33234	1		1						2	1		1						
P37127	1		1		1				3	1		1		1				
P23872	1						1		2	1						1		
P42906	1		1						2	1		1						
P06720	1	1	1		1		1		5	1	1	1		1		1		
P19926	1	1			1	1	1		5	1	1			1	1	1		
P0AE08	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P33224	1	1	1		1	1	1		6	1	1	1		1	1	1		
P00561	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P08660	1					1	1		3	1					1	1		
P25553	1	1			1	1	1		5	1	1			1	1	1		
P0A991	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0A6B4	1		1			1	1		4	1		1			1	1		
P39265	1	1	1				1		4	1	1	1				1		
P68767	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P15034	1	1			1	1	1		5	1	1			1	1	1		
P25718	1				1		1		3	1				1		1		
P26612	1				1		1		3	1				1		1		
P0AE22	1	1	1			1	1		5	1	2	1			1	1		
P26459	1			1	1	1	1		5	1			1	1	1	1		
P02924	1	1	1				1		4	1	1	1				1		
P0A9Q1	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0AEC3	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
Q46807	1	1					1		3	1	1					1		
P0A6D3	1	1	1		1		1		5	1	1	1		1		1		
P07639	1	1			1	1	1		5	1	1			1	1	1		
P0A6D7	1	1	1			1	1		5	1	1	1			1	1		
P30859	1	1	1			1	1		5	1	1	1			1	1		
P00805	1	1	1		1	1	1		6	1	1	1		1	1	1		
P28249	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P00963	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0AC38	1	1			1	1	1	1	6	1	1			1	1	1	1	
P0A6E4	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
Q59385	1	1		1	1	1	1		6	1	1		1	1	1	1		
P0A951	1		1			1	1	1	5	1		1			1	1	1	
P0ABB8	1	1			1	1	1	1	6	1	1			1	1	1	1	
P0ABB0	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0ABB4	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0ABA4	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P0ABA6	1	1	1	1	1	1	1	1	8	1	1	1	2	1	1	1	1	
P37617	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P09053	1	1			1	1	1		5	1	1			1	1	1		
P0AEC5	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	
P0ABD3	1	1			1	1	1		5	1	1			1	1	1		
P00722	1	1	1		1				4	1	1	1		1				
Q46829	1	1	1		1	1	1		6	1	1	1		1	1	1		
P33363	1	1	1		1	1	1		6	1	1	1		1	1	1		
P06129	1	1		1	1	1	1		6	1	1		1	1	1	1		
P06610	1	1	1			1	1		5	1	1	1			1	1		
P31551	1		1						2	1		1						
P00864	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P00968	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P13029	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P36659	1	1			1	1	1		5	1	1			1	1	1		
P0ABF6	1	1				1	1		4	1	1				1	1		
P0A6F5	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P0ABH7	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P31660	1				1	1	1		4	1				1	1	1		
P0ABH9	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P63284	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A6G7	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A6H8	1			1	1	1	1	1	6	1			1	1	1	1	1	
P75960	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P0AE78	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0AE82	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0AE85	1		1				1		3	1		1				1		
P0AE88	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0ACJ8	1	1			1	1	1	1	6	1	1			1	1	1	1	
P77239	1		1	1				1	4	1		1	1				1	
P0ABJ9	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P0ABJ1	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P0ABI8	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A9D4	1	1			1	1	1		5	1	1			1	1	1		
P0AEA8	1	1					1		3	1	1					1		
P0ABK5	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P16703	1		1						2	1		1						
P22255	1	1	1				1		4	1	1	1				1		
P0A6J3	1				1	1	1		4	1				1	1	1		
P0ACN7	1		1				1		3	1		1				1		
P0AEB2	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P08506	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A6L2	1	1	1		1	1	1		6	1	1	1		1	1	1		
P04036	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P69908	1	1	1		1	1	1		6	1	1	1		1	1	1		
P69910	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0A9H3	1		1		1	1	1		5	1		1		1	1	1		
P24169	1		1				1		3	1		1				1		
P24171	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0AEE1	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P29680	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0A9P6	1	1	1	1		1	1	1	7	1	1	1	1		1	1	1	
P0C0V0	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P0A6K6	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P0A6L0	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0ABP8	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0ACK5	1		1			1	1		4	1		1			1	1		
P0AEE5	1	1	1		1	1	1		6	1	1	1		1	1	1		
P17445	1	1	1			1	1		5	1	1	1			1	1		
P0A9Q9	1	1		1		1	1		5	1	1		1		1	1		
P00393	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0AC13	1	1			1	1	1		5	1	1			1	1	1		
P0AC41	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P07014	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
Q46857	1	1			1	1	1	1	6	1	1			1	1	1	1	
P06149	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A9P0	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P56262	1	1	1				1		4	1	1	1				1		
P18775	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		
P0ACB0	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P08622	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A6Y8	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A988	1	1			1	1	1		5	1	1			1	1	1		
P06710	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0AEF4	1								1	1								
P77510	1		1		1				3	1		1		1				
P00582	1	1	1		1	1	1		6	1	1	1		1	1	1		
P23847	1	1	1		1	1	1		6	1	1	1		1	1	1		
P37313	1			1	1	1	1		5	1			1	1	1	1		
P0ABT2	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0AEG4	1	1	1			1	1		5	1	1	1			1	1		
P0AEG6	1	1	1			1	1		5	1	1	1			1	1		
P77202	1		1				1		3	1		1				1		
P77488	1	1			1	1	1	1	6	1	1			1	1	1	1	
P0A9B6	1	1				1	1		4	1	1				1	1		
P0A6M8	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0A6P1	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P0CE47	1	1		1	1	1	1	1	7	2	1		1	1	1	1	1	
P77257	1		1		1	1	1		5	1		1		1	1	1		
P27303	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	
P52599	1						1		2	1						1		
P0A6P5	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P0A6P7	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P0A6P9	1	1		1	1	1	1	1	7	1	1		1	1	1	1	1	
P0ADI4	1					1	1		3	1					1	1		
P39176	1	1			1	1	1		5	1	1			1	1	1		
P38134	1		1		1	1	1		5	1		1		1	1	1		
P76555	1		1				1		3	1		1				1		
P0ACZ4	1		1			1	1		4	1		1			1	1		
P04995	1	1			1		1		4	1	1			1		1		
P09030	1	1	1		1	1	1		6	1	1	1		1	1	1		
P07648	1		1		1		1		4	1		1		1		1		
P0A6Q3	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0A953	1	1			1	1	1	1	6	1	1			1	1	1	1	
P0AAI9	1	1	1		1	1	1		6	1	1	1		1	1	1		
P0AAI5	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P0AEK2	1			1	1	1	1	1	6	1			1	1	1	1	1	
P0A6R0	1	1			1	1	1	1	6	1	1			1	1	1	1	
P0AEK4	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P0A6Q6	1	1	1		1	1	1	1	7	1	1	1		1	1	1	1	
P21177	1	1	1		1	1	1		6	1	1	1		1	1	1		
P13669	1					1			2	1					1			
P0AAJ3	1	1	1		1	1	1		6	1	1	1		1	1	1		
