Join Name	DB_NoveV9	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Fountoulakis2003	Corbin2003	Taoka2004	Butland2005	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	No files found in	DB_NoveV9 Duplicates	Molloy1999 Duplicates	Molloy2000 Duplicates	Gevaert2002 Duplicates	Yan2002 Duplicates	Fountoulakis2003 Duplicates	Corbin2003 Duplicates	Taoka2004 Duplicates	Butland2005 Duplicates	Lopez2005 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Wagner2005 Duplicates	Arifuzzaman2006 Duplicates	Baars2006 Duplicates	Huang2006 Duplicates	Ji2006 Duplicates	Lasserre2006 Duplicates	Marani2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Zhang2007 Duplicates	Jarchow2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Qian2008 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Vertommen2009 Duplicates	Hemm2010 Duplicates	Iwasaki2010 Duplicates	Peng2010 Duplicates	Price2010 Duplicates	Wickstrom2010 Duplicates
P30852	1													1																					2	1													1																					SMF_ECOLI
P75936	1								1	1																									3	1								1	1																									FLGD_ECOLI
Q46817	1													1																					2	1													1																					YGFQ_ECOLI
P0CG19	1							1	1																			1							4	1							1	1																			1							RNPH_ECOLI
P0ADQ5	1							1						1																					3	1							1						1																					YIIE_ECOLI
P0AGC7	1													1													1	1			1				5	1													1													2	1			2				SMP_ECOLI
P42626	1																										1				1				3	1																										1				1				YHAM_ECOLI
P76147	1													1																					2	1													1																					YNEF_ECOLI
P39221	1																																		1	1																																		YABQ_ECOLI
P52048	1													1																					2	1													1																					YGGP_ECOLI
P21420	1						1									1				1								1	1						6	1						1									1				1								1	1						NMPC_ECOLI
P32051	1													1																					2	1													1																					YDEK_ECOLI
P33345	1																																		1	1																																		MOLR_ECOLI
P33924	1								1					1						1															4	1								1					1						1															YEJO_ECOLI
P37003	1																																		1	1																																		YBFG_ECOLI
P39309	1																																		1	1																																		YTFA_ECOLI
P39347	1													1																					2	1													1																					INTB_ECOLI
P39349	1																																		1	1																																		YJGX_ECOLI
P39391	1													1																					2	1													1																					YJIT_ECOLI
P39393	1													1																					2	1													1																					YJIV_ECOLI
P39874	1													1																					2	1													1																					YBEM_ECOLI
P45766	1												1		1							1													4	1												1		1							1													YHDW_ECOLI
P64526	1																																		1	1																																		YEEW_ECOLI
P75901	1																																		1	1																																		EFEU_ECOLI
P75978	1								1																										2	1								1																										YMFN_ECOLI
P76066	1													1																					2	1													1																					YDAW_ECOLI
P76119	1								1					1																					3	1								1					1																					YNCI_ECOLI
P76205	1													1													1				1				4	1													1													1				1				ARPB_ECOLI
P77184	1								1																										2	1								1																										LOMR_ECOLI
P77199	1													1																					2	1													1																					YAIT_ECOLI
Q46786	1																																		1	1																																		YGEF_ECOLI
Q46791	1													1																					2	1													1																					YGEK_ECOLI
Q46833	1								1					1																					3	1								1					1																					YGHE_ECOLI
Q46840	1								1																										2	1								1																										YGHO_ECOLI
A5A625	1																																		1	1																																		YIBV_ECOLI
P0AD35	1													1																					2	1													1																					YFDO_ECOLI
P0CD93	1																																		1	1																																		YMJD_ECOLI
P24211	1								1					1																					3	1								1					1																					RHSE_ECOLI
P28369	1			1										1																					3	1			1										1																					RFH_ECOLI
P30192	1																																		1	1																																		YCHG_ECOLI
P31061	1								1					1																					3	1								1					1																					NOHA_ECOLI
P31450	1								1					1																					3	1								1					1																					GLVG_ECOLI
P31452	1																																		1	1																																		PTXC_ECOLI
P32109	1													1																					2	1													1																					YIBJ_ECOLI
P32690	1													1																					2	1													1																					YJBI_ECOLI
P33227	1																																		1	1																																		STFE_ECOLI
P33353	1								1					1																					3	1								1					1																					YEHQ_ECOLI
P33669	1																																		1	1																																		YBBD_ECOLI
P36943	1													1													1				1				4	1													1													1				1				EAEH_ECOLI
P37635	1																																		1	1																																		YHIS_ECOLI
P37655	1								1					1																					3	1								1					1																					YHJQ_ECOLI
P39220	1																																		1	1																																		YABP_ECOLI
P39354	1																																		1	1																																		YJHD_ECOLI
P39355	1																																		1	1																																		YJHE_ECOLI
P39369	1													1																					2	1													1																					YJHR_ECOLI
P39387	1													1																					2	1													1																					YJIP_ECOLI
P39901	1																																		1	1																																		YBFI_ECOLI
P42906	1			1										1																					3	1			1										1																					AGAA_ECOLI
P45421	1																																		1	1																																		YHCE_ECOLI
P45505	1																																		1	1																																		YFAH_ECOLI
P46856	1													1																					2	1													1																					YRHA_ECOLI
P0CF86	1													1																					2	1													1																					YFJU_ECOLI
P52137	1								1																										2	1								1																										YFJV_ECOLI
P56259	1																																		1	1																																		YIFN_ECOLI
P58095	1																																		1	1																																		YPJI_ECOLI
P64562	1													1																					2	1													1																					YQFE_ECOLI
P75675	1																																		1	1																																		YKFJ_ECOLI
P75681	1																																		1	1																																		FBPB_ECOLI
P75684	1													1																					2	1													1																					YAGP_ECOLI
P75697	1								1					1																					3	1								2					1																					YAIX_ECOLI
P75704	1																																		1	1																																		YKIA_ECOLI
P75717	1													1																					2	1													1																					YBCC_ECOLI
P75718	1																																		1	1																																		REND_ECOLI
Q7DFV4	1													1																					2	1													1																					YMDE_ECOLI
P75980	1																																		1	1																																		YMFO_ECOLI
P75981	1						1																												2	1						1																												YMFP_ECOLI
P76000	1																																		1	1																																		YCGI_ECOLI
P76069	1								1																										2	1								1																										YDAY_ECOLI
P76137	1																																		1	1																																		YDET_ECOLI
P76138	1																																		1	1																																		YNEL_ECOLI
P76164	1																																		1	1																																		YDFW_ECOLI
P76165	1													1																					2	1													1																					YDFX_ECOLI
P76321	1						1																												2	1						1																												YEDN_ECOLI
P76323	1																																		1	1																																		INTG_ECOLI
P76335	1													1													1				1				4	1													1													1				1				YEDS_ECOLI
P76349	1																					1													2	1																					1													YEEL_ECOLI
P76356	1																																		1	1																																		YOEA_ECOLI
P76359	1																																		1	1																																		YEEP_ECOLI
P76508	1													1																					2	1													1																					YFDL_ECOLI
P76509	1																																		1	1																																		YFDM_ECOLI
P76611	1																																		1	1																																		PINH_ECOLI
P76616	1													1																					2	1													1																					YGAQ_ECOLI
P76628	1																																		1	1																																		YGAY_ECOLI
P76692	1																																		1	1																																		YZGL_ECOLI
P77087	1																																		1	1																																		YLCE_ECOLI
P77169	1								1					1																					3	1								1					1																					YAGJ_ECOLI
P77228	1			1					1																										3	1			1					1																										YDFJ_ECOLI
P77326	1																																		1	1																																		TFAS_ECOLI
P77354	1																																		1	1																																		YAFU_ECOLI
P77460	1																																		1	1																																		YBCY_ECOLI
P77481	1													1													1				1				4	1													1													1				1				YCJV_ECOLI
P77528	1																																		1	1																																		YBCD_ECOLI
P77551	1																																		1	1																																		RZPR_ECOLI
P77601	1													1																					2	1													1																					YKGA_ECOLI
P77688	1																																		1	1																																		YLBG_ECOLI
P77699	1													1																					2	1													1																					TFAD_ECOLI
P77759	1								1					1														1							4	1								1					1														1							YLBH_ECOLI
P77779	1								1					1																					3	1								1					1																					YBFO_ECOLI
Q2EEP9	1													1																					2	1													1																					YAFF_ECOLI
Q2EER5	1																																		1	1																																		YMJC_ECOLI
Q2EES3	1																																		1	1																																		YOEF_ECOLI
Q2EET0	1																																		1	1																																		YPDJ_ECOLI
Q46790	1													1																					2	1													1																					PBL_ECOLI
Q46793	1																																		1	1																																		YGEN_ECOLI
Q46795	1																																		1	1																																		YGEO_ECOLI
Q46797	1								1					1																					3	1								1					1																					YGEQ_ECOLI
Q47153	1								1																										2	1								1																										FHIA_ECOLI
Q47154	1													1																					2	1													1																					MBHA_ECOLI
Q47688	1													1																					2	1													1																					YKFC_ECOLI
Q47719	1																										1				1				3	1																										1				1				Y4286_ECOLI
Q79E92	1													1																					2	1													1																					YKGN_ECOLI
Q7DFU6	1																																		1	1																																		YGHX_ECOLI
P75680	1													1																					2	1													1																					INSO1_ECOLI
Q47718	1								1																										2	1								1																										INSO2_ECOLI
P28697	1													1																					2	1													1																					HTGA_ECOLI
P0CF60	1			1																															2	1			1																															INSD8_ECOLI
P0ADF0	1																																		1	1																																		LPFS_ECOLI
P0ADF3	1																										1				1				3	1																										1				1				LPRH_ECOLI
P13960	1																																		1	1																																		REA1_ECOLI
A5A627	1																																		1	1																																		TISB_ECOLI
P75971	1																																		1	1																																		Y1142_ECOLI
P11291	1																																		1	1																																		Y3808_ECOLI
Q2EEQ3	1																																		1	1																																		YAHH_ECOLI
Q2EEQ8	1																																		1	1																																		YBFQ_ECOLI
Q79CP2	1																																		1	1																																		YGIA_ECOLI
Q9Z3A0	1													1																					2	1													1																					YJGW_ECOLI
P46879	1																																		1	1																																		YQGD_ECOLI
P36930	1																																		1	1																																		GATR_ECOLI
P37008	1																																		1	1																																		YAGB_ECOLI
P28916	1													1																					2	1													1																					YBFD_ECOLI
P37309	1													1													1				1				4	1													1													1				1				ARSR_ECOLI
P69789	1																																		1	1																																		PTXB_ECOLI
P76362	1																																		1	1																																		YEES_ECOLI
Q46911	1																																		1	1																																		YGCU_ECOLI
P27840	1													1																					2	1													1																					YIGE_ECOLI
P45541	1							1						1													1				1				5	1							1						1													1				1				FRLC_ECOLI
P64570	1													1																					2	1													1																					YQGC_ECOLI
P76612	1																																		1	1																																		YPJB_ECOLI
Q9JMS2	1																																		1	1																																		YUAS_ECOLI
Q9JMT2	1																																		1	1																																		YUAG_ECOLI
P05052	1													1																					2	1													1																					APPY_ECOLI
P06960	1						1							1																					3	1						1							1																					OTC2_ECOLI
P06966	1							1																											2	1							1																											DICA_ECOLI
P09557	1													1																					2	1													1																					DICB_ECOLI
P06965	1							1						1																					3	1							1						1																					DICC_ECOLI
P24218	1													1													1				1				4	1													1													1				1				INTD_ECOLI
P11072	1																																		1	1																																		LIT_ECOLI
P24200	1																																		1	1																																		MCRA_ECOLI
P23895	1																																		1	1																																		EMRE_ECOLI
P09169	1		1	1	1	1	1	1		1						1	1					1					1	1	1		1			1	16	1		1	1	1	1	1	1		1						1	1					1					2	1	1		2			1	OMPT_ECOLI
P03014	1													1													1				1				4	1													1													1				1				PINE_ECOLI
P15033	1													1													1				1				4	1													1													1				1				RACC_ECOLI
P15032	1								1																										2	1								1																										RECE_ECOLI
P0C079	1							1																											2	1							1																											RELB_ECOLI
P23849	1																										1				1				3	1																										1				1				TRKG_ECOLI
P09153	1			1																															2	1			1																															TFAE_ECOLI
P07010	1													1																					2	1													1																					REM_ECOLI
P0ACG6	1																																		1	1																																		HOKD_ECOLI
P0C077	1								1					1																					3	1								1					1																					RELE_ECOLI
P0ACW8	1																																		1	1																																		YDFA_ECOLI
P29009	1																													1					2	1																													1					YDFB_ECOLI
P21418	1																																		1	1																																		YDFC_ECOLI
P29010	1																																		1	1																																		YDFD_ECOLI
P31062	1													1																					2	1													1																					NOHB_ECOLI
P32053	1						1	1	1					1																					5	1						1	1	1					1																					INTA_ECOLI
P33228	1													1																					2	1													1																					RECT_ECOLI
P33229	1													1																					2	1													1																					LAR_ECOLI
P33230	1								1					1																					3	1								1					1																					YDAC_ECOLI
P33997	1													1																					2	1													1																					ALPA_ECOLI
P38392	1																																		1	1																																		SIEB_ECOLI
P38393	1													1																					2	1													1																					KIL_ECOLI
P38394	1													1																					2	1													1																					YDAE_ECOLI
P0ACW0	1																																		1	1																																		YDAF_ECOLI
P76061	1																													1					2	1																													1					YDAG_ECOLI
P36995	1								1					1																					3	1								1					1																					CSPB_ECOLI
P0A976	1																																		1	1																																		CSPF_ECOLI
P37007	1			1					1					1								1													5	1			1					1					1								1													YAGA_ECOLI
P37009	1								1																										2	1								1																										FBPC_ECOLI
P75969	1								1					1																					3	1								1					1																					INTE_ECOLI
P37326	1								1					1													1				1				5	1								1					1													1				1				INTS_ECOLI
P37057	1													1																					2	1													1																					OGRK_ECOLI
P39180	1		1				1			1				1			1			1							1	1			1				10	1		2				1			1				1			1			1							2	1			2				AG43_ECOLI
P45581	1																																		1	1																																		YCFK_ECOLI
P76510	1																											1							2	1																											1							YFDN_ECOLI
P52123	1																																		1	1																																		YFJH_ECOLI
P52124	1							1						1																					3	1							1						1																					YFJI_ECOLI
P52125	1													1																					2	1													1																					YFJJ_ECOLI
P52126	1								1					1													1				1				5	1								1					1													1				1				YFJK_ECOLI
P52127	1													1																					2	1													1																					YFJL_ECOLI
P52128	1													1																					2	1													1																					YFJM_ECOLI
P52129	1								1																										2	1								1																										YFJN_ECOLI
P52130	1													1																					2	1													1																					YFJO_ECOLI
P52131	1													1														1							3	1													1														1							YFJP_ECOLI
P52132	1													1																					2	1													1																					YFJQ_ECOLI
P52133	1																										1				1				3	1																										1				1				YFJR_ECOLI
O52982	1																																		1	1																																		YFJS_ECOLI
P52135	1																																		1	1																																		YFJT_ECOLI
P52138	1								1											1															3	1								1											1															YFJW_ECOLI
P52139	1																																		1	1																																		YFJX_ECOLI
P52140	1																																		1	1																																		YFJY_ECOLI
P52141	1																																		1	1																																		YFJZ_ECOLI
Q47684	1													1																					2	1													1																					YAFW_ECOLI
P75676	1																																		1	1																																		YAFX_ECOLI
P77365	1													1																					2	1													1																					YAFY_ECOLI
P77206	1													1																					2	1													1																					YAFZ_ECOLI
P75678	1													1													1				1				4	1													2													1				1				YKFA_ECOLI
Q57083	1								1					1																					3	1								1					1																					PERR_ECOLI
Q47689	1																																		1	1																																		MMUP_ECOLI
Q47690	1																																		1	1																																		MMUM_ECOLI
P75682	1																																		1	1																																		YAGE_ECOLI
P77596	1																																		1	1																																		YAGF_ECOLI
P75683	1								1																			1							3	1								1																			1							YAGG_ECOLI
P77713	1													1																					2	1													1																					YAGH_ECOLI
P77300	1							1																											2	1							1																											YAGI_ECOLI
P76056	1													1																					2	1													1																					INTR_ECOLI
P76057	1																																		1	1																																		YDAQ_ECOLI
P76062	1													1																					2	1													1																					RACR_ECOLI
P76063	1													1																					2	1													1																					YDAS_ECOLI
P76064	1								1																										2	1								1																										YDAT_ECOLI
P76065	1																																		1	1																																		YDAU_ECOLI
P77546	1																																		1	1																																		YDAV_ECOLI
P76072	1								1					1			1											1							5	1								1					1			1											1							STFR_ECOLI
P77163	1																																		1	1																																		TFAR_ECOLI
P0ADI0	1								1					1																					3	1								1					1																					PINR_ECOLI
P76073	1													1																					2	1													1																					YNAE_ECOLI
P76361	1																			1															2	1																			1															YEER_ECOLI
P64521	1													1																					2	1													1																					YEET_ECOLI
P76364	1																																		1	1																																		YEEU_ECOLI
P64524	1																																		1	1																																		YEEV_ECOLI
P77609	1								1					1																					3	1								1					1																					FLXA_ECOLI
P75967	1													1																					2	1													1																					YMFD_ECOLI
P75968	1													1													1				1				4	1													1													2				2				YMFE_ECOLI
P77162	1																																		1	1																																		YKFB_ECOLI
P77657	1																																		1	1																																		YAGK_ECOLI
P77607	1																																		1	1																																		YAGL_ECOLI
P71296	1													1																					2	1													1																					YAGM_ECOLI
P71297	1													1																					2	1													1																					YAGN_ECOLI
P71298	1													1																					2	1													1																					INTF_ECOLI
P77698	1													1																					2	1													1																					YBCK_ECOLI
P77368	1																																		1	1																																		YBCL_ECOLI
P77634	1							1																											2	1							1																											YBCM_ECOLI
Q47269	1																																		1	1																																		YBCN_ECOLI
P68661	1																																		1	1																																		YBCO_ECOLI
Q47274	1													1																					2	1													1																					REQ1_ECOLI
P0A9R2	1																																		1	1																																		ESSD_ECOLI
P78285	1													1																					2	1													1																					LYSD_ECOLI
P75719	1																																		1	1																																		RZPD_ECOLI
P77330	1						1										1					1					1	1			1				7	1						1										1					1					2	1			2				BORD_ECOLI
P77598	1													1																					2	1													1																					YBCV_ECOLI
P64435	1													1																					2	1													1																					YBCW_ECOLI
P76154	1													1																					2	1													1																					YDFK_ECOLI
P77170	1													1																					2	1													1																					PINQ_ECOLI
P76155	1																																		1	1																																		TFAQ_ECOLI
P77515	1																																		1	1																																		STFQ_ECOLI
P76156	1													1																					2	1													1																					YDFO_ECOLI
P76158	1																																		1	1																																		RZPQ_ECOLI
P76159	1													1																					2	1													1																					LYSQ_ECOLI
P76160	1								1					1																					3	1								1					1																					YDFR_ECOLI
P77237	1													1																					2	1													1																					ESSQ_ECOLI
P76161	1								1					1													1				1				5	1								1					1													2				2				REQ2_ECOLI
P76162	1													1																					2	1													1																					YDFU_ECOLI
P76163	1													1																					2	1													1																					YDFV_ECOLI
P77695	1			1			1	1						1														1							6	1			1			1	1						1														1							GNSB_ECOLI
P0A986	1								1					1																					3	1								1					1																					CSPI_ECOLI
P77682	1																																		1	1																																		GTRA_ECOLI
P77293	1							1	1								1					1					1	1			1		1		9	1							1	1								1					1					2	1			2		1		GTRB_ECOLI
P76507	1							1																			1	1			1				5	1							1																			2	1			2				YFDI_ECOLI
P77656	1																																		1	1																																		YFDK_ECOLI
P76512	1													1																					2	1													1																					YFDP_ECOLI
P76513	1													1																					2	1													1																					YFDQ_ECOLI
P76514	1																																		1	1																																		YFDR_ECOLI
P76515	1													1																					2	1													1																					YFDS_ECOLI
P76516	1																																		1	1																																		YFDT_ECOLI
P76542	1																																		1	1																																		INTZ_ECOLI
P76543	1								1																										2	1								1																										YFFL_ECOLI
P76544	1																																		1	1																																		YFFM_ECOLI
P76545	1																																		1	1																																		YFFN_ECOLI
P76546	1																					1													2	1																					1													YFFO_ECOLI
P76547	1																																		1	1																																		YFFP_ECOLI
P76548	1																																		1	1																																		YFFQ_ECOLI
P76549	1																1					1													3	1																1					1													YFFR_ECOLI
P76550	1						1																												2	1						1																												YFFS_ECOLI
P75970	1													1																					2	1													1																					VXIS_ECOLI
P75972	1													1																					2	1													1																					YMFI_ECOLI
P75973	1													1								1					1				1				5	1													1								1					1				1				YMFJ_ECOLI
P75974	1																																		1	1																																		YMFK_ECOLI
P75976	1																																		1	1																																		YMFL_ECOLI
P75977	1													1																					2	1													1																					YMFM_ECOLI
P75982	1																																		1	1																																		YMFQ_ECOLI
P75677	1																																		1	1																																		YKFF_ECOLI
Q46953	1																																		1	1																																		YPJF_ECOLI
Q47270	1													1																					2	1													1																					NINE_ECOLI
P76068	1																																		1	1																																		YNAK_ECOLI
P58033	1																																		1	1																																		YPJJ_ECOLI
Q47685	1													1																					2	1													1																					YKFG_ECOLI
Q9XB42	1																																		1	1																																		YKFH_ECOLI
P77692	1													1																					2	1													1																					YKFI_ECOLI
P75979	1																																		1	1																																		YMFR_ECOLI
P09154	1													1																					2	1													1																					YMFS_ECOLI
Q47272	1			1																							1			1	1				5	1			1																							2			1	2				YLCG_ECOLI
Q47268	1																													1					2	1																													1					YLCH_ECOLI
P52134	1																																		1	1																																		YPJK_ECOLI
P58041	1																																		1	1																																		RZOD_ECOLI
P58042	1																																		1	1																																		RZOR_ECOLI
P76157	1																																		1	1																																		YNFN_ECOLI
Q2EES9	1																																		1	1																																		TORI_ECOLI
P75975	1																																		1	1																																		YMFT_ECOLI
Q2EES0	1																																		1	1																																		YNFO_ECOLI
P0AG74	1				1									1																					3	1				1									1																					RUSA_ECOLI
P0CE57	1							1																											2	1							1																											INH10_ECOLI
P0CE58	1							1																											2	1							1																											INH11_ECOLI
P0CF40	1													1																					2	1													1																					INSC1_ECOLI
P0CF41	1																																		1	1																																		INSC2_ECOLI
P0CF42	1																																		1	1																																		INSC3_ECOLI
P0CF43	1																																		1	1																																		INSC4_ECOLI
P0CF44	1																																		1	1																																		INSC5_ECOLI
P0CF45	1																																		1	1																																		INSC6_ECOLI
P0CF46	1																																		1	1																																		INSC7_ECOLI
P0CF53	1			1										1																					3	1			1										1																					INSD1_ECOLI
P0CF54	1			1																															2	1			1																															INSD2_ECOLI
P0CF55	1			1																															2	1			1																															INSD3_ECOLI
P0CF56	1			1																															2	1			1																															INSD4_ECOLI
P0CF57	1			1																															2	1			1																															INSD5_ECOLI
P0CF58	1			1																															2	1			1																															INSD6_ECOLI
P0CF59	1			1				1																											3	1			1				1																											INSD7_ECOLI
P0CF66	1			1																															2	1			1																															INSE1_ECOLI
P0CF67	1			1																															2	1			1																															INSE2_ECOLI
P0CF68	1			1																															2	1			1																															INSE3_ECOLI
P0CF69	1			1																															2	1			1																															INSE4_ECOLI
