Merge ID	Gevaert2002	Corbin2003	Taoka2004	Butland2005	Lopez2005	Arifuzzaman2006	Ji2006	Zhang2007	Ishihama2008_fin	Iwasaki2009	Masuda2009_fin2	Iwasaki2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P76316	Q9S4X5	P00350	P31119	P60560	P17583	P0A6H8	P45763	emPAI	emPAI-derived copy no/cell (see Figure 2)	C1P619	emPAI Value	Copy number per cell	P00350	Accession
# Proteins =>	830	1103	1403	1282	559	1866	612	414	1057	1586	1216	2470	2163	Novel: 545
# Proteins =>	287	387	459	463	223	688	382	342	336	805	387	958	902	Novel: 288
Merge ID	Gevaert2002	Corbin2003	Taoka2004	Butland2005	Lopez2005	Arifuzzaman2006	Ji2006	Zhang2007	Ishihama2008_fin	Iwasaki2009	Masuda2009_fin2	Iwasaki2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P76316	Q9S4X5	P00350	P31119	P60560	P17583	P0A6H8	P45763	emPAI	emPAI-derived copy no/cell (see Figure 2)	C1P619	emPAI Value	Copy number per cell	P00350	Accession
P03835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	INSG_ECOLI	C6EC80_ECOBD															
P39180	0	1	0	0	1	1	1	0	0	1	0	1	0	6	H	AG43_ECOLI	C6EDI7_ECOBD		P39180			P39180	P39180	P39180				P39180			P39180	
P77330	0	1	0	0	0	0	1	1	0	1	1	0	1	6	I	BORD_ECOLI	C6EJF8_ECOBD		P77330					P77330	P77330			P77330	1.68	78		P77330
P23895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	EMRE_ECOLI	C6EKS5_ECOBD															
P0A9R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	ESSD_ECOLI	C6EFM7_ECOBD															
P0ACG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G	HOKD_ECOLI	C6EDS9_ECOBD															
P38392	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	SIEB_ECOLI	C6EFN0_ECOBD															P38392
P23849	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B	TRKG_ECOLI	C6EFM2_ECOBD											P23849				
P77368	0	0	0	0	0	0	0	0	0	0	0	1	1	2	G	YBCL_ECOLI	C6EKE8_ECOBD														P77368	P77368
