1,72 | 1,81 | 2,21	0,07 | 0,14 | 0,5	 | 2,21 | 	2,32 | 0,44 | 1,54	0,31 |  | 0,59
3,62 | 2,29 | 4,97	0,09 |  | 0,18	3,54 |  | 5,92	2,29 | 6,08 | 4,97	2,38 |  | 2,82
1,64 | 2,65 | 2,65	0,12 |  | 	3,29 | 6,55 | 2,36	2,65 | 2,95 | 1,86	1,64 | 2,95 | 2,36
3,09 | 67,19 | 22,73	0,2 |  | 	46,96 | 4,81 | 15,69	1,87 | 136,83 | 22,73	10,74 | 15,69 | 7,26
2,88 | 5,23 | 4,82	 | 0,09 | 0,3	0,31 | 3,15 | 0,4	3,44 | 0,72 | 2,62	0,61 | 0,15 | 0,50
0,78 | 1,78 | 1,78	0,09 |  | 	3,08 | 1,45 | 1,96	1,30 | 3,08 | 1,30	2,59 | 1,02 | 3,94
0,81 | 0,71 | 0,71	 |  | 0,48	1,44 | 0,71 | 0,81	0,92 | 1,04 | 0,61	0,27 | 0,27 | 0,43
6,02 | 14,32 | 7,54	 | 0,07 | 0,03	 | 7,54 | 0,48	2,22 | 1,18 | 3,76	 |  | 0,22
0,44 | 1,03 | 0,44	 | 0,14 | 0,07	 | 0,24 | 0,04	 | 0,19 | 0,57	 |  | 0,11
0,43 | 0,77 | 0,71	 |  | 0,15	0,2 | 0,43 | 1,63	0,38 | 1,28 | 0,38	1,20 | 0,77 | 
1,39 | 4,70 | 2,38	 |  | 0,04	 | 1,84 | 	 |  | 1,01	0,19 | 0,19 | 0,42
3,37 | 2,18 | 4,99	 |  | 0,07	1,58 | 4,39 | 1,32	1,32 |  | 1,58	 | 0,52 | 
3,35 | 4,12 | 4,12	 | 0,28 | 	 | 5,03 | 0,63	3,35 | 0,39 | 2,70	0,18 |  | 
0,39 | 0,94 | 0,39	 | 0,03 | 	 | 0,36 | 	 | 0,06 | 0,20	 |  | 0,02
1,41 | 3,88 | 3,09	 | 0,42 | 	 | 1,03 | 	 | 0,70 | 1,43	0,19 | 0,70 | 
1,80 | 2,44 | 3,23	 | 0,47 | 0,47	 | 2,41 | 0,51	0,51 |  | 1,80	0,23 |  | 
1,07 | 1,63 | 1,33	 | 0,12 | 	1,33 | 2,78 | 0,83	1,33 |  | 1,07	 | 0,14 | 
1,72 | 2,33 | 0,82	 |  | 0,07	1,23 | 2,33 | 0,49	0,82 | 0,22 | 0,82	0,22 | 1,23 | 
0,28 | 0,77 | 0,77	 |  | 0,19	0,04 | 0,53 | 1,61	0,33 | 2,47 | 0,38	1,70 | 0,64 | 3,00
0,94 | 0,65 | 0,94	 |  | 0,16	3,46 | 1,3 | 0,65	0,65 | 1,30 | 0,94	2,20 | 1,71 | 0,94
0,48 | 0,60 | 0,80	 |  | 0,12	 | 0,48 | 0,42	0,42 | 0,66 | 0,37	0,60 | 0,73 | 0,54
5,40 | 3,02 | 5,40	 |  | 0,12	1,01 | 1,53 | 1,53	2,19 |  | 2,19	0,59 | 0,26 | 
0,49 | 1,90 | 1,90	 | 0,11 | 0,19	0,49 | 1,9 | 0,7	1,54 | 0,49 | 1,54	 |  | 0,14
5,30 | 4,13 | 4,13	 |  | 0,07	2,41 | 4,13 | 1,78	2,41 | 1,78 | 3,18	0,23 | 1,78 | 
1,14 | 0,88 |  	 | 0,05 | 0,22	 | 0,88 | 	2,55 |  | 0,88	0,14 |  | 
4,82 | 13,05 | 5,94	 |  | 0,75	0,42 | 8,88 | 0,7	1,88 | 1,41 | 3,09	 | 0,70 | 0,19
0,09 | 0,41 | 0,33	 |  | 0,03	 | 0,09 | 0,25	 | 0,41 | 0,12	0,15 | 0,06 | 0,62
1,17 | 2,35 | 0,68	 | 0,3 | 0,57	 | 0,54 | 	0,41 | 0,54 | 	 |  | 0,30
1,09 | 1,09 | 0,63	0,49 | 0,82 | 0,82	 |  | 0,28	 | 1,09 | 0,63	 | 0,27 | 
1,67 | 1,67 | 2,95	 |  | 0,06	2,95 | 2,25 | 2,25	1,19 | 2,25 | 1,67	3,81 | 4,85 | 1,19
0,80 | 0,80 | 1,02	 | 0,36 | 	0,26 | 1,88 | 0,42	1,02 | 1,02 | 	0,60 | 0,42 | 0,60
3,42 | 6,25 | 10,91	 |  | 0,1	0,28 |  | 0,64	1,69 |  | 4,66	 | 0,64 | 
1,39 | 4,73 | 1,98	 |  | 0,14	 | 1,98 | 0,92	0,92 |  | 1,39	 | 0,92 | 
2,42 | 3,65 | 3,65	 |  | 	 |  | 0,36	3,65 | 5,33 | 1,52	 | 1,52 | 0,36
0,25 | 0,83 | 0,83	 |  | 0,05	0,08 | 0,35 | 0,25	0,16 | 1,13 | 0,25	0,46 |  | 0,83
1,19 | 3,79 | 2,69	 | 0,12 | 	 |  | 0,3	1,19 |  | 	 | 0,30 | 
0,39 | 1,27 | 1,27	 |  | 0,61	1,68 | 1,27 | 1,68	0,39 | 4,17 | 1,27	1,27 | 5,09 | 0,64
0,03 | 0,35 | 0,18	 | 0,13 | 0,13	 | 0,03 | 	0,03 | 0,09 | 0,12	0,09 | 0,03 | 0,12
