GO:0000184														
GO:0000311														
GO:0000315														
GO:0000315														
GO:0015934														
GO:0000900	UniProtKB	P0A8M3	thrS	-	GO:0000900	translation repressor activity, nucleic acid binding	Function	IDA	PMID:2207165	:	83333	20071010	EcoCyc	-
GO:0030371	UniProtKB	Q9JMT2	yuaG	-	GO:0030371	translation repressor activity	Function	IDA	PMID:6445562	:	83333	20080620	EcoliWiki	-
GO:0090079														
GO:0000901														
GO:0030371	UniProtKB	Q9JMT2	yuaG	-	GO:0030371	translation repressor activity	Function	IDA	PMID:6445562	:	83333	20080620	EcoliWiki	-
GO:0045183														
GO:0001514	UniProtKB	P14081	selB	-	GO:0001514	selenocysteine incorporation	Process	IMP	PMID:2524495	:	83333	20100305	EcoCyc	-
GO:0006451														
GO:0001519														
GO:0001677														
GO:0006413	UniProtKB	P69222	infA	-	GO:0006413	translational initiation	Process	IEA	GO_REF:0000004	SP_KW:KW-0396	83333	20110625	UniProtKB	-
GO:0001731														
GO:0016282														
GO:0006413	UniProtKB	P69222	infA	-	GO:0006413	translational initiation	Process	IEA	GO_REF:0000004	SP_KW:KW-0396	83333	20110625	UniProtKB	-
GO:0001732														
GO:0006413	UniProtKB	P69222	infA	-	GO:0006413	translational initiation	Process	IEA	GO_REF:0000004	SP_KW:KW-0396	83333	20110625	UniProtKB	-
GO:0002181														
GO:0006412	UniProtKB	P69222	infA	-	GO:0006412	translation	Process	IEA	GO_REF:0000004	SP_KW:KW-0648	83333	20110625	UniProtKB	-
GO:0002182														
GO:0006414	UniProtKB	P0CE48	tufB	-	GO:0006414	translational elongation	Process	IEA	GO_REF:0000004	SP_KW:KW-0251	83333	20110625	UniProtKB	-
GO:0002181														
GO:0002183														
GO:0006413	UniProtKB	P69222	infA	-	GO:0006413	translational initiation	Process	IEA	GO_REF:0000004	SP_KW:KW-0396	83333	20110625	UniProtKB	-
GO:0002181														
GO:0002184														
GO:0006415	UniProtKB	P0A7J7	rplK	-	GO:0006415	translational termination	Process	IMP	PMID:16556224	:	83333	20080807	EcoCyc	-
GO:0002181														
GO:0002188														
GO:0002183														
GO:0003743	UniProtKB	P69222	infA	-	GO:0003743	translation initiation factor activity	Function	IEA	GO_REF:0000004	SP_KW:KW-0396	83333	20110625	UniProtKB	-
GO:0003744														
GO:0003745														
GO:0008135														
GO:0003746	UniProtKB	P0CE48	tufB	-	GO:0003746	translation elongation factor activity	Function	IEA	GO_REF:0000004	SP_KW:KW-0251	83333	20110625	UniProtKB	-
GO:0008182														
GO:0008183														
GO:0008135														
GO:0003747														
GO:0003748														
GO:0003749														
GO:0008079														
GO:0004694														
GO:0005674														
GO:0005762														
GO:0000315														
GO:0005784														
GO:0005786	UniProtKB	P0AGD7	ffh	-	GO:0005786	signal recognition particle, endoplasmic reticulum targeting	Component	IEA	GO_REF:0000004	SP_KW:KW-0733	83333	20110625	UniProtKB	-
GO:0005855														
GO:0005791														
GO:0005840	UniProtKB	Q2EEQ2	rpmJ2	-	GO:0005840	ribosome	Component	IEA	GO_REF:0000004	SP_KW:KW-0689	83333	20110625	UniProtKB	-
GO:0033279														
GO:0005850														
GO:0005851														
GO:0005852														
GO:0005853														
GO:0005953														
GO:0006397	UniProtKB	P0ABF1	pcnB	-	GO:0006397	mRNA processing	Process	IEA	GO_REF:0000004	SP_KW:KW-0507	83333	20110625	UniProtKB	-
GO:0006412	UniProtKB	P69222	infA	-	GO:0006412	translation	Process	IEA	GO_REF:0000004	SP_KW:KW-0648	83333	20110625	UniProtKB	-
GO:0006416														
GO:0006453														
GO:0043037														
GO:0010467														
GO:0006413	UniProtKB	P69222	infA	-	GO:0006413	translational initiation	Process	IEA	GO_REF:0000004	SP_KW:KW-0396	83333	20110625	UniProtKB	-
