Accession (UNIPROT)	ID interactor A	ID interactor B
P37902	P37902	P00350
P00634	P0A705	P00634
P00634	P0A944	P00634
P02925	P02925	P00956
P0AG80	P0AG80	P00959
P0AEU7	P0AEU7	P00961
P0AEU7	P0AEU7	P0ACF4
P76116	P76116	P02358
P0AEU7	P0AEU7	P0A7S9
P0ACE0	P0ACE0	P0AG59
P0ABZ6	P0ABZ6	P0A7K2
P0AEU7	P0AEU7	P0AA10
P0A901	P0A901	P02413
P0ACE0	P0ACE0	P61175
P0AEU7	P0AEU7	P60624
P0ACE0	P0ACE0	P0A7M2
P0A910	P10408	P0A910
P0A910	P0AF26	P0A910
P0AEB2	P0AEB2	P0A707
P37902	P37902	P04036
P0AEB2	P0A9P6	P0AEB2
P0AEB2	P0AGJ5	P0AEB2
P0AG82	P0AFF6	P0AG82
P07024	P31663	P07024
P75830	P75830	P60785
P08331	P0AAR3	P08331
P0C0V0	P0C0V0	P08660
P19926	P19926	P09147
P0A910	P0A910	P09373
P0C0V0	P0A7E9	P0C0V0
P23847	P23847	P09424
P00634	P00634	P09546
P09551	P36683	P09551
P09551	P0ADF6	P09551
P09551	P0A9A9	P09551
P09551	P69828	P09551
P0A9P4	P0AA25	P0A9P4
P0A901	P0A901	P0A6F9
P46474	P46474	P0A6F9
P0C0V0	P0C0V0	P0A6G7
P77804	P77804	P0A6H5
P0A917	P0A917	P0A6H5
P0A901	P0A901	P0A6P9
P0AEU7	P0AEU7	P0A6X3
P0AG80	P0AG80	P0A6Z3
P00634	P00634	P0A705
P0AEB2	P0AEB2	P0A707
P0ADS6	P0ADS6	P0A707
P46474	P46474	P0A7A9
P0A901	P0A901	P0A7D4
P0C0V0	P0C0V0	P0A7E9
P46474	P46474	P0A7J3
P0ADA3	P0ADA3	P0A7J7
P0ACE0	P0ACE0	P0A7K2
P0ADA3	P0ADA3	P0A7K2
P77717	P77717	P0A7K6
P76116	P76116	P0A7K6
P76223	P76223	P0A7K6
P66948	P66948	P0A7L0
P0ADA3	P0ADA3	P0A7M2
P66948	P66948	P0A7M2
P76116	P76116	P0A7M2
P0ADA3	P0ADA3	P0A7M6
P0A901	P0A901	P0A7N9
P46474	P46474	P0A7R1
P0A901	P0A901	P0A7R5
P0ADS6	P0ADS6	P0A7S9
P0ADA3	P0ADA3	P0A7T3
P0ADS6	P0ADS6	P0A7T3
P0ADS6	P0ADS6	P0A7U7
P76116	P76116	P0A7U7
P0ADS6	P0ADS6	P0A7V3
P46474	P46474	P0A7V3
P76116	P76116	P0A7V3
P77717	P77717	P0A7V8
P0ADS6	P0ADS6	P0A7W7
P76116	P76116	P0A7W7
P0ADS6	P0ADS6	P0A7X3
P77285	P77285	P0A847
P0A910	P0A910	P0A850
P69741	P69741	P0A850
P0AG82	P0AG82	P0A850
P0A855	P0A8A0	P0A855
P0AEU7	P0AEU7	P0A890
P0AEU7	P0AEU7	P0A8M6
P0AFB1	P0AFB1	P0A8N5
P0A901	P0A9Q7	P0A901
P0A901	P0AE08	P0A901
P0A901	P0AC38	P0A901
P0A901	P69910	P0A901
P0A901	P45578	P0A901
P0A901	P09373	P0A901
P0A901	P0A799	P0A901
P0A901	P0AA04	P0A901
P0A901	P0A7L0	P0A901
P0A901	P60422	P0A901
P0A901	P0ADY7	P0A901
P0A901	P0A7M2	P0A901
P0A901	P0AG67	P0A901
P0A901	P0A7V3	P0A901
P0A901	P0AG59	P0A901
P0A901	P0A850	P0A901
P0A901	P0AD33	P0A901
P0A910	P30871	P0A910
P0A910	P63284	P0A910
P0A910	P0A7R1	P0A910
P0A910	P0ADZ0	P0A910
P0A910	P0AG59	P0A910
P0A910	P0AFP6	P0A910
P0A910	P33599	P0A910
P0A910	P31473	P0A910
P0A940	P25553	P0A940
P0A940	P0ADF6	P0A940
P0A940	P24186	P0A940
P0A940	P76321	P0A940
P0AEU7	P0AEU7	P0A968
P0A940	P0A940	P0A9A9
P0A901	P0A901	P0A9B2
P0A901	P0A901	P0A9G6
P61320	P61320	P0A9M0
P76116	P76116	P0A9P6
P07024	P07024	P0A9R7
P09551	P09551	P0A9S5
P0A940	P0A940	P0A9S5
P66948	P66948	P0A9W0
P0A901	P0A901	P0A9X9
P0ADA3	P0ADA3	P0A9Y6
P77717	P77717	P0AA10
P76116	P76116	P0AA10
P76116	P76116	P0AA39
P0A901	P0A901	P0AAI9
P0A910	P0A910	P0AAM7
P08331	P08331	P0AAR3
P0AAX8	P0A7M2	P0AAX8
P0AAX8	P0AFP6	P0AAX8
P0A901	P0A901	P0AB71
P77717	P77717	P0ABB4
P0AG80	P0AG80	P0ABS8
P0A901	P0A901	P0ABT2
P0AEU7	P0AEU7	P0ABT2
P77717	P77717	P0ABT2
P0ACE0	P0AAM7	P0ACE0
P0ACE0	P0AAM3	P0ACE0
P0ACE0	P0A7M2	P0ACE0
P0ACE0	P0A7R5	P0ACE0
P0ACE0	P0AAS7	P0ACE0
P0A901	P0A901	P0ACF0
P0ADA3	P0ADA3	P0ACF0
P76116	P76116	P0ACF0
P76116	P76116	P0ACF4
P33363	P33363	P0ACY1
P0A901	P0A901	P0AD61
P0ADA3	P0ABU5	P0ADA3
P0ADA3	P0A6A8	P0ADA3
P0ADA3	P23325	P0ADA3
P0ADA3	P0ACF8	P0ADA3
P0ADA3	P62399	P0ADA3
P0ADA3	P0A7N9	P0ADA3
P0ADA3	P0A7R5	P0ADA3
P0ADA3	P0A7U7	P0ADA3
P0ADA3	P0A8M6	P0ADA3
P0ADA3	P68066	P0ADA3
P77717	P77717	P0ADE6
P0ADS6	P38521	P0ADS6
P0ADS6	P67910	P0ADS6
P0ADS6	P0A7L0	P0ADS6
P0ADS6	P0A7V8	P0ADS6
P0ADS6	P0A7R9	P0ADS6
P0ADS6	P0ACF4	P0ADS6
P0ADS6	P0AA10	P0ADS6
P0ADS6	P0A7K6	P0ADS6
P0ADS6	P0A7L3	P0ADS6
P0ADS6	P60624	P0ADS6
P0ADS6	P0A7M2	P0ADS6
P0ADS6	P02358	P0ADS6
P77717	P77717	P0ADY7
P0ADA3	P0ADA3	P0ADZ0
P0AEB2	P13035	P0AEB2
P0AEB2	P0A9P6	P0AEB2
P0AEB2	P63228	P0AEB2
P0AEB2	P0AGJ5	P0AEB2
P0AEU7	P69913	P0AEU7
P0AEU7	P0ACF4	P0AEU7
P0AEU7	P33602	P0AEU7
P0AEU7	P0A832	P0AEU7
P0AEU7	P0AFP6	P0AEU7
P0AEU7	P36979	P0AEU7
P0AEU7	P60906	P0AEU7
P0AEU7	P0AG48	P0AEU7
P0AEU7	P60624	P0AEU7
P46130	P46130	P0AF36
P75797	P75797	P0AF48
P0ADA3	P0ADA3	P0AFG0
P0A901	P0A901	P0AFJ5
P77804	P77804	P0AFP2
P0ADS6	P0ADS6	P0AG48
P76116	P76116	P0AG48
P0ADA3	P0ADA3	P0AG51
P0A901	P0A901	P0AG55
P76116	P76116	P0AG55
P0ACE0	P0ACE0	P0AG59
P0ADA3	P0ADA3	P0AG59
P77717	P77717	P0AG59
P0ADS6	P0ADS6	P0AG59
P76116	P76116	P0AG67
P0AG80	P06710	P0AG80
P0AG80	P0AFP6	P0AG80
P0AG80	P39274	P0AG80
P0AG82	P0A944	P0AG82
P0A901	P0A901	P0AG86
P61320	P61320	P0AG86
P45955	P45955	P0AGJ9
P07024	P07024	P0A9R7
P0AG80	P36659	P0AG80
P0AG80	P06710	P0AG80
P0AG80	P0ABS8	P0AG80
P0AG80	P0A6Z3	P0AG80
P0AG80	P07004	P0AG80
P0AG80	P0A6L9	P0AG80
P0AA91	P0AA91	P0AF26
P0AEU7	P0A968	P0AEU7
P0AEU7	P0A6X3	P0AEU7
P0AEU7	P60906	P0AEU7
P0AEU7	P62399	P0AEU7
P0AEU7	P0A7R1	P0AEU7
P0AEU7	P02413	P0AEU7
P0AEU7	P0A7K6	P0AEU7
P0AEU7	P0AG48	P0AEU7
P0AEU7	P61175	P0AEU7
P0AEU7	P0AG24	P0AEU7
P0AEU7	P21499	P0AEU7
P0AEU7	P36979	P0AEU7
P0AEU7	P0A890	P0AEU7
P61320	P61320	P11880
P32176	P32176	P13024
P46474	P46474	P13035
P0A910	P0A910	P0A9X4
P77202	P77202	P0A9X9
P45464	P45464	P16433
P0AG80	P0AG80	P16678
P77202	P77202	P16703
P61320	P61320	P17445
P0C0V0	P0C0V0	P0A6G7
P0AG80	P0AG80	P0A6G7
P0ACE0	P0ACE0	P21165
P0ABZ6	P0A9P0	P0ABZ6
P0ABZ6	P0AG59	P0ABZ6
P0ABZ6	P76069	P0ABZ6
P76116	P76116	P21499
P23865	P00960	P23865
P23865	P0C054	P23865
P0ACE0	P0ACE0	P24192
P75797	P75797	P24203
P45464	P45464	P24255
P09551	P09551	P25526
P0A940	P0A940	P25526
P0A910	P0A910	P27127
P46474	P46474	P27305
P0AEU7	P0AEU7	P0ABT2
P25894	P25894	P0A6D5
P75830	P75830	P28630
P0AG80	P0AG80	P28631
P0AG80	P0AG80	P28632
P0AAX8	P0AAX8	P28903
P39099	P39099	P0A749
P0ACE0	P0ACE0	P30131
P0A910	P0A910	P30871
P31554	P08622	P31554
P0AEU7	P0AEU7	P0A832
P0A917	P0A917	P0A6H5
P77804	P77804	P0A6H5
P33136	P0A850	P33136
P09551	P09551	P33195
P37902	P37902	P33195
P0A940	P0A940	P33195
P0AFX9	P0AFX9	P0AGB6
P0AG80	P0AG80	P0A6Z1
P36548	P30850	P36548
P0A940	P0A940	P36683
P09551	P09551	P36879
P0A910	P0A910	P37095
P0A910	P0A910	P37095
P0ACE0	P0A7K2	P0ACE0
P0ACE0	P0A7V0	P0ACE0
P0ACE0	P0A7R5	P0ACE0
P0ACE0	P0CE47	P0ACE0
P0ACE0	P63386	P0ACE0
P0ACE0	P0ACE0	P37182
P09551	P09551	P37330
P16700	P16700	P37349
P46474	P46474	P37647
P37665	P39280	P37665
P23843	P23843	P37751
P0A910	P0A910	P37751
P76116	P76116	P37765
P37902	P0AAG3	P37902
P37902	P0A9A9	P37902
P77202	P77202	P38038
P39099	P0ACB2	P39099
P39099	P0A749	P39099
P66948	P66948	P0A9W0
P66948	P66948	P39831
P0AFB1	P0A8N5	P0AFB1
P45523	P76440	P45523
P45523	P0A6F1	P45523
P45523	P10378	P45523
P45523	P77432	P45523
P45523	P0A6F1	P45523
P45955	P0AGJ9	P45955
P46130	P0ABQ4	P46130
P46130	P0ABQ4	P46130
P46474	P0A9Y6	P46474
P46474	P0ABT2	P46474
P46474	P0A6P9	P46474
P46474	P45578	P46474
P46474	P31677	P46474
P46474	P0AG67	P46474
P46474	P0A7T3	P46474
P46474	P0A7U3	P46474
P46474	P0A7F6	P46474
P46474	P0AFG3	P46474
P46474	P0AFG6	P46474
P0ADS6	P0ADS6	P60422
P76116	P76116	P60422
P76116	P76116	P60624
P0ADA3	P0ADA3	P60723
P77717	P77717	P60723
P0ADS6	P0ADS6	P60723
P76116	P76116	P60723
P61320	P67910	P61320
P61320	P0A7V3	P61320
P61320	P0A9K9	P61320
P61320	P0A998	P61320
P61320	P0AB52	P61320
P61320	P0ACD8	P61320
P61320	P09373	P61320
P61320	P0AG30	P61320
P61320	P0AG67	P61320
P61320	P21507	P61320
P76116	P76116	P62399
P0ACE0	P0ACE0	P63386
P76223	P76223	P64479
P0A901	P0A901	P68066
P46474	P46474	P68066
P0A901	P0A901	P68919
P69741	P0AAN1	P69741
P69741	P45470	P69741
P77717	P77717	P69910
P75797	P0A7M2	P75797
P75797	P0A836	P75797
P75830	P0AFG0	P75830
P75830	P06612	P75830
P75830	P05804	P75830
P75830	P0ABB4	P75830
P75830	P60785	P75830
P76115	P0A8I5	P76115
P76116	P00892	P76116
P76116	P0A7L0	P76116
P76116	P0A6K1	P76116
P76116	P0AES4	P76116
P76116	P0A734	P76116
P76116	P21513	P76116
P76116	P0A7R1	P76116
P76116	P02413	P76116
P76116	P0ADY7	P76116
P76116	P0C018	P76116
P76116	P0A7L3	P76116
P76116	P0AG59	P76116
P76116	P21507	P76116
P76116	P75876	P76116
P76116	P0AGJ5	P76116
P76116	P0A964	P76116
P76223	P0AFS3	P76223
P76223	P0AG59	P76223
P0A940	P0A940	P76403
P26648	P26648	P76484
P77202	P77704	P77202
P77202	P0A6G7	P77202
P77562	P39286	P77562
P77717	P0AFG6	P77717
P77717	P0AFG6	P77717
P77717	P0A7R5	P77717
P77717	P0A9A6	P77717
P77717	P0A7L0	P77717
P77717	P0A7J3	P77717
P77717	P0A7V3	P77717
P77717	P0A7U7	P77717
P77717	P68066	P77717
P77804	P0AFP2	P77804
Q46798	P0A7K2	Q46798
P45464	P45464	Q46811
P69741	P0AAN1	P69741
Q47622	P0A6Y8	Q47622
