Entry Name A_Subcellular Location(this study)	Entry Name B_Subcellular Location(this study)	Entry Name A	Entry Name B	Accession A	Accession B	Satus
6PGD_A	DHNA_F1	6PGD_ECOLI	DHNA_ECOLI	P00350	P00393	C
6PGD_A	GLTD_A	6PGD_ECOLI	GLTD_ECOLI	P00350	P09832	C
6PGD_A	EXBB_B	6PGD_ECOLI	EXBB_ECOLI	P00350	P0ABU7	C
6PGD_A	YJDJ_A	6PGD_ECOLI	YJDJ_ECOLI	P00350	P39274	C
FRDA_F1	FRDC_B	FRDA_ECOLI	FRDC_ECOLI	P00363	P0A8Q0	C
RIR1_A	RIR1_A	RIR1_ECOLI	RIR1_ECOLI	P00452	P00452	C
RIR1_A	RIR2_B	RIR1_ECOLI	RIR2_ECOLI	P00452	P69924	C
RIR1_A	PROA_A	RIR1_ECOLI	PROA_ECOLI	P00452	P07004	C
RIR1_A	EFTU1_F1	RIR1_ECOLI	EFTU1_ECOLI	P00452	P0CE47	C
RIR1_A	MREB_F1	RIR1_ECOLI	MREB_ECOLI	P00452	P0A9X4	C
RIR1_A	YEEN_A	RIR1_ECOLI	YEEN_ECOLI	P00452	P0A8A2	C
RIR1_A	MAO2_A	RIR1_ECOLI	MAO2_ECOLI	P00452	P76558	C
PHSM_A	PHSM_A	PHSM_ECOLI	PHSM_ECOLI	P00490	P00490	C
PHSM_A	RPOC_A	PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7	C
PHSM_A	DPO1_A	PHSM_ECOLI	DPO1_ECOLI	P00490	P00582	C
PHSM_A	RNH_A	PHSM_ECOLI	RNH_ECOLI	P00490	P0A7Y4	C
PHSM_A	SSB_A	PHSM_ECOLI	SSB_ECOLI	P00490	P0AGE0	C
PHSM_A	DBHA_A	PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0	C
PHSM_A	RL1_A	PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0	C
PHSM_A	RL3_A	PHSM_ECOLI	RL3_ECOLI	P00490	P60438	C
PHSM_A	RL4_A	PHSM_ECOLI	RL4_ECOLI	P00490	P60723	C
PHSM_A	RL9_A	PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1	C
PHSM_A	RL21_A	PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48	C
PHSM_A	RL22_A	PHSM_ECOLI	RL22_ECOLI	P00490	P61175	C
PHSM_A	UVRD_A	PHSM_ECOLI	UVRD_ECOLI	P00490	P03018	C
PHSM_A	PNP_A	PHSM_ECOLI	PNP_ECOLI	P00490	P05055	C
PHSM_A	T1SK_A	PHSM_ECOLI	T1SK_ECOLI	P00490	P05719	C
PHSM_A	TOP1_A	PHSM_ECOLI	TOP1_ECOLI	P00490	P06612	C
PHSM_A	ODP2_F1	PHSM_ECOLI	ODP2_ECOLI	P00490	P06959	C
PHSM_A	HNS_A	PHSM_ECOLI	HNS_ECOLI	P00490	P0ACF8	C
PHSM_A	EX3_A	PHSM_ECOLI	EX3_ECOLI	P00490	P09030	C
PHSM_A	KDSA_A	PHSM_ECOLI	KDSA_ECOLI	P00490	P0A715	C
PHSM_A	RL1_A	PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0	C
PHSM_A	RL9_A	PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1	C
PHSM_A	SSRP_A	PHSM_ECOLI	SSRP_ECOLI	P00490	P0A832	C
PHSM_A	YEEX_A	PHSM_ECOLI	YEEX_ECOLI	P00490	P0A8M6	C
PHSM_A	RPOC_A	PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7	C
PHSM_A	RL13_A	PHSM_ECOLI	RL13_ECOLI	P00490	P0AA10	C
PHSM_A	DBHA_A	PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0	C
PHSM_A	DBHB_A	PHSM_ECOLI	DBHB_ECOLI	P00490	P0ACF4	C
PHSM_A	RL21_A	PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48	C
PHSM_A	NFI_A	PHSM_ECOLI	NFI_ECOLI	P00490	P68739	C
PHSM_A	RLUB_A	PHSM_ECOLI	RLUB_ECOLI	P00490	P37765	C
PHSM_A	YJDJ_A	PHSM_ECOLI	YJDJ_ECOLI	P00490	P39274	C
PHSM_A	NFI_A	PHSM_ECOLI	NFI_ECOLI	P00490	P68739	C
PHSM_A	YCJY_A	PHSM_ECOLI	YCJY_ECOLI	P00490	P76049	C
AAT_A	TIG_A	AAT_ECOLI	TIG_ECOLI	P00509	P0A850	C
AAT_A	NUOCD_F1	AAT_ECOLI	NUOCD_ECOLI	P00509	P33599	C
PTM3C_B	CLPP_A	PTM3C_ECOLI	CLPP_ECOLI	P00550	P0A6G7	C
AK1H_F1	TIG_A	AK1H_ECOLI	TIG_ECOLI	P00561	P0A850	C
AK1H_F1	DNAB_A	AK1H_ECOLI	DNAB_ECOLI	P00561	P0ACB0	C
AK1H_F1	HSLU_A	AK1H_ECOLI	HSLU_ECOLI	P00561	P0A6H5	C
AK2H_A	G3P1_A	AK2H_ECOLI	G3P1_ECOLI	P00562	P0A9B2	C
RPOD_A	RPOC_A	RPOD_ECOLI	RPOC_ECOLI	P00579	P0A8T7	C
RPOD_A	RPOD_A	RPOD_ECOLI	RPOD_ECOLI	P00579	P00579	C
RPOD_A	RS5_A	RPOD_ECOLI	RS5_ECOLI	P00579	P0A7W1	C
RPOD_A	RS6_A	RPOD_ECOLI	RS6_ECOLI	P00579	P02358	C
RPOD_A	RL2_A	RPOD_ECOLI	RL2_ECOLI	P00579	P60422	C
RPOD_A	RL4_A	RPOD_ECOLI	RL4_ECOLI	P00579	P60723	C
RPOD_A	RL15_A	RPOD_ECOLI	RL15_ECOLI	P00579	P02413	C
RPOD_A	RL19_A	RPOD_ECOLI	RL19_ECOLI	P00579	P0A7K6	C
RPOD_A	RL22_A	RPOD_ECOLI	RL22_ECOLI	P00579	P61175	C
RPOD_A	RL28_A	RPOD_ECOLI	RL28_ECOLI	P00579	P0A7M2	C
RPOD_A	RHO_A	RPOD_ECOLI	RHO_ECOLI	P00579	P0AG30	C
RPOD_A	NUSA_A	RPOD_ECOLI	NUSA_ECOLI	P00579	P0AFF6	C
RPOD_A	FNR_A	RPOD_ECOLI	FNR_ECOLI	P00579	P0A9E5	C
RPOD_A	CRP_A	RPOD_ECOLI	CRP_ECOLI	P00579	P0ACJ8	C
RPOD_A	G3P1_A	RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2	C
RPOD_A	RPOZ_A	RPOD_ECOLI	RPOZ_ECOLI	P00579	P0A800	C
RPOD_A	RHAS_A	RPOD_ECOLI	RHAS_ECOLI	P00579	P09377	C
RPOD_A	RHAR_A	RPOD_ECOLI	RHAR_ECOLI	P00579	P09378	C
RPOD_A	IF2_A	RPOD_ECOLI	IF2_ECOLI	P00579	P0A705	C
RPOD_A	RL1_A	RPOD_ECOLI	RL1_ECOLI	P00579	P0A7L0	C
RPOD_A	YEEX_A	RPOD_ECOLI	YEEX_ECOLI	P00579	P0A8M6	C
RPOD_A	RPOB_A	RPOD_ECOLI	RPOB_ECOLI	P00579	P0A8V2	C
