Entry Name A	Entry Name B	Accession A	Accession B
6PGD_ECOLI	DHNA_ECOLI	P00350	P00393
FRDA_ECOLI	FRDA_ECOLI	P00363	P00363
FRDA_ECOLI	FRDC_ECOLI	P00363	P0A8Q0
FRDA_ECOLI	P5CR_ECOLI	P00363	P0A9L8
DHNA_ECOLI	EFTU1_ECOLI	P00393	P0CE47
DHNA_ECOLI	YGAM_ECOLI	P00393	P0ADQ7
RIR1_ECOLI	EFTU1_ECOLI	P00452	P0CE47
RIR1_ECOLI	MREB_ECOLI	P00452	P0A9X4
PHSM_ECOLI	ODP2_ECOLI	P00490	P06959
AAT_ECOLI	NUOCD_ECOLI	P00509	P33599
AK1H_ECOLI	AK1H_ECOLI	P00561	P00561
AK1H_ECOLI	TIG_ECOLI	P00561	P0A850
AK1H_ECOLI	DNAB_ECOLI	P00561	P0ACB0
AK1H_ECOLI	HSLU_ECOLI	P00561	P0A6H5
DPO1_ECOLI	EFTU1_ECOLI	P00582	P0CE47
PPB_ECOLI	PUTA_ECOLI	P00634	P09546
ASPG2_ECOLI	YEFI_ECOLI	P00805	P37751
DCDA_ECOLI	CPXR_ECOLI	P00861	P0AE88
DCDA_ECOLI	CPXR_ECOLI	P00861	P0AE88
ILVG_ECOLI	DLDH_ECOLI	P00892	P0A9P0
ILVG_ECOLI	SECA_ECOLI	P00892	P10408
ILVG_ECOLI	PSS_ECOLI	P00892	P23830
SYI_ECOLI	EFTU1_ECOLI	P00956	P0CE47
SYI_ECOLI	PPK_ECOLI	P00956	P0A7B1
SYI_ECOLI	PPK_ECOLI	P00956	P0A7B1
SYGA_ECOLI	EFTU1_ECOLI	P00960	P0CE47
RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8
RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8
RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4
RS6_ECOLI	HTPG_ECOLI	P02358	P0A6Z3
RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4
RS6_ECOLI	YEFI_ECOLI	P02358	P37751
RS7_ECOLI	ACP_ECOLI	P02359	P0A6A8
RS7_ECOLI	FTSE_ECOLI	P02359	P0A9R7
RS7_ECOLI	RNE_ECOLI	P02359	P21513
RS7_ECOLI	FABZ_ECOLI	P02359	P0A6Q6
RS7_ECOLI	PSS_ECOLI	P02359	P23830
RS7_ECOLI	HFQ_ECOLI	P02359	P0A6X3
RS7_ECOLI	MNME_ECOLI	P02359	P25522
RS7_ECOLI	YBJX_ECOLI	P02359	P75829
RL15_ECOLI	ACP_ECOLI	P02413	P0A6A8
RL15_ECOLI	HFQ_ECOLI	P02413	P0A6X3
RL15_ECOLI	YBJX_ECOLI	P02413	P75829
PBPA_ECOLI	EFTU1_ECOLI	P02918	P0CE47
DNAA_ECOLI	RS5_ECOLI	P03004	P0A7W1
DNAA_ECOLI	RS7_ECOLI	P03004	P02359
DNAA_ECOLI	RS9_ECOLI	P03004	P0A7X3
DNAA_ECOLI	RS10_ECOLI	P03004	P0A7R5
DNAA_ECOLI	RS14_ECOLI	P03004	P0AG59
DNAA_ECOLI	RL2_ECOLI	P03004	P60422
DNAA_ECOLI	RL4_ECOLI	P03004	P60723
DNAA_ECOLI	RL15_ECOLI	P03004	P02413
DNAA_ECOLI	RL16_ECOLI	P03004	P0ADY7
DNAA_ECOLI	RL24_ECOLI	P03004	P60624
DNAA_ECOLI	RL28_ECOLI	P03004	P0A7M2
DNAA_ECOLI	DNAA_ECOLI	P03004	P03004
DNAA_ECOLI	DNAB_ECOLI	P03004	P0ACB0
DNAA_ECOLI	DNAJ_ECOLI	P03004	P08622
DNAA_ECOLI	RS4_ECOLI	P03004	P0A7V8
DNAA_ECOLI	RL14_ECOLI	P03004	P0ADY3
DNAA_ECOLI	RL16_ECOLI	P03004	P0ADY7
DNAA_ECOLI	RS14_ECOLI	P03004	P0AG59
DNAA_ECOLI	NADE_ECOLI	P03004	P18843
DNAA_ECOLI	SYD_ECOLI	P03004	P21889
UVRD_ECOLI	ARAG_ECOLI	P03018	P0AAF3
UVRD_ECOLI	SECA_ECOLI	P03018	P10408
UVRD_ECOLI	METN_ECOLI	P03018	P30750
DAPB_ECOLI	MIND_ECOLI	P04036	P0AEZ3
FRSA_ECOLI	PTGA_ECOLI	P04335	P69783
AMPN_ECOLI	UVRD_ECOLI	P04825	P03018
AMPN_ECOLI	AMPN_ECOLI	P04825	P04825
AMPN_ECOLI	CH60_ECOLI	P04825	P0A6F5
AMPN_ECOLI	YMGD_ECOLI	P04825	P0AB46
AMPN_ECOLI	NARY_ECOLI	P04825	P19318
AMPN_ECOLI	HYFG_ECOLI	P04825	P77329
KDSB_ECOLI	DNAK_ECOLI	P04951	P0A6Y8
KDSB_ECOLI	EFTU1_ECOLI	P04951	P0CE47
ALKB_ECOLI	ATPG_ECOLI	P05050	P0ABA6
PNP_ECOLI	RECA_ECOLI	P05055	P0A7G6
PNP_ECOLI	HFQ_ECOLI	P05055	P0A6X3
PNP_ECOLI	MREB_ECOLI	P05055	P0A9X4
PNP_ECOLI	RNE_ECOLI	P05055	P21513
PNP_ECOLI	HFQ_ECOLI	P05055	P0A6X3
APAH_ECOLI	RNE_ECOLI	P05637	P21513
ILVD_ECOLI	METN_ECOLI	P05791	P30750
ILVD_ECOLI	FHUF_ECOLI	P05791	P39405
GCP_ECOLI	EFTU1_ECOLI	P05852	P0CE47
FTSQ_ECOLI	FTSA_ECOLI	P06136	P0ABH0
BTUD_ECOLI	BTUC_ECOLI	P06611	P06609
BTUD_ECOLI	BTUD_ECOLI	P06611	P06611
TOP1_ECOLI	DLDH_ECOLI	P06612	P0A9P0
ERA_ECOLI	ERA_ECOLI	P06616	P06616
ERA_ECOLI	LON_ECOLI	P06616	P0A9M0
BIRA_ECOLI	GLPB_ECOLI	P06709	P13033
ODP2_ECOLI	DPO1_ECOLI	P06959	P00582
ODP2_ECOLI	RNH_ECOLI	P06959	P0A7Y4
ODP2_ECOLI	ILVG_ECOLI	P06959	P00892
ODP2_ECOLI	UVRD_ECOLI	P06959	P03018
ODP2_ECOLI	3MG2_ECOLI	P06959	P04395
ODP2_ECOLI	FIMB_ECOLI	P06959	P0ADH5
ODP2_ECOLI	RNPA_ECOLI	P06959	P0A7Y8
ODP2_ECOLI	TOP1_ECOLI	P06959	P06612
ODP2_ECOLI	UVRB_ECOLI	P06959	P0A8F8
ODP2_ECOLI	TYRR_ECOLI	P06959	P07604
ODP2_ECOLI	GYRA_ECOLI	P06959	P0AES4
ODP2_ECOLI	OGT_ECOLI	P06959	P0AFH0
ODP2_ECOLI	END4_ECOLI	P06959	P0A6C1
ODP2_ECOLI	TOP3_ECOLI	P06959	P14294
ODP2_ECOLI	RSMG_ECOLI	P06959	P0A6U5
ODP2_ECOLI	PARC_ECOLI	P06959	P0AFI2
ODP2_ECOLI	YCEA_ECOLI	P06959	P24188
ODP2_ECOLI	RECG_ECOLI	P06959	P24230
ODP2_ECOLI	GLUQ_ECOLI	P06959	P27305
ODP2_ECOLI	YGIF_ECOLI	P06959	P30871
ODP2_ECOLI	YJEF_ECOLI	P06959	P31806
ODP2_ECOLI	INTA_ECOLI	P06959	P32053
ODP2_ECOLI	FDHD_ECOLI	P06959	P32177
ODP2_ECOLI	AIDB_ECOLI	P06959	P33224
ODP2_ECOLI	NAPD_ECOLI	P06959	P0A9I5
ODP2_ECOLI	RLMN_ECOLI	P06959	P36979
ODP2_ECOLI	HRPB_ECOLI	P06959	P37024
ODP2_ECOLI	YJGD_ECOLI	P06959	P0AF90
ODP2_ECOLI	ULAR_ECOLI	P06959	P0A9W0
ODP2_ECOLI	HRPA_ECOLI	P06959	P43329
ODP2_ECOLI	YRAN_ECOLI	P06959	P45465
ODP2_ECOLI	YBCJ_ECOLI	P06959	P0AAS7
ODP2_ECOLI	ZNUC_ECOLI	P06959	P0A9X1
ODP2_ECOLI	YBJX_ECOLI	P06959	P75829
ODP2_ECOLI	YCGF_ECOLI	P06959	P75990
ODP2_ECOLI	YCIU_ECOLI	P06959	P0A8L7
ODP2_ECOLI	CEDA_ECOLI	P06959	P0AE60
ODP2_ECOLI	PHOL_ECOLI	P06959	P0A9K3
ODP2_ECOLI	FADJ_ECOLI	P06959	P77399
ODP2_ECOLI	PINR_ECOLI	P06959	P0ADI0
CCA_ECOLI	DNAA_ECOLI	P06961	P03004
CCA_ECOLI	EFTU1_ECOLI	P06961	P0CE47
FLIM_ECOLI	CHEY_ECOLI	P06974	P0AE67
FLIM_ECOLI	FLIM_ECOLI	P06974	P06974
FLIM_ECOLI	GLPQ_ECOLI	P06974	P09394
FLIM_ECOLI	FLIN_ECOLI	P06974	P15070
FLIM_ECOLI	YJEK_ECOLI	P06974	P39280
FLIM_ECOLI	YCBL_ECOLI	P06974	P75849
MALT_ECOLI	RL19_ECOLI	P06993	P0A7K6
MALT_ECOLI	MALK_ECOLI	P06993	P68187
MALT_ECOLI	METK_ECOLI	P06993	P0A817
MALT_ECOLI	MALT_ECOLI	P06993	P06993
MALT_ECOLI	DNAJ_ECOLI	P06993	P08622
MALT_ECOLI	FTSZ_ECOLI	P06993	P0A9A6
MALT_ECOLI	MREB_ECOLI	P06993	P0A9X4
MALT_ECOLI	PSTB_ECOLI	P06993	P0AAH0
MALT_ECOLI	IBPA_ECOLI	P06993	P0C054
MALT_ECOLI	IBPB_ECOLI	P06993	P0C058
MALT_ECOLI	AES_ECOLI	P06993	P23872
MALT_ECOLI	IBPA_ECOLI	P06993	P0C054
MALT_ECOLI	IBPB_ECOLI	P06993	P0C058
OMPC_ECOLI	MREB_ECOLI	P06996	P0A9X4
OMPC_ECOLI	MREB_ECOLI	P06996	P0A9X4
POXB_ECOLI	POXB_ECOLI	P07003	P07003
DHSB_ECOLI	DHSA_ECOLI	P07014	P0AC41
USHA_ECOLI	FTSE_ECOLI	P07024	P0A9R7
USHA_ECOLI	FTSE_ECOLI	P07024	P0A9R7
CHER_ECOLI	FLIN_ECOLI	P07364	P15070
TYRR_ECOLI	ATPA_ECOLI	P07604	P0ABB0
ILVB_ECOLI	DLDH_ECOLI	P08142	P0A9P0
MURB_ECOLI	FTSA_ECOLI	P08373	P0ABH0
EX5B_ECOLI	DLDH_ECOLI	P08394	P0A9P0
EX5B_ECOLI	ODP2_ECOLI	P08394	P06959
CREC_ECOLI	DNAA_ECOLI	P08401	P03004
DNAJ_ECOLI	DNAK_ECOLI	P08622	P0A6Y8
DNAJ_ECOLI	FTSA_ECOLI	P08622	P0ABH0
DNAJ_ECOLI	NARG_ECOLI	P08622	P09152
DNAJ_ECOLI	EFTU1_ECOLI	P08622	P0CE47
DNAJ_ECOLI	HFQ_ECOLI	P08622	P0A6X3
DNAJ_ECOLI	ATPB_ECOLI	P08622	P0ABB4
PT1_ECOLI	HELD_ECOLI	P08839	P15038
EX3_ECOLI	DLDH_ECOLI	P09030	P0A9P0
EX3_ECOLI	ODP2_ECOLI	P09030	P06959
EX3_ECOLI	LPTB_ECOLI	P09030	P0A9V1
NARG_ECOLI	RECA_ECOLI	P09152	P0A7G6
NARG_ECOLI	RNPH_ECOLI	P09152	P0CG19
NARG_ECOLI	PSTB_ECOLI	P09152	P0AAH0
NARG_ECOLI	NARG_ECOLI	P09152	P09152
NARG_ECOLI	CH60_ECOLI	P09152	P0A6F5
NARG_ECOLI	EFTU1_ECOLI	P09152	P0CE47
