	ID interactor A	ID interactor B
EFG_ECOLI	P0A6M8	O32528
GABD_ECOLI	P25526	P00350
GCSP_ECOLI	P33195	P00350
RIMO_ECOLI	P0AEI4	P00350
RAVA_ECOLI	P31473	P00363
DHE4_ECOLI	P00370	P00370
P5CR_ECOLI	P0A9L8	P0A9L8
DYR_ECOLI	P0ABQ4	P0ABQ4
SYP_ECOLI	P16659	P0ABQ4
RL13_ECOLI	P0AA10	P0ABQ4
YCGF_ECOLI	P75990	P0A9P0
PAAX_ECOLI	P76086	P0A9P0
YDJF_ECOLI	P77721	P0A9P0
FADJ_ECOLI	P77399	P0A9P0
FADI_ECOLI	P76503	P0A9P0
CSPB_ECOLI	P36995	P0A9P0
FDHD_ECOLI	P32177	P0A9P0
RSMG_ECOLI	P0A6U5	P0A9P0
GYRA_ECOLI	P0AES4	P0A9P0
HRPA_ECOLI	P43329	P0A9P0
HYCI_ECOLI	P0AEV9	P0A9P0
ILVB_ECOLI	P08142	P0A9P0
NARJ_ECOLI	P0AF26	P0A9P0
END8_ECOLI	P50465	P0A9P0
NFI_ECOLI	P68739	P0A9P0
END4_ECOLI	P0A6C1	P0A9P0
OGT_ECOLI	P0AFH0	P0A9P0
EX5B_ECOLI	P08394	P0A9P0
RNPA_ECOLI	P0A7Y8	P0A9P0
TOP1_ECOLI	P06612	P0A9P0
UVRB_ECOLI	P0A8F8	P0A9P0
EX3_ECOLI	P09030	P0A9P0
YBAK_ECOLI	P0AAR3	P0A9P0
ILVG_ECOLI	P00892	P0A9P0
YCGE_ECOLI	P75989	P0A9P0
RLMN_ECOLI	P36979	P0A9P0
YGEV_ECOLI	Q46802	P0A9P0
YICC_ECOLI	P23839	P0A9P0
RAVA_ECOLI	P31473	P0A9P0
ULAR_ECOLI	P0A9W0	P0A9P0
YBGI_ECOLI	P0AFP6	P00393
HLDD_ECOLI	P67910	P00393
6PGD_ECOLI	P00350	P00393
CH60_ECOLI	P0A6F5	P0AEZ1
METF_ECOLI	P0AEZ1	P0AEZ1
RIR3_ECOLI	P39452	P00452
RIR1_ECOLI	P00452	P00452
YEEN_ECOLI	P0A8A2	P00452
RIR1_ECOLI	P00452	P69924
RIR3_ECOLI	P39452	P69924
DPO3B_ECOLI	P0A988	P69924
TYSY_ECOLI	P0A884	P0A884
DMA_ECOLI	P0AEE8	P0AEE8
SYS_ECOLI	P0A8L1	P0AEE8
YJJI_ECOLI	P37342	P0AEE8
PYRI_ECOLI	P0A7F3	P0A7F3
PYRI_ECOLI	P0A7F3	P0A786
RHO_ECOLI	P0AG30	P0A7A7
RL2_ECOLI	P60422	P0A7A7
RL4_ECOLI	P60723	P0A7A7
RL6_ECOLI	P0AG55	P0A7A7
RL11_ECOLI	P0A7J7	P0A7A7
RL13_ECOLI	P0AA10	P0A7A7
RL22_ECOLI	P61175	P0A7A7
RL28_ECOLI	P0A7M2	P0A7A7
RS4_ECOLI	P0A7V8	P0A7A7
RS8_ECOLI	P0A7W7	P0A7A7
RS10_ECOLI	P0A7R5	P0A7A7
RLUB_ECOLI	P37765	P0A7A7
DBHB_ECOLI	P0ACF4	P00490
PHSM_ECOLI	P00490	P00490
RL13_ECOLI	P0AA10	P00490
RL19_ECOLI	P0A7K6	P00490
YHBY_ECOLI	P0AGK4	P00490
END4_ECOLI	P0A6C1	P00490
SSRP_ECOLI	P0A832	P00490
KDGR_ECOLI	P76268	P00490
RL19_ECOLI	P0A7K6	P00490
RS16_ECOLI	P0A7T3	P00490
YHBY_ECOLI	P0AGK4	P00490
YFFS_ECOLI	P76550	P00490
DUSB_ECOLI	P0ABT5	P00490
RNH_ECOLI	P0A7Y4	P00490
