ID interactor A	ID interactor B
P76136	A1Z2S2
P02996	O32528
O33976	O33976
O65938	O65938
O65938	O69415
O69415	O69415
O85626	O85626
P24941	P00274
P25526	P00350
P33195	P00350
P37902	P00350
P02918	P00350
P0AEI4	P00350
P00364	P00363
P00363	P00363
P76111	P00363
P31473	P00363
P00370	P00370
P00373	P00373
P00379	P00379
P16659	P00379
P02410	P00379
P02901	P00391
P75990	P00391
P76086	P00391
P76170	P00391
P77721	P00391
P77399	P00391
P76503	P00391
P36995	P00391
P32177	P00391
P17113	P00391
P09097	P00391
P43329	P00391
P10486	P00391
Q57451	P00391
P39346	P00391
P08142	P00391
P11351	P00391
P50465	P00391
P32679	P00391
P12638	P00391
P09168	P00391
P28688	P00391
P08394	P00391
P06277	P00391
P25522	P00391
P06612	P00391
P07025	P00391
P09030	P00391
P37175	P00391
P00892	P00391
P75989	P00391
P36979	P00391
Q46802	P00391
P23839	P00391
P31473	P00391
P39299	P00391
P0AFP6	P00393
P67910	P00393
P00350	P00393
P0A6F5	P00394
P00394	P00394
P39452	P00452
P37146	P00452
P00452	P00452
P0A9X4	P00452
P0A8A2	P00452
P00452	P00453
P37146	P00453
P39452	P00453
P00453	P00453
P04475	P00453
P00583	P00453
P00470	P00470
P00475	P00475
P06958	P00475
P00391	P00475
P09156	P00475
P37342	P00475
P00478	P00478
P00478	P00479
P02901	P00482
P00482	P00482
P00391	P00482
P03002	P00482
P02387	P00482
P02388	P00482
P02390	P00482
P02409	P00482
P02410	P00482
P02423	P00482
P02428	P00482
P02354	P00482
P02361	P00482
P02364	P00482
P02990	P00482
P37765	P00482
P10485	P00490
P02341	P00490
P00490	P00490
P00391	P00490
P02410	P00490
P02420	P00490
P42550	P00490
P12638	P00490
P32052	P00490
P76268	P00490
P0A7K6	P00490
P0A7T3	P00490
P0AGK4	P00490
P76550	P00490
P0ABT5	P00490
P0ABU7	P00490
P0A7Y4	P00490
P0AGE0	P00490
P20605	P00509
P37685	P00509
P37747	P00509
P00510	P00510
P00550	P00550
P19245	P00550
P00556	P00556
P00561	P00561
P03005	P00561
P0A6H5	P00561
P11028	P00574
P00575	P00574
P03020	P00574
P00574	P00574
P31804	P00574
P77071	P00574
P06613	P00574
P22539	P00574
P76211	P00574
P24285	P00574
P21346	P00574
P25521	P00574
P32679	P00574
P00582	P00574
P07012	P00574
P14374	P00574
P06958	P00574
P21889	P00574
P36996	P00574
P02384	P00574
P02386	P00574
P02389	P00574
P02392	P00574
P02410	P00574
P02413	P00574
P02414	P00574
P02420	P00574
P02427	P00574
P02428	P00574
P02436	P00574
P02351	P00574
P02352	P00574
P02354	P00574
P02370	P00574
P02371	P00574
P06612	P00574
P08390	P00574
P45567	P00574
P05852	P00574
P0A6F5	P00575
P03003	P00575
P24255	P00575
P08374	P00575
P77071	P00575
P76211	P00575
P15716	P00575
P06977	P00575
P05826	P00575
P23852	P00575
P25521	P00575
P29209	P00575
P14825	P00575
P13519	P00575
P00582	P00575
P00575	P00575
P77611	P00575
Q46814	P00575
P06961	P00575
P06613	P00575
P23367	P00575
P24211	P00575
P02387	P00575
P02388	P00575
P02409	P00575
P02436	P00575
P02378	P00575
P02379	P00575
P10408	P00575
P38684	P00575
P02990	P00575
P45567	P00575
P75776	P00575
P02339	P00575
P05838	P00575
P19675	P00575
P06612	P00575
P75767	P00575
P05852	P00575
P37195	P00575
P23839	P00575
P11989	P00577
P00575	P00577
P00579	P00577
P00574	P00577
P03003	P00577
P31804	P00577
P31690	P00577
P05082	P00577
P11028	P00577
P06977	P00577
P23852	P00577
P08936	P00577
P28632	P00577
P14825	P00577
P13519	P00577
P16921	P00577
P00582	P00577
P02388	P00577
P00577	P00577
P77609	P00577
P21501	P00577
P06983	P00577
P00490	P00577
P02387	P00577
P02386	P00577
P02418	P00577
P02416	P00577
P02423	P00577
P02352	P00577
P02354	P00577
P02356	P00577
P13445	P00577
P17580	P00577
P08390	P00577
P45571	P00577
P75829	P00577
P00892	P00577
P37195	P00577
P31690	P00579
P10411	P00579
P00574	P00579
P00579	P00579
P00575	P00579
P06134	P00579
P76211	P00579
P02995	P00579
P37095	P00579
P02384	P00579
P02392	P00579
P02422	P00579
P02349	P00579
P02351	P00579
P02352	P00579
P02354	P00579
P02359	P00579
P76367	P00579
P08504	P00579
P76268	P00579
P0AG30	P00579
P0A7K2	P00579
P0A7K6	P00579
P0AG48	P00579
P0A7M2	P00579
P0AE60	P00579
P0A7Z4	P00579
P0AFF6	P00579
P0A8T7	P00579
P0A800	P00579
P04475	P00580
P31690	P00580
P00575	P00580
P00580	P00580
P28304	P00580
P02392	P00580
P00574	P00580
P00577	P00580
P02354	P00580
P02341	P00582
P00582	P00582
P06959	P00582
P77182	P00582
P11028	P00582
P08936	P00582
P43329	P00582
P02342	P00582
P00391	P00582
P00490	P00582
P04384	P00582
P11880	P00582
P02410	P00582
P02428	P00582
P02351	P00582
P30856	P00582
P02990	P00582
P0ACI0	P00582
P0ADM6	P00582
P76550	P00582
P0A9W3	P00582
P0A715	P00582
P0A817	P00582
P0A7Z4	P00582
P00583	P00583
P10443	P00583
P28905	P00583
P29132	P00583
P14825	P00583
P17288	P00583
P21599	P00583
P77482	P00583
P31221	P00583
P00584	P00584
P02995	P00634
P46923	P00634
P0A759	P00634
P31133	P00634
P0A944	P00634
P00642	P00642
P19935	P00646
P21893	P00647
P00647	P00647
P06958	P00647
P06959	P00647
P02342	P00647
P00391	P00647
P00490	P00647
P15043	P00647
P02387	P00647
P02428	P00647
P02352	P00647
P02363	P00647
P02370	P00647
P02378	P00647
P02339	P00647
P06612	P00647
P0A9M2	P00804
P00805	P00805
P00816	P00816
P00824	P00822
P00859	P00822
P00822	P00822
P00831	P00824
P00837	P00824
P00859	P00824
P15038	P00824
P00575	P00824
P00824	P00824
P00822	P00831
P00844	P00831
P00859	P00831
P00837	P00832
P00831	P00832
P00824	P00832
P00831	P00837
P00822	P00837
P00837	P00837
P02424	P00837
P00837	P00844
P00855	P00844
P00844	P00844
P00832	P00844
P00859	P00844
P00824	P00855
P00859	P00859
P00855	P00859
P00861	P00861
P14825	P00861
P32053	P00864
P33195	P00864
P37330	P00864
P00882	P00882
P0A6F5	P00886
P00886	P00886
P00888	P00888
P00891	P00891
P24245	P00892
P00892	P00892
P06958	P00892
P06959	P00892
P33224	P00892
P02342	P00892
P02341	P00892
P02384	P00892
P02389	P00892
P02418	P00892
P02392	P00892
P02414	P00892
P02416	P00892
P02419	P00892
P02420	P00892
P02421	P00892
P02422	P00892
P02425	P00892
P02428	P00892
P00575	P00892
P02349	P00892
P02352	P00892
P02370	P00892
P02372	P00892
P02378	P00892
P75864	P00892
P37765	P00892
P33635	P00892
P36564	P00892
P75966	P00892
Q46930	P00892
P42550	P00892
P00893	P00893
P52644	P00893
P0AFI7	P00893
P0A7R1	P00893
P0A7M2	P00893
P0AG67	P00893
P00894	P00894
P0ADM8	P00894
P05041	P00903
P00907	P00907
P00913	P00913
P00914	P00914
P08142	P00923
P00928	P00932
P37647	P00934
P38104	P00934
P0AET2	P00934
P0ACF8	P00934
P0A7M2	P00934
P00935	P00935
P0A6N1	P00944
P00946	P00946
P18196	P00946
P75864	P00946
P00951	P00951
P04475	P00951
P00954	P00954
P02423	P00954
P02351	P00954
P00955	P00955
P08324	P00955
P02386	P00955
P02418	P00955
P02410	P00955
P02420	P00955
P02364	P00955
P02369	P00955
P02370	P00955
P77558	P00955
P42550	P00955
P23839	P00955
P00956	P00956
P02925	P00956
P02990	P00956
P77734	P00956
P0AE18	P00956
P00957	P00957
P04475	P00957
