Old Uniprot Acc	New Uniprot Acc
P37312	P0A830
P17963	P67910
P03007	P03007
P03702	P03702
O33976	O33976
P0A796	P0A796
Q46938	Q46938
P0AES9	P0AES9
P39366	P39366
P77399	P77399
P77515	P77515
P76347	P76347
P03003	P0AFF6
P00961	P00961
P45799	P45799
P27299	P60752
P0AC41	P0AC41
P39330	P0AF93
P77569	P77569
P77071	P77071
P02379	P68679
P02389	P62399
P77672	P77672
P37750	P37750
P02418	P0A7R1
P69811	P69811
P10440	P0A722
P0ADM8	P0ADM8
P77598	P77598
P0AAZ4	P0AAZ4
P24233	P0A763
P76034	P76034
P18843	P18843
P05637	P05637
P0ACD8	P0ACD8
P0AEK4	P0AEK4
P18335	P18335
P45535	P63389
P75988	P75988
P0AED0	P0AED0
P64503	P64503
P23855	P0AFN2
P0A9S3	P0A9S3
P04153	P0AG11
P45469	P45469
P0AFI7	P0AFI7
P33932	P0ABL5
P0ACJ8	P0ACJ8
P77268	P77268
P76272	P76272
P75682	P75682
P05704	P05704
P75905	P75905
P76128	P76128
P0AET2	P0AET2
P0A8Z3	P0A8Z3
P22106	P22106
P00822	P0ABB0
P43337	P43337
P06995	P0A6L4
P17114	P0ACC7
P77770	P0A9I1
P05791	P05791
P02933	P0AEJ4
P75746	P75746
P16700	P16700
P31805	P0AF67
P69222	P69222
P06961	P06961
P09831	P09831
P39176	P39176
P0ABU5	P0ABU5
P00935	P00935
P0AE39	P0AE39
P0A7R1	P0A7R1
P00951	P0AGJ9
P0AEZ3	P0AEZ3
P33360	P33360
Q46731	Q46731
P0AA37	P0AA37
P31473	P31473
P0AE88	P0AE88
P00370	P00370
P75776	P0A9U1
P39356	P39356
P37666	P37666
P05825	P05825
P07007	P0C079
P39435	P0AAI5
Q59384	P0AC81
P0A9K3	P0A9K3
P77228	P77228
P04805	P04805
Q47154	Q47154
P07019	P0AGD7
P28635	P28635
P0AFJ1	P0AFJ1
P02424	P0ADZ0
P65556	P65556
P43672	P43672
P33593	P33593
P07813	P07813
P39286	P39286
P0AB55	P0AB55
P33780	P0AGM7
P33643	P33643
P0AED9	P0AED9
P0AEN4	P0AEN4
P39411	P39411
P45526	P0AAZ4
P76086	P76086
P25845	P60716
P64557	P64557
P10485	P10485
P37440	P37440
P0A8F4	P0A8F4
P77308	P77308
P45567	P0A8E5
P23367	P23367
P77377	P77377
P45571	P0AAS7
P37342	P37342
P0A7J0	P0A7J0
P0AAC6	P0AAC6
P27302	P27302
P22333	P22333
P0A8U0	P0A8U0
P39452	P39452
P39164	P0AB52
P00888	P00888
P0A6P1	P0A6P1
P77241	P0ADY1
P29015	P0AFU8
P76255	P0AA91
P36554	P36554
P61175	P61175
P23870	P0ACE3
P17169	P17169
P16678	P16678
P76576	P76576
P28631	P28631
P25745	P25745
P77432	P77432
P09156	P0A8L1
P27242	P27242
P19677	P0ADZ7
P11880	P11880
P30014	P30014
P0A9Q1	P0A9Q1
P37127	P37127
P75794	P75794
P36560	P36560
P10120	P0ADX9
P69425	P69425
P15040	P0AG86
P13738	P13738
P04993	P04993
P25437	P25437
P39321	P39321
P0ADS6	P0ADS6
P77334	P77334
P08142	P08142
Q8PW07	Q8PW07
P0ABF1	P0ABF1
P06846	P06846
Q47413	P0ADQ7
P07011	P0A7I0
P76440	P76440
P39180	P39180
P45543	P45543
P0AFS3	P0AFS3
P24205	P24205
P39171	P0A6B7
P30131	P30131
P52005	P52005
P09097	P0AES4
P0AF90	P0AF90
P76658	P76658
P0A964	P0A964
P02374	P0A7T7
P32666	P0A7C6
P28629	P28629
P12283	P0A7D4
P0AB91	P0AB91
P0A7B8	P0A7B8
P0A7A9	P0A7A9
P75936	P75936
P27851	P0A887
P02927	P0AEE5
P39346	P39346
P22186	P22186
P76502	P76502
P46068	P46068
P30856	P0A9K9
P37659	P37659
P21889	P21889
P0AGB0	P0AGB0
P0AA25	P0AA25
P02384	P0A7L0
P41074	P0AER3
P19925	P19925
Q46820	Q46820
P15770	P15770
P0ADX9	P0ADX9
P00550	P00550
P36995	P36995
P0A722	P0A722
P00274	P0AA25
P0AGE0	P0AGE0
P37192	P0C8J6
P0A6I9	P0A6I9
P0A953	P0A953
P03623	P03623
P07652	P0A725
P0AF76	P0AF76
P02999	P0A707
P31463	P31463
P09557	P09557
P09392	P0ACL0
P07027	P0AED5
P15034	P15034
P00479	P0A786
Q46856	Q46856
P0ABZ1	P0ABZ1
P39358	P39358
P11349	P11349
P52612	P52612
P76111	P76111
P27292	P0ACI0
P94739	P02929
P04381	P0A780
P05041	P05041
P77615	P77615
P0A9R7	P0A9R7
P0ABA4	P0ABA4
P0A7F9	P0A7F9
P0A6D7	P0A6D7
P76524	P76524
Q60150	P61889
P0A8D0	P0A8D0
P03017	P0A7G6
P0A6N1	P0A6N1
P31067	P0ABZ1
P24188	P24188
P0AAB8	P0AAB8
P0AAH8	P0AAH8
P30745	P30745
P60624	P60624
P76388	P0A930
P07002	P0AB67
P02363	P0A7X3
P07015	P0AFG3
P00894	P00894
P04395	P04395
P0AGJ5	P0AGJ5
P0ACA3	P0ACA3
P77747	P77747
P10957	P0AF28
P0A7I7	P0A7I7
P68206	P68206
P03024	P03024
P0A9H3	P0A9H3
P0AC81	P0AC81
P60844	P60844
P0AAI5	P0AAI5
P31120	P31120
P42908	P0AB74
P32701	P32701
P45397	P0ADV9
P0A988	P0A988
P0AEF0	P0AEF0
O85626	O85626
P02920	P02920
P17547	P0A9Q7
P64455	P64455
P67910	P67910
P69776	P69776
P25531	P25531
P07376	P07376
P27252	P0A7Z0
P45748	P45748
P76189	P67430
P0AAF6	P0AAF6
Q46926	P0AGF2
P0AE45	P0AE45
P0AER3	P0AER3
P0A6Q6	P0A6Q6
P05050	P05050
P05719	P05719
P0A7V8	P0A7V8
P07363	P07363
P00646	P00646
P0AE60	P0AE60
P0AEE3	P0AEE3
P77606	P0ABF4
P11056	P0ABD3
P0A910	P0A910
P37685	P37685
P71229	P71229
P0AEB7	P0AEB7
P06974	P06974
P60422	P60422
P0AFI2	P0AFI2
P63177	P63177
P0A858	P0A858
P0A6U5	P0A6U5
P40710	P40710
P37052	P37052
P0AAF3	P0AAF3
P21645	P21645
P77645	P0AEI1
P33633	P68066
P77385	P0A898
P0ADY3	P0ADY3
Q39249	Q39249
P06999	P06999
P76594	P76594
P32131	P32131
P08202	P08202
P10904	P0AG80
P0A7H0	P0A7H0
P07648	P07648
P37617	P37617
P11875	P11875
P0A7X3	P0A7X3
P0ABJ1	P0ABJ1
P46130	P46130
P42588	P42588
P09053	P09053
P36651	Q93K97
