ID interactor A	ID interactor B
 P0AB91	 P0AB91
A0R561	P0A8V2
O22160	P0AA25
O33976	O33976
O50190	Q9AJ15
O50190	Q47015
O85626	O85626
P00350	P39274
P00350	P0ABU7
P00350	P09832
P00350	P00393
P00363	P0A9L8
P00363	P0A8Q0
P00363	P08409
P00363	P00363
P00370	P00370
P00393	P0ADQ7
P00393	P0A6N1
P00452	P76558
P00452	P76351
P00452	P69924
P00452	P13519
P00452	P0A6N1
P00452	P07004
P00452	P02990
P00452	P00452
P00490	P76049
P00490	P68739
P00490	P61175
P00490	P60723
P00490	P60438
P00490	P39274
P00490	P37765
P00490	P68739
P00490	P0AGE0
P00490	P0AG48
P00490	P0AG48
P00490	P0ACF8
P00490	P0ACF4
P00490	P0ACF0
P00490	P0ACF0
P00490	P0AA10
P00490	P0A8T7
P00490	P0A8T7
P00490	P0A8M6
P00490	P0A832
P00490	P0A7Y4
P00490	P0A7R1
P00490	P0A7R1
P00490	P0A7L0
P00490	P0A7L0
P00490	P0A715
P00490	P09030
P00490	P06959
P00490	P06612
P00490	P05719
P00490	P05055
P00490	P03018
P00490	P00582
P00490	P00490
P00509	P33599
P00509	P0A850
P00550	P0A6G7
P00550	P00550
P00561	P0A6H5
P00561	P0ACB0
P00561	P0A850
P00561	P00561
P00562	P0A9B2
P00579	P77319
P00579	P77071
P00579	P61175
P00579	P60723
P00579	P60723
P00579	P60422
P00579	P30867
P00579	P0AG67
P00579	P0AG30
P00579	P0AFF6
P00579	P0ACJ8
P00579	P0A9E5
P00579	P0A9B2
P00579	P0A9B2
P00579	P0A8V2
P00579	P0A8T7
P00579	P0A8M6
P00579	P0A800
P00579	P0A7W1
P00579	P0A7M2
P00579	P0A7L0
P00579	P0A7K6
P00579	P0A705
P00579	P09378
P00579	P09377
P00579	P02990
P00579	P02413
P00579	P02358
P00579	P00579
P00582	P76268
P00582	P60723
P00582	P33666
P00582	P31461
P00582	P14374
P00582	P10485
P00582	P0ACF4
P00582	P0ACF0
P00582	P0A8V2
P00582	P0A8T7
P00582	P0A7Z4
P00582	P0A7K2
P00582	P0A6R3
P00582	P0A6N1
P00582	P07012
P00582	P00582
P00583	P77395
P00583	P77391
P00583	P77225
P00583	P69931
P00583	P69924
P00583	P0A972
P00583	P36995
P00583	P36950
P00583	P32661
P00583	P28630
P00583	P25887
P00583	P24233
P00583	P24182
P00583	P23892
P00583	P23243
P00583	P16659
P00583	P15277
P00583	P0A6F9
P00583	P07004
P00583	P06710
P00583	P03007
P00583	P00583
P00634	P0AEG4
P00634	P0ABU7
P00634	P0ABG4
P00634	P0A705
P00634	P09546
P00642	P00642
P00646	P02984
P00804	P0A9D8
P00804	P0A7T3
P00805	P37751
P00805	P02918
P00805	P00805
P00816	P00816
P00861	P22257
P00861	P16244
P00861	P0AE88
P00861	P00861
P00864	P0A7M2
P00887	P0A6F5
P00888	P00888
P00892	P76116
P00892	P75828
P00892	P61175
P00892	P60723
P00892	P60438
P00892	P60422
P00892	P43329
P00892	P37634
P00892	P0A9Y6
P00892	P30871
P00892	P30867
P00892	P25888
P00892	P23830
P00892	P23304
P00892	P21507
P00892	P21499
P00892	P17580
P00892	P15277
P00892	P10408
P00892	P0AG55
P00892	P0ADY3
P00892	P0AAS7
P00892	P0AA10
P00892	P0A9P0
P00892	P0A8T7
P00892	P0A7W1
P00892	P0A7V8
P00892	P0A7V0
P00892	P0A7T7
P00892	P0A7S9
P00892	P0A705
P00892	P02413
P00892	P02359
P00892	P02358
P00892	P00892
