From	To
P69430	TATA_ECO57
P69429	TATA_ECOL6
P69428	TATA_ECOLI
P69431	TATA_SHIFL
P69426	TATB_ECO57
P69425	TATB_ECOLI
P69427	TATB_SHIFL
P0AA27	THIO_ECO57
P0AA26	THIO_ECOL6
P0AA25	THIO_ECOLI
P0AA29	THIO_SALTI
P0AA28	THIO_SALTY
P0AA30	THIO_SHIFL
P0AC49	FRDB_ECO57
P0AC48	FRDB_ECOL6
P0AC47	FRDB_ECOLI
P0AC50	FRDB_SHIFL
P0A9L8	P5CR_ECOLI
P0A9L9	P5CR_SHIFL
P0AB82	ILVE_ECO57
P0AB81	ILVE_ECOL6
P0AB80	ILVE_ECOLI
P0ABN3	KDGL_ECO57
P0ABN2	KDGL_ECOL6
P0ABN1	KDGL_ECOLI
P0ABN4	KDGL_SHIFL
P0A7Z6	RPOA_ECO57
P0A7Z5	RPOA_ECOL6
P0A7Z4	RPOA_ECOLI
P0A7Z8	RPOA_SALTI
P0A7Z7	RPOA_SALTY
P0A7Z9	RPOA_SHIFL
P0A8V4	RPOB_ECO57
P0A8V3	RPOB_ECOL6
P0A8V2	RPOB_ECOLI
P0A8V5	RPOB_SHIFL
P0A8T8	RPOC_ECO57
P0A8T7	RPOC_ECOLI
P0A8T9	RPOC_SHIFL
P0AGB5	RP32_ECO57
P0AGB4	RP32_ECOL6
P0AGB3	RP32_ECOLI
P0A990	DPO3B_ECO57
P0A989	DPO3B_ECOL6
P0A988	DPO3B_ECOLI
P0A6V3	GLGC_ECO57
P0A6V2	GLGC_ECOL6
P0A6V1	GLGC_ECOLI
P0A6V4	GLGC_SHIFL
P0A7Y6	RNH_ECO57
P0A7Y5	RNH_ECOL6
P0A7Y4	RNH_ECOLI
P0A7Y7	RNH_SHIFL
P0ABB2	ATPA_ECO57
P0ABB1	ATPA_ECOL6
P0ABB0	ATPA_ECOLI
P0ABB3	ATPA_SHIFL
P0ABB6	ATPB_ECO57
P0ABB5	ATPB_ECOL6
P0ABB4	ATPB_ECOLI
P0ABB7	ATPB_SHIFL
P0ABA5	ATPD_ECO57
P0ABA4	ATPD_ECOLI
P0A6E7	ATPE_ECOL6
P0A6E6	ATPE_ECOLI
P0A6E8	ATPE_SHIFL
P0ABA8	ATPG_ECO57
P0ABA7	ATPG_ECOL6
P0ABA6	ATPG_ECOLI
P0ABA9	ATPG_SHIFL
P68701	ATPL_ECO57
P68700	ATPL_ECOL6
P68699	ATPL_ECOLI
P68702	ATPL_PHOLL
P68703	ATPL_SALTI
P68704	ATPL_SALTY
P68705	ATPL_SHIFL
P68706	ATPL_YERPE
P0AB99	ATP6_ECO57
P0AB98	ATP6_ECOLI
P0ABA2	ATPF_ECO57
P0ABA1	ATPF_ECOL6
P0ABA0	ATPF_ECOLI
P0ABA3	ATPF_SHIFL
P0A6L1	DEOC_ECOL6
P0A6L0	DEOC_ECOLI
P0AB92	AROG_ECO57
P0AB91	AROG_ECOLI
P0ABH8	CISY_ECOL6
P0ABH7	CISY_ECOLI
P0A6F2	CARA_ECO57
P0A6F1	CARA_ECOLI
P0A853	TNAA_ECOLI
P0A854	TNAA_SHIFL
P0AC34	FUMA_ECOL6
P0AC33	FUMA_ECOLI
P0A877	TRPA_ECOLI
P0A878	TRPA_SHIFL
P0AGK0	SYY_ECO57
P0AGJ9	SYY_ECOLI
P0A8M4	SYT_ECOL6
P0A8M3	SYT_ECOLI
P0A8M5	SYT_SHIFL
P0AGE2	SSB_ECO57
P0AGE1	SSB_ECOL6
P0AGE0	SSB_ECOLI
P0AGE3	SSB_SHIFL
P0ACF6	DBHB_ECO57
P0ACF5	DBHB_ECOL6
P0ACF4	DBHB_ECOLI
P0ACF7	DBHB_SHIFL
P0ACF2	DBHA_ECO57
P0ACF1	DBHA_ECOL6
P0ACF0	DBHA_ECOLI
P0ACF3	DBHA_SHIFL
P0AG69	RS1_ECO57
P0AG68	RS1_ECOL6
P0AG67	RS1_ECOLI
P0AG70	RS1_SHIFL
P0A7V2	RS2_ECO57
P0A7V1	RS2_ECOL6
P0A7V0	RS2_ECOLI
P0A7V5	RS3_ECO57
P0A7V4	RS3_ECOL6
P0A7V3	RS3_ECOLI
P0A7V7	RS3_SALTI
P0A7V6	RS3_SALTY
P0A7W0	RS4_ECO57
P0A7V9	RS4_ECOL6
P0A7V8	RS4_ECOLI
P0A7W3	RS5_ECO57
P0A7W2	RS5_ECOL6
P0A7W1	RS5_ECOLI
P0A7W5	RS5_SALTI
P0A7W4	RS5_SALTY
P0A7W6	RS5_SHIFL
P0A7W9	RS8_ECO57
P0A7W8	RS8_ECOL6
P0A7W7	RS8_ECOLI
P0A7X1	RS8_SALTI
P0A7X0	RS8_SALTY
P0A7X2	RS8_SHIFL
P0A7X5	RS9_ECO57
P0A7X4	RS9_ECOL6
P0A7X3	RS9_ECOLI
P0A7R7	RS10_ECO57
P0A7R6	RS10_ECOL6
P0A7R5	RS10_ECOLI
P0A7R8	RS10_SHIFL
P0A7S1	RS11_ECO57
P0A7S0	RS11_ECOL6
P0A7R9	RS11_ECOLI
P0A7S2	RS11_SHIFL
P0A7S5	RS12_ECO57
P0A7S4	RS12_ECOL6
P0A7S3	RS12_ECOLI
P0A7S7	RS12_SALTI
P0A7S6	RS12_SALTY
P0A7S8	RS12_SHIFL
P0A7T1	RS13_ECO57
P0A7T0	RS13_ECOL6
P0A7S9	RS13_ECOLI
P0A7T2	RS13_SHIFL
P0AG61	RS14_ECO57
P0AG60	RS14_ECOL6
P0AG59	RS14_ECOLI
P0AG62	RS14_SHIFL
P0ADZ5	RS15_ECOL6
P0ADZ4	RS15_ECOLI
P0ADZ6	RS15_SHIFL
P0A7T5	RS16_ECO57
P0A7T4	RS16_ECOL6
P0A7T3	RS16_ECOLI
P0A7T6	RS16_SHIFL
P0A7T9	RS18_ECO57
P0A7T8	RS18_ECOL6
P0A7T7	RS18_ECOLI
P0A7U0	RS18_PHOLL
P0A7U1	RS18_SALTI
P0A7U2	RS18_SHIFL
P0A7U5	RS19_ECO57
P0A7U4	RS19_ECOL6
P0A7U3	RS19_ECOLI
P0A7U6	RS19_SHIFL
P0A7U9	RS20_ECO57
P0A7U8	RS20_ECOL6
P0A7U7	RS20_ECOLI
P68681	RS21_ECO57
P68680	RS21_ECOL6
P68679	RS21_ECOLI
P68682	RS21_PHOLL
P68683	RS21_SALTI
P68684	RS21_SALTY
P68685	RS21_SHIFL
P68686	RS21_YERPE
P0A7L2	RL1_ECO57
P0A7L1	RL1_ECOL6
P0A7L0	RL1_ECOLI
P60440	RL3_ECO57
P60439	RL3_ECOL6
P60438	RL3_ECOLI
P60447	RL3_SHIFL
P60424	RL2_ECO57
P60423	RL2_ECOL6
P60422	RL2_ECOLI
P60429	RL2_SHIFL
P60725	RL4_ECO57
P60724	RL4_ECOL6
P60723	RL4_ECOLI
P60727	RL4_SALTI
P60726	RL4_SALTY
P62401	RL5_ECO57
P62400	RL5_ECOL6
P62399	RL5_ECOLI
P0AG57	RL6_ECO57
P0AG56	RL6_ECOL6
P0AG55	RL6_ECOLI
P0AG58	RL6_SHIFL
P0A7K4	RL7_ECO57
P0A7K3	RL7_ECOL6
P0A7K2	RL7_ECOLI
P0A7K5	RL7_SHIFL
P0A7J5	RL10_ECO57
P0A7J4	RL10_ECOL6
P0A7J3	RL10_ECOLI
P0A7J6	RL10_SHIFL
P0A7J9	RL11_ECO57
P0A7J8	RL11_ECOL6
P0A7J7	RL11_ECOLI
P0A7K1	RL11_SALTI
P0A7K0	RL11_SALTY
P0AA12	RL13_ECO57
P0AA11	RL13_ECOL6
P0AA10	RL13_ECOLI
P0AA14	RL13_SALTI
P0AA13	RL13_SALTY
P0AA15	RL13_SHIFL
P0ADY5	RL14_ECO57
P0ADY4	RL14_ECOL6
P0ADY3	RL14_ECOLI
P0ADY6	RL14_SHIFL
P0ADY9	RL16_ECO57
P0ADY8	RL16_ECOL6
P0ADY7	RL16_ECOLI
P0AG46	RL17_ECO57
P0AG45	RL17_ECOL6
P0AG44	RL17_ECOLI
P0AG47	RL17_SHIFL
P0A7R3	RL9_ECO57
P0A7R2	RL9_ECOL6
P0A7R1	RL9_ECOLI
P0A7R4	RL9_SHIFL
P0C020	RL18_ECO57
P0C019	RL18_ECOL6
P0C018	RL18_ECOLI
P0C021	RL18_SHIFL
P0A7K8	RL19_ECO57
P0A7K7	RL19_ECOL6
P0A7K6	RL19_ECOLI
P0A7K9	RL19_SHIFL
P0A7L5	RL20_ECO57
P0A7L4	RL20_ECOL6
P0A7L3	RL20_ECOLI
P0A7L7	RL20_SALTI
P0A7L6	RL20_SALTY
P0AG49	RL21_ECO57
P0AG48	RL21_ECOLI
P0AG50	RL21_SHIFL
P61177	RL22_ECO57
P61176	RL22_ECOL6
P61175	RL22_ECOLI
P61178	RL22_SALTI
P61179	RL22_SALTY
P0ADZ2	RL23_ECO57
P0ADZ1	RL23_ECOL6
P0ADZ0	RL23_ECOLI
P0ADZ3	RL23_SHIFL
P60625	RL24_ECO57
P60624	RL24_ECOLI
P60626	RL24_SALTY
P68919	RL25_ECOLI
P68918	RL25_SHIFL
P0A7M0	RL27_ECO57
P0A7L9	RL27_ECOL6
P0A7L8	RL27_ECOLI
P0A7M1	RL27_SHIFL
P0A7M4	RL28_ECO57
P0A7M3	RL28_ECOL6
P0A7M2	RL28_ECOLI
P0A7M5	RL28_SHIFL
P0A7M8	RL29_ECO57
P0A7M7	RL29_ECOL6
P0A7M6	RL29_ECOLI
P0AG53	RL30_ECO57
P0AG52	RL30_ECOL6
P0AG51	RL30_ECOLI
P0AG54	RL30_SHIFL
P0A7N5	RL32_ECO57
P0A7N4	RL32_ECOLI
P0A7N7	RL32_SALTI
P0A7N6	RL32_SALTY
P0A7N8	RL32_SHIFL
P0A7P1	RL33_ECO57
P0A7P0	RL33_ECOL6
P0A7N9	RL33_ECOLI
P0A7P3	RL33_SALTI
P0A7P2	RL33_SALTY
P0A7P4	RL33_SHIFL
P0A7P7	RL34_ECO57
P0A7P6	RL34_ECOL6
P0A7P5	RL34_ECOLI
P0A7P9	RL34_SALTI
P0A7P8	RL34_SALTY
P0A7Q0	RL34_SHIFL
P0A6B3	ACP1_SHIFL
P0A6B0	ACP_ECO57
P0A6A9	ACP_ECOL6
P0A6A8	ACP_ECOLI
P0A6B2	ACP_SALTI
P0A6B1	ACP_SALTY
P0ABE0	BCCP_ECO57
P0ABD9	BCCP_ECOL6
P0ABD8	BCCP_ECOLI
P0ABE1	BCCP_SHIFL
P68188	MALK_ECO57
P68187	MALK_ECOLI
P0ABS6	PRIM_ECO57
P0ABS5	PRIM_ECOLI
P0ABS7	PRIM_SHIFL
P0AEE6	DGAL_ECOL6
P0AEE5	DGAL_ECOLI
P0AEE7	DGAL_SHIFL
P0AEY0	MALE_ECO57
P0AEX9	MALE_ECOLI
P0AEJ4	ENVZ_ECOLI
P0AEJ5	ENVZ_SHIFL
P0A911	OMPA_ECO57
P0A910	OMPA_ECOLI
P69778	LPP_ECO57
P69777	LPP_ECOL6
P69776	LPP_ECOLI
P69780	LPP_SHIFL
P0CE47	EFTU1_ECOLI
P0CE48	EFTU2_ECOLI
P0A6N3	EFTU_ECO57
P0A6N2	EFTU_ECOL6
P0A706	IF2_ECO57
P0A705	IF2_ECOLI
P0A6N0	EFG_ECO57
P0A6M9	EFG_ECOL6
P0A6M8	EFG_ECOLI
P0A6P3	EFTS_ECO57
P0A6P2	EFTS_ECOL6
P0A6P1	EFTS_ECOLI
P0A6P4	EFTS_SHIFL
P69224	IF1_ECO57
P69223	IF1_ECOL6
P69222	IF1_ECOLI
P69225	IF1_SALTI
P69226	IF1_SALTY
P69227	IF1_SHIFL
P0A709	IF3_ECO57
P0A708	IF3_ECOL6
P0A707	IF3_ECOLI
P0AG32	RHO_ECO57
P0AG31	RHO_ECOL6
P0AG30	RHO_ECOLI
P0AG33	RHO_SHIFL
P0AFF8	NUSA_ECO57
P0AFF7	NUSA_ECOL6
P0AFF6	NUSA_ECOLI
P0AFF9	NUSA_SHIFL
P0ACB0	DNAB_ECOLI
P0ACB1	DNAB_SHIFL
P0A7H2	RECF_ECO57
P0A7H1	RECF_ECOL6
P0A7H0	RECF_ECOLI
P0A7G8	RECA_ECO57
P0A7G7	RECA_ECOL6
P0A7G6	RECA_ECOLI
P0A7G9	RECA_SHIFL
P0A9E7	FNR_ECO57
P0A9E6	FNR_ECOL6
P0A9E5	FNR_ECOLI
P0A9E8	FNR_SHIFL
P0ACK0	CRP_ECO57
P0ACJ9	CRP_ECOL6
P0ACJ8	CRP_ECOLI
P0ACK1	CRP_SHIFL
P0A9E1	ARAC_ECO57
P0A9E0	ARAC_ECOLI
P0AA18	OMPR_ECO57
P0AA17	OMPR_ECOL6
P0AA16	OMPR_ECOLI
P0AA20	OMPR_SALTI
P0AA19	OMPR_SALTY
P0AA21	OMPR_SHIFL
P0A9Q3	ARCA_ECO57
P0A9Q2	ARCA_ECOL6
P0A9Q1	ARCA_ECOLI
P0A9Q4	ARCA_SHIFL
P0A882	TRPR_ECO57
P0A881	TRPR_ECOLI
P0A883	TRPR_SHIFL
P0A7C4	LEXA_ECO57
P0A7C3	LEXA_ECOL6
P0A7C2	LEXA_ECOLI
P0A7C5	LEXA_SHIFL
P0A8Q2	FRDC_ECO57
P0A8Q1	FRDC_ECOL6
P0A8Q0	FRDC_ECOLI
P0A8Q4	FRDD_ECO57
P0A8Q3	FRDD_ECOLI
P0A8Q5	FRDD_SHIFL
P0ACI8	ASNC_ECO57
P0ACI7	ASNC_ECOL6
P0ACI6	ASNC_ECOLI
P0ACI9	ASNC_SHIFL
P0A8N9	YJEA_ECO57
P0A8N8	YJEA_ECOL6
P0A8N7	YJEA_ECOLI
P0A8P0	YJEA_SHIFL
P63285	CLPB_ECO57
