Entry Name A	Entry Name B	Accession A	Accession B
6PGD_ECOLI	DHNA_ECOLI	P00350	P00393
6PGD_ECOLI	GLTD_ECOLI	P00350	P09832
6PGD_ECOLI	EXBB_ECOLI	P00350	P0ABU7
6PGD_ECOLI	YJDJ_ECOLI	P00350	P39274
FRDA_ECOLI	FRDC_ECOLI	P00363	P0A8Q0
FRDA_ECOLI	FRDA_ECOLI	P00363	P00363
FRDA_ECOLI	P5CR_ECOLI	P00363	P0A9L8
DHE4_ECOLI	DHE4_ECOLI	P00370	P00370
DHNA_ECOLI	YGAM_ECOLI	P00393	P0ADQ7
DHNA_ECOLI	EFTU1_ECOLI	P00393	P0CE47
RIR1_ECOLI	RIR1_ECOLI	P00452	P00452
RIR1_ECOLI	PROA_ECOLI	P00452	P07004
RIR1_ECOLI	YEEN_ECOLI	P00452	P0A8A2
RIR1_ECOLI	MREB_ECOLI	P00452	P0A9X4
RIR1_ECOLI	EFTU1_ECOLI	P00452	P0CE47
RIR1_ECOLI	RIR2_ECOLI	P00452	P69924
RIR1_ECOLI	MAO2_ECOLI	P00452	P76558
PHSM_ECOLI	PHSM_ECOLI	P00490	P00490
PHSM_ECOLI	DPO1_ECOLI	P00490	P00582
PHSM_ECOLI	UVRD_ECOLI	P00490	P03018
PHSM_ECOLI	PNP_ECOLI	P00490	P05055
PHSM_ECOLI	T1SK_ECOLI	P00490	P05719
PHSM_ECOLI	TOP1_ECOLI	P00490	P06612
PHSM_ECOLI	ODP2_ECOLI	P00490	P06959
PHSM_ECOLI	EX3_ECOLI	P00490	P09030
PHSM_ECOLI	KDSA_ECOLI	P00490	P0A715
PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0
PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0
PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1
PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1
PHSM_ECOLI	RNH_ECOLI	P00490	P0A7Y4
PHSM_ECOLI	SSRP_ECOLI	P00490	P0A832
PHSM_ECOLI	YEEX_ECOLI	P00490	P0A8M6
PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7
PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7
PHSM_ECOLI	RL13_ECOLI	P00490	P0AA10
PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0
PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0
PHSM_ECOLI	DBHB_ECOLI	P00490	P0ACF4
PHSM_ECOLI	HNS_ECOLI	P00490	P0ACF8
PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48
PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48
PHSM_ECOLI	SSB_ECOLI	P00490	P0AGE0
PHSM_ECOLI	RLUB_ECOLI	P00490	P37765
PHSM_ECOLI	YJDJ_ECOLI	P00490	P39274
PHSM_ECOLI	RL3_ECOLI	P00490	P60438
PHSM_ECOLI	RL4_ECOLI	P00490	P60723
PHSM_ECOLI	RL22_ECOLI	P00490	P61175
PHSM_ECOLI	NFI_ECOLI	P00490	P68739
PHSM_ECOLI	NFI_ECOLI	P00490	P68739
PHSM_ECOLI	YCJY_ECOLI	P00490	P76049
AAT_ECOLI	TIG_ECOLI	P00509	P0A850
AAT_ECOLI	NUOCD_ECOLI	P00509	P33599
PTM3C_ECOLI	CLPP_ECOLI	P00550	P0A6G7
PTM3C_ECOLI	PTM3C_ECOLI	P00550	P00550
AK1H_ECOLI	HSLU_ECOLI	P00561	P0A6H5
AK1H_ECOLI	TIG_ECOLI	P00561	P0A850
AK1H_ECOLI	DNAB_ECOLI	P00561	P0ACB0
AK1H_ECOLI	AK1H_ECOLI	P00561	P00561
AK2H_ECOLI	G3P1_ECOLI	P00562	P0A9B2
RPOD_ECOLI	RPOD_ECOLI	P00579	P00579
RPOD_ECOLI	RS6_ECOLI	P00579	P02358
RPOD_ECOLI	RL15_ECOLI	P00579	P02413
RPOD_ECOLI	RHAS_ECOLI	P00579	P09377
RPOD_ECOLI	RHAR_ECOLI	P00579	P09378
RPOD_ECOLI	IF2_ECOLI	P00579	P0A705
RPOD_ECOLI	RL19_ECOLI	P00579	P0A7K6
RPOD_ECOLI	RL1_ECOLI	P00579	P0A7L0
RPOD_ECOLI	RL28_ECOLI	P00579	P0A7M2
RPOD_ECOLI	RS5_ECOLI	P00579	P0A7W1
RPOD_ECOLI	RPOZ_ECOLI	P00579	P0A800
RPOD_ECOLI	YEEX_ECOLI	P00579	P0A8M6
RPOD_ECOLI	RPOC_ECOLI	P00579	P0A8T7
RPOD_ECOLI	RPOB_ECOLI	P00579	P0A8V2
RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2
RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2
RPOD_ECOLI	FNR_ECOLI	P00579	P0A9E5
RPOD_ECOLI	ACCA_ECOLI	P00579	P0ABD5
RPOD_ECOLI	CRP_ECOLI	P00579	P0ACJ8
RPOD_ECOLI	NUSA_ECOLI	P00579	P0AFF6
RPOD_ECOLI	RHO_ECOLI	P00579	P0AG30
RPOD_ECOLI	RS1_ECOLI	P00579	P0AG67
RPOD_ECOLI	RL2_ECOLI	P00579	P60422
RPOD_ECOLI	RL4_ECOLI	P00579	P60723
RPOD_ECOLI	RL4_ECOLI	P00579	P60723
RPOD_ECOLI	RL22_ECOLI	P00579	P61175
RPOD_ECOLI	HSCC_ECOLI	P00579	P77319
DPO1_ECOLI	DPO1_ECOLI	P00582	P00582
DPO1_ECOLI	RF2_ECOLI	P00582	P07012
DPO1_ECOLI	FIS_ECOLI	P00582	P0A6R3
DPO1_ECOLI	RL7_ECOLI	P00582	P0A7K2
DPO1_ECOLI	RPOA_ECOLI	P00582	P0A7Z4
DPO1_ECOLI	RPOC_ECOLI	P00582	P0A8T7
DPO1_ECOLI	RPOB_ECOLI	P00582	P0A8V2
DPO1_ECOLI	DBHA_ECOLI	P00582	P0ACF0
DPO1_ECOLI	DBHB_ECOLI	P00582	P0ACF4
DPO1_ECOLI	YIDX_ECOLI	P00582	P0ADM6
DPO1_ECOLI	EFTU1_ECOLI	P00582	P0CE47
DPO1_ECOLI	YDBA_ECOLI	P00582	P33666
DPO1_ECOLI	RL4_ECOLI	P00582	P60723
DPO1_ECOLI	RCSB_ECOLI	P00582	P69407
DPO1_ECOLI	KDGR_ECOLI	P00582	P76268
PPB_ECOLI	IF2_ECOLI	P00634	P0A705
PPB_ECOLI	FTSW_ECOLI	P00634	P0ABG4
PPB_ECOLI	EXBB_ECOLI	P00634	P0ABU7
PPB_ECOLI	PUTA_ECOLI	P00634	P09546
LSPA_ECOLI	DAPD_ECOLI	P00804	P0A9D8
LSPA_ECOLI	RS16_ECOLI	P00804	P0A7T3
ASPG2_ECOLI	PBPA_ECOLI	P00805	P02918
ASPG2_ECOLI	YEFI_ECOLI	P00805	P37751
CYNS_ECOLI	CYNS_ECOLI	P00816	P00816
DCDA_ECOLI	TIG_ECOLI	P00861	P0A850
DCDA_ECOLI	DCDA_ECOLI	P00861	P00861
DCDA_ECOLI	CPXR_ECOLI	P00861	P0AE88
DCDA_ECOLI	CPXR_ECOLI	P00861	P0AE88
CAPP_ECOLI	RL28_ECOLI	P00864	P0A7M2
AROH_ECOLI	CH60_ECOLI	P00887	P0A6F5
AROF_ECOLI	AROF_ECOLI	P00888	P00888
ILVG_ECOLI	RS6_ECOLI	P00892	P02358
ILVG_ECOLI	RS7_ECOLI	P00892	P02359
ILVG_ECOLI	RL15_ECOLI	P00892	P02413
ILVG_ECOLI	IF2_ECOLI	P00892	P0A705
ILVG_ECOLI	RS13_ECOLI	P00892	P0A7S9
ILVG_ECOLI	RS18_ECOLI	P00892	P0A7T7
ILVG_ECOLI	RS2_ECOLI	P00892	P0A7V0
ILVG_ECOLI	RS4_ECOLI	P00892	P0A7V8
ILVG_ECOLI	RS5_ECOLI	P00892	P0A7W1
