P37009	FBPC_ECOLI	FBPC_ECOLI_F1
P52131	YFJP_ECOLI	YFJP_ECOLI_F1
P07821	FHUC_ECOLI	FHUC_ECOLI_F1
P06974	FLIM_ECOLI	FLIM_ECOLI_F1
P0ABX8	FLIL_ECOLI	FLIL_ECOLI_F1
P0ABZ1	FLIG_ECOLI	FLIG_ECOLI_F1
P15031	FECE_ECOLI	FECE_ECOLI_F1
P15070	FLIN_ECOLI	FLIN_ECOLI_F1
P37188	PTKB_ECOLI	PTKB_ECOLI_F1
P37751	YEFI_ECOLI	YEFI_ECOLI_F1
P45759	GSPE_ECOLI	GSPE_ECOLI_F1
P52613	FLIJ_ECOLI	FLIJ_ECOLI_F1
P58035	SGCB_ECOLI	SGCB_ECOLI_F1
P69828	PTKA_ECOLI	PTKA_ECOLI_F1
Q47538	TAUB_ECOLI	TAUB_ECOLI_F1
P0AFM6	PSPA_ECOLI	PSPA_ECOLI_F1
P31450	GLVG_ECOLI	GLVG_ECOLI_F1
P77481	YCJV_ECOLI	YCJV_ECOLI_F1
P37388	XYLG_ECOLI	XYLG_ECOLI_F1
P00363	FRDA_ECOLI	FRDA_ECOLI_F1
P00393	DHNA_ECOLI	DHNA_ECOLI_F1
P00561	AK1H_ECOLI	AK1H_ECOLI_F1
P00904	TRPG_ECOLI	TRPG_ECOLI_F1
P04825	AMPN_ECOLI	AMPN_ECOLI_F1
P04983	RBSA_ECOLI	RBSA_ECOLI_F1
P06149	DLD_ECOLI	DLD_ECOLI_F1
P06611	BTUD_ECOLI	BTUD_ECOLI_F1
P06616	ERA_ECOLI	ERA_ECOLI_F1
P07000	PLDB_ECOLI	PLDB_ECOLI_F1
P07003	POXB_ECOLI	POXB_ECOLI_F1
P07014	DHSB_ECOLI	DHSB_ECOLI_F1
P07109	HISP_ECOLI	HISP_ECOLI_F1
P08839	PT1_ECOLI	PT1_ECOLI_F1
P09152	NARG_ECOLI	NARG_ECOLI_F1
P09546	PUTA_ECOLI	PUTA_ECOLI_F1
P0A6J5	DADA_ECOLI	DADA_ECOLI_F1
P0A6Q6	FABZ_ECOLI	FABZ_ECOLI_F1
P0A6X3	HFQ_ECOLI	HFQ_ECOLI_F1
P0A6Y8	DNAK_ECOLI	DNAK_ECOLI_F1
P0A6Z3	HTPG_ECOLI	HTPG_ECOLI_F1
P0A734	MINE_ECOLI	MINE_ECOLI_F1
P0A754	KEFF_ECOLI	KEFF_ECOLI_F1
P0A756	KEFG_ECOLI	KEFG_ECOLI_F1
P0A7B1	PPK_ECOLI	PPK_ECOLI_F1
P0A7B3	PPNK_ECOLI	PPNK_ECOLI_F1
P0A7E1	PYRD_ECOLI	PYRD_ECOLI_F1
P0A7J0	RIBB_ECOLI	RIBB_ECOLI_F1
P0A8U0	SYDP_ECOLI	SYDP_ECOLI_F1
P0A8Z3	YBGC_ECOLI	YBGC_ECOLI_F1
P0A996	GLPC_ECOLI	GLPC_ECOLI_F1
P0A9C0	GLPA_ECOLI	GLPA_ECOLI_F1
P0A9K7	PHOU_ECOLI	PHOU_ECOLI_F1
P0A9M5	XGPT_ECOLI	XGPT_ECOLI_F1
P0A9P0	DLDH_ECOLI	DLDH_ECOLI_F1
P0A9R7	FTSE_ECOLI	FTSE_ECOLI_F1
P0A9S7	LIVG_ECOLI	LIVG_ECOLI_F1
P0A9U1	YBHF_ECOLI	YBHF_ECOLI_F1
P0A9U3	YBIT_ECOLI	YBIT_ECOLI_F1
P0A9V1	LPTB_ECOLI	LPTB_ECOLI_F1
P0A9W3	YJJK_ECOLI	YJJK_ECOLI_F1
P0A9X1	ZNUC_ECOLI	ZNUC_ECOLI_F1
P0A9X4	MREB_ECOLI	MREB_ECOLI_F1
P0AA84	YBHO_ECOLI	YBHO_ECOLI_F1
P0AAB4	UBID_ECOLI	UBID_ECOLI_F1
P0AAF3	ARAG_ECOLI	ARAG_ECOLI_F1
P0AAF6	ARTP_ECOLI	ARTP_ECOLI_F1
P0AAH0	PSTB_ECOLI	PSTB_ECOLI_F1
P0AAH4	SAPD_ECOLI	SAPD_ECOLI_F1
P0AAH8	SAPF_ECOLI	SAPF_ECOLI_F1
P0ABA6	ATPG_ECOLI	ATPG_ECOLI_F1
P0ABB4	ATPB_ECOLI	ATPB_ECOLI_F1
P0ABH0	FTSA_ECOLI	FTSA_ECOLI_F1
P0ABZ4	KDSC_ECOLI	KDSC_ECOLI_F1
P0AC41	DHSA_ECOLI	DHSA_ECOLI_F1
P0AC55	GLNK_ECOLI	GLNK_ECOLI_F1
P0ADI4	ENTB_ECOLI	ENTB_ECOLI_F1
P0AED0	USPA_ECOLI	USPA_ECOLI_F1
P0AEK4	FABI_ECOLI	FABI_ECOLI_F1
