Merge ID	Cellular Component	Biological Process
P64585	(plasma+membrane)	
P0AGA2	(plasma+membrane)	
P21179	(cytoplasm::cytosol)	
P0A8Z3	(plasma+membrane)	
P0A7G6	(cytoplasm)	(DNA+metabolic+process::cell+motility)
P33361	(plasma+membrane)	(transport)
P0AE88	(cytoplasm)	
P27434	(plasma+membrane)	
P0ACB2	(cytosol)	
P0ACB7	(plasma+membrane)	
P0A7H0	(chromosome::cytoplasm)	
Q46920	(cytoplasm)	
Q46925	(cytoplasm)	
P0C0K3	(cytoplasm)	
P77499	(cytoplasm)	(transport)
P07639	(cytoplasm)	(biosynthetic+process)
P13857	(cytoplasm)	
P46125	(plasma+membrane)	
P0AGB0	(cytoplasm)	
P27243	(plasma+membrane)	
P21165	(cytoplasm)	
P14900	(cytoplasm)	(biosynthetic+process::cell+cycle::cell+division)
P33341	(plasma+membrane)	(transport)
P0ADY1	(plasma+membrane)	(protein+folding::response+to+stress)
P0ACA3	(cytoplasm)	(response+to+stress)
P0ADY3	(ribosome)	(translation)
P13656	(extracellular+region)	(carbohydrate+metabolic+process)
P0A7I0	(cytoplasm)	(translation)
P46130	(cell+wall::plasma+membrane)	
P46133	(plasma+membrane)	
P0AGC3	(plasma+membrane)	
P0A7E9	(cytoplasm)	
P0A998	(cytosol)	
P0A7E3	(cytoplasm)	
P0A996	(plasma+membrane)	(transport)
P0A7E5	(cytosol)	
P07117	(plasma+membrane)	(transmembrane+transport)
P07118	(cytoplasm)	(translation)
P0ADY7	(ribosome)	(translation)
P0A7E1	(plasma+membrane)	
P0A991	(cytosol)	
P0ACD8	(plasma+membrane)	
P0A8X0	(cytoplasm)	
P0ADZ0	(ribosome)	(translation)
P37330	(cytoplasm)	
P0AGD3	(cytoplasm::cytosol)	
P31224	(chromosome::cytoplasm::plasma+membrane)	(transport)
P0A7F9	(cytoplasm)	
P0A7F3	(cytoplasm)	
P37338	(intracellular)	
P37339	(cytoplasm)	
P0ADZ7	(plasma+membrane)	
P0ACC7	(cytoplasm)	(cell+morphogenesis)
P0A7J0__1	(cytosol::plasma+membrane)	(response+to+stress)
P07813	(cytoplasm)	(translation)
P37344	(cytoplasm::intracellular)	
P0A7J0__2	(cytosol::plasma+membrane)	(response+to+stress)
P0C0L2	(cytoplasm)	(response+to+stress)
P76398	(plasma+membrane)	(transport)
P33596	(cytoplasm)	
P00936	(cytoplasm)	
P0A7K6	(ribosome)	(translation)
P33594	(plasma+membrane)	(transport)
P37595	(cytoplasm)	
P37306	(cytoplasm)	
