Entry Name A	Entry Name B	Accession A	Accession B	Satus
6PGD_ECOLI	DHNA_ECOLI	P00350	P00393	C
6PGD_ECOLI	GLTD_ECOLI	P00350	P09832	C
6PGD_ECOLI	EXBB_ECOLI	P00350	P0ABU7	C
6PGD_ECOLI	YJDJ_ECOLI	P00350	P39274	C
FRDA_ECOLI	FRDC_ECOLI	P00363	P0A8Q0	C
RIR1_ECOLI	RIR1_ECOLI	P00452	P00452	C
RIR1_ECOLI	RIR2_ECOLI	P00452	P69924	C
RIR1_ECOLI	PROA_ECOLI	P00452	P07004	C
RIR1_ECOLI	EFTU1_ECOLI	P00452	P0CE47	C
RIR1_ECOLI	MREB_ECOLI	P00452	P0A9X4	C
RIR1_ECOLI	YEEN_ECOLI	P00452	P0A8A2	C
RIR1_ECOLI	MAO2_ECOLI	P00452	P76558	C
PHSM_ECOLI	PHSM_ECOLI	P00490	P00490	C
PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7	C
PHSM_ECOLI	DPO1_ECOLI	P00490	P00582	C
PHSM_ECOLI	RNH_ECOLI	P00490	P0A7Y4	C
PHSM_ECOLI	SSB_ECOLI	P00490	P0AGE0	C
PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0	C
PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0	C
PHSM_ECOLI	RL3_ECOLI	P00490	P60438	C
PHSM_ECOLI	RL4_ECOLI	P00490	P60723	C
PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1	C
PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48	C
PHSM_ECOLI	RL22_ECOLI	P00490	P61175	C
PHSM_ECOLI	UVRD_ECOLI	P00490	P03018	C
PHSM_ECOLI	PNP_ECOLI	P00490	P05055	C
PHSM_ECOLI	T1SK_ECOLI	P00490	P05719	C
PHSM_ECOLI	TOP1_ECOLI	P00490	P06612	C
PHSM_ECOLI	ODP2_ECOLI	P00490	P06959	C
PHSM_ECOLI	HNS_ECOLI	P00490	P0ACF8	C
PHSM_ECOLI	EX3_ECOLI	P00490	P09030	C
PHSM_ECOLI	KDSA_ECOLI	P00490	P0A715	C
PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0	C
PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1	C
PHSM_ECOLI	SSRP_ECOLI	P00490	P0A832	C
PHSM_ECOLI	YEEX_ECOLI	P00490	P0A8M6	C
PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7	C
PHSM_ECOLI	RL13_ECOLI	P00490	P0AA10	C
PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0	C
PHSM_ECOLI	DBHB_ECOLI	P00490	P0ACF4	C
PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48	C
PHSM_ECOLI	NFI_ECOLI	P00490	P68739	C
PHSM_ECOLI	RLUB_ECOLI	P00490	P37765	C
PHSM_ECOLI	YJDJ_ECOLI	P00490	P39274	C
PHSM_ECOLI	NFI_ECOLI	P00490	P68739	C
PHSM_ECOLI	YCJY_ECOLI	P00490	P76049	C
AAT_ECOLI	TIG_ECOLI	P00509	P0A850	C
AAT_ECOLI	NUOCD_ECOLI	P00509	P33599	C
PTM3C_ECOLI	CLPP_ECOLI	P00550	P0A6G7	C
AK1H_ECOLI	TIG_ECOLI	P00561	P0A850	C
AK1H_ECOLI	DNAB_ECOLI	P00561	P0ACB0	C
AK1H_ECOLI	HSLU_ECOLI	P00561	P0A6H5	C
AK2H_ECOLI	G3P1_ECOLI	P00562	P0A9B2	C
RPOD_ECOLI	RPOC_ECOLI	P00579	P0A8T7	C
RPOD_ECOLI	RPOD_ECOLI	P00579	P00579	C
RPOD_ECOLI	RS5_ECOLI	P00579	P0A7W1	C
RPOD_ECOLI	RS6_ECOLI	P00579	P02358	C
RPOD_ECOLI	RL2_ECOLI	P00579	P60422	C
RPOD_ECOLI	RL4_ECOLI	P00579	P60723	C
RPOD_ECOLI	RL15_ECOLI	P00579	P02413	C
RPOD_ECOLI	RL19_ECOLI	P00579	P0A7K6	C
RPOD_ECOLI	RL22_ECOLI	P00579	P61175	C
RPOD_ECOLI	RL28_ECOLI	P00579	P0A7M2	C
RPOD_ECOLI	RHO_ECOLI	P00579	P0AG30	C
RPOD_ECOLI	NUSA_ECOLI	P00579	P0AFF6	C
RPOD_ECOLI	FNR_ECOLI	P00579	P0A9E5	C
RPOD_ECOLI	CRP_ECOLI	P00579	P0ACJ8	C
RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2	C
RPOD_ECOLI	RPOZ_ECOLI	P00579	P0A800	C
RPOD_ECOLI	RHAS_ECOLI	P00579	P09377	C
RPOD_ECOLI	RHAR_ECOLI	P00579	P09378	C
RPOD_ECOLI	IF2_ECOLI	P00579	P0A705	C
RPOD_ECOLI	RL1_ECOLI	P00579	P0A7L0	C
RPOD_ECOLI	YEEX_ECOLI	P00579	P0A8M6	C
RPOD_ECOLI	RPOB_ECOLI	P00579	P0A8V2	C
RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2	C
RPOD_ECOLI	RS1_ECOLI	P00579	P0AG67	C
RPOD_ECOLI	ACCA_ECOLI	P00579	P0ABD5	C
RPOD_ECOLI	RL4_ECOLI	P00579	P60723	C
RPOD_ECOLI	HSCC_ECOLI	P00579	P77319	C
DPO1_ECOLI	RPOA_ECOLI	P00582	P0A7Z4	C
DPO1_ECOLI	RPOB_ECOLI	P00582	P0A8V2	C
DPO1_ECOLI	RPOC_ECOLI	P00582	P0A8T7	C
DPO1_ECOLI	DPO1_ECOLI	P00582	P00582	C
DPO1_ECOLI	RL4_ECOLI	P00582	P60723	C
DPO1_ECOLI	RL7_ECOLI	P00582	P0A7K2	C
