ID interactor A_ID interactor B	ID interactor A	ID interactor B
P0AC47_P00363	P0AC47	P00363
P00363_P00363	P00363	P00363
P76111_P00363	P76111	P00363
P31473_P00363	P31473	P00363
P0A6A8_P0A9P0	P0A6A8	P0A9P0
P75990_P0A9P0	P75990	P0A9P0
P76086_P0A9P0	P76086	P0A9P0
P76170_P0A9P0	P76170	P0A9P0
P77721_P0A9P0	P77721	P0A9P0
P77399_P0A9P0	P77399	P0A9P0
P76503_P0A9P0	P76503	P0A9P0
P36995_P0A9P0	P36995	P0A9P0
P32177_P0A9P0	P32177	P0A9P0
P0A6U5_P0A9P0	P0A6U5	P0A9P0
P0AES4_P0A9P0	P0AES4	P0A9P0
P43329_P0A9P0	P43329	P0A9P0
P10486_P0A9P0	P10486	P0A9P0
P0AEV9_P0A9P0	P0AEV9	P0A9P0
P39346_P0A9P0	P39346	P0A9P0
P08142_P0A9P0	P08142	P0A9P0
P0AF26_P0A9P0	P0AF26	P0A9P0
P50465_P0A9P0	P50465	P0A9P0
P68739_P0A9P0	P68739	P0A9P0
P0A6C1_P0A9P0	P0A6C1	P0A9P0
P0AFH0_P0A9P0	P0AFH0	P0A9P0
P0A7B1_P0A9P0	P0A7B1	P0A9P0
P08394_P0A9P0	P08394	P0A9P0
P0A7Y8_P0A9P0	P0A7Y8	P0A9P0
P25522_P0A9P0	P25522	P0A9P0
P06612_P0A9P0	P06612	P0A9P0
P0A8F8_P0A9P0	P0A8F8	P0A9P0
P09030_P0A9P0	P09030	P0A9P0
P0AAR3_P0A9P0	P0AAR3	P0A9P0
P00892_P0A9P0	P00892	P0A9P0
P75989_P0A9P0	P75989	P0A9P0
P36979_P0A9P0	P36979	P0A9P0
Q46802_P0A9P0	Q46802	P0A9P0
P23839_P0A9P0	P23839	P0A9P0
P31473_P0A9P0	P31473	P0A9P0
P0A9W0_P0A9P0	P0A9W0	P0A9P0
P0AFP6_P00393	P0AFP6	P00393
P67910_P00393	P67910	P00393
P00350_P00393	P00350	P00393
P0A9X4_P00452	P0A9X4	P00452
P0A6Y8_P69924	P0A6Y8	P69924
P0A9P0_P0AEE8	P0A9P0	P0AEE8
P0A6A8_P0A7A7	P0A6A8	P0A7A7
P0A7A7_P0A7A7	P0A7A7	P0A7A7
