YDGA_ECOLI	C6EDN4	F2	Putative uncharacterized protein (Putative uncharacterized protein ydgA)	+ 	+ 	+ 	+ 
DACC_ECOLI	C6EIU4	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6a)) (EC 3.4.16.4)	+ 	+ 	+ 	+ 
DACA_ECOLI	C6EK61	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5)) (EC 3.4.16.4)	+ 	+ 	+ 	+ 
MACA_ECOLI	C6EIA3	F2	"Efflux transporter, RND family, MFP subunit (Macrolide transporter subunit, membrane fusion protein (MFP) component)"	 	+ 	+ 	+ 
MDTA_ECOLI	C6EAN1	F2	Multidrug resistance protein mdtA (Multidrug transporter mdtA)	 	+ 	+ 	+ 
DACB_ECOLI	C6EH45	F2	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4) (D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase) (EC 3.4.16.4)	 	+ 	 	+ 
PRC_ECOLI	C6EBZ9	F2	Carboxy-terminal protease for penicillin-binding protein 3 (EC 3.4.21.-) (Carboxyl-terminal protease) (EC 3.4.21.102)	 	+ 	 	+ 
MBHM_ECOLI	C6EHZ8	F2	"Cytochrome-c3 hydrogenase (EC 1.12.2.1) (Hydrogenase 2, large subunit) (EC 1.12.7.2)"	 	 	 	+ 
MBHT_ECOLI	C6EHZ5	F2	"Hydrogenase (NiFe) small subunit HydA (EC 1.12.99.6) (Hydrogenase-2, small chain)"	 	 	 	+ 
MLAD_ECOLI	C6EH34	G	Mammalian cell entry related domain protein (Predicted ABC-type organic solvent transporter)	+ 	+ 	+ 	+ 
SKP_ECOLI	C6EAA7	G	Outer membrane chaperone Skp (OmpH) (Periplasmic chaperone)	+ 	+ 	 	+ 
DEGP_ECOLI	C6EAC3	G	"Protease Do (EC 3.4.21.108) (Serine endoprotease (Protease Do), membrane-associated) (EC 3.4.21.-)"	+ 	+ 	 	+ 
YHJJ_ECOLI	C6EEF6	G	Peptidase M16 domain protein (Predicted zinc-dependent peptidase)	+ 	+ 	 	 
YCIM_ECOLI	C6EFV4	G	Putative uncharacterized protein yciM (Tetratricopeptide domain protein)	 	+ 	+ 	+ 
RNFG_ECOLI	C6EDL5	G	"Electron transport complex protein RnfG (Electron transport complex, RnfABCDGE type, G subunit)"	 	+ 	+ 	+ 
YIBP_ECOLI	C6EDH6	G	Peptidase M23 (Protease with a role in cell division)	 	+ 	+ 	+ 
RSEB_ECOLI	C6EK16	G	"Periplasmic negative regulator of sigmaE (Sigma E regulatory protein, MucB/RseB)"	 	+ 	 	+ 
TOLB_ECOLI	C6EJJ7	G	Protein tolB	 	+ 	 	+ 
AMIC_ECOLI	C6EJ52	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	 	+ 	 	+ 
YGGE_ECOLI	C6EII7	G	Putative uncharacterized protein (Putative uncharacterized protein yggE)	 	+ 	 	+ 
OPGG_ECOLI	C6EHG4	G	"Glucan biosynthesis protein, periplasmic (Periplasmic glucan biosynthesis protein MdoG)"	 	+ 	 	+ 
DEGQ_ECOLI	C6EGZ8	G	"Protease Do (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)"	 	+ 	 	+ 
FKBA_ECOLI	C6EGB7	G	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	+ 
FDOG_ECOLI	C6EF05	G	"Formate dehydrogenase, alpha subunit (Formate dehydrogenase-O, major subunit)"	 	+ 	 	+ 
YDGH_ECOLI	C6EDP4	G	Putative uncharacterized protein (Putative uncharacterized protein ydgH)	 	+ 	 	+ 
YEJA_ECOLI	C6EA20	G	Extracellular solute-binding protein family 5 (Predicted oligopeptide transporter subunit)	 	+ 	 	+ 
AIS_ECOLI	C6E9U8	G	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	 	+ 	 	+ 
PPB_ECOLI	C6ELK4	G	Alkaline phosphatase (EC 3.1.3.1) (Bacterial alkaline phosphatase) (EC 3.1.3.1)	 	+ 	 	 
HISJ_ECOLI	C6ELE4	G	"Cationic amino acid ABC transporter, periplasmic binding protein (Histidine/lysine/arginine/ornithine transporter subunit)"	 	+ 	 	 
ARGT_ECOLI	C6ELE3	G	"Cationic amino acid ABC transporter, periplasmic binding protein (Lysine/arginine/ornithine transporter subunit)"	 	+ 	 	 
