Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	ORList_Wide_8(over_500)_LB	ORList_Focused_16(below_500)_LB	K12_outofrange	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
#Proteins	1048	1207	958	3606	624	3009	1105	3	2129	Novel: 0
P36771	0	1	0	1	0	1	0	0	1	4	A	LRHA_ECOLI					0.36	17.54																				
P0AFC3	1	1	1	1	1	1	1	0	1	8	B	NUOA_ECOLI	1	9.00E+00	1.04E+03	0.4	3.64	165.27	0.070659	7065.9			0.4		0.2	0.45			0.04	0.45		0.75	0.45	0.75	0.45	0.2	0.45	0.2
P0AFC7	1	1	1	1	1	1	1	0	1	8	F1	NUOB_ECOLI	1	9.00E+00	1.04E+03	0.45	4.41	199.06	0.019762	1976.2		2652.8	0.72		0.14			0.64				1.38						
P33599	1	1	1	1	1	1	1	0	1	8	F1	NUOCD_ECOLI	0.59	2.92E+00	5.40E+02		13.53	590.19	0.012685	1268.5			0.32		0.05			0.14	0.22			0.2		1.22				0.1
P0AFD1	1	1	1	1	0	1	1	0	1	7	F1	NUOE_ECOLI	0.6	2.98E+00	5.46E+02	0.45	12.89	563.11	0.040065	4006.5																		
P31979	1	1	1	1	1	1	1	0	1	8	F1	NUOF_ECOLI	0.67	3.64E+00	6.13E+02	0.48	4.38	197.75	0.0038072	380.72			0.35			0.21		0.78		0.38	0.07	0.29						
P33602	1	1	1	1	1	1	1	0	1	8	F1	NUOG_ECOLI	0.7	4.04E+00	6.52E+02		8.57	379.07	0.015867	1586.7			0.3	0.03			0.13	0.28	0.45			0.03		0.66		0.47		0.38
P0AFD4	0	1	0	1	1	1	1	0	1	6	B	NUOH_ECOLI					1.31	61.36					0.09			0.09												
P0AFD6	0	1	0	1	1	1	1	0	1	6	F1	NUOI_ECOLI					6	276.96					0.25	0.16				0.34										
P33607	0	0	0	1	0	1	1	0	1	4	B	NUOL_ECOLI																										
P0AFE8	0	0	0	1	0	1	0	0	1	3	B	NUOM_ECOLI																										
P0AFF0	0	0	0	1	1	1	0	0	1	4	B	NUON_ECOLI											0.06			0.06		0.06	0.06									
P76483	0	0	0	1	0	1	0	0	0	2	A	YFBM_ECOLI																										
P38051	0	0	0	1	0	1	0	0	1	3	A	MENF_ECOLI																										
P17109	1	0	1	1	0	1	0	0	1	5	A	MEND_ECOLI	0.09	2.33E-01	1.24E+02	0.32			0.0038617	386.17																		
P37355	0	0	0	1	0	0	0	0	0	1	A	MENH_ECOLI										3899.3																
P0ABU0	1	1	1	1	0	1	1	0	1	7	A	MENB_ECOLI	1.5	3.06E+01	2.11E+03	0.59	7	289.95	0.0091194	911.94		2940.45																
P29208	0	0	1	1	0	1	0	0	0	3	A	MENC_ECOLI							0.001618	161.8																		
