Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Normalized And Descr Itensity	0BS_C0LL	ABS_CALL	ABS_CALL	Merge ID	Merge ID	Masuda2009_fin	Taniguchi2010_fin_mmol	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Copy number per cell	mMol	Merge ID	Merge ID	Pan2010	Thein2010	Taoka2004	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Huang2006	Ji2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Iwasaki2010	Wickstrom2010	# Studies	DB_NoveV12 Duplicates	P0AFG8	P0A910	P00350	P0AG44	P0A9P0	P08660	P17583	P0A6F5	P0A6H8	P0AC47	P06129	P0ADT8	P02925	P0A910	C1P619	P0ACV0	Q46798	P00561	P00350
Q6BF86	0	0	0	0	0	0	B						Q6BF86	0	0	0	0	B				Q6BF86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P37388	0	1	1	1	0	3	F1		0	2	0		P37388	0	0	0	0	F1				P37388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1																			
P75616	0	1	1	1	0	3	G		0	0	0		P75616	0	0	0	0	G				P75616	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							P75616												
P64485	0	1	1	1	0	3	B		2	2	0		P64485	0	0	0	0	B				P64485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P00363	1	1	1	1	1	5	F1	1	2	2	2	P00363	P00363	1	0	1	2	F1	245.29		P00363	P00363	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	11	F1	P00363	P00363	P00363	P00363		P00363		P00363	P00363	P00363					P00363	P00363		P00363	
P00393	1	1	1	1	1	5	F1	1	2	2	2	P00393	P00393	1	1	1	3	F1	213.48	0.024811	P00393	P00393	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	7	F1		P00393	P00393				P00393		P00393						P00393	P00393		P00393	
P00550	1	1	1	1	1	5	B	1	2	2	2	P00550	P00550	1	0	1	2	B	56.81		P00550	P00550	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	10	B		P00550	P00550	P00550		P00550			P00550			P00550			P00550	P00550		P00550	P00550
P00561	1	1	1	1	1	5	F1	1	2	2	2	P00561	P00561	1	0	1	2	F1	28.78		P00561	P00561	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	F1		P00561	P00561				P00561								P00561	P00561		P00561	
P00803	1	1	1	1	1	5	B	1	2	2		P00803	P00803	1	0	1	2	B	34.35		P00803	P00803	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	8	B		P00803	P00803			P00803			P00803			P00803			P00803	P00803		P00803	
P00804	0	1	1	1	0	3	B		2	2	2		P00804	0	0	0	0	B				P00804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	B															P00804				
P00805	1	1	1	1	0	4	G	2	0	0	2		P00805	1	0	0	1	G	58.18			P00805	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	7	G	P00805		P00805				P00805			P00805					P00805	P00805		P00805	
P00811	1	1	1	1	0	4	G	1	2	0	2		P00811	1	0	0	1	G	10			P00811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	G																P00811		P00811	
P00904	0	1	1	1	0	3	F1		2	2	0		P00904	0	0	0	0	F1				P00904	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	F1		P00904																P00904	
P02916	1	1	1	1	0	4	B	1	2	2	2		P02916	1	0	0	1	B	24.12			P02916	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B		P02916					P02916		P02916						P02916	P02916		P02916	
P02918	1	1	1	1	1	5	B	1	2	2	1	P02918	P02918	1	1	1	3	B	2	0.00057933	P02918	P02918	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	8	B		P02918	P02918	P02918			P02918		P02918						P02918	P02918		P02918	
P02920	0	1	1	1	0	3	B		0	2	0		P02920	0	0	0	0	B				P02920	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B						P02920													
P02924	0	1	1	1	0	3	G		2	2	2		P02924	0	0	0	0	G				P02924	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	G			P02924				P02924											P02924	
P02925	1	1	1	1	1	5	G	1	2	2	2	P02925	P02925	1	1	1	3	G	346.01	9.5967e-005	P02925	P02925	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	10	G			P02925			P02925	P02925			P02925		P02925	P02925	P02925	P02925	P02925		P02925	
P02930	1	1	1	1	1	5	H	1	2	2	2	P02930	P02930	1	0	1	2	H	527.07		P02930	P02930	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	13	H		P02930	P02930	P02930	P02930	P02930		P02930	P02930			P02930	P02930		P02930	P02930	P02930	P02930	
P02931	1	1	1	1	1	5	H	2	2	2	2	P02931	P02931	1	0	1	2	H	1595.96		P02931	P02931	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	15	H		P02931	P02931	P02931	P02931	P02931	P02931	P02931	P02931			P02931	P02931	P02931	P02931	P02931	P02931	P02931	
P02932	1	1	1	1	0	4	H	1	2	2	2		P02932	1	0	0	1	H	12.79			P02932	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	5	H		P02932					P02932		P02932						P02932	P02932			
P02943	1	1	1	1	0	4	H	1	2	2	2		P02943	1	0	0	1	H	106.35			P02943	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	14	H		P02943	P02943	P02943	P02943	P02943		P02943	P02943		P02943	P02943	P02943		P02943	P02943	P02943	P02943	
P03959	0	1	1	1	0	3	B		0	0	0		P03959	0	0	0	0	B				P03959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P03961	1	1	1	1	1	5	B	1	2	2	2	P03961	P03961	1	0	1	2	B	1.54		P03961	P03961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B																P03961			
P04816	0	1	1	1	0	3	G		0	0	0		P04816	0	0	0	0	G				P04816	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	G							P04816											P04816	
P04825	1	1	1	1	1	5	F1	1	2	2	2	P04825	P04825	1	1	1	3	F1	142.33	0.053725	P04825	P04825	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	F1			P04825				P04825		P04825						P04825	P04825		P04825	
P04968	0	1	1	1	1	4	B		2	0		P04968	P04968	0	1	1	2	B		0.0046776	P04968	P04968	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	B			P04968				P04968											P04968	
P04983	1	1	1	1	0	4	F1	1	2	2	2		P04983	1	0	0	1	F1	13.75			P04983	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	9	F1			P04983			P04983	P04983		P04983	P04983					P04983	P04983		P04983	P04983
P05050	0	1	1	1	0	3	B		2	2	2		P05050	0	0	0	0	B				P05050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P05050	
P05458	0	1	1	1	1	4	G		2	2	2	P05458	P05458	0	0	1	1	G			P05458	P05458	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	G			P05458				P05458											P05458	
P05824	0	1	1	1	0	3	B		2	2			P05824	0	1	0	1	B		0.0048333		P05824	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	B							P05824									P05824			
P06136	1	1	1	1	1	5	B	1	2	2	2	P06136	P06136	1	0	1	2	B	1.74		P06136	P06136	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	5	B							P06136		P06136						P06136	P06136		P06136	
P06149	1	1	1	1	1	5	F1	1	2	2	2	P06149	P06149	1	0	1	2	F1	37.12		P06149	P06149	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	10	F1	P06149	P06149	P06149	P06149			P06149		P06149	P06149					P06149	P06149		P06149	
P06282	1	1	1	1	1	5	B	1	2	2	2	P06282	P06282	1	0	1	2	B	1.81		P06282	P06282	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B			P06282				P06282		P06282						P06282	P06282		P06282	
P06611	1	1	1	1	1	5	F1	1	2	0	0	P06611	P06611	1	0	1	2	F1			P06611	P06611	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	F1							P06611								P06611	P06611		P06611	
P06616	1	1	1	1	1	5	F1	1	2	0	0	P06616	P06616	1	1	1	3	F1	90.69	0.00031688	P06616	P06616	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	F1		P06616	P06616				P06616								P06616	P06616		P06616	
P06709	1	1	1	1	1	5	B	1	2	2	2	P06709	P06709	1	1	1	3	B	13.27	0.0039122	P06709	P06709	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	B							P06709									P06709		P06709	
P07000	0	1	1	1	1	4	F1		2	2	2	P07000	P07000	0	1	1	2	F1		0.0031506	P07000	P07000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	F1							P07000											P07000	
P07001	1	1	1	1	1	5	B	1	2	2	2	P07001	P07001	1	0	1	2	B	27.85		P07001	P07001	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	6	B		P07001	P07001						P07001						P07001	P07001		P07001	
P07003	1	1	1	1	1	5	F1	1	0	0	0	P07003	P07003	1	0	1	2	F1	14.22		P07003	P07003	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	8	F1			P07003			P07003	P07003			P07003		P07003			P07003	P07003		P07003	
P07014	1	1	1	1	1	5	F1	2	2	2	2	P07014	P07014	1	0	1	2	F1	9524.82		P07014	P07014	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	13	F1	P07014	P07014	P07014		P07014	P07014	P07014	P07014	P07014			P07014			P07014	P07014		P07014	P07014
P07021	1	1	1	1	0	4	I	1	2	2	2		P07021	1	0	0	1	I				P07021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	I																P07021			
P07102	0	1	1	1	0	3	G		0	0	0		P07102	0	0	0	0	G				P07102	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	G							P07102											P07102	
P07109	0	1	1	1	1	4	F1		2	2	2	P07109	P07109	0	0	1	1	F1			P07109	P07109	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	4	F1			P07109				P07109		P07109									P07109	
P07650	1	1	1	1	1	5	B	1	2	2	2	P07650	P07650	1	0	1	2	B	62.27		P07650	P07650	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	6	B			P07650				P07650			P07650					P07650	P07650		P07650	
P07654	0	1	1	1	1	4	B		2	2	2	P07654	P07654	0	0	1	1	B			P07654	P07654	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	B							P07654								P07654				
P07821	1	1	1	1	1	5	F1	1	2	2	2	P07821	P07821	1	1	1	3	F1		0.0046236	P07821	P07821	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	F1							P07821									P07821		P07821	
P07822	0	1	1	1	1	4	G		2	0	0	P07822	P07822	0	0	1	1	G			P07822	P07822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P07822	
P08200	1	1	1	1	1	5	B	2	2	2	2	P08200	P08200	1	0	1	2	B	3190.93		P08200	P08200	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	9	B			P08200			P08200			P08200			P08200	P08200		P08200	P08200		P08200	P08200
P08331	1	1	1	1	1	5	G	1	0	2	2	P08331	P08331	1	0	1	2	G	19.43		P08331	P08331	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	5	G			P08331			P08331	P08331									P08331		P08331	
P08370	0	1	1	1	0	3	G		2	2	1		P08370	0	0	0	0	G				P08370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P08371	0	1	1	1	0	3	B		2	2	2		P08371	0	0	0	0	B				P08371	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	B							P08371											P08371	
