Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
Q6BF86	0	0	0	0	0	0	0	B	LDRA_ECOLI																										
P37388	0	0	0	1	0	0	1	F1	XYLG_ECOLI																										
P75616	0	0	0	1	0	0	1	G	YAAX_ECOLI																										
P64485	0	0	0	1	0	0	1	B	YEAQ_ECOLI																										
P00363	1	1	0	1	1	1	5	F1	FRDA_ECOLI	0.09	2.41E-01	1.27E+02	0.55	5.47	245.29				4218.91	0.16	 	0.16	 	0.16	  	 									F1
P00393	1	1	1	1	1	1	6	F1	DHNA_ECOLI	0.63	3.22E+00	5.71E+02	0.41	4.74	213.48	0.024811	2481.1			0.33	0.22	0.4	0.31	 	0.09	0.09	0.4	0.6	0.5	0.4	0.31	0.6	0.22	0.14	F1
P00550	0	1	0	1	1	1	4	B	PTM3C_ECOLI					1.21	56.81					0.22	  	   	0.05	 	0.57	0.4	0.1	0.27	0.33	0.1	0.27	0.21	0.05	0.1	B
P00561	1	1	0	1	1	1	5	F1	AK1H_ECOLI	0.89	6.80E+00	8.81E+02	0.32	1	28.78			8864.15		0.13	 	0.15	 	 	  	0.11									F1
P00803	0	1	0	1	1	1	4	B	LEP_ECOLI					0.72	34.35					0.09	 	  	0.09												B
P00804	0	0	0	1	0	1	2	B	LSPA_ECOLI																										B
P00805	0	1	0	1	0	0	2	G	ASPG2_ECOLI					1.24	58.18																				
P00811	1	1	0	1	0	1	4	G	AMPC_ECOLI	0.12	3.11E-01	1.47E+02	0.26	0.21	10																				G
P00904	0	0	0	1	1	0	2	F1	TRPG_ECOLI									453.28		0.09	 	0.09	 												
P02916	0	1	0	1	1	0	3	B	MALF_ECOLI					1	24.12					0.18	 	0.56	 	 	0.06	0.12	 	0.12	 	0.12	  	0.12			
P02918	1	0	1	1	1	1	5	B	PBPA_ECOLI	0.05	1.10E-01	8.04E+01				0.00057933	57.933			0.27	 	0.8	0.22	 	  	0.03	0.03	  	 						B
P02920	0	0	0	1	0	0	1	B	LACY_ECOLI																										
