Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
Q6BF86	0	0	0	0	0	0	0	0	B	LDRA_ECOLI								
P37388	0	1	1	1	0	0	0	3	F1	XYLG_ECOLI			0	2	0			
P75616	0	1	1	1	0	0	0	3	G	YAAX_ECOLI			0	0	0			
P64485	0	1	1	1	0	0	0	3	B	YEAQ_ECOLI			2	2	0			
P00363	1	1	1	1	0	0	1	5	F1	FRDA_ECOLI	4.29	2	2	2	2			F1
P00393	1	1	1	1	0	1	1	6	F1	DHNA_ECOLI	1.06	2	2	2	2		8.383183143	F1
P00550	1	1	1	1	0	0	1	5	B	PTM3C_ECOLI	0.96	2	2	2	2			B
P00561	1	1	1	1	0	0	1	5	F1	AK1H_ECOLI	0.36	2	2	2	2			F1
P00803	1	1	1	1	0	0	1	5	B	LEP_ECOLI	1	2	2	2				B
P00804	0	1	1	1	0	0	1	4	B	LSPA_ECOLI			2	2	2			B
P00805	1	1	1	1	0	0	0	4	G	ASPG2_ECOLI	6.61	2	0	0	2			
P00811	1	1	1	1	0	0	1	5	G	AMPC_ECOLI	0.15	2	2	0	2			G
P00904	0	1	1	1	0	0	0	3	F1	TRPG_ECOLI			2	2	0			
P02916	1	1	1	1	0	0	0	4	B	MALF_ECOLI	0.83	2	2	2	2			
P02918	0	1	1	1	0	1	1	5	B	PBPA_ECOLI			2	2	1		1.620642202	B
P02924	0	1	1	1	0	0	0	3	G	ARAF_ECOLI			2	2	2			
P02925	1	1	1	1	0	1	1	6	G	RBSB_ECOLI	4.38	2	2	2	2		2.188958023	G
P02930	1	1	1	1	0	0	1	5	H	TOLC_ECOLI	3.03	2	2	2	2			H
P02931	1	1	1	1	0	0	1	5	H	OMPF_ECOLI	10.57	2	2	2	2			H
P02932	1	1	1	1	0	0	0	4	H	PHOE_ECOLI		2	2	2	2			
P02943	1	1	1	1	0	0	0	4	H	LAMB_ECOLI	5.53	2	2	2	2			
P03959	0	1	1	1	0	0	0	3	B	ATKA_ECOLI			0	0	0			
P03961	0	1	1	1	0	0	1	4	B	ATKC_ECOLI			2	2	2			B
P04816	0	1	1	1	1	0	0	4	G	LIVK_ECOLI			0	0	0	0		
P04825	1	1	1	1	0	1	1	6	F1	AMPN_ECOLI	1.52	2	2	2	2		4.392754723	F1
P04968	0	1	1	1	0	1	1	5	B	THD1_ECOLI			2	0				B
P04983	1	1	1	1	0	0	1	5	F1	RBSA_ECOLI	0	2	2	2	2			F1
P05050	0	1	1	1	1	0	0	4	B	ALKB_ECOLI			2	2	2	0		
P05458	0	1	1	1	0	0	1	4	G	PTRA_ECOLI			2	2	2			G
P05824	0	1	1	1	0	1	0	4	B	RECN_ECOLI			2	2				
P06136	0	1	1	1	0	0	1	4	B	FTSQ_ECOLI			2	2	2			B
P06149	1	1	1	1	0	0	1	5	F1	DLD_ECOLI	1.22	2	2	2	2			F1
P06282	0	1	1	1	0	0	1	4	B	CDH_ECOLI			2	2	2			B
P06611	0	1	1	1	0	0	1	4	F1	BTUD_ECOLI			2	0	0			F1
P06616	1	1	1	1	0	1	1	6	F1	ERA_ECOLI	1	2	2	0	0		7.761329258	F1
P06709	1	1	1	1	0	1	1	6	B	BIRA_ECOLI	0.39	2	2	2	2		2.977192821	B
P07000	0	1	1	1	0	1	1	5	F1	PLDB_ECOLI			2	2	2		3.66124303	F1
P07001	1	1	1	1	0	0	1	5	B	PNTA_ECOLI	0.96	2	2	2	2			B
P07003	1	1	1	1	0	0	1	5	F1	POXB_ECOLI	1.86	2	0	0	0			F1
P07014	1	1	1	1	0	0	1	5	F1	DHSB_ECOLI	7.62	2	2	2	2			F1
