Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
Q6BF86	0	0	0	0	0	0	0	0	B	LDRA_ECOLI								
P37388	0	1	1	1	0	0	0	3	F1	XYLG_ECOLI			0	2	0			
P75616	0	1	1	1	0	0	0	3	G	YAAX_ECOLI			0	0	0			
P64485	0	1	1	1	0	0	0	3	B	YEAQ_ECOLI			2	2	0			
P00805	1	1	1	1	0	0	0	4	G	ASPG2_ECOLI	6.61	2	0	0	2			
P00904	0	1	1	1	0	0	0	3	F1	TRPG_ECOLI			2	2	0			
P02916	1	1	1	1	0	0	0	4	B	MALF_ECOLI	0.83	2	2	2	2			
P02920	0	1	1	1	0	0	0	3	B	LACY_ECOLI			0	2	0			
P02924	0	1	1	1	0	0	0	3	G	ARAF_ECOLI			2	2	2			
P02932	1	1	1	1	0	0	0	4	H	PHOE_ECOLI		2	2	2	2			
P02943	1	1	1	1	0	0	0	4	H	LAMB_ECOLI	5.53	2	2	2	2			
P03959	0	1	1	1	0	0	0	3	B	ATKA_ECOLI			0	0	0			
P04816	0	1	1	1	1	0	0	4	G	LIVK_ECOLI			0	0	0	0		
P05050	0	1	1	1	1	0	0	4	B	ALKB_ECOLI			2	2	2	0		
P05824	0	1	1	1	0	1	0	4	B	RECN_ECOLI			2	2				
P07021	0	1	1	1	0	0	0	3	I	YFIB_ECOLI			2	2	2			
P07102	0	1	1	1	0	0	0	3	G	PPA_ECOLI			0	0	0			
P08370	0	1	1	1	0	0	0	3	G	YGDB_ECOLI			2	2	1			
P08371	0	1	1	1	1	0	0	4	B	PPDB_ECOLI			2	2	2	0		
P08550	0	1	1	1	1	0	0	4	B	CVPA_ECOLI			2	2	2	0		
P09348	0	1	1	1	0	0	0	3	B	MOTA_ECOLI			2	2				
P09836	0	1	1	1	0	0	0	3	B	UHPC_ECOLI			2	0				
P0A6E9	0	1	1	1	0	1	0	4	B	BIOD2_ECOLI			0	0	2			
P0A6S0	0	1	1	1	1	0	0	4	I	FLGH_ECOLI			2	2	2	0		
P0A754	0	1	1	1	0	0	0	3	F1	KEFF_ECOLI			2	2	2			
P0A769	0	1	1	1	0	0	0	3	B	MNTH_ECOLI			2	2				
P0A7H3	0	1	1	1	0	1	0	4	B	RECO_ECOLI			2	2	2		1.968372918	
P0A8S5	0	1	1	1	0	0	0	3	B	USPB_ECOLI			2	2				
P0A8X4	0	1	1	1	0	1	0	4	G	YCCT_ECOLI			2	2	2			
P0A930	0	1	1	1	0	0	0	3	I	WZA_ECOLI			0	0	0			
P0A996	0	1	1	1	0	1	0	4	F1	GLPC_ECOLI			0	0	2			
P0A9C0	1	1	1	1	0	0	0	4	F1	GLPA_ECOLI		2	0	0	2			
P0AA47	1	1	1	1	0	0	0	4	B	YEEF_ECOLI		2	2	0	2			
P0AA49	0	1	1	1	0	0	0	3	B	YFDV_ECOLI			0	0	0			
P0AA63	0	1	1	1	0	0	0	3	B	YQJA_ECOLI			2	2	2			
P0AA99	0	1	1	1	0	0	0	3	G	YAFK_ECOLI			2	2	2			
P0AAD2	0	1	1	1	0	0	0	3	B	MTR_ECOLI			2	2	2			
P0AAD8	0	1	1	1	1	0	0	4	B	TDCC_ECOLI			2	2	2	0		
P0AAE5	0	1	1	1	0	0	0	3	B	ARCD_ECOLI			2	2				
P0AAE8	0	1	1	1	0	0	0	3	B	CADB_ECOLI			0	1	2			
P0AAK7	0	1	1	1	0	0	0	3	G	NRFC_ECOLI			0	0	2			
P0AAL3	0	1	1	1	0	0	0	3	G	NAPG_ECOLI			2	2	2			
P0AAL6	0	1	1	1	0	0	0	3	B	YDHY_ECOLI			2	2	2			
