Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P68066	1	1	1	1	0	1	0	5	A	GRCA_ECOLI	12.04	2	0	0	2		3.612923022	
P0ACF4	1	1	1	1	0	1	0	5	A	DBHB_ECOLI	7.83	2	2	2	2			
P00350	1	1	1	1	0	1	1	6	A	6PGD_ECOLI	3.24	2	2	2	2			A
P00370	1	1	1	1	0	0	1	5	A	DHE4_ECOLI	0.42	2	2	2	2			A
P00448	1	1	1	1	0	0	1	5	A	SODM_ECOLI	4.03	2	2	2	2			A
P00452	1	1	1	1	0	1	1	6	A	RIR1_ECOLI	0.67	2	2	2	2		4.214056385	A
P00490	1	1	1	1	0	1	1	6	A	PHSM_ECOLI	2.73	2	2	1	2		1.813535785	A
P00509	1	1	1	1	0	1	1	6	A	AAT_ECOLI	2.64	2	2	2	2			A
P00547	0	1	1	1	0	0	1	4	A	KHSE_ECOLI			2	2	2			A
P00562	1	1	1	1	0	1	1	6	A	AK2H_ECOLI	0.32	2	1	0	0		0.830575555	A
P00579	1	1	1	1	0	0	1	5	A	RPOD_ECOLI	3.95	2	2	2	2			A
P00861	0	1	1	1	1	1	0	5	A	DCDA_ECOLI			0	0	0	0	0.711113997	
P00864	1	1	1	1	0	1	1	6	A	CAPP_ECOLI	1.02	2	2	2	2		6.077739882	A
P00887	1	1	1	1	0	0	1	5	A	AROH_ECOLI	0.28	2	2	2	2			A
P00888	0	1	1	1	0	0	1	4	A	AROF_ECOLI			2	2				A
P00895	0	1	1	1	0	0	0	3	A	TRPE_ECOLI			0	0	0			
P00903	0	1	1	1	1	0	1	5	A	PABA_ECOLI			0	0	0	0		A
P00914	0	1	1	1	1	1	0	5	A	PHR_ECOLI			2	2	0	0		
P00934	1	1	1	1	0	0	1	5	A	THRC_ECOLI	1.16	2	2	2	2			A
P00935	0	1	1	1	0	1	1	5	A	METB_ECOLI			2	1	0		1.46305426	A
P00944	0	1	1	1	0	0	1	4	A	XYLA_ECOLI			0	2	2			A
P00946	1	1	1	1	0	1	1	6	A	MANA_ECOLI	0.96	2	2	2	2		2.774594433	A
P00954	1	1	1	1	0	1	1	6	A	SYW_ECOLI	1.39	2	2	2	2			A
P00956	1	1	1	1	0	1	1	6	A	SYI_ECOLI	1.57	2	2	2	2		4.655514435	A
P00959	1	1	1	1	0	1	1	6	A	SYM_ECOLI	1.12	2	2	2			5.153160907	A
P00961	1	1	1	1	0	0	1	5	A	SYGB_ECOLI	1	2	2	2	2			A
P00962	1	1	1	1	0	1	1	6	A	SYQ_ECOLI	1.41	2	2	2	2		5.214036044	A
P00963	1	1	1	1	0	0	1	5	A	ASNA_ECOLI	0.26	2	2	2	2			A
P00968	1	1	1	1	0	0	1	5	A	CARB_ECOLI	1.36	2	2	2	2			A
P02358	1	1	1	1	0	0	1	5	A	RS6_ECOLI	12.28	2	2	2	2			A
P02359	1	1	1	1	0	0	1	5	A	RS7_ECOLI	13.54	2	2	2	2			A
