Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P00350	1	1	1	1	0	1	1	6	A	6PGD_ECOLI	3.24	2	2	2	2			A
P00370	1	1	1	1	0	0	1	5	A	DHE4_ECOLI	0.42	2	2	2	2			A
P00448	1	1	1	1	0	0	1	5	A	SODM_ECOLI	4.03	2	2	2	2			A
P00452	1	1	1	1	0	1	1	6	A	RIR1_ECOLI	0.67	2	2	2	2		4.214056385	A
P00490	1	1	1	1	0	1	1	6	A	PHSM_ECOLI	2.73	2	2	1	2		1.813535785	A
P00509	1	1	1	1	0	1	1	6	A	AAT_ECOLI	2.64	2	2	2	2			A
P00547	0	1	1	1	0	0	1	4	A	KHSE_ECOLI			2	2	2			A
P00562	1	1	1	1	0	1	1	6	A	AK2H_ECOLI	0.32	2	1	0	0		0.830575555	A
P00579	1	1	1	1	0	0	1	5	A	RPOD_ECOLI	3.95	2	2	2	2			A
P00864	1	1	1	1	0	1	1	6	A	CAPP_ECOLI	1.02	2	2	2	2		6.077739882	A
P00887	1	1	1	1	0	0	1	5	A	AROH_ECOLI	0.28	2	2	2	2			A
P00888	0	1	1	1	0	0	1	4	A	AROF_ECOLI			2	2				A
P00903	0	1	1	1	1	0	1	5	A	PABA_ECOLI			0	0	0	0		A
P00934	1	1	1	1	0	0	1	5	A	THRC_ECOLI	1.16	2	2	2	2			A
P00935	0	1	1	1	0	1	1	5	A	METB_ECOLI			2	1	0		1.46305426	A
P00944	0	1	1	1	0	0	1	4	A	XYLA_ECOLI			0	2	2			A
P00946	1	1	1	1	0	1	1	6	A	MANA_ECOLI	0.96	2	2	2	2		2.774594433	A
P00954	1	1	1	1	0	1	1	6	A	SYW_ECOLI	1.39	2	2	2	2			A
P00956	1	1	1	1	0	1	1	6	A	SYI_ECOLI	1.57	2	2	2	2		4.655514435	A
P00959	1	1	1	1	0	1	1	6	A	SYM_ECOLI	1.12	2	2	2			5.153160907	A
P00961	1	1	1	1	0	0	1	5	A	SYGB_ECOLI	1	2	2	2	2			A
P00962	1	1	1	1	0	1	1	6	A	SYQ_ECOLI	1.41	2	2	2	2		5.214036044	A
P00963	1	1	1	1	0	0	1	5	A	ASNA_ECOLI	0.26	2	2	2	2			A
P00968	1	1	1	1	0	0	1	5	A	CARB_ECOLI	1.36	2	2	2	2			A
P02358	1	1	1	1	0	0	1	5	A	RS6_ECOLI	12.28	2	2	2	2			A
P02359	1	1	1	1	0	0	1	5	A	RS7_ECOLI	13.54	2	2	2	2			A
P02413	1	1	1	1	0	0	1	5	A	RL15_ECOLI	9.82	2	2	2	2			A
P03007	1	1	1	1	0	0	1	5	A	DPO3E_ECOLI	0.43	2	2	2	2			A
P03018	1	1	1	1	0	1	1	6	A	UVRD_ECOLI	0.33	2	2	2	2		1.595717373	A
P03024	0	1	1	1	1	0	1	5	A	GALR_ECOLI			2	2	2	0		A
P03030	0	1	1	1	1	0	1	5	A	LYSR_ECOLI			0	0	0	0		A
P03817	1	1	1	1	0	0	1	5	A	MIOC_ECOLI	2.01	2	2	2	2			A
P04036	1	1	1	1	0	1	1	6	A	DAPB_ECOLI	1.11	2	2	1	2		3.72335626	A
P04079	1	1	1	1	0	1	1	6	A	GUAA_ECOLI	2.25	2	2	2	2		6.412027304	A
P04335	1	1	1	1	0	1	1	6	A	FRSA_ECOLI	0.66	2	2	2	2			A
P04425	1	1	1	1	0	0	1	5	A	GSHB_ECOLI	0.31	2	2	2	2			A
P04693	1	1	1	1	0	0	1	5	A	TYRB_ECOLI	0.65	2	2	2	2			A
P04805	1	1	1	1	0	0	1	5	A	SYE_ECOLI	2.12	2	2	2	2			A
P04951	1	1	1	1	0	1	1	6	A	KDSB_ECOLI	1.34	2	2	2	2		3.304110334	A
P04993	0	1	1	1	1	1	1	6	A	EX5A_ECOLI			2	2	2	0		A
P04995	0	1	1	1	0	1	1	5	A	EX1_ECOLI			2	2	2			A
P05020	1	1	1	1	0	0	1	5	A	PYRC_ECOLI	0.68	2	2	2	2			A
P05042	1	1	1	1	1	1	1	7	A	FUMC_ECOLI	0.55	2	2	2	0	0	0.943162377	A
P05055	1	1	1	1	0	1	1	6	A	PNP_ECOLI	1	2	2	2	2		10.4966103	A
P05194	0	1	1	1	1	0	1	5	A	AROD_ECOLI			2	2	2	0		A
P05459	1	1	1	1	0	0	1	5	A	PDXB_ECOLI	1.32	2	2	2	2			A
P05523	0	1	1	1	0	1	1	5	A	FPG_ECOLI			2	2	2			A
P05637	1	1	1	1	1	0	1	6	A	APAH_ECOLI	0.84	2	2	2	2	0		A
P05793	1	1	1	1	0	0	1	5	A	ILVC_ECOLI	0.56	2	2	2	2			A
P05827	0	1	1	1	1	0	1	5	A	ILVY_ECOLI			0	0		0		A
P05847	0	1	1	1	0	0	1	4	A	TTDA_ECOLI			0	0	0			A
P05852	1	1	1	1	0	1	1	6	A	GCP_ECOLI	0.29	2	2	2	2		3.507489076	A
