Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	DetectedProtein	# Studies	DB_NoveV12 Duplicates	Normalized And Descr Itensity	0BS_C0LL	ABS_CALL	ABS_CALL	Merge ID	Masuda2009_fin	Taniguchi2010_fin_mmol	DetectedProtein	# Studies	DB_NoveV12 Duplicates	Copy number per cell	mMol	Merge ID
Q6BF86	0	0	0	0	0	0	B						0	0	0	0	B			
P37388	0	1	1	1	0	3	F1		0	2	0		0	0	0	0	F1			
P64485	0	1	1	1	0	3	B		2	2	0		0	0	0	0	B			
P00804	0	1	1	1	0	3	B		2	2	2		0	0	0	0	B			
P00805	1	1	1	1	0	4	G	2	0	0	2		1	0	0	1	G	58.18		
P00811	1	1	1	1	0	4	G	1	2	0	2		1	0	0	1	G	10		
P00904	0	1	1	1	0	3	F1		2	2	0		0	0	0	0	F1			
P02916	1	1	1	1	0	4	B	1	2	2	2		1	0	0	1	B	24.12		
P02920	0	1	1	1	0	3	B		0	2	0		0	0	0	0	B			
P02924	0	1	1	1	0	3	G		2	2	2		0	0	0	0	G			
P02932	1	1	1	1	0	4	H	1	2	2	2		1	0	0	1	H	12.79		
P02943	1	1	1	1	0	4	H	1	2	2	2		1	0	0	1	H	106.35		
P04983	1	1	1	1	0	4	F1	1	2	2	2		1	0	0	1	F1	13.75		
P05050	0	1	1	1	0	3	B		2	2	2		0	0	0	0	B			
P05824	0	1	1	1	0	3	B		2	2			0	1	0	1	B		0.0048333	
P06611	1	1	1	1	0	4	F1	1	2	0	0		1	0	0	1	F1			
P07021	1	1	1	1	0	4	I	1	2	2	2		1	0	0	1	I			
P08370	0	1	1	1	0	3	G		2	2	1		0	0	0	0	G			
P08371	0	1	1	1	0	3	B		2	2	2		0	0	0	0	B			
P08550	0	1	1	1	0	3	B		2	2	2		0	0	0	0	B			
P09348	0	1	1	1	0	3	B		2	2			0	0	0	0	B			
P09836	0	1	1	1	0	3	B		2	0			0	0	0	0	B			
P0A6E9	0	1	1	1	0	3	B		0	0	2		0	1	0	1	B		0.0012663	
P0A6S0	0	1	1	1	0	3	I		2	2	2		0	0	0	0	I			
P0A6X3	1	1	1	1	0	4	F1	2	2	2	2		1	1	0	2	F1	99.64	1.434	
P0A754	0	1	1	1	0	3	F1		2	2	2		0	0	0	0	F1			
P0A759	1	1	1	1	0	4	B	1	2	2	2		1	0	0	1	B	146.75		
P0A766	0	1	1	1	0	3	B		2	2			0	0	0	0	B			
P0A769	0	1	1	1	0	3	B		2	2			0	0	0	0	B			
P0A7B3	0	1	1	1	0	3	F1		2	2	2		0	1	0	1	F1		0.006953	
P0A7H3	0	1	1	1	0	3	B		2	2	2		0	1	0	1	B		0.00011574	
P0A7J0	1	1	1	1	0	4	F1	1	2	2	2		1	1	0	2	F1	181.53	0.080874	
