Merge ID	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	Wang2007_fin	OurStudyLoose	# Studies	DB_NoveV12 Duplicates	CAI	emPAI Value	Covert	Blattner	Corbin	0BS_C0LL	P46482	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	Taniguchi2010_fin_mmol	OurStudyLoose	# Studies	DB_NoveV12 Duplicates	emPAI-derived copy no/cell (see Figure 2)	Copy number per cell	APEX	2D mol/cell	mMol	P46482
P37388	0	0	1	1	0	2	F1			0.16	0.3	0.18	0		0	0	1	0	0	1	F1						
P75616	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P64485	0	0	1	1	0	2	B				3.27	2.49	2		0	0	1	0	0	1	B						
P00804	0	0	1	1	0	2	B			4.98	2.33	4.54	2		0	0	1	0	0	1	B						
P00805	0	1	1	1	0	3	G		1.24				0		0	1	1	0	0	2	G		58.18				
P00811	1	1	1	1	0	4	G	0.26	0.21	0.83	0.46	0.37	2		1	1	1	0	0	3	G	1.47E+02	10				
P00904	0	0	1	1	0	2	F1			9.86	3.15	4.24	2		0	0	1	0	0	1	F1			453.28			
P02916	0	1	1	1	0	3	B		1	0.99	0.94	0.79	2		0	1	1	0	0	2	B		24.12				
P02920	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P02932	0	1	1	1	0	3	H		0.26	0.38	0.47	0.16	2		0	1	1	0	0	2	H		12.79				
P02943	1	1	1	1	0	4	H		2.31	2.72	1.95	4.27	2		1	1	1	0	0	3	H	2.02E+02	106.35				
P03961	0	1	1	1	0	3	B		2.16	1.77	0.76	0.93	2		0	1	1	0	0	2	B		1.54				
P04816	1	0	1	1	0	3	G	0.41		10.43	8.72	6.9	0		1	0	1	0	0	2	G	4.24E+02		1613.28	2748.68		
P05050	0	0	1	1	0	2	B			0.42			2		0	0	1	0	0	1	B						
P07021	0	1	1	1	0	3	I		9		1.03	0.81	2		0	1	1	0	0	2	I		-				
P07654	0	0	1	1	0	2	B			2.05	1.78	0.9	2		0	0	1	0	0	1	B						
P08370	0	0	1	1	0	2	G				0.5	0.3	2		0	0	1	0	0	1	G						
P08401	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P08550	0	0	1	1	0	2	B			10.36	8.46	5.51	2		0	0	1	0	0	1	B						
