Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P75616	0	1	1	1	0	0	0	3	G	YAAX_ECOLI			0	0	0			
P03959	0	1	1	1	0	0	0	3	B	ATKA_ECOLI			0	0	0			
P04816	0	1	1	1	1	0	0	4	G	LIVK_ECOLI			0	0	0	0		
P07102	0	1	1	1	0	0	0	3	G	PPA_ECOLI			0	0	0			
P0A930	0	1	1	1	0	0	0	3	I	WZA_ECOLI			0	0	0			
P0AA49	0	1	1	1	0	0	0	3	B	YFDV_ECOLI			0	0	0			
P0AAP1	0	1	1	1	0	0	0	3	B	ADRA_ECOLI			0	0	0			
P0ABK7	0	1	1	1	1	0	0	4	F4	CSGB_ECOLI			0	0	0	0		
P0ABT8	0	1	1	1	0	0	0	3	B	YIJE_ECOLI			0	0	0			
P0ACN2	0	1	1	1	0	0	0	3	B	YTFH_ECOLI			0	0	0			
P0AD17	0	1	1	1	0	0	0	3	B	YOHC_ECOLI			0	1	0			
P0AE74	0	1	1	1	0	0	0	3	B	CITT_ECOLI			0	0				
P0AE95	0	1	1	1	0	0	0	3	G	CSGE_ECOLI			0	0	0			
P0AFV2	0	1	1	1	0	0	0	3	B	YHID_ECOLI			0	0	0			
P0AGM9	0	1	1	1	0	0	0	3	B	XANP_ECOLI			0	0	0			
P16677	0	1	1	1	1	0	0	4	F1	PHNC_ECOLI			0	0	0	0		
P16679	0	1	1	1	1	0	0	4	F1	PHNL_ECOLI			0	0	0	0		
P25743	0	1	1	1	0	0	0	3	B	YCHE_ECOLI			0	0	0			
P26458	0	1	1	1	0	0	0	3	B	APPB_ECOLI			0	0	0			
P28696	0	1	1	1	0	0	0	3	G	YAAI_ECOLI			0	0	0			
P31435	0	1	1	1	0	0	0	3	B	YICJ_ECOLI			0	0	0			
P31440	0	1	1	1	0	0	0	3	B	YICO_ECOLI			0	0	0			
P31553	0	1	1	1	0	0	0	3	B	CAIT_ECOLI			0	0	0			
P31679	0	1	1	1	0	0	0	3	B	YAAU_ECOLI			0	0	0			
P32108	0	1	1	1	0	0	0	3	B	YIBI_ECOLI			0	0	0			
P32676	0	1	1	1	1	0	0	4	F1	PTFB3_ECOLI			0	0	0	0		
P32687	0	1	1	1	0	0	0	3	I	YJBF_ECOLI			0	0	0			
P32689	0	1	1	1	0	0	0	3	E	YJBH_ECOLI			0	0	0			
P32712	0	1	1	1	1	0	0	4	I	NRFG_ECOLI			0	0	0	0		
P32714	0	1	1	1	0	0	0	3	I	MDTP_ECOLI			0	0	0			
P33024	0	1	1	1	0	0	0	3	B	PSUT_ECOLI			0	0	0			
P33554	0	1	1	1	1	0	0	4	G	PPDA_ECOLI			0	0	0	0		
P34749	0	1	1	1	0	0	0	3	H	HOFQ_ECOLI			0	0	0			
P36647	0	1	1	1	1	0	0	4	B	PPDD_ECOLI			0	0	0	0		
P38054	0	1	1	1	0	0	0	3	B	CUSA_ECOLI			0	0	0			
P38683	0	1	1	1	1	0	0	4	G	TORT_ECOLI			0	0	0	0		
P39301	0	1	1	1	0	0	0	3	B	ULAA_ECOLI			0	0	0			
P42590	0	1	1	1	0	0	0	3	B	YGJI_ECOLI			0	0	0			
P42603	0	1	1	1	0	0	0	3	B	YGJV_ECOLI			1	0	0			
P42640	0	1	1	1	0	0	0	3	B	YHBX_ECOLI			0	0	0			
P42911	0	1	1	1	1	0	0	4	B	PTPD_ECOLI			0	0	0	0		
P45751	0	1	1	1	0	0	0	3	B	YRFB_ECOLI			0	0	0			
P45753	0	1	1	1	0	0	0	3	G	YRFD_ECOLI			0	0	0			
P45767	0	1	1	1	0	0	0	3	B	YHDX_ECOLI			0	0	0			
P45768	0	1	1	1	0	0	0	3	B	YHDY_ECOLI			0	0	0			
P52005	0	1	1	1	0	0	0	3	B	TORY_ECOLI			0	0	0			
P52107	0	1	1	1	0	0	0	3	G	CSGC_ECOLI			0	0	0			
P52599	0	1	1	1	0	0	0	3	G	EMRK_ECOLI			0	0				
P65298	0	1	1	1	0	0	0	3	I	YQHH_ECOLI			0	0	0			
P67444	0	1	1	1	0	0	0	3	B	XANQ_ECOLI			0	0	0			
P69739	0	1	1	1	0	0	0	3	B	MBHS_ECOLI			0	0	0			
P71241	0	1	1	1	0	0	0	3	B	WCAJ_ECOLI			0	0				
P71244	0	1	1	1	0	0	0	3	G	WCAM_ECOLI			0	0	0			
P75733	0	1	1	1	0	0	0	3	H	YBFM_ECOLI			0	0				
P75734	0	1	1	1	0	0	0	3	I	YBFN_ECOLI			0	1				
P75742	0	1	1	1	0	0	0	3	B	DTPD_ECOLI			0	0	0			
P75799	0	1	1	1	0	0	0	3	B	GSID_ECOLI			0	0				
P75804	0	1	1	1	0	0	0	3	G	YLII_ECOLI			0	0	0			
P76135	0	1	1	1	0	0	0	3	B	YDEO_ECOLI			0	0	0			
P76198	0	1	1	1	0	0	0	3	B	YDIN_ECOLI			0	0	0			
P76236	0	1	1	1	0	0	0	3	B	YEAI_ECOLI			0	0	0			
P76264	0	1	1	1	0	0	0	3	B	YEBN_ECOLI			0	0	0			
P76343	0	1	1	1	0	0	0	3	B	YEDZ_ECOLI			0	0	0			
P76387	0	1	1	1	0	0	0	3	B	WZC_ECOLI			0	0	0			
P76462	0	1	1	1	0	0	0	3	G	YFAP_ECOLI			0	0				
P76466	0	1	1	1	0	0	0	3	G	YFAT_ECOLI			0	1				
P76518	0	1	1	1	0	0	0	3	B	YFDE_ECOLI			0	0	0			
P76552	0	1	1	1	0	0	0	3	B	EUTH_ECOLI			0	0	0			
P76559	0	1	1	1	0	0	0	3	G	YPFG_ECOLI			0	0	0			
P77214	0	1	1	1	0	0	0	3	G	CUSF_ECOLI			0	0	0			
P77328	0	1	1	1	0	0	0	3	B	YBBY_ECOLI			0	0	0			
P77360	0	1	1	1	0	0	0	3	B	YPHC_ECOLI			1	0	0			
P77539	0	1	1	1	0	0	0	3	B	YDJL_ECOLI			0	0	0			
P77579	0	1	1	1	0	0	0	3	B	PTFC1_ECOLI			0	0	0			
Q46858	0	1	1	1	0	0	0	3	G	YQHG_ECOLI			0	0				
Q46916	0	1	1	1	0	0	0	3	B	GUDP_ECOLI			0	0				
Q47151	0	1	1	1	0	0	0	3	G	YAFL_ECOLI			0	0	0			
Q47702	0	1	1	1	0	0	0	3	G	YFEK_ECOLI			0	0	0			
O32528	0	1	1	1	0	0	0	3	I	YPDI_ECOLI			0	0	0			
P08369	0	1	1	1	0	0	0	3	B	CRED_ECOLI			0	0	0			
P08372	0	1	1	1	1	0	0	4	B	PPDC_ECOLI			0	0	0	0		
P0A712	0	1	1	1	1	0	0	4	B	KDGT_ECOLI			0	0	0	0		
P0AA76	0	1	1	1	0	0	0	3	B	DGOT_ECOLI			0	0	0			
P0AAA3	0	1	1	1	0	0	0	3	G	MATB_ECOLI			0	0	0			
P0AAA9	0	1	1	1	1	0	0	4	G	ZRAP_ECOLI			0	0	0	0		
