Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P19768	1																										1	1																										A		
P0CF07	1			1				1																			3	1			1				1																			A		
P0CF08	1																										1	1																										A		
P0CF09	1																										1	1																										A		
P0CF10	1																										1	1																										A		
P0CF11	1																										1	1																										A		
P0CF12	1			1																							2	1			1																							A		
P0CF25	1			1																							2	1			1																							A		
P0CF26	1			1																							2	1			1																							A		
P0CF27	1			1																							2	1			1																							A		
P57998	1			1																							2	1			1																							A		
P0CF28	1																										1	1																										A		
P0CF40	1			1																							2	1			1																							A		
P0CF43	1																										1	1																										A		
P0CF45	1																										1	1																										A		
P0CF91	1			1		1	1																				4	1			1		1	1																				A		
P0CF53	1	1		1																							3	1	1		1																							A		
P0CF56	1	1																									2	1	1																									A		
P0CF58	1	1																									2	1	1																									A		
P0CF88	1			1				1																			3	1			1				1																			A		
P0CF89	1			1																							2	1			1																							A		
P0CF90	1			1																							2	1			1																							A		
P19769	1			1				1																			3	1			1				1																			A		
P0CE58	1		1																								2	1		1																								A		
P0CF66	1	1						1																			3	1	1						1																			A		
P0CF67	1	1																									2	1	1																									A		
P0CF68	1	1																									2	1	1																									A		
P0CF69	1	1																									2	1	1																									A		
P0CF70	1	1																									2	1	1																									A		
P0CE49	1		1	1			1	1																			5	1		1	1			1	1																			A		
P0CE50	1		1	1																							3	1		1	1																							A		
P0CE52	1		1																								2	1		1																								A		
P0CE53	1		1																								2	1		1																								A		
P0CE55	1		1																								2	1		1																								A		
P0CE56	1		1																								2	1		1																								A		
P0CF92	1			1																							2	1			1																							A		
P0CF93	1																										1	1																										A		
P0CF79	1			1																							2	1			1																							A		
P0CF80	1			1																							2	1			1																							A		
P0CF81	1			1																							2	1			1																							A		
P0CF82	1			1																							2	1			1																							A		
P0CF83	1																										1	1																										A		
P0ADH7	1			1																							2	1			1																							A		
P0ADH5	1			1		1																					3	1			1		1																					A		
P52627	1					1																					2	1					1																					A		
P06966	1		1					1																			3	1		1					1																			A		
P09557	1			1																							2	1			1																							A		
P06965	1		1	1																							3	1		1	1																							A		
P77609	1			1																							2	1			1																							A		
P38393	1			1																							2	1			1																							A		
Q47270	1			1																							2	1			1																							A		
P37057	1			1																							2	1			1																							A		
P03014	1			1		1																					3	1			1		1																					A		
P77170	1			1																							2	1			1																							A		
P0ADI0	1			1																							2	1			1																							A		
P15033	1			1		1																					3	1			1		1																					A		
P33228	1			1																							2	1			1																							A		
P07010	1			1																							2	1			1																							A		
P76161	1			1		1		1																			4	1			1		1		1																			A		
P0AG74	1			1																							2	1			1																							A		
P09153	1	1																									2	1	1																									A		
P77300	1		1					1																			3	1		1					1																			A		
P77698	1			1																							2	1			1																							A		
P77634	1		1																								2	1		1																								A		
Q47269	1																										1	1																										A		
P68661	1																										1	1																										A		
P77598	1			1																							2	1			1																							A		
P64435	1			1				1																			3	1			1				1																			A		
P33230	1			1																							2	1			1																							A		
P38394	1			1																							2	1			1																							A		
P0ACW0	1																										1	1																										A		
P76061	1																										1	1																										A		
P29010	1																										1	1																										A		
P76154	1			1																							2	1			1																							A		
P76160	1			1																							2	1			1																							A		
P76162	1			1																							2	1			1																							A		
P64524	1																										1	1																										A		
Q47272	1	1				1																					3	1	1				1																					A		
Q47268	1																										1	1																										A		
P75974	1							1																			2	1							1																			A		
P76068	1																										1	1																										A		
Q2EES0	1							1																			2	1							1																			A		
P05052	1			1																							2	1			1																							A		
P06960	1			1																							2	1			1																							A		
P11072	1																										1	1																										F1		
P24200	1							1																			2	1							1																			A		
P15032	1							1																			2	1							1																			A		
P0C079	1		1					1														1					4	1		1					1														1					A		
P0C077	1			1				1																			3	1			1				1																			A		
P0ACW8	1																										1	1																										A		
P29009	1																										1	1																										A		
P21418	1																										1	1																										A		
P31062	1			1																							2	1			1																							A		
P33229	1			1																							2	1			1																							A		
P33997	1			1																							2	1			1																							A		
P36995	1			1																							2	1			1																							A		
P0A976	1																										1	1																										A		
P45581	1																										1	1																										A		
P76510	1						1	1																			3	1						1	1																			A		
P52123	1																										1	1																										A		
P52124	1		1	1																							3	1		1	1																							A		
P52125	1			1																							2	1			1																							A		
P52126	1			1		1		1																			4	1			1		1		1																			A		
P52127	1			1				1																			3	1			1				1																			A		
P52128	1			1																							2	1			1																							A		
P52129	1							1																			2	1							1																			A		
P52130	1			1																							2	1			1																							A		
P52132	1			1																							2	1			1																							A		
P52133	1					1																					2	1					1																					A		
P52139	1																										1	1																										A		
P52140	1																										1	1																										A		
P52141	1																										1	1																										A		
Q47684	1			1																							2	1			1																							A		
P75676	1																										1	1																										A		
P77206	1			1																							2	1			1																							A		
P75678	1			1		1																					3	1			2		1																					A		
Q57083	1			1																							2	1			1																							A		
Q47690	1							1																			2	1							1																			A		
P75682	1							1																			2	1							1																			A		
P77596	1							1																			2	1							1																			A		
P77713	1			1				1																			3	1			1				1																			A		
P76057	1																										1	1																										A		
P76062	1			1				1																			3	1			1				1																			A		
P76064	1																										1	1																										A		
P76065	1							1																			2	1							1																			A		
P77546	1							1																			2	1							1																			A		
P76072	1			1	1		1	1																			5	1			1	1		1	1																			A		
P77163	1																										1	1																										A		
P76073	1			1																							2	1			1																							A		
P64521	1			1																							2	1			1																							A		
P76364	1																					1					2	1																					1					A		
P77657	1																										1	1																										A		
P71296	1			1																							2	1			1																							A		
P71297	1			1																							2	1			1																							A		
Q47274	1			1																							2	1			1																							A		
P76155	1																										1	1																										A		
P77515	1																										1	1																										A		
P76156	1			1																							2	1			1																							A		
P76163	1			1																							2	1			1																							A		
P77695	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P0A986	1			1																							2	1			1																							A		
P77656	1																										1	1																										A		
P76512	1			1																							2	1			1																							A		
P76513	1			1																							2	1			1																							A		
P76514	1							1																			2	1							1																			A		
P76515	1			1																							2	1			1																							A		
P76516	1							1																			2	1							1																			A		
P76543	1																										1	1																										A		
P76544	1																										1	1																										A		
P76545	1																										1	1																										A		
P76546	1																										1	1																										A		
P76547	1																										1	1																										A		
