Merge ID	TableS3_K12_ProteomeV13_BasicProteome_3900	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	
Q6BF86	1										1	1										B	LDRA_ECOLI	
P37388	1										1	1										F1	XYLG_ECOLI	
P68066	1	1	1			1	1	1			6	1	1	1			1	1	1			A	GRCA_ECOLI	
P0ACF4	1		1			1	1	1			5	1		1			1	1	1			A	DBHB_ECOLI	
P75616	1			1							2	1			1							G	YAAX_ECOLI	
P64485	1										1	1										B	YEAQ_ECOLI	
P00350	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	6PGD_ECOLI	
P00363	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	F1	FRDA_ECOLI	
P00370	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	DHE4_ECOLI	
P00393	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	F1	DHNA_ECOLI	
P00448	1		1				1	1		1	5	1		1				1	1		1	A	SODM_ECOLI	
P00452	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	RIR1_ECOLI	
P00490	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	PHSM_ECOLI	
P00509	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	AAT_ECOLI	
P00547	1			1				1		1	4	1			1				1		1	A	KHSE_ECOLI	
P00550	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	B	PTM3C_ECOLI	
P00561	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	F1	AK1H_ECOLI	
P00562	1			1		1	1	1	1	1	7	1			1		1	1	1	1	1	A	AK2H_ECOLI	
P00579	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	RPOD_ECOLI	
P00803	1		1		1	1	1	1	1	1	8	1		1		1	1	1	1	1	1	B	LEP_ECOLI	
P00804	1					1				1	3	1					1				1	B	LSPA_ECOLI	
P00805	1	1	1	1		1	1	1			7	1	1	1	1		1	1	1			G	ASPG2_ECOLI	
P00811	1						1	1		1	4	1						1	1		1	G	AMPC_ECOLI	
P00861	1							1			2	1							1			A	DCDA_ECOLI	
P00864	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	CAPP_ECOLI	
P00887	1		1			1	1	1	1	1	7	1		1			1	1	1	1	1	A	AROH_ECOLI	
P00888	1			1				1		1	4	1			1				1		1	A	AROF_ECOLI	
P00895	1			1				1			3	1			1				1			A	TRPE_ECOLI	
P00903	1							1	1	1	4	1							1	1	1	A	PABA_ECOLI	
P00904	1							1	1		3	1							1	1		F1	TRPG_ECOLI	
P00914	1			1				1			3	1			1				1			A	PHR_ECOLI	
P00934	1		1		1	1	1	1		1	7	1		1		1	1	1	1		1	A	THRC_ECOLI	
P00935	1				1			1		1	4	1				1			1		1	A	METB_ECOLI	
P00944	1		1	1		1		1		1	6	1		1	1		1		1		1	A	XYLA_ECOLI	
P00946	1	1	1			1	1	1		1	7	1	1	1			1	1	1		1	A	MANA_ECOLI	
P00954	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	SYW_ECOLI	
P00956	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	SYI_ECOLI	
P00959	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	SYM_ECOLI	
P00961	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	SYGB_ECOLI	
P00962	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	SYQ_ECOLI	
P00963	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	ASNA_ECOLI	
P00968	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	CARB_ECOLI	
P02358	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	RS6_ECOLI	
P02359	1		1	1	1	1	1	1	1	1	9	1		1	1	1	1	1	1	1	1	A	RS7_ECOLI	
P02413	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	RL15_ECOLI	
P02916	1			1	1	1	1	1	1		7	1			1	1	1	1	1	1		B	MALF_ECOLI	
P02918	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	B	PBPA_ECOLI	
P02920	1										1	1										B	LACY_ECOLI	
P02924	1	1	1	1				1			5	1	1	1	1				1			G	ARAF_ECOLI	
P02925	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	G	RBSB_ECOLI	
P02930	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	H	TOLC_ECOLI	
P02931	1	1	1	1	1	1	1	1	1	1	10	1	1	1	2	1	1	1	1	1	1	H	OMPF_ECOLI	
P02932	1			1	1	1	1		1		6	1			1	1	1	1		1		H	PHOE_ECOLI	
