ID REF	VALUE	ABS_CALL
AFFX BioB 5 at	530.341	0
AFFX BioC 3 at	39	0
AFFX CreX 5 at	623.307	0
AFFX CreX 3 at	533.398	0
AFFX DapX 5 at	837.994	0
AFFX DapX M at	12.629	0
AFFX DapX 3 at	804.164	0
AFFX LysX 5 at	337.823	0
AFFX LysX M at	160.437	0
AFFX LysX 3 at	415.195	0
AFFX PheX 5 at	652.239	0
AFFX PheX M at	179.553	0
AFFX PheX 3 at	767.576	0
AFFX ThrX 5 at	806.861	
AFFX ThrX M at	110.001	0
AFFX ThrX 3 at	274.165	0
AFFX TrpnX 5 at	159.672	0
AFFX TrpnX M at	876.028	0
AFFX TrpnX 3 at	600.309	0
AFFX HXB2 5 at	388.169	0
AFFX HXB2 M at	284.954	0
AFFX HXB2 3 at	33.588	2
IG 2 1 189 fwd at	139.427	2
IG 1 1 5682 rev at	399.653	2
thrL b0001 at	837.037	2
IG 3 256 336 fwd f at	364.252	2
thrA b0002 at	189.763	2
thrB b0003 at	211.95	2
thrC b0004 at	117.243	2
IG 4 5021 5233 fwd at	255.649	0
b0005 at	134.199	0
IG 5 5531 8237 fwd at	335.185	
yaaA b0006 at	936.001	2
IG 6 6460 6528 rev at	776.068	2
yaaJ b0007 at	138.564	2
IG 7 7960 9927 rev at	704.734	2
talB b0008 at	2477.96	2
IG 8 9192 9305 fwd at	706.857	2
mog b0009 at	398.901	2
IG 9 9894 10724 fwd at	320.693	0
yaaH b0010 at	212.441	0
IG 10 10495 10642 rev at	249.308	0
b0011 at	564.383	
htgA b0012 at	461.279	
IG 11 11316 12162 fwd at	722.372	
yaaI b0013 at	64.173	0
IG 12 11787 15868 rev f at	121.406	2
dnaK b0014 at	680.207	2
IG 13 14080 14167 fwd at	206.797	2
dnaJ b0015 at	451.027	2
IG 14 15299 15444 fwd f at	588.12	
yi81 1 b0016 s at	378.989	2
yi82 1 b0017 s at	149.941	2
IG 15 16178 16750 rev s at	219.688	2
IG 16 16558 17488 fwd f at	829.163	2
gef b0018 at	764.205	2
IG 17 16961 19810 rev at	302.237	
nhaA b0019 at	109.758	2
IG 18 18656 18714 fwd at	370.011	2
nhaR b0020 at	191.236	2
IG 19 19621 21180 fwd f at	824.162	2
insA 1 b0022 s at	398.117	2
IG 20 20509 20814 rev f at	86.814	2
rpsT b0023 at	1068.41	2
IG 21 21079 34780 rev at	987.004	2
b0024 at	228.636	2
ribF b0025 at	447.328	2
