Uniprot Accession	ID REF	VALUE	ABS_CALL
P0AD86	thrL b0001 at	837.037	2
P00561	thrA b0002 at	189.763	2
P00547	thrB b0003 at	211.95	2
P00934	thrC b0004 at	117.243	2
P75616	b0005 at	134.199	0
P0A8I3	yaaA b0006 at	936.001	2
P30143	yaaJ b0007 at	138.564	2
P0A870	talB b0008 at	2477.96	2
P0AF03	mog b0009 at	398.901	2
P0AC98	yaaH b0010 at	212.441	0
P75617	b0011 at	564.383	
P28697	htgA b0012 at	461.279	
P28696	yaaI b0013 at	64.173	0
P0A6Y8	dnaK b0014 at	680.207	2
P08622	dnaJ b0015 at	451.027	2
P0CF91	yi81 1 b0016 s at	378.989	2
P33236	gef b0018 at	764.205	2
P13738	nhaA b0019 at	109.758	2
P0A9G2	nhaR b0020 at	191.236	2
P47737	IG 19 19621 21180 fwd f at	824.162	2
P0CF07	insA 1 b0022 s at	398.117	2
P0A7U7	rpsT b0023 at	1068.41	2
P75620	b0024 at	228.636	2
P0AG40	ribF b0025 at	447.328	2
P00956	ileS b0026 at	500.489	2
P00804	lspA b0027 at	309.792	2
P0AEM0	slpA b0028 at	330.207	2
P62623	lytB b0029 at	202.909	2
P22564	yaaF b0030 at	490.829	2
P04036	dapB b0031 at	275.28	2
P0A6F1	carA b0032 at	816.141	2
P00968	carB b0033 at	235.931	2
P0AE58	caiF b0034 at	180.187	2
P39206	caiE b0035 at	351.949	2
P31551	caiD b0036 at	275.95	0
P31552	caiC b0037 at	155.954	0
P31572	caiB b0038 at	214.857	2
P60584	caiA b0039 at	996.616	0
P31553	caiT b0040 at	127.063	0
P60566	fixA b0041 at	209.281	0
P31574	fixB b0042 at	220.192	2
P68644	fixC b0043 at	156.651	0
P68646	fixX b0044 at	100.506	0
P31679	yaaU b0045 at	292.374	0
P0A754	yabF b0046 at	96.751	2
P03819	kefC b0047 at	234.648	2
P0ABQ4	folA b0048 at	251.173	
P05637	apaH b0049 at	172.353	2
P62672	apaG b0050 at	329.451	2
P06992	ksgA b0051 at	331.663	2
P19624	pdxA b0052 at	498.426	2
P0ABZ6	surA b0053 at	762.579	2
P31554	imp b0054 at	379.179	2
P31680	yabH b0055 at	279.75	2
P39220	yabP b0056 at	179.167	2
P39221	yabQ b0057 at	392.032	2
P0AA37	yabO b0058 at	182.289	2
P60240	hepA b0059 at	255.46	2
P21189	polB b0060 at	745.198	
P08203	araD b0061 at	261.933	0
P08202	araA b0062 at	77.493	0
P08204	araB b0063 at	270.028	
P0A9E0	araC b0064 at	217.363	2
P30149	yabI b0065 at	162.118	2
P31548	yabJ b0066 at	111.418	
P31549	yabK b0067 at	609.308	2
P31550	tbpA b0068 at	124.782	0
P33595	yabN b0069 at	129.222	2
P31675	yabM b0070 at	697.898	
P30126	leuD b0071 at	975.371	2
P0A6A6	leuC b0072 at	772.989	2
