Merge ID	Ishihama2008_fin	Masuda2009_fin	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011CEPNonDet	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mMol	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
P00805	0	1	0	1	0	1	3	G	ASPG2_ECOLI				1.24	2	58.18																			G
P00904	0	0	0	1	1	1	3	F1	TRPG_ECOLI								453.28		0.09	 	0.09	 												F1
P02916	0	1	0	1	1	1	4	B	MALF_ECOLI				1	1	24.12				0.18	 	0.56	 	 	0.06	0.12	 	0.12	 	0.12	  	0.12			B
P02924	1	0	0	1	0	1	3	G	ARAF_ECOLI	0.11	2.74E-01	1.37E+02																						G
P02932	0	1	0	1	1	1	4	H	PHOE_ECOLI				0.26	1	12.79				0.06	 	0.06	 												H
P02943	1	1	0	1	1	1	5	H	LAMB_ECOLI	0.19	5.40E-01	2.02E+02	2.31	1	106.35				1.86	0.78	1.78	1.78	0.09	  	 	3.08	1.45	1.96	1.3	3.08	1.3	2.59	1.02	H
P04816	1	0	0	1	0	1	3	G	LIVK_ECOLI	0.47	1.93E+00	4.24E+02					1613.28	2748.68																G
P05824	0	0	1	1	0	1	3	B	RECN_ECOLI							0.0048333																		B
P07021	0	1	0	1	0	1	3	I	YFIB_ECOLI				9	1																				I
P0A6E9	0	0	1	1	0	1	3	B	BIOD2_ECOLI							0.0012663																		B
P0A6S0	0	0	0	1	1	1	3	I	FLGH_ECOLI										0.32	0.08	0.35	0.58	 	0.46	 	 	  	0.13						I
P0A7H3	0	0	1	1	0	1	3	B	RECO_ECOLI							0.00011574																		B
P0A8X4	0	0	1	1	0	1	3	G	YCCT_ECOLI							0.0001377																		G
P0A996	0	0	1	1	1	1	4	F1	GLPC_ECOLI							0.0002731			0.1	 	0.07	 	0.15	  	0.07									F1
P0A9C0	0	1	0	1	1	1	4	F1	GLPA_ECOLI				0.47	1	22.71				0.26	 	0.38	 	0.24	0.24	0.17									F1
P0AA47	1	1	0	1	0	1	4	B	YEEF_ECOLI	0.43	1.68E+00	3.92E+02	1.68	1	78																			B
P0AAD8	0	1	0	1	0	1	3	B	TDCC_ECOLI				0.58	1	1.19																			B
P0AAX6	0	0	1	1	0	1	3	G	MCBA_ECOLI							0.001951																		G
P0AB40	0	0	1	1	0	1	3	G	BHSA_ECOLI							0.0013614																		G
P0AB85	0	1	1	1	0	1	4	E	APBE_ECOLI				2.55	1		0.00047311																		E
P0ABK9	1	0	0	1	0	1	3	G	NRFA_ECOLI	0.08	2.12E-01	1.17E+02																						G
P0ABV2	0	1	0	1	0	1	3	B	EXBD_ECOLI				5.81	1	260.06																			B
P0AC55	0	1	0	1	0	1	3	F1	GLNK_ECOLI				30.62	2	1302.81																			F1
P0AD59	0	0	0	1	0	1	2	G	IVY_ECOLI								7170.32																	G
P0AD70	0	1	0	1	0	1	3	G	AMPH_ECOLI				0.39	1																				G
P0ADI4	1	0	0	1	0	1	3	F1	ENTB_ECOLI	0.85	6.02E+00	8.21E+02																						F1
P0ADU5	1	1	0	1	0	1	4	G	YGIW_ECOLI	0.5	2.16E+00	4.53E+02	2.73	1	125.04																			G
P0AEA2	0	0	1	1	0	1	3	I	CSGG_ECOLI							0.0011837																		I
P0AEA5	0	0	1	1	0	1	3	B	CYOE_ECOLI							0.0028573																		B
P0AES9	0	1	1	1	0	1	4	G	HDEA_ECOLI				2.16	1	99.64	0.018774		7830.56																G
P0AET2	0	0	1	1	0	1	3	G	HDEB_ECOLI							0.0068204																		G
P0AFI5	0	1	1	1	1	1	5	G	PBP7_ECOLI				0.25	1	12.32	0.0004419			0.1	0.1	0.1	0.1												G
P0AFL9	0	1	0	1	0	1	3	B	PQIA_ECOLI				0.33	1	1.03																			B
P0AFQ5	0	0	1	1	0	1	3	G	RUTC_ECOLI							0.00016763																		G
P0AGF6	1	1	0	1	0	1	4	B	THD2_ECOLI	0.13	3.34E-01	1.53E+02	1	1	24.12																			B
P0AGM7	0	1	0	1	0	1	3	B	URAA_ECOLI				1.15	1	54.08																			B
P12996	1	0	0	1	0	1	3	B	BIOB_ECOLI	0.4	1.51E+00	3.68E+02					823.28	1757.88																B
P13033	0	1	0	1	0	1	3	F1	GLPB_ECOLI				0.83	1				2109.46																F1
P16431	0	1	1	1	0	1	4	B	HYCE_ECOLI				0.13	1	6.53	0.00064249																		B
P16678	0	0	1	1	0	1	3	F1	PHNK_ECOLI							0.0068894																		F1
P16682	0	0	1	1	0	1	3	G	PHND_ECOLI							0.0017324																		G
P18390	1	1	0	1	0	1	4	G	YJJA_ECOLI	0.4	1.51E+00	3.68E+02	0.93	1	44.02																			G
P18956	0	0	1	1	0	1	3	G	GGT_ECOLI							0.0013207	330.36																	G
P23524	0	0	1	1	0	1	3	B	GLXK2_ECOLI							0.0010949																		B
P23898	0	1	0	1	0	1	3	I	NLPC_ECOLI				1.31	1																				I
P29744	0	0	0	1	0	1	2	F4	FLGL_ECOLI									5689.14																F4
P30136	1	0	0	1	0	1	3	B	THIC_ECOLI	1.23	1.60E+01	1.45E+03																						B
P31133	1	0	0	1	0	1	3	G	POTF_ECOLI	0.21	6.38E-01	2.23E+02						1917.69																G
P32125	0	0	1	1	0	1	3	B	MOBB_ECOLI							0.0015331																		B
P33590	0	0	0	1	0	1	2	G	NIKA_ECOLI									990.8																G
P33593	0	1	1	1	0	1	4	F1	NIKD_ECOLI				0.39	1		0.0013741																		F1
