K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P0A910	253773763	"1,72 | 1,81 | 2,21;0,07 | 0,14 | 0,5; | 2,21 | ;2,32 | 0,44 | 1,54;0,31 |  | 0,59"	ECBD_2383	OMPA_ECOLI	C6EI25_ECOBD	1.16	1.72	1.81	2.21	0.07	0.14	0.5		2.21		2.32	0.44	1.54	0.31		0.59
P0A910	253774014	"3,62 | 2,29 | 4,97;0,09 |  | 0,18;3,54 |  | 5,92;2,29 | 6,08 | 4,97;2,38 |  | 2,82"	ECBD_2638	OMPA_ECOLI	C6EI25_ECOBD	3.26	3.62	2.29	4.97	0.09		0.18	3.54		5.92	2.29	6.08	4.97	2.38		2.82
P02931	253774042	"1,64 | 2,65 | 2,65;0,12 |  | ;3,29 | 6,55 | 2,36;2,65 | 2,95 | 1,86;1,64 | 2,95 | 2,36"	ECBD_2666	OMPF_ECOLI	C6EI53_ECOBD	2.59	1.64	2.65	2.65	0.12			3.29	6.55	2.36	2.65	2.95	1.86	1.64	2.95	2.36
P69776	253773366	"3,09 | 67,19 | 22,73;0,2 |  | ;46,96 | 4,81 | 15,69;1,87 | 136,83 | 22,73;10,74 | 15,69 | 7,26"	ECBD_1968	LPP_ECOLI	C6ECS8_ECOBD	27.37	3.09	67.19	22.73	0.2			46.96	4.81	15.69	1.87	136.83	22.73	10.74	15.69	7.26
P00490	253771754	"0,33 | 1,10 | 1,69; | 0,96 | ;0,42 | 0,07 | 0,48;0,11 | 0,15 | 0,33"	ECBD_0328	PHSM_ECOLI	C6EFF7_ECOBD	0.56	0.33	1.1	1.69		0.96		0.42	0.07	0.48	0.11	0.15	0.33			
P0AG30	253775592	"2,88 | 5,23 | 4,82; | 0,09 | 0,3;0,31 | 3,15 | 0,4;3,44 | 0,72 | 2,62;0,61 | 0,15 | 0,50"	ECBD_4257	RHO_ECOLI	C6EG30_ECOBD	1.8	2.88	5.23	4.82		0.09	0.3	0.31	3.15	0.4	3.44	0.72	2.62	0.61	0.15	0.5
P02943	253775338	"0,78 | 1,78 | 1,78;0,09 |  | ;3,08 | 1,45 | 1,96;1,30 | 3,08 | 1,30;2,59 | 1,02 | 3,94"	ECBD_3999	LAMB_ECOLI	C6EDY6_ECOBD	1.86	0.78	1.78	1.78	0.09			3.08	1.45	1.96	1.3	3.08	1.3	2.59	1.02	3.94
P02930	253772127	"0,81 | 0,71 | 0,71; |  | 0,48;1,44 | 0,71 | 0,81;0,92 | 1,04 | 0,61;0,27 | 0,27 | 0,43"	ECBD_0704	TOLC_ECOLI	C6EHV8_ECOBD	0.71	0.81	0.71	0.71			0.48	1.44	0.71	0.81	0.92	1.04	0.61	0.27	0.27	0.43
P0A7R1	253775172	"6,02 | 14,32 | 7,54; | 0,07 | 0,03; | 7,54 | 0,48;2,22 | 1,18 | 3,76; |  | 0,22"	ECBD_3831	RL9_ECOLI	C6ECE6_ECOBD	3.94	6.02	14.32	7.54		0.07	0.03		7.54	0.48	2.22	1.18	3.76			0.22
P0A8V2	253775384	"0,44 | 1,03 | 0,44; | 0,14 | 0,07; | 0,24 | 0,04; | 0,19 | 0,57; |  | 0,11"	ECBD_4046	RPOB_ECOLI	C6EE32_ECOBD	0.33	0.44	1.03	0.44		0.14	0.07		0.24	0.04		0.19	0.57			0.11
