Gene Name	Ordered Locus Name	VALUE	ABS_CALL	DETECTION P-VALUE	NORMALIZED BY GLOBAL INTENSITY (EXPRESSED AS PARTS PER MILLION)
aas	b2836	349,369	P	0,00049077	96
aat	b0885	274,821	A	0,088557	76
abc	b0199	401,75	M	0,0547106	110
abrB	b0715	187,687	P	0,0497698	52
accA	b0185	1157,47	P	0,000734887	318
accB	b3255	3838,7	P	0,000327479	1055
accC	b3256	2256,7	P	0,000327479	620
accD	b2316	2351,88	P	0,000612512	646
aceA	b4015	1917,89	P	0,000327479	527
aceB	b4014	2678,14	P	0,000327479	736
aceE	b0114	11508,7	P	0,000327479	3163
aceF	b0115	9334,48	P	0,000327479	2565
aceK	b4016	310,966	P	0,00622665	85
ackA	b2296	5906,33	P	0,000327479	1623
acnA	b1276	491,03	P	0,000734887	135
acnB	b0118	4231	P	0,000327479	1163
acpD	b1412	318,511	P	0,00459071	88
acpP	b1094	7644,49	P	0,000327479	2101
acpS	b2563	984,715	P	0,000603158	271
acrA	b0463	2020,29	P	0,00049077	555
acrB	b0462	1339,19	P	0,00094359	368
acrD	b2470	146,011	A	0,266065	40
acrE	b3265	8,40196	A	0,9822	2
acrF	b3266	4,59392	A	0,960854	1
acrR	b0464	73,4205	P	0,0442012	20
acs	b4069	165,049	P	0,036797	45
ada	b2213	345,536	P	0,000892689	95
add	b1623	901,584	P	0,000327479	248
adhC	b0356	1494,03	P	0,00094359	411
adhE	b1241	1326,47	P	0,00130539	365
adhP	b1478	318,256	P	0,00320325	87
adiA	b4117	132,133	A	0,122747	36
adiY	b4116	282,186	P	0,00049077	78
adk	b0474	2735,02	P	0,000327479	752
aefA	b0465	447,837	P	0,000892689	123
aer	b3072	1417,33	P	0,00094359	390
afuC	b0262	32,128	A	0,522646	9
agaA	b3135	67,0667	P	0,0442012	18
agaB	b3138	2,10957	A	0,859735	1
agaC	b3139	16,7414	A	0,51252	5
agaD	b3140	4,79115	A	0,872006	1
agaI	b3141	44,1196	P	0,00852936	12
agaR	b3131	962,48	P	0,000734887	265
agaS	b3136	3,03236	A	0,769849	1
agaV	b3133	56,3037	A	0,432352	15
agaW	b3134	23,3191	A	0,75224	6
agaY	b3137	15,192	A	0,71497	4
agaZ	b3132	42,1806	A	0,537511	12
agp	b1002	248,476	P	0,0267372	68
ahpC	b0605	4014,04	P	0,000327479	1103
ahpF	b0606	1539,41	P	0,000402638	423
aidB	b4187	95,0198	A	0,24776	26
ais	b2252	21,9365	A	0,477354	6
alaS	b2697	5647,82	P	0,00049077	1552
alaT	b3853	1952,49	P	0,000488281	537
alaU	b3276	1696,79	P	0,00049077	466
alaW	b2397	1380,55	P	0,03125	379
alaX	b2396	1838,4	P	0,000603158	505
aldA	b1415	546,119	P	0,000402638	150
aldB	b3588	92,0087	P	0,0151637	25
aldH	b1300	26,833	A	0,45478	7
alkA	b2068	183,492	A	0,197123	50
alkB	b2212	120,851	P	0,00188612	33
alpA	b2624	4,81133	A	0,995507	1
alr	b4053	235,566	P	0,015454	65
amiA	b2435	467,924	P	0,000327479	129
amiB	b4169	731,632	P	0,00130539	201
amn	b1982	956,824	P	0,000603158	263
ampC	b4150	130,411	P	0,00928336	36
ampD	b0110	446,68	P	0,00175518	123
ampE	b0111	440,524	P	0,000734887	121
ampG	b0433	218,467	P	0,00315926	60
amtB	b0451	55,5578	A	0,54522	15
amyA	b1927	686,472	P	0,000327479	189
ansA	b1767	1013,82	P	0,00049077	279
ansB	b2957	128,706	A	0,153312	35
ansP	b1453	53,5976	A	0,105738	15
apaG	b0050	1850,19	P	0,000402638	508
apaH	b0049	558,905	P	0,00049077	154
apbA	b0425	821,421	P	0,00094359	226
aphA	b4055	455,841	P	0,000402638	125
appA	b0980	99,4673	A	0,230151	27
appB	b0979	90,2905	A	0,197123	25
appC	b0978	172,839	P	0,0304463	47
appY	b0564	5,66483	P	0,0497698	2
apt	b0469	874,39	P	0,000402638	240
aqpZ	b0875	91,8621	P	0,036797	25
araA	b0062	85,8608	A	0,28503	24
araB	b0063	129,596	A	0,088557	36
araC	b0064	129,916	P	0,0267372	36
araD	b0061	207,758	A	0,0698779	57
araE	b2841	143,913	A	0,0698779	40
araF	b1901	110,414	P	0,00269283	30
araG	b1900	96,9845	P	0,0178004	27
araH	b1898	104,832	P	0,0320196	29
araH1	b1899	110,966	A	0,235169	30
araJ	b0396	50,2099	A	0,28503	14
arcA	b4401	821,696	P	0,00049077	226
arcB	b3210	1128,2	P	0,000327479	310
arcC	b0521	18,6793	A	0,324781	5
argA	b2818	162,075	P	0,0442012	45
argB	b3959	275,922	P	0,0442012	76
argC	b3958	191,94	P	0,0267372	53
argD	b3359	171,447	P	0,00993898	47
argE	b3957	1290,34	P	0,000612512	355
argF	b0273	23,6044	A	0,567648	6
argG	b3172	222,465	P	0,034572	61
argH	b3960	230,808	A	0,0698779	63
argI	b4254	209,125	P	0,0480985	57
argQ	b2691	1401,7	P	0,000327479	385
argR	b3237	356,866	P	0,000327479	98
argS	b1876	429,366	P	0,00108112	118
argT	b2310	407,827	P	0,0177324	112
argU	b0536	283,747	P	0,0165235	78
argV	b2694	1480,94	P	0,000976563	407
argW	b2348	3,94351	A	0,849855	1
argX	b3796	409,486	P	0,00225703	113
argZ	b2692	1355,24	P	0,00195313	372
aroA	b0908	2055,51	P	0,000402638	565
aroB	b3389	939,352	P	0,000761638	258
aroC	b2329	1344,87	P	0,00175518	370
aroD	b1693	588,05	P	0,000402638	162
aroE	b3281	567,476	P	0,000327479	156
aroF	b2601	383,644	P	0,00094359	105
aroG	b0754	1434,06	P	0,00379911	394
aroH	b1704	338,669	P	0,00130539	93
aroK	b3390	1902,05	P	0,00049077	523
aroL	b0388	1005,53	P	0,000734887	276
aroM	b0390	51,2717	P	0,00320325	14
aroP	b0112	247,962	P	0,00094359	68
arp	b4017	7,99751	A	0,366636	2
arsB	b3502	80,8705	P	0,00622665	22
arsC	b3503	197,383	P	0,000402638	54
arsR	b3501	128,513	P	0,0497698	35
artI	b0863	802,347	P	0,00049077	220
artJ	b0860	141,156	A	0,110449	39
artM	b0861	233,142	A	0,088557	64
artP	b0864	638,732	P	0,000493549	176
artQ	b0862	268,952	P	0,000761638	74
ascB	b2716	105,178	P	0,0304463	29
ascF	b2715	126,557	A	0,105738	35
ascG	b2714	177,048	P	0,00459071	49
asd	b3433	2432,74	P	0,00049077	669
aslA	b3801	66,0515	P	0,0277665	18
aslB	b3800	83,3539	P	0,00993898	23
asmA	b2064	446,073	P	0,000892689	123
asnA	b3744	325,03	P	0,00622665	89
asnB	b0674	411,184	P	0,00143241	113
asnC	b3743	197,008	P	0,0151637	54
asnS	b0930	346,546	P	0,00143241	95
asnT	b1977	2327,46	P	0,000976563	640
asnU	b1986	2982,65	P	0,03125	820
asnV	b1989	4951,62	P	0,00390625	1361
asnW	b1984	2894,13	P	0,00049077	795
aspA	b4139	512,977	P	0,000493549	141
