Uniprot Accession	Gene Name	Ordered Locus Name	VALUE	ABS_CALL	ABS_CALL	DETECTION P-VALUE	NORMALIZED BY GLOBAL INTENSITY (EXPRESSED AS PARTS PER MILLION)
P31119	aas	b2836	349,369	2	P	0,00049077	96
P0A8P1	aat	b0885	274,821	0	A	0,088557	76
P30750	abc	b0199	401,75	1	M	0,0547106	110
P75747	abrB	b0715	187,687	2	P	0,0497698	52
P0ABD5	accA	b0185	1157,47	2	P	0,000734887	318
P0ABD8	accB	b3255	3838,7	2	P	0,000327479	1055
P24182	accC	b3256	2256,7	2	P	0,000327479	620
P0A9Q5	accD	b2316	2351,88	2	P	0,000612512	646
P0A9G6	aceA	b4015	1917,89	2	P	0,000327479	527
P08997	aceB	b4014	2678,14	2	P	0,000327479	736
P0AFG8	aceE	b0114	11508,7	2	P	0,000327479	3163
P06959	aceF	b0115	9334,48	2	P	0,000327479	2565
P11071	aceK	b4016	310,966	2	P	0,00622665	85
P0A6A3	ackA	b2296	5906,33	2	P	0,000327479	1623
P25516	acnA	b1276	491,03	2	P	0,000734887	135
P36683	acnB	b0118	4231	2	P	0,000327479	1163
P41407	acpD	b1412	318,511	2	P	0,00459071	88
P0A6A8	acpP	b1094	7644,49	2	P	0,000327479	2101
P24224	acpS	b2563	984,715	2	P	0,000603158	271
P0AE06	acrA	b0463	2020,29	2	P	0,00049077	555
P0AES6	acrB	b0462	1339,19	2	P	0,00094359	368
P24177	acrD	b2470	146,011	0	A	0,266065	40
P31224	acrE	b3265	8,40196	0	A	0,9822	2
P24181	acrF	b3266	4,59392	0	A	0,960854	1
P0ACS9	acrR	b0464	73,4205	2	P	0,0442012	20
P27550	acs	b4069	165,049	2	P	0,036797	45
P06134	ada	b2213	345,536	2	P	0,000892689	95
P22333	add	b1623	901,584	2	P	0,000327479	248
P25437	adhC	b0356	1494,03	2	P	0,00094359	411
P0A9Q7	adhE	b1241	1326,47	2	P	0,00130539	365
P39451	adhP	b1478	318,256	2	P	0,00320325	87
P28629	adiA	b4117	132,133	0	A	0,122747	36
P33234	adiY	b4116	282,186	2	P	0,00049077	78
P69441	adk	b0474	2735,02	2	P	0,000327479	752
P77338	aefA	b0465	447,837	2	P	0,000892689	123
P50466	aer	b3072	1417,33	2	P	0,00094359	390
P37009	afuC	b0262	32,128	0	A	0,522646	9
P42906	agaA	b3135	67,0667	2	P	0,0442012	18
P42909	agaB	b3138	2,10957	0	A	0,859735	1
P42910	agaC	b3139	16,7414	0	A	0,51252	5
P42911	agaD	b3140	4,79115	0	A	0,872006	1
P42912	agaI	b3141	44,1196	2	P	0,00852936	12
P0ACK2	agaR	b3131	962,48	2	P	0,000734887	265
P42907	agaS	b3136	3,03236	0	A	0,769849	1
P42904	agaV	b3133	56,3037	0	A	0,432352	15
P42905	agaW	b3134	23,3191	0	A	0,75224	6
P0AB74	agaY	b3137	15,192	0	A	0,71497	4
P0C8K0	agaZ	b3132	42,1806	0	A	0,537511	12
P19926	agp	b1002	248,476	2	P	0,0267372	68
P0AE08	ahpC	b0605	4014,04	2	P	0,000327479	1103
P35340	ahpF	b0606	1539,41	2	P	0,000402638	423
P33224	aidB	b4187	95,0198	0	A	0,24776	26
P45565	ais	b2252	21,9365	0	A	0,477354	6
P00957	alaS	b2697	5647,82	2	P	0,00049077	1552
P25553	aldA	b1415	546,119	2	P	0,000402638	150
P37685	aldB	b3588	92,0087	2	P	0,0151637	25
P23883	aldH	b1300	26,833	0	A	0,45478	7
P04395	alkA	b2068	183,492	0	A	0,197123	50
P05050	alkB	b2212	120,851	2	P	0,00188612	33
P33997	alpA	b2624	4,81133	0	A	0,995507	1
P0A6B4	alr	b4053	235,566	2	P	0,015454	65
P36548	amiA	b2435	467,924	2	P	0,000327479	129
P26365	amiB	b4169	731,632	2	P	0,00130539	201
P0AE12	amn	b1982	956,824	2	P	0,000603158	263
P00811	ampC	b4150	130,411	2	P	0,00928336	36
P13016	ampD	b0110	446,68	2	P	0,00175518	123
P0AE14	ampE	b0111	440,524	2	P	0,000734887	121
P0AE16	ampG	b0433	218,467	2	P	0,00315926	60
P69681	amtB	b0451	55,5578	0	A	0,54522	15
P26612	amyA	b1927	686,472	2	P	0,000327479	189
P0A962	ansA	b1767	1013,82	2	P	0,00049077	279
P00805	ansB	b2957	128,706	0	A	0,153312	35
P77610	ansP	b1453	53,5976	0	A	0,105738	15
P62672	apaG	b0050	1850,19	2	P	0,000402638	508
P05637	apaH	b0049	558,905	2	P	0,00049077	154
P0A9J4	apbA	b0425	821,421	2	P	0,00094359	226
P0AE22	aphA	b4055	455,841	2	P	0,000402638	125
P07102	appA	b0980	99,4673	0	A	0,230151	27
P26458	appB	b0979	90,2905	0	A	0,197123	25
P26459	appC	b0978	172,839	2	P	0,0304463	47
P05052	appY	b0564	5,66483	2	P	0,0497698	2
P69503	apt	b0469	874,39	2	P	0,000402638	240
P60844	aqpZ	b0875	91,8621	2	P	0,036797	25
