ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX BioB 5 at	224.52	0	0.125
AFFX BioC 3 at	161.301	0	0.25
AFFX CreX 5 at	579.425	0	0.760937
AFFX CreX 3 at	781.419	0	0.995983
AFFX DapX 5 at	801.742	0	0.814869
AFFX DapX M at	194.669	0	0.999419
AFFX DapX 3 at	352.392	0	0.953518
AFFX LysX 5 at	297.499	0	0.932322
AFFX LysX M at	691.856	0	0.904333
AFFX LysX 3 at	258.711	0	0.960339
AFFX PheX 5 at	162.546	0	0.58862
AFFX PheX M at	179.986	0	0.995002
AFFX PheX 3 at	102.579	0	0.804734
AFFX ThrX 5 at	705.936	0	0.0780018
AFFX ThrX M at	54.616	0	0.897835
AFFX ThrX 3 at	125.458	0	0.175328
AFFX TrpnX 5 at	553.544	0	0.824672
AFFX TrpnX M at	12.645	0	0.287743
AFFX TrpnX 3 at	266.142	0	0.953518
AFFX HXB2 5 at	146.154	0	0.979978
AFFX HXB2 M at	101.893	0	0.868639
AFFX HXB2 3 at	38.348	0	0.340661
IG 2 1 189 fwd at	461.358	2	0.000402638
IG 1 1 5682 rev at	349.693	0	0.258128
thrL b0001 at	392.076	2	0.000976563
IG 3 256 336 fwd f at	437.836	2	0.0115649
thrA b0002 at	387.218	2	0.0178004
thrB b0003 at	518.601	2	0.0044925
thrC b0004 at	433.686	2	0.0204441
IG 4 5021 5233 fwd at	385.902	0	0.230151
b0005 at	43.119	0	0.304618
IG 5 5531 8237 fwd at	436.134	0	0.085476
yaaA b0006 at	839.115	0	0.197123
IG 6 6460 6528 rev at	156.189	2	0.0320196
yaaJ b0007 at	119.768	2	0.00379911
IG 7 7960 9927 rev at	137.364	2	0.000489289
talB b0008 at	3081.33	2	0.000327479
IG 8 9192 9305 fwd at	204.473	2	0.00188612
mog b0009 at	1474.06	2	0.000327479
IG 9 9894 10724 fwd at	375.952	2	0.0133783
yaaH b0010 at	322.245	1	0.0620214
IG 10 10495 10642 rev at	267.876	0	0.0957232
b0011 at	181.485	0	0.088557
htgA b0012 at	469.425	0	0.197123
IG 11 11316 12162 fwd at	161.407	2	0.0497698
yaaI b0013 at	796.398	0	0.324781
IG 12 11787 15868 rev f at	348.102	2	4,82E-03
dnaK b0014 at	2002.38	2	0.000402638
IG 13 14080 14167 fwd at	1117.38	2	0.000603158
dnaJ b0015 at	1013.47	2	0.00529677
IG 14 15299 15444 fwd f at	491.569	2	0.000738583
yi81 1 b0016 s at	597.104	2	0.00237088
yi82 1 b0017 s at	241.161	2	0.00244141
IG 15 16178 16750 rev s at	1374.11	2	0.000238685
IG 16 16558 17488 fwd f at	265.212	2	7,18E+00
gef b0018 at	627.332	2	0.00315926
IG 17 16961 19810 rev at	547.747	2	0.00458573
nhaA b0019 at	907.077	2	0.00108112
IG 18 18656 18714 fwd at	284.448	2	0.00157146
nhaR b0020 at	420.494	2	0.000327479
IG 19 19621 21180 fwd f at	171.586	2	1,37E-02
insA 1 b0022 s at	2419.29	2	0.00390625
IG 20 20509 20814 rev f at	156.205	2	0.000218889
rpsT b0023 at	866.686	2	0.00049077
IG 21 21079 34780 rev at	92.247	2	9,67E-05
b0024 at	518.734	1	0.0558844
ribF b0025 at	743.231	2	0.000603158
IG 22 22349 22390 fwd at	1871.27	2	0.00390625
ileS b0026 at	1039.17	2	0.00529677
lspA b0027 at	536.558	2	0.000734887
IG 23 25702 25825 fwd at	1141.78	2	0.00049077
slpA b0028 at	635.908	2	0.000402638
lytB b0029 at	261.085	2	0.00622665
IG 24 27228 27292 fwd at	367.023	0	0.51252
yaaF b0030 at	311.914	2	0.0304463
IG 25 28208 28373 fwd at	188.499	2	0.00094359
dapB b0031 at	260.044	1	0.0625767
IG 26 29196 29650 fwd at	581.238	2	0.00108112
carA b0032 at	529.171	2	0.000327479
carB b0033 at	1722.19	2	0.000493549
IG 27 34039 34194 fwd at	564.832	2	0.0320196
caiF b0034 at	252.957	2	0.00622665
IG 28 34696 42366 fwd at	629.451	0	0.209236
caiE b0035 at	833.675	0	0.0957232
caiD b0036 at	176.479	0	0.296809
caiC b0037 at	138.846	0	0.127994
IG 29 37840 37897 rev at	149.373	0	0.149414
caiB b0038 at	251.339	2	0.00116472
IG 30 39116 39243 rev at	331.88	2	0.000603158
caiA b0039 at	295.943	0	0.11649
caiT b0040 at	177.706	0	0.5
IG 31 41932 50379 rev at	323.293	0	0.427766
fixA b0041 at	913.212	0	0.802877
fixB b0042 at	854.615	2	0.0133783
IG 32 44130 44179 fwd at	920.401	0	0.562354
fixC b0043 at	789.996	0	0.0957232
fixX b0044 at	415.508	0	0.522646
IG 33 45751 45806 fwd at	73.318	0	0.105738
yaaU b0045 at	390.744	0	0.0864242
IG 34 47139 47245 fwd at	117.325	0	0.477354
yabF b0046 at	107.638	2	0.0277665
kefC b0047 at	232.924	2	0.00852936
IG 35 49632 49822 fwd at	812.688	2	0.0391461
folA b0048 at	667.048	2	0.0391461
IG 36 50303 57363 fwd at	157.041	2	0.00196348
apaH b0049 at	306.747	2	0.00315926
apaG b0050 at	1112.53	2	0.000603158
ksgA b0051 at	533.61	2	0.00049077
pdxA b0052 at	570.79	2	0.0497698
surA b0053 at	1183.83	2	0.00049077
IG 37 54703 54754 rev at	440.498	2	0.00175518
imp b0054 at	1306.43	2	0.000612512
IG 38 57110 59686 rev at	113.735	2	8,35E+00
yabH b0055 at	315.431	2	0.0204441
IG 39 58180 58473 fwd at	150.476	2	0.000892689
yabP b0056 at	181.561	2	0.0497698
yabQ b0057 at	593.433	2	0.00073689
IG 40 59280 70386 fwd at	103.994	2	0.000194994
yabO b0058 at	199.323	0	0.0778177
hepA b0059 at	375.98	2	0.0072983
IG 41 63265 63428 rev at	455.692	2	0.000493549
polB b0060 at	120	0	0.181343
IG 42 65781 65854 rev at	522.949	0	0.153312
araD b0061 at	270.8	0	0.0778177
IG 43 66551 66834 rev at	309.405	0	0.0883789
araA b0062 at	144.882	0	0.213264
araB b0063 at	199.192	0	0.150145
IG 44 70049 72228 rev at	678.912	2	6,78E+00
araC b0064 at	415.541	2	0.000603158
IG 45 71266 71350 fwd at	528.301	2	0.000327479
yabI b0065 at	276.193	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 46 72116 77620 fwd at	110.042	2	0.0270783
yabJ b0066 at	228.017	0	0.070073
yabK b0067 at	200.757	2	0.0304463
tbpA b0068 at	105.749	2	0.04343
IG 47 75481 75643 rev at	270.972	2	0.034572
yabN b0069 at	500.936	2	0.000761638
IG 48 77300 78847 rev at	739.096	0	0.0790003
yabM b0070 at	134.424	0	0.0957232
IG 49 78800 84190 fwd at	395.858	0	0.995649
leuD b0071 at	118.594	2	0.00188612
leuC b0072 at	315.845	2	0.0391461
leuB b0073 at	217.793	2	0.0480985
leuA b0074 at	228.187	2	0.0044925
IG 50 83530 83621 rev at	95.246	0	0.477354
leuL b0075 at	136.759	2	0.0277665
IG 51 83709 111563 rev at	709.989	2	2,95E-05
leuO b0076 at	572.346	0	0.167138
IG 52 85313 85539 fwd at	321.611	0	0.965428
ilvI b0077 at	108.789	0	0.105738
ilvH b0078 at	204.713	1	0.0558844
fruL b0079 at	524.445	0	0.477354
IG 53 87947 88027 fwd at	1811.04	2	0.000327479
fruR b0080 at	2238.78	2	0.000493549
IG 54 89033 89633 fwd at	539.339	2	0.000493549
yabB b0081 at	1257.14	2	0.000402638
yabC b0082 at	631.16	2	0.0115479
ftsL b0083 at	1368.82	2	0.000603158
ftsI b0084 at	575.759	2	0.0304463
murE b0085 at	789.571	2	0.0133783
murF b0086 at	462.289	2	0.00782678
mraY b0087 at	469.455	2	0.000402638
murD b0088 at	729.403	2	0.000603158
ftsW b0089 at	386.988	2	0.00214285
murG b0090 at	609.13	2	0.000603158
IG 55 100712 100764 fwd at	226.833	2	0.0185547
murC b0091 at	336.4	1	0.0547106
ddlB b0092 at	1626.88	2	0.000892689
ftsQ b0093 at	1064.06	2	0.00260662
