Uniprot Accession	ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
P0AD86	thrL b0001 at	392.076	2	0.000976563
P00561	thrA b0002 at	387.218	2	0.0178004
P00547	thrB b0003 at	518.601	2	0.0044925
P00934	thrC b0004 at	433.686	2	0.0204441
P75616	b0005 at	43.119	0	0.304618
P0A8I3	yaaA b0006 at	839.115	0	0.197123
P30143	yaaJ b0007 at	119.768	2	0.00379911
P0A870	talB b0008 at	3081.33	2	0.000327479
P0AF03	mog b0009 at	1474.06	2	0.000327479
P0AC98	yaaH b0010 at	322.245	1	0.0620214
P75617	b0011 at	181.485	0	0.088557
P28697	htgA b0012 at	469.425	0	0.197123
P28696	yaaI b0013 at	796.398	0	0.324781
P0A6Y8	dnaK b0014 at	2002.38	2	0.000402638
P08622	dnaJ b0015 at	1013.47	2	0.00529677
P0CF91	yi81 1 b0016 s at	597.104	2	0.00237088
P33236	gef b0018 at	627.332	2	0.00315926
P13738	nhaA b0019 at	907.077	2	0.00108112
P0A9G2	nhaR b0020 at	420.494	2	0.000327479
P47737	IG 19 19621 21180 fwd f at	171.586	2	1,37E-02
P0CF07	insA 1 b0022 s at	2419.29	2	0.00390625
P0A7U7	rpsT b0023 at	866.686	2	0.00049077
P75620	b0024 at	518.734	1	0.0558844
P0AG40	ribF b0025 at	743.231	2	0.000603158
P00956	ileS b0026 at	1039.17	2	0.00529677
P00804	lspA b0027 at	536.558	2	0.000734887
P0AEM0	slpA b0028 at	635.908	2	0.000402638
P62623	lytB b0029 at	261.085	2	0.00622665
P22564	yaaF b0030 at	311.914	2	0.0304463
P04036	dapB b0031 at	260.044	1	0.0625767
P0A6F1	carA b0032 at	529.171	2	0.000327479
P00968	carB b0033 at	1722.19	2	0.000493549
P0AE58	caiF b0034 at	252.957	2	0.00622665
P39206	caiE b0035 at	833.675	0	0.0957232
P31551	caiD b0036 at	176.479	0	0.296809
P31552	caiC b0037 at	138.846	0	0.127994
P31572	caiB b0038 at	251.339	2	0.00116472
P60584	caiA b0039 at	295.943	0	0.11649
P31553	caiT b0040 at	177.706	0	0.5
P60566	fixA b0041 at	913.212	0	0.802877
P31574	fixB b0042 at	854.615	2	0.0133783
P68644	fixC b0043 at	789.996	0	0.0957232
P68646	fixX b0044 at	415.508	0	0.522646
P31679	yaaU b0045 at	390.744	0	0.0864242
P0A754	yabF b0046 at	107.638	2	0.0277665
P03819	kefC b0047 at	232.924	2	0.00852936
P0ABQ4	folA b0048 at	667.048	2	0.0391461
P05637	apaH b0049 at	306.747	2	0.00315926
P62672	apaG b0050 at	1112.53	2	0.000603158
P06992	ksgA b0051 at	533.61	2	0.00049077
P19624	pdxA b0052 at	570.79	2	0.0497698
P0ABZ6	surA b0053 at	1183.83	2	0.00049077
P31554	imp b0054 at	1306.43	2	0.000612512
P31680	yabH b0055 at	315.431	2	0.0204441
P39220	yabP b0056 at	181.561	2	0.0497698
P39221	yabQ b0057 at	593.433	2	0.00073689
P0AA37	yabO b0058 at	199.323	0	0.0778177
P60240	hepA b0059 at	375.98	2	0.0072983
P21189	polB b0060 at	120	0	0.181343
P08203	araD b0061 at	270.8	0	0.0778177
P08202	araA b0062 at	144.882	0	0.213264
P08204	araB b0063 at	199.192	0	0.150145
P0A9E0	araC b0064 at	415.541	2	0.000603158
P30149	yabI b0065 at	276.193	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
P31548	yabJ b0066 at	228.017	0	0.070073
P31549	yabK b0067 at	200.757	2	0.0304463
P31550	tbpA b0068 at	105.749	2	0.04343
P33595	yabN b0069 at	500.936	2	0.000761638
P31675	yabM b0070 at	134.424	0	0.0957232
P30126	leuD b0071 at	118.594	2	0.00188612
P0A6A6	leuC b0072 at	315.845	2	0.0391461
P30125	leuB b0073 at	217.793	2	0.0480985
P09151	leuA b0074 at	228.187	2	0.0044925
P0AD79	leuL b0075 at	136.759	2	0.0277665
P10151	leuO b0076 at	572.346	0	0.167138
P00893	ilvI b0077 at	108.789	0	0.105738
P00894	ilvH b0078 at	204.713	1	0.0558844
P0ADF0	fruL b0079 at	524.445	0	0.477354
P0ACP1	fruR b0080 at	2238.78	2	0.000493549
P22186	yabB b0081 at	1257.14	2	0.000402638
P60390	yabC b0082 at	631.16	2	0.0115479
P0AEN4	ftsL b0083 at	1368.82	2	0.000603158
P0AD68	ftsI b0084 at	575.759	2	0.0304463
P22188	murE b0085 at	789.571	2	0.0133783
P11880	murF b0086 at	462.289	2	0.00782678
P0A6W3	mraY b0087 at	469.455	2	0.000402638
P14900	murD b0088 at	729.403	2	0.000603158
P0ABG4	ftsW b0089 at	386.988	2	0.00214285
P17443	murG b0090 at	609.13	2	0.000603158
P17952	murC b0091 at	336.4	1	0.0547106
P07862	ddlB b0092 at	1626.88	2	0.000892689
P06136	ftsQ b0093 at	1064.06	2	0.00260662
P0ABH0	ftsA b0094 at	1441.08	2	0.000402638
P0A9A6	ftsZ b0095 at	2233.19	2	0.00108112
P0A725	lpxC b0096 at	3358.82	2	0.000402638
P62395	yacA b0097 at	1147.3	2	0.00269283
P10408	secA b0098 at	876.424	2	0.00108112
P08337	mutT b0099 at	214.322	2	0.00622665
P0A8H8	yacG b0101 at	422.824	2	0.00288579
P36680	yacF b0102 at	351.34	2	0.00214285
P0A6I9	yacE b0103 at	432.72	2	0.0133783
P60560	guaC b0104 at	477.32	2	0.034572
P36646	hofC b0106 at	889.902	2	0.00852936
P36645	hofB b0107 at	274.899	0	0.635055
P36647	ppdD b0108 at	193.977	0	0.635055
P30011	nadC b0109 at	276.098	2	0.0421419
P13016	ampD b0110 at	615.797	2	0.00116472
P0AE14	ampE b0111 at	636.608	2	0.000327479
P15993	aroP b0112 at	241.397	2	0.00550396
P0ACL9	pdhR b0113 at	275.71	2	0.0044925
P0AFG8	aceE b0114 at	2523.25	2	0.000327479
P06959	aceF b0115 at	2176.57	2	0.000327479
P0A9P0	lpdA b0116 at	2810.93	2	0.000327479
P36682	yacH b0117 at	91.424	0	0.140265
P36683	acnB b0118 at	6036.59	2	0.000327479
P0A8E5	yacL b0119 at	2528.47	2	0.000327479
P0A7F6	speD b0120 at	1070.2	2	0.00214285
P09158	speE b0121 at	1149.66	2	0.00116472
P0AA95	yacC b0122 at	460.865	2	0.000612512
P36649	yacK b0123 at	550.612	2	0.000402638
P15877	gcd b0124 at	376.856	0	0.48748
P0A9M2	hpt b0125 at	858.612	2	0.000327479
P61517	yadF b0126 at	320.4	2	0.00214285
P36879	yadG b0127 at	310.163	2	0.00157146
P0AFN6	yadH b0128 at	220.265	2	0.000402638
P36881	yadI b0129 at	166.966	2	0.00320325
P31666	yadE b0130 at	495.135	2	0.0178004
P0A790	panD b0131 at	437.535	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
P31665	yadD b0132 at	313.495	2	0.00157146
P31663	panC b0133 at	340.025	2	0.0277665
P31057	panB b0134 at	1078.87	2	0.000327479
P31058	yadC b0135 at	337.677	0	0.070073
P37016	yadK b0136 at	231.183	0	0.304618
P37017	yadL b0137 at	429.657	0	0.235169
P37018	yadM b0138 at	256.799	0	0.432352
P33129	htrE b0139 at	132.264	0	0.537511
P33128	ecpD b0140 at	519.041	0	0.818256
P37050	yadN b0141 at	436.888	0	0.537511
P26281	folK b0142 at	244.918	2	0.00622665
P0ABF1	pcnB b0143 at	907.713	2	0.00049077
P27305	yadB b0144 at	666.217	0	0.135974
P0ABS1	dksA b0145 at	1297.15	2	0.000402638
P0A823	sfsA b0146 at	1668.57	2	0.000493549
P37025	yadP b0147 at	188.3	0	0.167138
P37024	hrpB b0148 at	413.59	2	0.0304463
P02919	mrcB b0149 at	310.116	0	0.11649
P06971	fhuA b0150 at	197.242	2	0.0115479
P07821	fhuC b0151 at	326.526	2	0.00320325
P07822	fhuD b0152 at	609.644	0	0.0990615
P06972	fhuB b0153 at	110.727	2	0.0442012
P23893	hemL b0154 at	344.261	0	0.135974
P37019	yadQ b0155 at	251.694	2	0.00993898
P0ACC3	yadR b0156 at	736.806	2	0.000402638
P0AFP0	yadS b0157 at	236.044	0	0.675219
P37028	yadT b0158 at	315.226	1	0.0620214
P0AF12	pfs b0159 at	552.152	2	0.00143241
P15723	dgt b0160 at	144.029	0	0.0778177
P0C0V0	htrA b0161 at	275.617	2	0.0133783
P37047	yaeG b0162 at	196.992	2	0.00130539
P62768	yaeH b0163 at	2952.87	2	0.000327479
P37049	yaeI b0164 at	118.379	0	0.235169
P0A9D8	dapD b0166 at	570.819	2	0.00260662
P27249	glnD b0167 at	623.001	2	0.00315926
P0AE18	map b0168 at	495.271	2	4,58E-04
P0A7V0	rpsB b0169 at	2091.2	2	0.000327479
P0A6P1	tsf b0170 at	1766.49	2	0.000327479
P0A7E9	pyrH b0171 at	2051.91	2	0.000327479
P0A805	frr b0172 at	1515.39	2	0.000603158
P45568	yaeM b0173 at	297.585	2	0.00622665
P60472	yaeS b0174 at	1147.31	2	0.000603158
P0ABG1	cdsA b0175 at	1024.75	2	0.000327479
P0AEH1	yaeL b0176 at	1650.4	2	0.000327479
P0A940	yaeT b0177 at	1910.78	2	0.000402638
P0AEU7	hlpA b0178 at	4531.15	2	0.000402638
P21645	lpxD b0179 at	1504.47	2	0.000327479
P0A6Q6	fabZ b0180 at	2015.06	2	0.000402638
P0A722	lpxA b0181 at	913.505	2	0.00157146
P10441	lpxB b0182 at	361.203	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
P10442	rnhB b0183 at	560.46	2	0.00269283
P10443	dnaE b0184 at	1328.14	2	0.000603158
P0ABD5	accA b0185 at	461.039	2	0.0178004
P52095	ldcC b0186 at	170.816	2	0.0178004
P52096	yaeR b0187 at	242.057	2	0.00993898
P52097	mesJ b0188 at	295.896	2	0.00622665
P0AFW8	yaeO b0189 at	543.86	2	0.0442012
P0AA97	yaeQ b0190 at	360.163	2	0.00049077
P40711	yaeJ b0191 at	472.036	2	0.00116472
P40710	cutF b0192 at	303.863	2	0.00130539
P37056	yaeF b0193 at	742.835	0	0.34162
P16659	proS b0194 at	790.831	2	0.00622665
P28634	yaeB b0195 at	264.736	2	0.0206634
P69411	rcsF b0196 at	724.481	2	0.000761638
P28635	yaeC b0197 at	524.793	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
P31547	yaeE b0198 at	376.208	2	0.0277665
P30750	abc b0199 at	370.395	0	0.0990615
P63228	yaeD b0200 at	1677.3	2	0.000734887
P30863	yafB b0207 at	149.363	2	0.015454
P30864	yafC b0208 at	161.704	2	0.0109718
P0A8U2	yafD b0209 at	392.201	0	0.105738
P30866	yafE b0210 at	140.291	2	0.0133783
P0AEZ7	dniR b0211 at	1299.27	2	0.000493549
P0AC84	gloB b0212 at	176.027	2	0.000327479
P75672	yafS b0213 at	513.071	2	0.000327479
P0A7Y4	rnhA b0214 at	536.292	2	0.00315926
P03007	dnaQ b0215 at	404.071	2	0.00993898
P77339	yafT b0217 at	140.213	0	0.733935
P77354	yafU b0218 at	14.718	0	0.432352
Q47679	yafV b0219 at	284.176	2	0.0204441
P0AD59	ykfE b0220 at	1026.09	2	0.00108112
Q47146	yafH b0221 at	645.724	2	0.000892689
P63224	gmhA b0222 at	725.596	2	0.000493549
Q47147	yafJ b0223 at	488.318	2	0.000892689
P0AA99	yafK b0224 at	654.54	2	0.00529677
Q47149	yafQ b0225 at	1029.8	2	0.00049077
Q47150	dinJ b0226 at	1582.16	2	0.000402638
Q47151	yafL b0227 at	995.224	0	0.140265
Q47152	yafM b0228 at	959.254	2	0.000327479
Q47153	fhiA b0229 at	78.706	0	0.477354
Q47154	mbhA b0230 at	134.301	0	0.24776
Q47155	dinP b0231 at	871.843	0	0.388213
Q47156	yafN b0232 at	193.632	2	0.000327479
Q47157	yafO b0233 at	151.212	2	0.00269283
Q47158	yafP b0234 at	151.197	0	0.0957232
P75675	b0235 at	357.985	0	0.458256
P28369	prfH b0236 at	431.403	0	0.41014
P15288	pepD b0237 at	798.241	2	0.000493549
P0A9M5	gpt b0238 at	470.825	2	0.000493549
P04335	yafA b0239 at	533.387	2	0.000734887
P24251	crl b0240 at	2006.03	2	0.000327479
P02932	phoE b0241 at	484.458	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
P0A7B5	proB b0242 at	353.99	2	0.000402638
P07004	proA b0243 at	263.645	2	0.0442012
P77692	b0245 at	353.939	0	0.764831
Q47684	yafW b0246 at	190.101	0	0.58986
