GeneName	ppm (100)	ABS_CALL	Type
infC	70	P	High Expressed
rplK	68	P	High Expressed
rplL	66	P	High Expressed
rplA	48	P	High Expressed
hemK	47	P	High Expressed
rpmI	46	P	High Expressed
rplW	44	P	High Expressed
rplJ	43	P	High Expressed
acpP	42	P	High Expressed
lpp	40	P	High Expressed
glpQ	39	P	High Expressed
fusA	39	P	High Expressed
gatB	38	P	High Expressed
rpsF	38	P	High Expressed
tufB	37	P	High Expressed
ompC	37	P	High Expressed
mopB	35	P	High Expressed
atpF	35	P	High Expressed
hns	35	P	High Expressed
rpmB	34	P	High Expressed
ompA	33	P	High Expressed
tnaA	33	P	High Expressed
rpoA	33	P	High Expressed
trmD	32	P	High Expressed
rplI	31	P	High Expressed
gapA	30	P	High Expressed
rplM	28	P	High Expressed
rpmG	28	P	High Expressed
rpsC	27	P	High Expressed
rplT	27	P	High Expressed
rplX	27	P	High Expressed
priB	26	P	High Expressed
ompF	25	P	High Expressed
hupA	25	P	High Expressed
rpsJ	25	P	High Expressed
rplB	25	P	High Expressed
rplU	25	P	High Expressed
tig	24	P	High Expressed
tufA	24	P	High Expressed
rplD	24	P	High Expressed
rplC	24	P	High Expressed
gatA	24	P	High Expressed
rpsA	24	P	High Expressed
gatY	23	P	High Expressed
rpsS	23	P	High Expressed
ppa	22	P	High Expressed
gatZ	22	P	High Expressed
cspE	21	P	High Expressed
cspC	21	P	High Expressed
mopA	21	P	High Expressed
rplN	8.6	P	Ribosomal proteins
rplX	27.1	P	Ribosomal proteins
rplE	10.0	P	Ribosomal proteins
rpsN	17.2	P	Ribosomal proteins
rpsH	13.7	P	Ribosomal proteins
rplF	6.9	P	Ribosomal proteins
rplR	14.9	P	Ribosomal proteins
rpsE	11.6	P	Ribosomal proteins
rpmD	5.4	P	Ribosomal proteins
rplO	5.8	P	Ribosomal proteins
secY	1.9	P	Ribosomal proteins
rpmJ	4.0	P	Ribosomal proteins
rpsJ	24.6	P	Ribosomal proteins
rplC	23.9	P	Ribosomal proteins
rplD	24.0	P	Ribosomal proteins
rplW	43.9	P	Ribosomal proteins
rplB	24.6	P	Ribosomal proteins
rpsS	22.8	P	Ribosomal proteins
rplV	15.7	P	Ribosomal proteins
rpsC	27.4	P	Ribosomal proteins
rplP	19.1	P	Ribosomal proteins
rpmC	13.6	P	Ribosomal proteins
