Accession	Entry name	GeneName	ppm (100)	ABS_CALL	Type
P0A707	IF3_ECOLI	infC	70	2	High Expressed
P0A7J7	RL11_ECOLI	rplK	68	2	High Expressed
P0A7K2	RL7_ECOLI	rplL	66	2	High Expressed
P0A7L0	RL1_ECOLI	rplA	48	2	High Expressed
P0ACC1	HEMK_ECOLI	hemK	47	2	High Expressed
P0A7Q1	RL35_ECOLI	rpmI	46	2	High Expressed
P0ADZ0	RL23_ECOLI	rplW	44	2	High Expressed
P0A7J3	RL10_ECOLI	rplJ	43	2	High Expressed
P0A6A8	ACP_ECOLI	acpP	42	2	High Expressed
P69776	LPP_ECOLI	lpp	40	2	High Expressed
P09394	GLPQ_ECOLI	glpQ	39	2	High Expressed
P0A6M8	EFG_ECOLI	fusA	39	2	High Expressed
P37188	PTKB_ECOLI	gatB	38	2	High Expressed
P02358	RS6_ECOLI	rpsF	38	2	High Expressed
P0CE48	EFTU2_ECOLI	tufB	37	2	High Expressed
P06996	OMPC_ECOLI	ompC	37	2	High Expressed
P0A6F9	CH10_ECOLI	mopB	35	2	High Expressed
P0ABA0	ATPF_ECOLI	atpF	35	2	High Expressed
P0ACF8	HNS_ECOLI	hns	35	2	High Expressed
P0A7M2	RL28_ECOLI	rpmB	34	2	High Expressed
P0A910	OMPA_ECOLI	ompA	33	2	High Expressed
P0A853	TNAA_ECOLI	tnaA	33	2	High Expressed
P0A7Z4	RPOA_ECOLI	rpoA	33	2	High Expressed
P0A873	TRMD_ECOLI	trmD	32	2	High Expressed
P0A7R1	RL9_ECOLI	rplI	31	2	High Expressed
P0A9B2	G3P1_ECOLI	gapA	30	2	High Expressed
P0AA10	RL13_ECOLI	rplM	28	2	High Expressed
P0A7N9	RL33_ECOLI	rpmG	28	2	High Expressed
P0A7V3	RS3_ECOLI	rpsC	27	2	High Expressed
P0A7L3	RL20_ECOLI	rplT	27	2	High Expressed
P60624	RL24_ECOLI	rplX	27	2	High Expressed
P07013	PRIB_ECOLI	priB	26	2	High Expressed
P02931	OMPF_ECOLI	ompF	25	2	High Expressed
P0ACF0	DBHA_ECOLI	hupA	25	2	High Expressed
P0A7R5	RS10_ECOLI	rpsJ	25	2	High Expressed
P60422	RL2_ECOLI	rplB	25	2	High Expressed
P0AG48	RL21_ECOLI	rplU	25	2	High Expressed
P0A850	TIG_ECOLI	tig	24	2	High Expressed
P0CE47	EFTU1_ECOLI	tufA	24	2	High Expressed
P60723	RL4_ECOLI	rplD	24	2	High Expressed
P60438	RL3_ECOLI	rplC	24	2	High Expressed
P69828	PTKA_ECOLI	gatA	24	2	High Expressed
P0AG67	RS1_ECOLI	rpsA	24	2	High Expressed
P0C8J6	GATY_ECOLI	gatY	23	2	High Expressed
P0A7U3	RS19_ECOLI	rpsS	23	2	High Expressed
P0A7A9	IPYR_ECOLI	ppa	22	2	High Expressed
P0C8J8	GATZ_ECOLI	gatZ	22	2	High Expressed
P0A972	CSPE_ECOLI	cspE	21	2	High Expressed
P0A9Y6	CSPC_ECOLI	cspC	21	2	High Expressed
P0A6F5	CH60_ECOLI	mopA	21	2	High Expressed
P0ADY3	RL14_ECOLI	rplN	8.6	2	Ribosomal proteins
P60624	RL24_ECOLI	rplX	27.1	2	Ribosomal proteins
P62399	RL5_ECOLI	rplE	10.0	2	Ribosomal proteins
P0AG59	RS14_ECOLI	rpsN	17.2	2	Ribosomal proteins
P0A7W7	RS8_ECOLI	rpsH	13.7	2	Ribosomal proteins
P0AG55	RL6_ECOLI	rplF	6.9	2	Ribosomal proteins
P0C018	RL18_ECOLI	rplR	14.9	2	Ribosomal proteins
P0A7W1	RS5_ECOLI	rpsE	11.6	2	Ribosomal proteins
P0AG51	RL30_ECOLI	rpmD	5.4	2	Ribosomal proteins
P02413	RL15_ECOLI	rplO	5.8	2	Ribosomal proteins
P0AGA2	SECY_ECOLI	secY	1.9	2	Ribosomal proteins
P0A7Q6	RL36_ECOLI	rpmJ	4.0	2	Ribosomal proteins
P0A7R5	RS10_ECOLI	rpsJ	24.6	2	Ribosomal proteins
P60438	RL3_ECOLI	rplC	23.9	2	Ribosomal proteins
P60723	RL4_ECOLI	rplD	24.0	2	Ribosomal proteins
P0ADZ0	RL23_ECOLI	rplW	43.9	2	Ribosomal proteins
