Gene Name	ABS_CALL	ABS_CALL	Info
aas	0	A	Not Expressed at LB
acpD	0	A	Not Expressed at LB
acpS	0	A	Not Expressed at LB
acrF	0	A	Not Expressed at LB
adiY	0	A	Not Expressed at LB
agaA	0	A	Not Expressed at LB
agaB	0	A	Not Expressed at LB
agaD	0	A	Not Expressed at LB
agaI	0	A	Not Expressed at LB
agaR	0	A	Not Expressed at LB
agaS	0	A	Not Expressed at LB
agaV	0	A	Not Expressed at LB
agaW	0	A	Not Expressed at LB
ais	0	A	Not Expressed at LB
alkB	0	A	Not Expressed at LB
alpA	0	A	Not Expressed at LB
apaG	0	A	Not Expressed at LB
apaH	0	A	Not Expressed at LB
appY	0	A	Not Expressed at LB
aqpZ	0	A	Not Expressed at LB
araB	0	A	Not Expressed at LB
araE	0	A	Not Expressed at LB
araH	0	A	Not Expressed at LB
argA	0	A	Not Expressed at LB
argC	0	A	Not Expressed at LB
argT	0	A	Not Expressed at LB
aroD	0	A	Not Expressed at LB
aroE	0	A	Not Expressed at LB
arp	0	A	Not Expressed at LB
arsC	0	A	Not Expressed at LB
arsR	0	A	Not Expressed at LB
artI	0	A	Not Expressed at LB
artM	0	A	Not Expressed at LB
artQ	0	A	Not Expressed at LB
asr	0	A	Not Expressed at LB
betI	0	A	Not Expressed at LB
betT	0	A	Not Expressed at LB
bglB	0	A	Not Expressed at LB
bglG	0	A	Not Expressed at LB
bioC	0	A	Not Expressed at LB
bioH	0	A	Not Expressed at LB
blc	0	A	Not Expressed at LB
bolA	0	A	Not Expressed at LB
cadA	0	A	Not Expressed at LB
cadC	0	A	Not Expressed at LB
caiB	0	A	Not Expressed at LB
caiF	0	A	Not Expressed at LB
cbl	0	A	Not Expressed at LB
cchB	0	A	Not Expressed at LB
ccmA	0	A	Not Expressed at LB
ccmB	0	A	Not Expressed at LB
ccmC	0	A	Not Expressed at LB
ccmD	0	A	Not Expressed at LB
cdd	0	A	Not Expressed at LB
celA	0	A	Not Expressed at LB
celC	0	A	Not Expressed at LB
chaB	0	A	Not Expressed at LB
cheB	0	A	Not Expressed at LB
cheR	0	A	Not Expressed at LB
cheW	0	A	Not Expressed at LB
cheY	0	A	Not Expressed at LB
cheZ	0	A	Not Expressed at LB
chpA	0	A	Not Expressed at LB
chpR	0	A	Not Expressed at LB
cmtA	0	A	Not Expressed at LB
cmtB	0	A	Not Expressed at LB
cof	0	A	Not Expressed at LB
cpsG	0	A	Not Expressed at LB
creB	0	A	Not Expressed at LB
criR	0	A	Not Expressed at LB
csgA	0	A	Not Expressed at LB
csgB	0	A	Not Expressed at LB
csgD	0	A	Not Expressed at LB
csgF	0	A	Not Expressed at LB
csgG	0	A	Not Expressed at LB
cspB	0	A	Not Expressed at LB
cspF	0	A	Not Expressed at LB
cvpA	0	A	Not Expressed at LB
cybC	0	A	Not Expressed at LB
cynS	0	A	Not Expressed at LB
cynT	0	A	Not Expressed at LB
cysH	0	A	Not Expressed at LB
cysJ	0	A	Not Expressed at LB
cysU	0	A	Not Expressed at LB
cysW	0	A	Not Expressed at LB
dam	0	A	Not Expressed at LB
dedA	0	A	Not Expressed at LB
deoR	0	A	Not Expressed at LB
dgkA	0	A	Not Expressed at LB
dicB	0	A	Not Expressed at LB
dicC	0	A	Not Expressed at LB
dinI	0	A	Not Expressed at LB
dinJ	0	A	Not Expressed at LB
dmsB	0	A	Not Expressed at LB
dmsC	0	A	Not Expressed at LB
dniR	0	A	Not Expressed at LB
dppB	0	A	Not Expressed at LB
dppC	0	A	Not Expressed at LB
dsbE	0	A	Not Expressed at LB
dsdC	0	A	Not Expressed at LB
dsdX	0	A	Not Expressed at LB
dsrB	0	A	Not Expressed at LB
eaeH	0	A	Not Expressed at LB
ebgC	0	A	Not Expressed at LB
ecpD	0	A	Not Expressed at LB
