Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P75616	0	1	1	1	0	0	0	3	G	YAAX_ECOLI			0	0	0			
P03959	0	1	1	1	0	0	0	3	B	ATKA_ECOLI			0	0	0			
P04816	0	1	1	1	1	0	0	4	G	LIVK_ECOLI			0	0	0	0		
P07102	0	1	1	1	0	0	0	3	G	PPA_ECOLI			0	0	0			
P08400	0	1	1	1	0	1	1	5	B	PHOR_ECOLI			0	0	0		6.941192413	B
P08401	0	1	1	1	0	0	1	4	B	CREC_ECOLI			0	0	0			B
P0A6J1	0	1	1	1	0	0	1	4	B	CYSC_ECOLI			0	0				B
P0A8R7	0	1	1	1	0	0	1	4	B	YCJF_ECOLI			0	0	0			B
P0A930	0	1	1	1	0	0	0	3	I	WZA_ECOLI			0	0	0			
P0A9S7	0	1	1	1	0	0	1	4	F1	LIVG_ECOLI			0	0	0			F1
P0AA49	0	1	1	1	0	0	0	3	B	YFDV_ECOLI			0	0	0			
P0AA84	0	1	1	1	0	0	1	4	F1	YBHO_ECOLI			0	0	0			F1
P0AAJ1	0	1	1	1	0	0	1	4	F2	YNFG_ECOLI			0	0				F2
P0AAP1	0	1	1	1	0	0	0	3	B	ADRA_ECOLI			0	0	0			
P0AAX6	0	1	1	1	0	1	0	4	G	MCBA_ECOLI			0	0	0			
P0ABK7	0	1	1	1	1	0	0	4	F4	CSGB_ECOLI			0	0	0	0		
P0ABM9	0	1	1	1	0	0	1	4	B	CCMH_ECOLI			0	0				B
P0ABT8	0	1	1	1	0	0	0	3	B	YIJE_ECOLI			0	0	0			
P0AC98	0	1	1	1	0	0	1	4	B	YAAH_ECOLI			0	1	0			B
P0ACN2	0	1	1	1	0	0	0	3	B	YTFH_ECOLI			0	0	0			
P0AD17	0	1	1	1	0	0	0	3	B	YOHC_ECOLI			0	1	0			
P0AD30	0	0	1	1	0	0	1	3	B	YFCA_ECOLI				1				B
P0ADL1	0	1	1	1	0	0	1	4	B	NEPI_ECOLI			0	0	0			B
P0AE74	0	1	1	1	0	0	0	3	B	CITT_ECOLI			0	0				
P0AE95	0	1	1	1	0	0	0	3	G	CSGE_ECOLI			0	0	0			
P0AEA2	0	1	1	1	1	1	0	5	I	CSGG_ECOLI			0	0	0	0	1.555210437	
P0AEL6	0	1	1	1	1	1	1	6	G	FEPB_ECOLI			0	0	0	0	2.62587317	G
P0AFV2	0	1	1	1	0	0	0	3	B	YHID_ECOLI			0	0	0			
P0AGH3	0	1	1	1	1	0	1	5	B	SAPB_ECOLI			1	0	0	0		B
P0AGM9	0	1	1	1	0	0	0	3	B	YICE_ECOLI			0	0	0			
P10905	0	1	1	1	0	0	1	4	B	UGPA_ECOLI			0	0	0			B
P10906	0	1	1	1	1	0	1	5	B	UGPE_ECOLI			0	0	0	0		B
P10907	0	1	1	1	0	0	1	4	F1	UGPC_ECOLI			0	0	0			F1
P11454	0	1	1	1	1	1	1	6	F1	ENTF_ECOLI			0	0	0	0	0.272301515	F1
P16431	1	1	1	1	0	1	0	5	B	HYCE_ECOLI		1	0	0	0			
P16677	0	1	1	1	1	0	0	4	F1	PHNC_ECOLI			0	0	0	0		
P16678	0	1	1	1	1	1	0	5	F1	PHNK_ECOLI			0	0	0	0		
P16679	0	1	1	1	1	0	0	4	F1	PHNL_ECOLI			0	0	0	0		
P19319	0	1	1	1	1	1	1	6	F1	NARZ_ECOLI			0	0	0	0	0.263113058	F1
P22731	0	1	1	1	0	0	1	4	F1	LIVF_ECOLI			1	0	0			F1
P23878	0	1	1	1	0	0	1	4	F1	FEPC_ECOLI			0	0	0			F1
P24177	0	1	1	1	0	0	1	4	B	ACRD_ECOLI			0	0	0			B
P25743	0	1	1	1	0	0	0	3	B	YCHE_ECOLI			0	0	0			
P26458	0	1	1	1	0	0	0	3	B	APPB_ECOLI			0	0	0			
P27896	0	1	1	1	0	0	1	4	B	NARQ_ECOLI			0	0	0			B
P28224	0	1	1	1	0	0	1	4	I	MLIC_ECOLI			0	0	0			I
P28696	0	1	1	1	0	0	0	3	G	YAAI_ECOLI			0	0	0			
P30138	0	1	1	1	0	0	1	4	B	THIF_ECOLI			0	0	0			B
P30750	0	1	1	1	0	0	1	4	F1	METN_ECOLI			1	0	0			F1
P31134	0	1	1	1	1	0	1	5	F1	POTG_ECOLI			0	0	0	0		F1
P31435	0	1	1	1	0	0	0	3	B	YICJ_ECOLI			0	0	0			
P31440	0	1	1	1	0	0	0	3	B	YICO_ECOLI			0	0	0			
P31553	0	1	1	1	0	0	0	3	B	CAIT_ECOLI			0	0	0			
P31679	0	1	1	1	0	0	0	3	B	YAAU_ECOLI			0	0	0			
P32108	0	1	1	1	0	0	0	3	B	YIBI_ECOLI			0	0	0			
P32166	0	1	1	1	0	0	1	4	B	MENA_ECOLI			0	0				B
P32676	0	1	1	1	1	0	0	4	F1	PTFB3_ECOLI			0	0	0	0		
P32687	0	1	1	1	0	0	0	3	I	YJBF_ECOLI			0	0	0			
P32689	0	1	1	1	0	0	0	3	E	YJBH_ECOLI			0	0	0			
P32712	0	1	1	1	1	0	0	4	I	NRFG_ECOLI			0	0	0	0		
P32714	0	1	1	1	0	0	0	3	I	MDTP_ECOLI			0	0	0			
P33024	0	1	1	1	0	0	0	3	B	PSUT_ECOLI			0	0	0			
P33226	0	1	1	1	0	0	1	4	B	TORC_ECOLI			0	0	0			B
P33358	0	1	1	1	0	1	1	5	B	MLRA_ECOLI			0	0	0		2.414915665	B
P33362	0	1	1	1	0	0	1	4	G	OSMF_ECOLI			0	0	0			G
P33554	0	1	1	1	1	0	0	4	G	PPDA_ECOLI			0	0	0	0		
P33915	0	1	1	1	0	0	1	4	B	YEJE_ECOLI			0	0	0			B
P33927	0	1	1	1	0	0	1	4	B	CCMF_ECOLI			0	0	0			B
P34749	0	1	1	1	0	0	0	3	H	HOFQ_ECOLI			0	0	0			
P36647	0	1	1	1	1	0	0	4	B	PPDD_ECOLI			0	0	0	0		
P37636	0	1	1	1	0	1	1	5	E	MDTE_ECOLI			0	0	0			E
P37651	0	1	1	1	0	0	1	4	G	GUN_ECOLI			0	0				G
P37908	0	1	1	1	0	0	1	4	B	YFJD_ECOLI			0	0				B
P38054	0	1	1	1	0	0	0	3	B	CUSA_ECOLI			0	0	0			
P38683	0	1	1	1	1	0	0	4	G	TORT_ECOLI			0	0	0	0		
P39301	0	1	1	1	0	0	0	3	B	ULAA_ECOLI			0	0	0			
P40719	0	1	1	1	0	0	1	4	B	QSEC_ECOLI			0	0	0			B
P42588	0	1	1	1	0	1	0	4	G	PAT_ECOLI			0	0	0		2.015494555	
P42590	0	1	1	1	0	0	0	3	B	YGJI_ECOLI			0	0	0			
P42601	0	1	1	1	0	0	1	4	B	ALX_ECOLI			0	0	0			B
P42603	0	1	1	1	0	0	0	3	B	YGJV_ECOLI			1	0	0			
P42640	0	1	1	1	0	0	0	3	B	YHBX_ECOLI			0	0	0			
