Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq
atpD	b3732	noessential	"F1 sector of membrane-bound ATP synthase; beta subunit"	
pflB	b0903	noessential	pyruvate formate lyase I	
cspE	b0623	noessential	DNA-binding transcriptional repressor	234,1790318
glyA	b2551	noessential	serine hydroxymethyltransferase	31,52434522
tufA	b3339	noessential	protein chain elongation factor EF-Tu (duplicate of tufB)	
map	b0168	essential	methionine aminopeptidase	7,772093475
purA	b4177	noessential	adenylosuccinate synthetase	12,14240877
rpoZ	b3649	noessential	"RNA polymerase; omega subunit"	11,75886744
csrA	b2696	essential	pleiotropic regulatory protein for carbon source metabolism	77,996549
yfiA	b2597	noessential	cold shock protein associated with 30S ribosomal subunit	
fusA	b3340	essential	"protein chain elongation factor EF-G; GTP-binding"	
fklB	b4207	noessential	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	6,112389226
thrS	b1719	essential	threonyl-tRNA synthetase	17,9291684
atpH	b3735	noessential	"F1 sector of membrane-bound ATP synthase; delta subunit"	16,23167566
aceE	b0114	noessential	"pyruvate dehydrogenase; decarboxylase component E1; thiamin-binding"	15,84047156
thdF	b3706	noessential	GTPase	
yliJ	b0838	noessential	predicted glutathione S-transferase	
hfq	b4172	noessential	"HF-I; host factor for RNA phage Q beta replication"	46,07581019
gatZ	b2095	noessential	"D-tagatose 1;6-bisphosphate aldolase 2; subunit"	8,86487608
malK	b4035	noessential	"fused maltose transport subunit; ATP-binding component of ABC superfamily -!- regulatory protein"	3,188691122
pgk	b2926	essential	phosphoglycerate kinase	20,2293362
katE	b1732	noessential	hydroperoxidase HPII(III) (catalase)	
dnaK	b0014	noessential	"chaperone Hsp70; co-chaperone with DnaJ"	15,7662626
sspA	b3229	noessential	stringent starvation protein A	16,47142465
tufB	b3980	noessential	protein chain elongation factor EF-Tu (duplicate of tufA)	
fabZ	b0180	essential	(3R)-hydroxymyristol acyl carrier protein dehydratase	2,19319885
clpP	b0437	noessential	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	9,37696503
metK	b2942	essential	methionine adenosyltransferase 1	8,30622344
yqjD	b3098	noessential	conserved protein	8,881260121
lysS	b2890	noessential	"lysine tRNA synthetase; constitutive"	4,516207058
yaiN	b0357	noessential	regulator protein that represses frmRAB operon	
cydA	b0733	noessential	"cytochrome d terminal oxidase; subunit I"	2,249553446
rpoB	b3987	essential	"RNA polymerase; beta subunit"	
secB	b3609	noessential	protein export chaperone	11,20686608
pepN	b0932	noessential	aminopeptidase N	4,392754723
yhbH	b3203	noessential	"predicted ribosome-associated; sigma 54 modulation protein"	
hupB	b0440	noessential	"HU; DNA-binding transcriptional regulator; beta subunit"	
pykA	b1854	noessential	pyruvate kinase II	0,709461596
trpS	b3384	essential	tryptophanyl-tRNA synthetase	
gadE	b3512	noessential	DNA-binding transcriptional activator	17,22915365
ynaF	b1376	noessential	"stress-induced protein; ATP-binding protein"	
elaB	b2266	noessential	conserved protein	47,72701918
yrdA	b3279	noessential	conserved protein	11,67381264
pssA	b2585	essential	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	6,556476944
tig	b0436	noessential	peptidyl-prolyl cis/trans isomerase (trigger factor)	23,806795
deoD	b4384	noessential	purine-nucleoside phosphorylase	
yjgF	b4243	noessential	ketoacid-binding protein	
gyrB	b3699	essential	"DNA gyrase; subunit B"	
yebC	b1864	noessential	conserved protein	3,81957722
rpsV	b1480	noessential	30S ribosomal subunit protein S22	
gadA	b3517	noessential	"glutamate decarboxylase A; PLP-dependent"	3,119106542
groS	b4142	essential	"Cpn10 chaperonin GroES; small subunit of GroESL"	
pstB	b3725	noessential	phosphate transporter subunit -!- ATP-binding component of ABC superfamily	14,68063249
deoB	b4383	noessential	phosphopentomutase	
hupA	b4000	noessential	"HU; DNA-binding transcriptional regulator; alpha subunit"	49,37696073
yhgI	b3414	noessential	predicted gluconate transport associated protein	
pnp	b3164	noessential	polynucleotide phosphorylase/polyadenylase	10,4966103
yaeH	b0163	noessential	conserved protein	
ppiB	b0525	noessential	peptidyl-prolyl cis-trans isomerase B (rotamase B)	17,01048929
hslT	b3687	noessential	heat shock chaperone	
lpd	b0116	noessential	"lipoamide dehydrogenase; E3 component is part of three enzyme complexes"	
nusA	b3169	essential	transcription termination/antitermination L factor	10,73238524
zwf	b1852	noessential	glucose-6-phosphate dehydrogenase	4,37335545
yajQ	b0426	noessential	predicted nucleotide binding protein	
yhbY	b3180	noessential	predicted RNA-binding protein	38,14435461
wrbA	b1004	noessential	predicted flavoprotein in Trp regulation	
tpiA	b3919	noessential	triosephosphate isomerase	15,09416173
cyoD	b0429	noessential	cytochrome o ubiquinol oxidase subunit IV	17,55084328
aspC	b0928	noessential	"aspartate aminotransferase; PLP-dependent"	
aldA	b1415	noessential	"aldehyde dehydrogenase A; NAD-linked"	6,384343619
mreB	b3251	essential	"cell wall structural complex MreBCD; actin-like component MreB"	11,94127538
yiiU	b3928	noessential	conserved protein	29,80977577
pstC	b3727	noessential	phosphate transporter subunit -!- membrane component of ABC superfamily	20,50768187
rfaD	b3619	noessential	"ADP-L-glycero-D-mannoheptose-6-epimerase; NAD(P)-binding"	7,922583716
serC	b0907	noessential	3-phosphoserine/phosphohydroxythreonine aminotransferase	16,21233988
yadR	b0156	essential	conserved protein	7,255359847
slyD	b3349	noessential	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)	
pps	b1702	noessential	phosphoenolpyruvate synthase	4,170224366
bolA	b0435	noessential	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)	
aceF	b0115	noessential	"pyruvate dehydrogenase; dihydrolipoyltransacetylase component E2"	8,067519042
yjiY	b4354	noessential	predicted inner membrane protein	0,133024553
gltD	b3213	noessential	"glutamate synthase; 4Fe-4S protein; small subunit"	
pyrH	b0171	essential	uridylate kinase	3,660532514
fba	b2925	essential	"fructose-bisphosphate aldolase; class II"	
clpB	b2592	noessential	protein disaggregation chaperone	1,509805081
yajC	b0407	noessential	SecYEG protein translocase auxillary subunit	10,54951373
manY	b1818	noessential	mannose-specific enzyme IIC component of PTS	1,989331436
ydfG	b1539	noessential	"L-allo-threonine dehydrogenase; NAD(P)-binding"	6,617315851
ppa	b4226	essential	inorganic pyrophosphatase	21,48718202
yaiE	b0391	noessential	conserved protein	6,200218922
atpA	b3734	noessential	"F1 sector of membrane-bound ATP synthase; alpha subunit"	
serS	b0893	essential	"seryl-tRNA synthetase; also charges selenocysteinyl-tRNA with serine"	12,33000625
trxA	b3781	noessential	thioredoxin 1	25,84112053
b1555	b1555	noessential	"Qin prophage; predicted protein"	
galF	b2042	noessential	predicted subunit with GalU	20,42286656
metJ	b3938	noessential	"DNA-binding transcriptional repressor; S-adenosylmethionine-binding"	
hslU	b3931	noessential	molecular chaperone and ATPase component of HslUV protease	0,685095489
purB	b1131	noessential	adenylosuccinate lyase	1,206811678
rpsE	b3303	essential	30S ribosomal subunit protein S5	
eno	b2779	essential	enolase	21,83182138
yebJ	b1831	noessential	predicted structural transport element	
ybdB	b0597	noessential	conserved protein	
nuoA	b2288	noessential	"NADH:ubiquinone oxidoreductase; membrane subunit A"	8,070578836
rcsB	b2217	noessential	DNA-binding response regulator in two-component regulatory system with RcsC and YojN	19,15767328
vacB	b4179	noessential	"exoribonuclease R; RNase R"	
prsA	b1207	essential	phosphoribosylpyrophosphate synthase	
b3836	b3836	noessential	TatABCE protein translocation system subunit	
fabI	b1288	essential	"enoyl-[acyl-carrier-protein] reductase; NADH-dependent"	
cspA	b3556	noessential	major cold shock protein	29,00976158
lpxD	b0179	essential	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	
b2530	b2530	noessential	"cysteine desulfurase (tRNA sulfurtransferase); PLP-dependent"	
fur	b0683	noessential	DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport	30,37953086
fldA	b0684	essential	flavodoxin 1	13,72023572
yccJ	b1003	noessential	predicted protein	
clpA	b0882	noessential	"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease; chaperone activity"	4,263595097
ydhD	b1654	noessential	conserved protein	10,01228778
ribB	b3041	essential	"3;4-dihydroxy-2-butanone-4-phosphate synthase"	6,223884359
lon	b0439	noessential	DNA-binding ATP-dependent protease La	5,020753975
ybeD	b0631	noessential	conserved protein	2,700640359
gltB	b3212	noessential	"glutamate synthase; large subunit"	6,025639572
yjgD	b4255	noessential	conserved protein	
tktA	b2935	noessential	"transketolase 1; thiamin-binding"	4,270168869
ybbN	b0492	noessential	predicted thioredoxin domain-containing protein	1,626461995
tnaA	b3708	noessential	"tryptophanase/L-cysteine desulfhydrase; PLP-dependent"	4,230372392
valS	b4258	essential	valyl-tRNA synthetase	2,604467636
adk	b0474	essential	adenylate kinase	18,1087013
ybeX	b0658	noessential	predicteed ion transport	5,007031667
glf	b2036	noessential	"UDP-galactopyranose mutase; FAD/NAD(P)-binding"	
yggX	b2962	noessential	protein that protects iron-sulfur proteins against oxidative damage	3,100462495
acnB	b0118	noessential	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	6,824782201
deaD	b3162	noessential	ATP-dependent RNA helicase	
infA	b0884	essential	translation initiation factor IF-1	50,26351192
yrfI	b3401	noessential	heat shock protein Hsp33	
b2529	b2529	noessential	scaffold protein	
ndk	b2518	noessential	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase	17,53579203
pepD	b0237	noessential	aminoacyl-histidine dipeptidase (peptidase D)	4,234656008
nrdA	b2234	essential	"ribonucleoside diphosphate reductase 1; alpha subunit"	4,214056385
yaaA	b0006	noessential	conserved protein	
mog	b0009	noessential	predicted molybdochelatase	
dnaJ	b0015	noessential	"chaperone Hsp40; co-chaperone with DnaK"	2,517444955
ribF	b0025	essential	bifunctional riboflavin kinase and FAD synthetase	10,42698006
ileS	b0026	essential	isoleucyl-tRNA synthetase	4,655514435
lytB	b0029	essential	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase; 4Fe-4S protein"	
dapB	b0031	essential	dihydrodipicolinate reductase	3,72335626
carA	b0032	noessential	"carbamoyl phosphate synthetase small subunit; glutamine amidotransferase"	27,9946901
fixB	b0042	noessential	"predicted electron transfer flavoprotein; NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like"	
fixC	b0043	noessential	predicted oxidoreductase with FAD/NAD(P)-binding domain	
kefC	b0047	noessential	potassium:proton antiporter	0,387545463
folA	b0048	essential	dihydrofolate reductase	
apaG	b0050	noessential	protein associated with Co2+ and Mg2+ efflux	1,617685789
surA	b0053	noessential	peptidyl-prolyl cis-trans isomerase (PPIase)	8,470450082
yabO	b0058	noessential	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	
hepA	b0059	noessential	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	1,464897964
araB	b0063	noessential	L-ribulokinase	
