Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
YAAX_ECOLI	P75616	0	1	1	1	0	0	0	3	G		0	0	0			
ATKA_ECOLI	P03959	0	1	1	1	0	0	0	3	B		0	0	0			
LIVK_ECOLI	P04816	0	1	1	1	1	0	0	4	G		0	0	0	0		
THD1_ECOLI	P04968	0	1	1	1	0	1	1	5	B		2	0				B
BTUD_ECOLI	P06611	1	1	1	1	0	0	1	5	F1	1	2	0	0			F1
POXB_ECOLI	P07003	1	1	1	1	0	0	1	5	F1	1	0	0	0			F1
PPA_ECOLI	P07102	0	1	1	1	0	0	0	3	G		0	0	0			
FHUD_ECOLI	P07822	0	1	1	1	0	0	1	4	G		2	0	0			G
CREC_ECOLI	P08401	0	1	1	1	0	0	1	4	B		0	0	0			B
UHPC_ECOLI	P09836	0	1	1	1	0	0	0	3	B		2	0				
CYSC_ECOLI	P0A6J1	0	1	1	1	0	0	1	4	B		0	0				B
HTPG_ECOLI	P0A6Z3	1	1	1	1	0	0	1	5	F1	1	0	0	0			F1
YCJF_ECOLI	P0A8R7	1	1	1	1	0	0	1	5	B	1	0	0	0			B
WZA_ECOLI	P0A930	0	1	1	1	0	0	0	3	I		0	0	0			
PHOU_ECOLI	P0A9K7	1	1	1	1	0	0	1	5	F1	1	2	0				F1
LIVG_ECOLI	P0A9S7	0	1	1	1	0	0	1	4	F1		0	0	0			F1
YFDV_ECOLI	P0AA49	0	1	1	1	0	0	0	3	B		0	0	0			
YBHO_ECOLI	P0AA84	0	1	1	1	0	0	1	4	F1		0	0	0			F1
YNFG_ECOLI	P0AAJ1	0	1	1	1	0	0	1	4	F2		0	0				F2
ADRA_ECOLI	P0AAP1	0	1	1	1	0	0	0	3	B		0	0	0			
MCBA_ECOLI	P0AAX6	0	1	1	1	0	1	0	4	G		0	0	0			
YCCF_ECOLI	P0AB12	1	1	1	1	0	0	1	5	B	1	2	0				B
BHSA_ECOLI	P0AB40	0	1	1	1	0	1	0	4	G		2	0	0			
APBE_ECOLI	P0AB85	1	1	1	1	0	1	0	5	E	1	2	0				
CSGB_ECOLI	P0ABK7	0	1	1	1	1	0	0	4	F4		0	0	0	0		
CCMH_ECOLI	P0ABM9	1	1	1	1	0	0	1	5	B		0	0				B
YIJE_ECOLI	P0ABT8	0	1	1	1	0	0	0	3	B		0	0	0			
YAAH_ECOLI	P0AC98	0	1	1	1	0	0	1	4	B		0	1	0			B
YTFH_ECOLI	P0ACN2	0	1	1	1	0	0	0	3	B		0	0	0			
YOHC_ECOLI	P0AD17	0	1	1	1	0	0	0	3	B		0	1	0			
YOHK_ECOLI	P0AD19	0	1	1	1	0	0	0	3	B		2	0	0			
YFCA_ECOLI	P0AD30	0	0	1	1	0	0	1	3	B			1				B
NEPI_ECOLI	P0ADL1	0	1	1	1	0	0	1	4	B		0	0	0			B
YICN_ECOLI	P0ADL3	1	1	1	1	0	0	1	5	B		2	0	0			B
YIGI_ECOLI	P0ADP2	1	1	1	1	0	0	1	5	B		1	0	0			B
CITT_ECOLI	P0AE74	0	1	1	1	0	0	0	3	B		0	0				
CPXA_ECOLI	P0AE82	1	1	1	1	0	0	1	5	B	1	2	0	0			B
CSGE_ECOLI	P0AE95	0	1	1	1	0	0	0	3	G		0	0	0			
EMRB_ECOLI	P0AEJ0	0	1	1	1	0	0	1	4	B		2	0	0			B
YHID_ECOLI	P0AFV2	0	1	1	1	0	0	0	3	B		0	0	0			
SUBI_ECOLI	P0AG78	0	1	1	1	0	0	0	3	G		2	0				
SAPB_ECOLI	P0AGH3	0	1	1	1	1	0	1	5	B		1	0	0	0		B
URAA_ECOLI	P0AGM7	1	1	1	1	0	0	0	4	B	1	2	0	0			
YICE_ECOLI	P0AGM9	0	1	1	1	0	0	0	3	B		0	0	0			
IAP_ECOLI	P10423	0	1	1	1	0	0	0	3	F2		2	0				
UGPA_ECOLI	P10905	0	1	1	1	0	0	1	4	B		0	0	0			B
UGPE_ECOLI	P10906	0	1	1	1	1	0	1	5	B		0	0	0	0		B
UGPC_ECOLI	P10907	0	1	1	1	0	0	1	4	F1		0	0	0			F1
DHG_ECOLI	P15877	1	1	1	1	0	0	1	5	B	1	2	0	0			B
HYCD_ECOLI	P16430	0	1	1	1	1	0	0	4	B		2	0	0	0		
HYCE_ECOLI	P16431	1	1	1	1	0	1	0	5	B		0	0	0			
PHNC_ECOLI	P16677	0	1	1	1	1	0	0	4	F1		0	0	0	0		
PHNK_ECOLI	P16678	0	1	1	1	1	1	0	5	F1		0	0	0	0		
