Merge ID	Ishihama2008_s2(1)F	Masuda_et_al_Supple_rev2009(5)F	PengTable(2)L	# Identified
	1090	1570	4155	Novel: 3
Q6BF86	0	0	0	0	B | 
P37388	0	0	1	1	F1 | ; | 
P68066	1	1	1	3	A | ;1,02E+04 | ;12,04 | ;12,04 | ;3223,17 | 
P0ACF4	1	1	1	3	A | ;9,52E+04 | ;7,83 | ;7,83 | ;5891,69 | 
P75616	0	0	1	1	G | ; | 
P64485	0	0	1	1	B | ; | 
P00350	1	1	1	3	A | ;1,42E+04 | ;3,24 | ;3,24 | ;8435,17 | 
P00363	1	1	1	3	F1 | ;1,27E+02 | ;4,29 | ;4,29 | ; | 
P00370	1	1	1	3	A | ;3,68E+02 | ;0,42 | ;7143,48 | 
P00393	1	1	1	3	F1 | ;5,71E+02 | ;1,06 | ;1,06 | ; | 
P00448	1	1	1	3	A | ;3,69E+04 | ;4,03 | ; | 
P00452	1	1	1	3	A | ;1,08E+03 | ;0,67 | ;0,67 | ;344,17 | 
P00490	1	1	1	3	A | ;7,52E+02 | ;2,73 | ;2,73 | ; | 
P00509	1	1	1	3	A | ;2,11E+03 | ;2,64 | ;2,64 | ;8329,33 | 
P00547	1	0	1	2	A | ;7,37E+02 | ;314,52 | 
P00550	0	1	1	2	B | ;0,96 | ;0,96 | ; | 
P00561	1	1	1	3	F1 | ;8,81E+02 | ;0,36 | ;0,36 | ;8864,15 | 
P00562	1	1	1	3	A | ;8,66E+01 | ;0,32 | ;0,32 | ;313,27 | 
P00579	1	1	1	3	A | ;1,32E+03 | ;3,95 | ;3,95 | ;484,78 | 
P00803	0	1	1	2	B | ;1 | ;1 | ; | 
P00804	0	0	1	1	B | ; | 
P00805	0	1	1	2	G | ;6,61 | ; | 
P00811	1	1	1	3	G | ;1,47E+02 | ;0,15 | ; | 
P00861	0	0	1	1	A | ;253,27 | 
P00864	1	1	1	3	A | ;8,51E+02 | ;1,02 | ;1,02 | ;6554,01 | 
P00887	0	1	1	2	A | ;0,28 | ;0,28 | ; | 
P00888	0	0	1	1	A | ;154,05 | 
P00895	0	0	1	1	A | ; | 
P00903	0	0	1	1	A | ; | 
P00904	0	0	1	1	F1 | ;453,28 | 
P00914	0	0	1	1	A | ; | 
P00934	1	1	1	3	A | ;1,04E+03 | ;1,16 | ;1,16 | ;12922,78 | 
P00935	0	0	1	1	A | ;160,84 | 
P00944	0	0	1	1	A | ; | 
P00946	1	1	1	3	A | ;8,59E+02 | ;0,96 | ; | 
P00954	1	1	1	3	A | ;2,66E+03 | ;1,39 | ;1305,5 | 
P00956	1	1	1	3	A_trl | ;2,15E+03 | ;1,57 | ;1,57 | ;789,49 | 
P00959	1	1	1	3	A_trl | ;1,35E+03 | ;1,12 | ;1,12 | ;1070,76 | 
P00961	1	1	1	3	A_trl | ;2,42E+03 | ;1 | ;1 | ;1560,93 | 
P00962	1	1	1	3	A | ;1,68E+03 | ;1,41 | ;1158,08 | 
P00963	1	1	1	3	A | ;1,16E+03 | ;0,26 | ;0,26 | ;1572,09 | 
P00968	1	1	1	3	A | ;9,72E+02 | ;1,36 | ;1,36 | ;1601,52 | 
P02358	1	1	1	3	A_trl | ;2,84E+04 | ;12,28 | ;12,28 | ;13860,74 | 
P02359	1	1	1	3	A_trl | ;1,28E+05 | ;13,54 | ;13,54 | ;20417,8 | 
P02413	1	1	1	3	A_trl | ;3,90E+04 | ;9,82 | ;9,82 | ;6638,93 | 
P02916	0	1	1	2	B | ;0,83 | ;0,83 | ; | 
P02918	1	1	1	3	B | ;8,04E+01 | ;- | ; | 
P02920	0	0	1	1	B | ; | 
P02924	1	0	1	2	G | ;1,37E+02 | ; | 
P02925	1	1	1	3	G | ;4,63E+03 | ;4,38 | ;4,38 | ;1044,57 | 
P02930	1	1	1	3	H | ;8,85E+02 | ;3,03 | ;3,03 | ; | 
P02931	1	1	1	3	H | ;1,25E+03 | ;10,57 | ;10,57 | ; | 
P02932	0	1	1	2	H | ;- | ; | 
P02943	1	1	1	3	H | ;2,02E+02 | ;5,53 | ;5,53 | ; | 
P03007	0	1	1	2	A | ;0,43 | ; | 
P03018	1	1	1	3	A | ;9,26E+01 | ;0,33 | ;0,33 | ; | 
P03024	0	0	1	1	A | ; | 
P03030	0	0	1	1	A | ; | 
P03813	0	0	1	1	A | ; | 
P03817	1	1	1	3	A | ;6,13E+02 | ;2,01 | ; | 
P03959	0	0	1	1	B | ; | 
P03961	0	1	1	2	B | ;0,25 | ; | 
P04036	1	1	1	3	A | ;4,83E+02 | ;1,11 | ;871,74 | 
P04079	1	1	1	3	A | ;3,22E+03 | ;2,25 | ;2,25 | ;3935,07 | 
P04152	0	0	1	1	A | ; | 
P04335	0	1	1	2	A | ;0,66 | ;0,66 | ; | 
P04425	1	1	1	3	A | ;1,26E+03 | ;0,31 | ; | 
P04693	1	1	1	3	A | ;5,10E+02 | ;0,65 | ;0,65 | ;2734,66 | 
P04805	1	1	1	3	A | ;2,25E+03 | ;2,12 | ;2,12 | ;2538,9 | 
P04816	1	0	1	2	G | ;4,24E+02 | ;1613,28 | 
P04825	1	1	1	3	F1 | ;8,40E+02 | ;1,52 | ;1,52 | ;485,85 | 
P04951	1	1	1	3	A | ;6,13E+02 | ;1,34 | ;1,34 | ; | 
P04968	0	0	1	1	B | ; | 
P04983	0	1	1	2	F1 | ;0 | ;0 | ; | 
P04993	0	0	1	1	A | ; | 
P04995	0	0	1	1	A | ; | 
P05020	1	1	1	3	A | ;6,64E+02 | ;0,68 | ;2192,48 | 
P05042	0	1	1	2	A | ;0,55 | ;0,55 | ; | 
P05050	0	0	1	1	B | ; | 
