A	1.02E+04	3242.65	3223.17	0.088574	P68066
A	9.52E+04	563.11	5891.69	1.3153	P0ACF4
A	1.42E+04	1366.35	8435.17	0.00021234	P00350
F1	5.71E+02	213.48		0.024811	P00393
A	1.08E+03	275	344.17	0.098918	P00452
A	7.52E+02	365.77		0.0033189	P00490
A	2.11E+03	1090.63	8329.33	0.10313	P00509
A	8.66E+01	25.99	313.27	0.019182	P00562
A	8.51E+02	57.65	6554.01	0.0058369	P00864
A	8.59E+02	47.23		0.0091504	P00946
A	2.66E+03	348.59	1305.5	0.050634	P00954
A_trl	2.15E+03	453.48	789.49	0.026309	P00956
A_trl	1.35E+03	398	1070.76	0.031792	P00959
A	1.68E+03	329.22	1158.08	0.026685	P00962
B	8.04E+01	2		0.00057933	P02918
G	4.63E+03	346.01	1044.57	9.5967e-005	P02925
A	9.26E+01	16.12		0.0080519	P03018
A	4.83E+02	32.03	871.74	0.021979	P04036
A	3.22E+03	1352.28	3935.07	0.13645	P04079
F1	8.40E+02	142.33	485.85	0.053725	P04825
A	6.13E+02	131.26		0.014755	P04951
A	5.70E+03	476.06		0.39199	P05055
A	5.56E+02	55.45		0.024597	P06612
A	7.63E+02	122.38		0.00062508	P06715
A	3.48E+02	49.52		0.015889	P06999
A	4.53E+02	87.54		0.021814	P07004
A_trl	1.62E+03	263.96	1119.34	0.040924	P07118
A	1.45E+02	22.71		0.0041794	P07604
A	2.56E+03	626.95	1138.73	0.037294	P07813
A	3.68E+02	136.13		0.0026292	P09030
F1	1.01E+02	97.41		0.0011744	P09152
F1	3.29E+02	257.02		0.0053439	P09546
A	1.09E+04	5090.85	1837.39	0.084861	P0A6A3
A	3.65E+03	802.26		0.33902	P0A6B7
A	5.37E+02	31	8869.39	0.015663	P0A6E4
A	7.46E+02	2002.27	2911.19	0.20015	P0A6F1
A	2.83E+03	791.36	5786.68	0.19814	P0A6G7
A	1.04E+03	470.95	955.07	0.060681	P0A6H5
A	9.39E+02	289.95		0.010837	P0A6J8
A	1.68E+03	64.08		0.02849	P0A6K3
A	3.09E+03	358.47		0.078566	P0A6K6
A	1.19E+03	246.16	1195.81	0.00047552	P0A6L2
A_trl	5.33E+04	2.016	24623.18	0.12923	P0A6M8
A	2.73E+02	226.57		0.0098875	P0A6P5
A	5.58E+04	5949.64	11282.75	0.2506	P0A6P9
A	2.34E+04	680.91	3039.41	0.34062	P0A6Q3
F1	3.33E+03	2.128	801.61	0.10519	P0A6Q6
A	1.32E+03	339.99	2633.1	0.036802	P0A6R0
A	1.86E+02	117.04		0.011252	P0A6S7
A	3.33E+03	506.43	1099.04	0.069027	P0A6T1
A	2.60E+02	93.82		0.01007	P0A6W9
F1	3.12E+04	1.801	13814.81	1.0305	P0A6Y8
A	3.76E+03	496.91	1923.65	0.039917	P0A715
A	2.98E+03	1127.52	6223.05	0.11925	P0A717
A	2.36E+02	40.34		0.0060098	P0A720
A	5.23E+03	1735.95	19029.95	0.12198	P0A763
A	1.55E+03	38.51	3287.39	0.053386	P0A796
A	1.24E+05	1285.46	14681.75	0.24179	P0A799
A	7.16E+03	1577.92	8324.05	0.21358	P0A7A9
A	7.16E+03	761.18	6363.21	0.12818	P0A7D4
A	9.05E+02	336.54	581.31	0.058036	P0A7E9
A_trl	7.04E+02	165.27		0.058436	P0A7G2
A	2.12E+02	25.52		0.010384	P0A7I0
A_trl	6.92E+02	398		0.013706	P0A7I4
A_trl	4.53E+04	1698.32	28222.73	0.6295	P0A7W1
A	3.82E+02	332.24		0.028753	P0A7Y0
A	1.38E+04	1.424	4237.62	0.0045929	P0A805
A	1.89E+03	554.63	11978.78	0.14432	P0A817
A	1.05E+04	854.14	6180.43	0.68109	P0A825
A	7.63E+02	224.39		0.0084621	P0A832
A_trl	3.12E+04	2788.66	10042.87	0.30357	P0A850
G	1.15E+03	305.07	762.03	0.0014268	P0A855
A	2.90E+04	1906.06	9105.73	0.32767	P0A858
A_trl	4.53E+02	220		0.018541	P0A884
A	6.13E+02	473.93		0.00014544	P0A887
A_trl	7.63E+02	99.64		0.02857	P0A8A8
A	1.04E+03	398		0.021267	P0A8C4
A	3.39E+02	327.93		0.02575	P0A8E1
A	3.19E+03	950		0.073987	P0A8E7
A	2.66E+03	645.93	1953.71	0.2296	P0A8J4
A	2.41E+02	56.81		0.016836	P0A8J8
A_trl	1.91E+03	527.07	1074.38	0.068116	P0A8L1
A_trl	9.50E+02	485.85	822.19	0.31493	P0A8M3
A_trl	2.94E+03	930.53	2126.53	0.047428	P0A8N3
A_trl	6.58E+02	741.45		0.010687	P0A8N5
A	7.04E+02	1302.81	1036.42	0.18134	P0A8P3
A	5.59E+03	1170.18	4425.6	0.20205	P0A8V2
A	2.95E+02	109.47		0.01161	P0A8V6
A	3.48E+02	54.08		0.012848	P0A8W5
A	2.11E+03	99.64		0.026091	P0A8X0
I	3.33E+02	50.43		0.00070266	P0A935
A	1.43E+04	1384.41	16042.49	0.070262	P0A953
A	5.71E+02	521.98	1682.82	0.12175	P0A9A9
A	1.70E+05	20789.62	49090.58	1.0125	P0A9B2
A	3.48E+02	50.89		0.018939	P0A9F3
A	1.13E+03	197.75		0.023077	P0A9K3
A	5.85E+03	727.17	6525.25	0.24493	P0A9K9
A	1.55E+03	438.54	499.84	0.063634	P0A9M0
F1	2.24E+04	2077.52	7569.96	0.20595	P0A9P0
A	1.99E+03	307.23		0.029853	P0A9P6
F1	2.41E+02	52.26	230.21	0.010395	P0A9U3
F1	1.49E+03	1217.34		0.090006	P0A9X4
A	6.13E+02	238.33		0.032016	P0AA16
A_trl	7.92E+02	113.93		0.0052339	P0AA39
B	5.61E+02	295.57	417.34	0.09582	P0AAB6
A	2.12E+02	175.38	528.64	0.034944	P0AAC0
F1	3.68E+02	54.08		0.014668	P0AAF6
A	1.28E+03	398	1131.79	0.032093	P0AAI5
A	1.02E+04	563.11	4223.37	0.0023342	P0AAI9
