A		78.43		3.42	0.49	P68066
A	0.56	12.89	11.9	15.32	9.38	P0ACF4
A		78.43	19.81	11.02	6.23	P00350
F1	0.55	5.47	2.51	1.34	1.99	P00363
A	0.43	0.19	9.58	14.59	3.48	P00370
F1	0.41	4.74	2.45	0.89	0.45	P00393
A		22	18.32	16.22	26.06	P00448
A		6.15	3.86	1.59	3.03	P00452
A	0.45	8.26	2.89	0.88	1.65	P00490
A	0.48	25.49	16.63	9.46	10.33	P00509
F1	0.32	1	20.56	9.84	16.99	P00561
A	0.4	0.54	2.33	1.29	0.63	P00562
A	0.58	5.49	4.46	2.29	2.26	P00579
A		2.29	10.51	3.94	3.74	P00864
A	0.37	1.75	13.83	5.95	18.75	P00934
A	0.36	1	3.21	0.88	1.92	P00946
A		7.86	2.77	1.33	1.07	P00954
A_trl		10.31	8.33	3.75	5.03	P00956
A_trl		9	3.97	1.27	1.49	P00959
A_trl		24.88	5.89	5.99	2.79	P00961
A		7.41	4.76	4.19	1.56	P00962
A		2.16	1.67	1.15	0.51	P00963
A		30.62	14.84	8.73	9.55	P00968
A_trl		176.83	26.32	30.55	29.29	P02358
A_trl		162.79	25.38	45.45	44.2	P02359
A_trl		24.12	31.5	50.92	56.16	P02413
B		3.86	2.02	2.18	0.64	P02918
G	0.48	8	6.85	10.28	13.83	P02925
H	0.39	12.04	5.96	3.74	4.71	P02930
H	0.66	37.75	33.75	85.17	40.92	P02931
A	0.39	0.33	2.21	1.64		P03018
A		0.67	7.15	8.27	2.93	P04036
A		31.82	7.24	4.33	3.57	P04079
A		4.46	4.15	1.95	1.78	P04425
A	0.29	1.85	4.54	2.34	1.49	P04693
A		15.82	4.01	2.87	1.78	P04805
F1	0.43	3.12	4.22	2.57	2.45	P04825
A		2.87	5.69	2.36	2.51	P04951
A		20.54	11.58	4.03	5.63	P05020
A		10.84	13.95	8.23	6.67	P05055
A		3.92	2.49	1.29	0.99	P05459
A		0.32	27.54	19.16	26.62	P05793
F1	0.36	0.78	3.16	1.04	2.28	P06149
A	0.44	1.18	1.96	1.87	0.71	P06612
A		2.67	5.68	3.25	2.84	P06715
A		5.16	4.15	1.66	2.52	P06983
A_trl		3.39	5.07	1.86	2.79	P06992
A	0.31	1.05	4.65	1.02	5.27	P06999
B	0.35	0.58	22.75	19.13	22.45	P07001
F1	0.34	0.29	5.59	1.03	3.89	P07003
A		1.89	2.22	1.07	0.99	P07004
F1	0.33	18.95	8.88	4.82	6.82	P07014
A_trl	0.61	6	6.13	3.9	2.47	P07118
A	0.28	0.47	2.05	1.03	0.83	P07604
B	0.47	1.33	2.42	0.71	1.08	P07650
A		14	9.07	4.19	4.58	P07813
A		0.67	7.22	3.74	3.72	P07862
A		9	1.47	0.95		P07913
