Merge ID	TableS3_K12_ProteomeV13	Ishihama2008_fin	Masuda2009_fin	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Ishihama2008_fin Duplicates	Masuda2009_fin Duplicates	Taniguchi2010_fin_mmol Duplicates	PengTable_fin Duplicates	Thein_MergeMethods Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization	
Q6BF86	1							1	1							B	LDRA_ECOLI																											
P37388	1				1			2	1				1			F1	XYLG_ECOLI																											
P68066	1	1	1	1	1			5	1	1	2	1	1			A	GRCA_ECOLI	2.67	4.63E+02	1.02E+04		78.43	1	3242.65	0.088574	8857.4	3223.17	10291.59																
P0ACF4	1	1	1	1	1			5	1	1	2	1	1			A	DBHB_ECOLI	4.33	2.15E+04	9.52E+04	0.56	12.89	1	563.11	1.3153	131530	5891.69																	
P75616	1				1			2	1				1			G	YAAX_ECOLI																											
P64485	1				1			2	1				1			B	YEAQ_ECOLI																											
P00350	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	6PGD_ECOLI	2.91	8.18E+02	1.42E+04		78.43	1	1366.35	0.00021234	21.234	8435.17	2748.68	0.18	 	0.22	 	0.14	  	 									A
P00363	1	1	1		1	1	1	6	1	1	2		1	1	1	F1	FRDA_ECOLI	0.09	2.41E-01	1.27E+02	0.55	5.47	1	245.29				4218.91	0.16	 	0.16	 	0.16	  	 									F1
P00370	1	1	1		1		1	5	1	1	1		1		1	A	DHE4_ECOLI	0.4	1.51E+00	3.68E+02	0.43	0.19	1	9.44			7143.48	6296.41																A
P00393	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	F1	DHNA_ECOLI	0.63	3.22E+00	5.71E+02	0.41	4.74	1	213.48	0.024811	2481.1			0.33	0.22	0.4	0.31	 	0.09	0.09	0.4	0.6	0.5	0.4	0.31	0.6	0.22	0.14	F1
P00448	1	1	1		1		1	5	1	1	1		1		1	A	SODM_ECOLI	3.63	4.22E+03	3.69E+04		22	1	950				9844.13																A
P00452	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	RIR1_ECOLI	1.03	9.72E+00	1.08E+03		6.15	1	275	0.098918	9891.8	344.17		0.14	0.17	0.17	 	 	0.2	 	 	0.08	0.08						A
P00490	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	PHSM_ECOLI	0.79	5.18E+00	7.52E+02	0.45	8.26	1	365.77	0.0033189	331.89			0.56	0.33	1.1	1.69	 	0.96	 	0.42	0.07	0.48	0.11	0.15	0.33			A
P00509	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	AAT_ECOLI	1.5	3.06E+01	2.11E+03	0.48	25.49	1	1090.63	0.10313	10313	8329.33	2365.15	0.08	 	  	0.08												A
P00547	1	1			1		1	4	1	1			1		1	A	KHSE_ECOLI	0.78	4.99E+00	7.37E+02							314.52	3323.99																A
P00550	1		1		1	1	1	5	1		2		1	1	1	B	PTM3C_ECOLI					1.21	1	56.81					0.22	  	   	0.05	 	0.57	0.4	0.1	0.27	0.33	0.1	0.27	0.21	0.05	0.1	B
P00561	1	1	1		1	1	1	6	1	1	2		1	1	1	F1	AK1H_ECOLI	0.89	6.80E+00	8.81E+02	0.32	1	1	28.78			8864.15		0.13	 	0.15	 	 	  	0.11									F1
P00562	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	AK2H_ECOLI	0.05	1.25E-01	8.66E+01	0.4	0.54	1	25.99	0.019182	1918.2	313.27		0.12	 	0.2	0.07	0.07	  	0.15									A
P00579	1	1	1		1	1	1	6	1	1	2		1	1	1	A	RPOD_ECOLI	1.17	1.37E+01	1.32E+03	0.58	5.49	1	246.16			484.78		0.07	 	0.09	 	 	0.05	 	 	0.1	0.05						A
P00803	1		1		1	1	1	5	1		2		1	1	1	B	LEP_ECOLI					0.72	1	34.35					0.09	 	  	0.09												B
P00804	1				1		1	3	1				1		1	B	LSPA_ECOLI																											B
P00805	1		1		1			3	1		1		1			G	ASPG2_ECOLI					1.24	1	58.18																				
P00811	1	1	1		1		1	5	1	1	1		1		1	G	AMPC_ECOLI	0.12	3.11E-01	1.47E+02	0.26	0.21	1	10																				G
P00861	1			1	1			3	1			1	1			A	DCDA_ECOLI								0.0046914	469.14	253.27																	
P00864	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	CAPP_ECOLI	0.87	6.41E+00	8.51E+02		2.29	1	57.65	0.0058369	583.69	6554.01	1598.07	0.09	0.03	   	  	 	0.1	 	 	  	0.18	 	  	0.03			A
P00887	1		1		1	1	1	5	1		2		1	1	1	A	AROH_ECOLI					0.52	1	25.05					0.08	 	0.08	 												A
P00888	1				1		1	3	1				1		1	A	AROF_ECOLI										154.05																	A
P00895	1				1			2	1				1			A	TRPE_ECOLI																											
P00903	1				1	1	1	4	1				1	1	1	A	PABA_ECOLI												0.16	 	0.16	 												A
P00904	1				1	1		3	1				1	1		F1	TRPG_ECOLI										453.28		0.09	 	0.09	 												
